2025-05-28 14:28:01.832396
LEYEZ="0.62608" LPUPILD="0.00412" LPUPILV="1" REYEX="0.01192" REYEY="0.00838" REYEZ="0.59101" RPUPILD="0.00341" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="1.22943" FPOGY="0.33925" FPOGS="1741.41052" FPOGD="0.16748" FPOGID="3089" FPOGV="1" LPOGX="1.21471" LPOGY="0.45418" LPOGV="1" RPOGX="1.16502" RPOGY="0.29977" RPOGV="1" BPOGX="1.18986" BPOGY="0.37697" BPOGV="1" LPCX="0.31026" LPCY="0.45347" LPD="17.48956" LPS="0.88328" LPV="1" RPCX="0.56286" RPCY="0.44617" RPD="15.81753" RPS="0.87804" RPV="1" LEYEX="-0.04790" LEYEY="0.00784" LEYEZ="0.63376" LPUPILD="0.00421" LPUPILV="1" REYEX="0.01192" REYEY="0.00838" REYEZ="0.59101" RPUPILD="0.00341" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.44229" FPOGY="0.22926" FPOGS="1742.30859" FPOGD="0.18091" FPOGID="3093" FPOGV="1" LPOGX="0.45538" LPOGY="0.27887" LPOGV="1" RPOGX="0.40468" RPOGY="0.20708" RPOGV="1" BPOGX="0.43003" BPOGY="0.24298" BPOGV="1" LPCX="0.28467" LPCY="0.45271" LPD="17.95076" LPS="0.99593" LPV="1" RPCX="0.53750" RPCY="0.44407" RPD="15.89332" RPS="0.98231" RPV="1" LEYEX="-0.05172" LEYEY="0.00783" LEYEZ="0.63286" LPUPILD="0.00360" LPUPILV="1" REYEX="0.00915" REYEY="0.00920" REYEZ="0.62552" RPUPILD="0.00340" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.44232" FPOGY="0.22941" FPOGS="1742.30859" FPOGD="0.18713" FPOGID="3093" FPOGV="1" LPOGX="0.48352" LPOGY="0.23942" LPOGV="1" RPOGX="0.40305" RPOGY="0.22780" RPOGV="1" BPOGX="0.44329" BPOGY="0.23361" BPOGV="1" LPCX="0.28446" LPCY="0.45266" LPD="17.83397" LPS="0.97528" LPV="1" RPCX="0.53751" RPCY="0.44430" RPD="15.83321" RPS="0.96166" RPV="1" LEYEX="-0.05172" LEYEY="0.00783" LEYEZ="0.63286" LPUPILD="0.00354" LPUPILV="1" REYEX="0.00915" REYEY="0.00920" REYEZ="0.62552" RPUPILD="0.00345" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.44245" FPOGY="0.23022" FPOGS="1742.30859" FPOGD="0.19434" FPOGID="3093" FPOGV="1" LPOGX="0.48872" LPOGY="0.26152" LPOGV="1" RPOGX="0.40372" RPOGY="0.24631" RPOGV="1" BPOGX="0.44622" BPOGY="0.25391" BPOGV="1" LPCX="0.28444" LPCY="0.45266" LPD="17.15727" LPS="0.94835" LPV="1" RPCX="0.53722" RPCY="0.44447" RPD="16.18718" RPS="0.94116" RPV="1" LEYEX="-0.05141" LEYEY="0.00772" LEYEZ="0.62738" LPUPILD="0.00359" LPUPILV="1" REYEX="0.00919" REYEY="0.00938" REYEZ="0.63819" RPUPILD="0.00342" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.44243" FPOGY="0.23115" FPOGS="1742.30859" FPOGD="0.20093" FPOGID="3093" FPOGV="1" LPOGX="0.48632" LPOGY="0.28782" LPOGV="1" RPOGX="0.39694" RPOGY="0.22991" RPOGV="1" BPOGX="0.44163" BPOGY="0.25887" BPOGV="1" LPCX="0.28416" LPCY="0.45282" LPD="17.74403" LPS="0.93487" LPV="1" RPCX="0.53700" RPCY="0.44443" RPD="16.33251" RPS="0.94131" RPV="1" LEYEX="-0.05141" LEYEY="0.00772" LEYEZ="0.62738" LPUPILD="0.00365" LPUPILV="1" REYEX="0.00919" REYEY="0.00938" REYEZ="0.63819" RPUPILD="0.00339" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.44265" FPOGY="0.23213" FPOGS="1742.30859" FPOGD="0.20764" FPOGID="3093" FPOGV="1" LPOGX="0.48542" LPOGY="0.28742" LPOGV="1" RPOGX="0.41371" RPOGY="0.23799" RPOGV="1" BPOGX="0.44956" BPOGY="0.26271" BPOGV="1" LPCX="0.28401" LPCY="0.45291" LPD="17.70843" LPS="0.93502" LPV="1" RPCX="0.53690" RPCY="0.44431" RPD="15.99330" RPS="0.94145" RPV="1" LEYEX="-0.05141" LEYEY="0.00772" LEYEZ="0.62738" LPUPILD="0.00364" LPUPILV="1" REYEX="0.00919" REYEY="0.00938" REYEZ="0.63819" RPUPILD="0.00345" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.44281" FPOGY="0.23261" FPOGS="1742.30859" FPOGD="0.21436" FPOGID="3093" FPOGV="1" LPOGX="0.48274" LPOGY="0.27658" LPOGV="1" RPOGX="0.41324" RPOGY="0.21919" RPOGV="1" BPOGX="0.44799" BPOGY="0.24789" BPOGV="1" LPCX="0.28389" LPCY="0.45282" LPD="17.71545" LPS="0.94848" LPV="1" RPCX="0.53662" RPCY="0.44412" RPD="15.56100" RPS="0.96210" RPV="1" LEYEX="-0.05411" LEYEY="0.00811" LEYEZ="0.65908" LPUPILD="0.00372" LPUPILV="1" REYEX="0.00935" REYEY="0.00970" REYEZ="0.66008" RPUPILD="0.00342" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.44252" FPOGY="0.23223" FPOGS="1742.30859" FPOGD="0.22070" FPOGID="3093" FPOGV="1" LPOGX="0.48042" LPOGY="0.27494" LPOGV="1" RPOGX="0.38564" RPOGY="0.16465" RPOGV="1" BPOGX="0.43303" BPOGY="0.21980" BPOGV="1" LPCX="0.28366" LPCY="0.45295" LPD="17.42059" LPS="0.97541" LPV="1" RPCX="0.53664" RPCY="0.44440" RPD="15.66992" RPS="0.98260" RPV="1" LEYEX="-0.05411" LEYEY="0.00811" LEYEZ="0.65908" LPUPILD="0.00364" LPUPILV="1" REYEX="0.00935" REYEY="0.00970" REYEZ="0.66008" RPUPILD="0.00342" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.44179" FPOGY="0.23010" FPOGS="1742.30859" FPOGD="0.22778" FPOGID="3093" FPOGV="1" LPOGX="0.45550" LPOGY="0.14623" LPOGV="1" RPOGX="0.37860" RPOGY="0.16894" RPOGV="1" BPOGX="0.41705" BPOGY="0.15758" BPOGV="1" LPCX="0.28359" LPCY="0.45282" LPD="17.43476" LPS="0.99591" LPV="1" RPCX="0.53662" RPCY="0.44448" RPD="15.76571" RPS="1.00310" RPV="1" LEYEX="-0.05411" LEYEY="0.00811" LEYEZ="0.65908" LPUPILD="0.00357" LPUPILV="1" REYEX="0.00935" REYEY="0.00970" REYEZ="0.66008" RPUPILD="0.00344" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
