2025-05-28 14:32:03.831456
Z="0.61740" RPUPILD="0.00340" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="1.23220" FPOGY="0.32782" FPOGS="1983.47156" FPOGD="0.10071" FPOGID="3840" FPOGV="1" LPOGX="1.24722" LPOGY="0.44729" LPOGV="1" RPOGX="1.20264" RPOGY="0.24644" RPOGV="1" BPOGX="1.22493" BPOGY="0.34686" BPOGV="1" LPCX="0.34121" LPCY="0.47741" LPD="16.71994" LPS="0.95176" LPV="1" RPCX="0.58925" RPCY="0.47049" RPD="14.98810" RPS="0.95755" RPV="1" LEYEX="-0.04181" LEYEY="0.00327" LEYEZ="0.65985" LPUPILD="0.00426" LPUPILV="1" REYEX="0.01875" REYEY="0.00421" REYEZ="0.61740" RPUPILD="0.00341" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.24172" FPOGY="0.34250" FPOGS="1984.15564" FPOGD="0.33496" FPOGID="3842" FPOGV="1" LPOGX="1.27210" LPOGY="0.43167" LPOGV="1" RPOGX="1.23870" RPOGY="0.27823" RPOGV="1" BPOGX="1.25540" BPOGY="0.35495" BPOGV="1" LPCX="0.33781" LPCY="0.47957" LPD="16.47453" LPS="0.95175" LPV="1" RPCX="0.58529" RPCY="0.47190" RPD="14.49170" RPS="0.95175" RPV="1" LEYEX="-0.04294" LEYEY="0.00288" LEYEZ="0.66212" LPUPILD="0.00410" LPUPILV="1" REYEX="0.01795" REYEY="0.00403" REYEZ="0.62514" RPUPILD="0.00328" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="1.24264" FPOGY="0.34245" FPOGS="1984.15564" FPOGD="0.34167" FPOGID="3842" FPOGV="1" LPOGX="1.26332" LPOGY="0.42682" LPOGV="1" RPOGX="1.27469" RPOGY="0.27184" RPOGV="1" BPOGX="1.26901" BPOGY="0.34933" BPOGV="1" LPCX="0.33782" LPCY="0.47971" LPD="16.69423" LPS="0.95175" LPV="1" RPCX="0.58527" RPCY="0.47190" RPD="14.84996" RPS="0.95754" RPV="1" LEYEX="-0.04294" LEYEY="0.00288" LEYEZ="0.66212" LPUPILD="0.00410" LPUPILV="1" REYEX="0.01795" REYEY="0.00403" REYEZ="0.62514" RPUPILD="0.00326" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="1.24350" FPOGY="0.34284" FPOGS="1984.15564" FPOGD="0.34839" FPOGID="3842" FPOGV="1" LPOGX="1.25647" LPOGY="0.44482" LPOGV="1" RPOGX="1.27466" RPOGY="0.26909" RPOGV="1" BPOGX="1.26557" BPOGY="0.35695" BPOGV="1" LPCX="0.33792" LPCY="0.47991" LPD="17.04060" LPS="0.95754" LPV="1" RPCX="0.58518" RPCY="0.47196" RPD="14.43900" RPS="0.96333" RPV="1" LEYEX="-0.04294" LEYEY="0.00288" LEYEZ="0.66212" LPUPILD="0.00410" LPUPILV="1" REYEX="0.01795" REYEY="0.00403" REYEZ="0.62514" RPUPILD="0.00329" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="1.24425" FPOGY="0.34336" FPOGS="1984.15564" FPOGD="0.35498" FPOGID="3842" FPOGV="1" LPOGX="1.25980" LPOGY="0.44042" LPOGV="1" RPOGX="1.27941" RPOGY="0.26454" RPOGV="1" BPOGX="1.26960" BPOGY="0.35248" BPOGV="1" LPCX="0.33794" LPCY="0.47999" LPD="17.17776" LPS="0.96333" LPV="1" RPCX="0.58518" RPCY="0.47196" RPD="14.43900" RPS="0.96912" RPV="1" LEYEX="-0.04294" LEYEY="0.00288" LEYEZ="0.66212" LPUPILD="0.00410" LPUPILV="1" REYEX="0.01795" REYEY="0.00403" REYEZ="0.62514" RPUPILD="0.00329" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="1.24508" FPOGY="0.34400" FPOGS="1984.15564" FPOGD="0.36169" FPOGID="3842" FPOGV="1" LPOGX="1.25895" LPOGY="0.43603" LPOGV="1" RPOGX="1.27639" RPOGY="0.27062" RPOGV="1" BPOGX="1.26767" BPOGY="0.35332" BPOGV="1" LPCX="0.33766" LPCY="0.47968" LPD="16.54658" LPS="0.96912" LPV="1" RPCX="0.58524" RPCY="0.47192" RPD="14.76771" RPS="0.96912" RPV="1" LEYEX="-0.04294" LEYEY="0.00288" LEYEZ="0.66212" LPUPILD="0.00419" LPUPILV="1" REYEX="0.01795" REYEY="0.00403" REYEZ="0.62514" RPUPILD="0.00326" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="1.24574" FPOGY="0.34449" FPOGS="1984.15564" FPOGD="0.36841" FPOGID="3842" FPOGV="1" LPOGX="1.27274" LPOGY="0.42089" LPOGV="1" RPOGX="1.27656" RPOGY="0.26529" RPOGV="1" BPOGX="1.27465" BPOGY="0.34309" BPOGV="1" LPCX="0.33756" LPCY="0.47948" LPD="16.77259" LPS="0.96912" LPV="1" RPCX="0.58527" RPCY="0.47190" RPD="14.84996" RPS="0.96912" RPV="1" LEYEX="-0.04294" LEYEY="0.00288" LEYEZ="0.66212" LPUPILD="0.00418" LPUPILV="1" REYEX="0.01795" REYEY="0.00403" REYEZ="0.62514" RPUPILD="0.00325" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="1.24611" FPOGY="0.34533" FPOGS="1984.15564" FPOGD="0.37512" FPOGID="3842" FPOGV="1" LPOGX="1.26865" LPOGY="0.42637" LPOGV="1" RPOGX="1.26607" RPOGY="0.27536" RPOGV="1" BPOGX="1.26736" BPOGY="0.35087" BPOGV="1" LPCX="0.33750" LPCY="0.47946" LPD="16.69755" LPS="0.96210" LPV="1" RPCX="0.58515" RPCY="0.47193" RPD="14.44317" RPS="0.95631" RPV="1" LEYEX="-0.04146" LEYEY="0.00278" LEYEZ="0.63855" LPUPILD="0.00417" LPUPILV="1" REYEX="0.01740" REYEY="0.00392" REYEZ="0.60759" RPUPILD="0.00326" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="1.24616" FPOGY="0.34646" FPOGS="1984.15564" FPOGD="0.38184" FPOGID="3842" FPOGV="1" LPOGX="1.25173" LPOGY="0.45109" LPOGV="1" RPOGX="1.24312" RPOGY="0.28549" RPOGV="1" BPOGX="1.24743" BPOGY="0.36829" BPOGV="1" LPCX="0.33735" LPCY="0.47954" LPD="16.67908" LPS="0.94928" LPV="1" RPCX="0.58519" RPCY="0.47198" RPD="14.43118" RPS="0.94349" RPV="1" LEYEX="-0.04146" LEYEY="0.00278" LEYEZ="0.63855" LPUPILD="0.00425" LPUPILV="1" REYEX="0.01740" REYEY="0.00392" REYEZ="0.60759" RPUPILD="0.00329" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
