2025-06-03 10:26:29.898503
 REYEZ="0.65573" RPUPILD="0.00293" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.22910" FPOGY="0.19720" FPOGS="2690.57715" FPOGD="0.02026" FPOGID="3591" FPOGV="1" LPOGX="0.36479" LPOGY="0.20908" LPOGV="1" RPOGX="0.10503" RPOGY="0.14730" RPOGV="1" BPOGX="0.23491" BPOGY="0.17819" BPOGV="1" LPCX="0.20085" LPCY="0.55069" LPD="16.34051" LPS="1.03179" LPV="1" RPCX="0.49739" RPCY="0.58494" RPD="16.75409" RPS="1.03179" RPV="1" LEYEX="-0.07727" LEYEY="-0.01210" LEYEZ="0.68062" LPUPILD="0.00308" LPUPILV="1" REYEX="0.00035" REYEY="-0.01874" REYEZ="0.66112" RPUPILD="0.00292" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.82030" FPOGY="0.26866" FPOGS="2691.48877" FPOGD="0.02612" FPOGID="3595" FPOGV="1" LPOGX="0.94756" LPOGY="0.36256" LPOGV="1" RPOGX="0.67916" RPOGY="0.17417" RPOGV="1" BPOGX="0.81336" BPOGY="0.26836" BPOGV="1" LPCX="0.21755" LPCY="0.54969" LPD="17.86795" LPS="1.02389" LPV="1" RPCX="0.51395" RPCY="0.58509" RPD="17.03939" RPS="1.02389" RPV="1" LEYEX="-0.07248" LEYEY="-0.01135" LEYEZ="0.66074" LPUPILD="0.00319" LPUPILV="1" REYEX="0.00273" REYEY="-0.01879" REYEZ="0.66283" RPUPILD="0.00303" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.81915" FPOGY="0.26861" FPOGS="2691.48877" FPOGD="0.03345" FPOGID="3595" FPOGV="1" LPOGX="0.94756" LPOGY="0.36256" LPOGV="1" RPOGX="0.67916" RPOGY="0.17417" RPOGV="1" BPOGX="0.81336" BPOGY="0.26836" BPOGV="1" LPCX="0.21755" LPCY="0.54969" LPD="17.86795" LPS="1.02389" LPV="1" RPCX="0.51393" RPCY="0.58514" RPD="16.91392" RPS="1.02389" RPV="1" LEYEX="-0.07249" LEYEY="-0.01140" LEYEZ="0.66086" LPUPILD="0.00319" LPUPILV="1" REYEX="0.00284" REYEY="-0.01882" REYEZ="0.66385" RPUPILD="0.00305" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.81798" FPOGY="0.27109" FPOGS="2691.48877" FPOGD="0.04028" FPOGID="3595" FPOGV="1" LPOGX="0.94634" LPOGY="0.36866" LPOGV="1" RPOGX="0.67562" RPOGY="0.20328" RPOGV="1" BPOGX="0.81098" BPOGY="0.28597" BPOGV="1" LPCX="0.21760" LPCY="0.54967" LPD="17.86529" LPS="1.02389" LPV="1" RPCX="0.51404" RPCY="0.58508" RPD="16.95894" RPS="1.02389" RPV="1" LEYEX="-0.07249" LEYEY="-0.01140" LEYEZ="0.66086" LPUPILD="0.00322" LPUPILV="1" REYEX="0.00284" REYEY="-0.01882" REYEZ="0.66385" RPUPILD="0.00301" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.81861" FPOGY="0.27486" FPOGS="2691.48877" FPOGD="0.04688" FPOGID="3595" FPOGV="1" LPOGX="0.95010" LPOGY="0.40214" LPOGV="1" RPOGX="0.69589" RPOGY="0.20039" RPOGV="1" BPOGX="0.82300" BPOGY="0.30127" BPOGV="1" LPCX="0.21765" LPCY="0.54959" LPD="17.62379" LPS="1.02389" LPV="1" RPCX="0.51406" RPCY="0.58509" RPD="16.86950" RPS="1.02389" RPV="1" LEYEX="-0.07249" LEYEY="-0.01140" LEYEZ="0.66086" LPUPILD="0.00322" LPUPILV="1" REYEX="0.00284" REYEY="-0.01882" REYEZ="0.66385" RPUPILD="0.00300" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.81942" FPOGY="0.27673" FPOGS="2691.48877" FPOGD="0.05371" FPOGID="3595" FPOGV="1" LPOGX="0.95208" LPOGY="0.39658" LPOGV="1" RPOGX="0.69969" RPOGY="0.18682" RPOGV="1" BPOGX="0.82589" BPOGY="0.29170" BPOGV="1" LPCX="0.21769" LPCY="0.54954" LPD="17.69379" LPS="1.03179" LPV="1" RPCX="0.51416" RPCY="0.58507" RPD="16.90007" RPS="1.03988" RPV="1" LEYEX="-0.07515" LEYEY="-0.01177" LEYEZ="0.68551" LPUPILD="0.00322" LPUPILV="1" REYEX="0.00291" REYEY="-0.01900" REYEZ="0.66838" RPUPILD="0.00299" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.82087" FPOGY="0.27636" FPOGS="2691.48877" FPOGD="0.06128" FPOGID="3595" FPOGV="1" LPOGX="0.96556" LPOGY="0.34160" LPOGV="1" RPOGX="0.70246" RPOGY="0.20440" RPOGV="1" BPOGX="0.83401" BPOGY="0.27300" BPOGV="1" LPCX="0.21780" LPCY="0.54950" LPD="17.74020" LPS="1.04778" LPV="1" RPCX="0.51419" RPCY="0.58530" RPD="16.97828" RPS="1.05587" RPV="1" LEYEX="-0.07515" LEYEY="-0.01177" LEYEZ="0.68551" LPUPILD="0.00319" LPUPILV="1" REYEX="0.00291" REYEY="-0.01900" REYEZ="0.66838" RPUPILD="0.00304" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.82165" FPOGY="0.27434" FPOGS="2691.48877" FPOGD="0.06714" FPOGID="3595" FPOGV="1" LPOGX="0.93986" LPOGY="0.31729" LPOGV="1" RPOGX="0.71899" RPOGY="0.19110" RPOGV="1" BPOGX="0.82943" BPOGY="0.25419" BPOGV="1" LPCX="0.21782" LPCY="0.54948" LPD="17.77160" LPS="1.06378" LPV="1" RPCX="0.51434" RPCY="0.58531" RPD="16.87754" RPS="1.07186" RPV="1" LEYEX="-0.07515" LEYEY="-0.01177" LEYEZ="0.68551" LPUPILD="0.00316" LPUPILV="1" REYEX="0.00291" REYEY="-0.01900" REYEZ="0.66838" RPUPILD="0.00308" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.82253" FPOGY="0.27189" FPOGS="2691.48877" FPOGD="0.07397" FPOGID="3595" FPOGV="1" LPOGX="0.94354" LPOGY="0.30513" LPOGV="1" RPOGX="0.72095" RPOGY="0.18464" RPOGV="1" BPOGX="0.83225" BPOGY="0.24488" BPOGV="1" LPCX="0.21781" LPCY="0.54946" LPD="17.64408" LPS="1.07977" LPV="1" RPCX="0.51437" RPCY="0.58536" RPD="16.87970" RPS="1.07977" RPV="1" LEYEX="-0.07515" LEYEY="-0.01177" LEYEZ="0.68551" LPUPILD="0.00316" LPUPILV="1" REYEX="0.00295" REYEY="-0.01894" REYEZ="0.66645" RPUPILD="0.00311" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
