2025-06-04 15:34:23.057131
01637" REYEZ="0.64579" RPUPILD="0.00264" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.28854" FPOGY="-0.37471" FPOGS="5284.17627" FPOGD="0.06641" FPOGID="11870" FPOGV="1" LPOGX="0.38587" LPOGY="-0.34228" LPOGV="1" RPOGX="0.17306" RPOGY="-0.35666" RPOGV="1" BPOGX="0.27947" BPOGY="-0.34947" BPOGV="1" LPCX="0.23488" LPCY="0.36448" LPD="14.93318" LPS="0.93529" LPV="1" RPCX="0.53925" RPCY="0.40452" RPD="14.35128" RPS="0.92886" RPV="1" LEYEX="-0.06208" LEYEY="0.02324" LEYEZ="0.61836" LPUPILD="0.00279" LPUPILV="1" REYEX="0.01046" REYEY="0.01637" REYEZ="0.64579" RPUPILD="0.00264" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.59706" FPOGY="-0.43523" FPOGS="5285.01953" FPOGD="0.14111" FPOGID="11874" FPOGV="1" LPOGX="0.72554" LPOGY="-0.38675" LPOGV="1" RPOGX="0.46853" RPOGY="-0.50842" RPOGV="1" BPOGX="0.59703" BPOGY="-0.44758" BPOGV="1" LPCX="0.24094" LPCY="0.36501" LPD="15.28945" LPS="0.94906" LPV="1" RPCX="0.54561" RPCY="0.40379" RPD="15.21802" RPS="0.95625" RPV="1" LEYEX="-0.06231" LEYEY="0.02345" LEYEZ="0.62536" LPUPILD="0.00280" LPUPILV="1" REYEX="0.01133" REYEY="0.01668" REYEZ="0.65419" RPUPILD="0.00269" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.59801" FPOGY="-0.43635" FPOGS="5285.01953" FPOGD="0.14795" FPOGID="11874" FPOGV="1" LPOGX="0.73408" LPOGY="-0.40280" LPOGV="1" RPOGX="0.50349" RPOGY="-0.51923" RPOGV="1" BPOGX="0.61879" BPOGY="-0.46102" BPOGV="1" LPCX="0.24092" LPCY="0.36497" LPD="15.25112" LPS="0.95625" LPV="1" RPCX="0.54560" RPCY="0.40377" RPD="15.26221" RPS="0.96344" RPV="1" LEYEX="-0.06231" LEYEY="0.02345" LEYEZ="0.62536" LPUPILD="0.00279" LPUPILV="1" REYEX="0.01133" REYEY="0.01668" REYEZ="0.65419" RPUPILD="0.00265" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.59889" FPOGY="-0.43804" FPOGS="5285.01953" FPOGD="0.15430" FPOGID="11874" FPOGV="1" LPOGX="0.73474" LPOGY="-0.42395" LPOGV="1" RPOGX="0.50389" RPOGY="-0.52969" RPOGV="1" BPOGX="0.61931" BPOGY="-0.47682" BPOGV="1" LPCX="0.24092" LPCY="0.36497" LPD="15.25112" LPS="0.96972" LPV="1" RPCX="0.54551" RPCY="0.40381" RPD="14.84999" RPS="0.96972" RPV="1" LEYEX="-0.06353" LEYEY="0.02389" LEYEZ="0.63711" LPUPILD="0.00279" LPUPILV="1" REYEX="0.01083" REYEY="0.01602" REYEZ="0.62820" RPUPILD="0.00268" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.59925" FPOGY="-0.44023" FPOGS="5285.01953" FPOGD="0.16113" FPOGID="11874" FPOGV="1" LPOGX="0.72159" LPOGY="-0.43414" LPOGV="1" RPOGX="0.49404" RPOGY="-0.55149" RPOGV="1" BPOGX="0.60782" BPOGY="-0.49281" BPOGV="1" LPCX="0.24099" LPCY="0.36507" LPD="15.37691" LPS="0.97601" LPV="1" RPCX="0.54542" RPCY="0.40373" RPD="15.19914" RPS="0.96882" RPV="1" LEYEX="-0.06353" LEYEY="0.02389" LEYEZ="0.63711" LPUPILD="0.00283" LPUPILV="1" REYEX="0.01083" REYEY="0.01602" REYEZ="0.62820" RPUPILD="0.00264" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.59935" FPOGY="-0.44164" FPOGS="5285.01953" FPOGD="0.16846" FPOGID="11874" FPOGV="1" LPOGX="0.71589" LPOGY="-0.42510" LPOGV="1" RPOGX="0.48758" RPOGY="-0.52897" RPOGV="1" BPOGX="0.60173" BPOGY="-0.47703" BPOGV="1" LPCX="0.24084" LPCY="0.36492" LPD="15.13971" LPS="0.97511" LPV="1" RPCX="0.54542" RPCY="0.40379" RPD="14.83786" RPS="0.96792" RPV="1" LEYEX="-0.06353" LEYEY="0.02389" LEYEZ="0.63711" LPUPILD="0.00278" LPUPILV="1" REYEX="0.01083" REYEY="0.01602" REYEZ="0.62820" RPUPILD="0.00264" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.59944" FPOGY="-0.44332" FPOGS="5285.01953" FPOGD="0.17432" FPOGID="11874" FPOGV="1" LPOGX="0.71608" LPOGY="-0.43462" LPOGV="1" RPOGX="0.48787" RPOGY="-0.53918" RPOGV="1" BPOGX="0.60198" BPOGY="-0.48690" BPOGV="1" LPCX="0.24078" LPCY="0.36494" LPD="15.03249" LPS="0.98123" LPV="1" RPCX="0.54536" RPCY="0.40381" RPD="14.77543" RPS="0.97404" RPV="1" LEYEX="-0.06545" LEYEY="0.02459" LEYEZ="0.65581" LPUPILD="0.00279" LPUPILV="1" REYEX="0.01076" REYEY="0.01605" REYEZ="0.62960" RPUPILD="0.00268" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.59952" FPOGY="-0.44561" FPOGS="5285.01953" FPOGD="0.18066" FPOGID="11874" FPOGV="1" LPOGX="0.72039" LPOGY="-0.44732" LPOGV="1" RPOGX="0.48250" RPOGY="-0.56733" RPOGV="1" BPOGX="0.60144" BPOGY="-0.50733" BPOGV="1" LPCX="0.24079" LPCY="0.36505" LPD="15.29539" LPS="0.98107" LPV="1" RPCX="0.54533" RPCY="0.40368" RPD="14.96587" RPS="0.98107" RPV="1" LEYEX="-0.06545" LEYEY="0.02459" LEYEZ="0.65581" LPUPILD="0.00277" LPUPILV="1" REYEX="0.01076" REYEY="0.01605" REYEZ="0.62960" RPUPILD="0.00269" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.59969" FPOGY="-0.44791" FPOGS="5285.01953" FPOGD="0.18799" FPOGID="11874" FPOGV="1" LPOGX="0.71766" LPOGY="-0.44925" LPOGV="1" RPOGX="0.49174" RPOGY="-0.57546" RPOGV="1" BPOGX="0.60470" BPOGY="-0.51235" BPOGV="1" LPCX="0.24073" LPCY="0.36490" LPD="15.01472" LPS="0.98809" LPV="1" RPCX="0.54528" RPCY="0.40375" RPD="14.80336" RPS="0.98809" RPV="1" LEYEX="-0.06545" LEYEY="0.02459" LEYEZ="0.65581" LPUPILD="0.00279" LPUPILV="1" REYEX="0.01076" REYEY="0.01605" REYEZ="0.62960" RPUPILD="0.00271" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
