2025-05-27 11:44:11.902387
3" REYEZ="0.71624" RPUPILD="0.00525" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.25075" FPOGY="0.49213" FPOGS="5570.93896" FPOGD="0.12744" FPOGID="15818" FPOGV="1" LPOGX="0.34435" LPOGY="0.48350" LPOGV="1" RPOGX="0.16982" RPOGY="0.45478" RPOGV="1" BPOGX="0.25709" BPOGY="0.46914" BPOGV="1" LPCX="0.25431" LPCY="0.76683" LPD="23.21105" LPS="1.12894" LPV="1" RPCX="0.51461" RPCY="0.76626" RPD="27.00596" RPS="1.13811" RPV="1" LEYEX="-0.06505" LEYEY="-0.05849" LEYEZ="0.70130" LPUPILD="0.00502" LPUPILV="1" REYEX="0.00489" REYEY="-0.05973" REYEZ="0.71624" RPUPILD="0.00524" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.25079" FPOGY="0.49046" FPOGS="5570.93896" FPOGD="0.13428" FPOGID="15818" FPOGV="1" LPOGX="0.33943" LPOGY="0.47518" LPOGV="1" RPOGX="0.16366" RPOGY="0.43892" RPOGV="1" BPOGX="0.25154" BPOGY="0.45705" BPOGV="1" LPCX="0.25433" LPCY="0.76669" LPD="22.97325" LPS="1.14602" LPV="1" RPCX="0.51467" RPCY="0.76622" RPD="26.92181" RPS="1.16566" RPV="1" LEYEX="-0.06253" LEYEY="-0.05627" LEYEZ="0.67470" LPUPILD="0.00499" LPUPILV="1" REYEX="0.00500" REYEY="-0.06034" REYEZ="0.72413" RPUPILD="0.00523" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54492" FPOGY="0.41956" FPOGS="5571.71045" FPOGD="0.27344" FPOGID="15821" FPOGV="1" LPOGX="0.64490" LPOGY="0.42724" LPOGV="1" RPOGX="0.45452" RPOGY="0.34474" RPOGV="1" BPOGX="0.54971" BPOGY="0.38599" BPOGV="1" LPCX="0.26330" LPCY="0.76569" LPD="23.24689" LPS="1.12748" LPV="1" RPCX="0.52307" RPCY="0.76615" RPD="24.00807" RPS="1.12748" RPV="1" LEYEX="-0.06435" LEYEY="-0.05883" LEYEZ="0.70862" LPUPILD="0.00457" LPUPILV="1" REYEX="0.00601" REYEY="-0.05665" REYEZ="0.67929" RPUPILD="0.00464" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.54519" FPOGY="0.41885" FPOGS="5571.71045" FPOGD="0.28027" FPOGID="15821" FPOGV="1" LPOGX="0.65201" LPOGY="0.42904" LPOGV="1" RPOGX="0.46058" RPOGY="0.34823" RPOGV="1" BPOGX="0.55629" BPOGY="0.38864" BPOGV="1" LPCX="0.26336" LPCY="0.76565" LPD="23.18925" LPS="1.12748" LPV="1" RPCX="0.52307" RPCY="0.76608" RPD="23.52227" RPS="1.12748" RPV="1" LEYEX="-0.06435" LEYEY="-0.05883" LEYEZ="0.70862" LPUPILD="0.00455" LPUPILV="1" REYEX="0.00601" REYEY="-0.05665" REYEZ="0.67929" RPUPILD="0.00471" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.54544" FPOGY="0.41834" FPOGS="5571.71045" FPOGD="0.28711" FPOGID="15821" FPOGV="1" LPOGX="0.65224" LPOGY="0.43415" LPOGV="1" RPOGX="0.46023" RPOGY="0.35947" RPOGV="1" BPOGX="0.55624" BPOGY="0.39681" BPOGV="1" LPCX="0.26336" LPCY="0.76561" LPD="23.19559" LPS="1.11852" LPV="1" RPCX="0.52315" RPCY="0.76612" RPD="23.40970" RPS="1.11043" RPV="1" LEYEX="-0.06172" LEYEY="-0.05648" LEYEZ="0.68024" LPUPILD="0.00456" LPUPILV="1" REYEX="0.00588" REYEY="-0.05484" REYEZ="0.65868" RPUPILD="0.00467" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.54499" FPOGY="0.41781" FPOGS="5571.71045" FPOGD="0.29395" FPOGID="15821" FPOGV="1" LPOGX="0.61444" LPOGY="0.42582" LPOGV="1" RPOGX="0.43653" RPOGY="0.36278" RPOGV="1" BPOGX="0.52548" BPOGY="0.39430" BPOGV="1" LPCX="0.26340" LPCY="0.76549" LPD="23.07523" LPS="1.10147" LPV="1" RPCX="0.52335" RPCY="0.76610" RPD="23.98279" RPS="1.09338" RPV="1" LEYEX="-0.06172" LEYEY="-0.05648" LEYEZ="0.68024" LPUPILD="0.00455" LPUPILV="1" REYEX="0.00588" REYEY="-0.05484" REYEZ="0.65868" RPUPILD="0.00465" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.54484" FPOGY="0.41753" FPOGS="5571.71045" FPOGD="0.30029" FPOGID="15821" FPOGV="1" LPOGX="0.63632" LPOGY="0.44429" LPOGV="1" RPOGX="0.43931" RPOGY="0.36548" RPOGV="1" BPOGX="0.53782" BPOGY="0.40488" BPOGV="1" LPCX="0.26343" LPCY="0.76551" LPD="23.07996" LPS="1.08442" LPV="1" RPCX="0.52336" RPCY="0.76604" RPD="23.90643" RPS="1.07634" RPV="1" LEYEX="-0.06172" LEYEY="-0.05648" LEYEZ="0.68024" LPUPILD="0.00456" LPUPILV="1" REYEX="0.00588" REYEY="-0.05484" REYEZ="0.65868" RPUPILD="0.00464" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.54470" FPOGY="0.41736" FPOGS="5571.71045" FPOGD="0.30713" FPOGID="15821" FPOGV="1" LPOGX="0.63701" LPOGY="0.45413" LPOGV="1" RPOGX="0.43931" RPOGY="0.36534" RPOGV="1" BPOGX="0.53816" BPOGY="0.40973" BPOGV="1" LPCX="0.26355" LPCY="0.76547" LPD="23.02455" LPS="1.06738" LPV="1" RPCX="0.52340" RPCY="0.76613" RPD="23.83932" RPS="1.07655" RPV="1" LEYEX="-0.06068" LEYEY="-0.05562" LEYEZ="0.66997" LPUPILD="0.00459" LPUPILV="1" REYEX="0.00634" REYEY="-0.05819" REYEZ="0.69894" RPUPILD="0.00467" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.54423" FPOGY="0.41684" FPOGS="5571.71045" FPOGD="0.31396" FPOGID="15821" FPOGV="1" LPOGX="0.63317" LPOGY="0.43560" LPOGV="1" RPOGX="0.41139" RPOGY="0.34868" RPOGV="1" BPOGX="0.52228" BPOGY="0.39214" BPOGV="1" LPCX="0.26361" LPCY="0.76545" LPD="23.29008" LPS="1.07655" LPV="1" RPCX="0.52342" RPCY="0.76606" RPD="24.03337" RPS="1.09380" RPV="1" LEYEX="-0.06068" LEYEY="-0.05562" LEYEZ="0.66997" LPUPILD="0.00456" LPUPILV="1" REYEX="0.00634" REYEY="-0.05819" REYEZ="0.69894" RPUPILD="0.00465" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
