2025-05-29 12:58:46.974189
"0.64200" RPUPILD="0.00517" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.61379" FPOGY="0.02864" FPOGS="263.79877" FPOGD="0.12057" FPOGID="821" FPOGV="0" LPOGX="0.69997" LPOGY="0.06148" LPOGV="1" RPOGX="0.53681" RPOGY="0.00586" RPOGV="1" BPOGX="0.61839" BPOGY="0.03367" BPOGV="1" LPCX="0.29399" LPCY="0.49286" LPD="26.70336" LPS="0.99483" LPV="1" RPCX="0.56829" RPCY="0.48647" RPD="25.63252" RPS="1.00202" RPV="1" LEYEX="-0.05235" LEYEY="-0.00030" LEYEZ="0.66177" LPUPILD="0.00533" LPUPILV="1" REYEX="0.01692" REYEY="0.00103" REYEZ="0.65412" RPUPILD="0.00517" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.53532" FPOGY="0.18850" FPOGS="264.84412" FPOGD="0.02008" FPOGID="826" FPOGV="1" LPOGX="0.59844" LPOGY="0.16706" LPOGV="1" RPOGX="0.44354" RPOGY="0.25245" RPOGV="1" BPOGX="0.52099" BPOGY="0.20976" BPOGV="1" LPCX="0.28577" LPCY="0.49332" LPD="29.30795" LPS="1.00235" LPV="1" RPCX="0.56012" RPCY="0.48448" RPD="27.58851" RPS="0.99516" RPV="1" LEYEX="-0.05191" LEYEY="0.00005" LEYEZ="0.63284" LPUPILD="0.00569" LPUPILV="1" REYEX="0.01466" REYEY="0.00182" REYEZ="0.63892" RPUPILD="0.00550" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.53391" FPOGY="0.19334" FPOGS="264.84412" FPOGD="0.02679" FPOGID="826" FPOGV="1" LPOGX="0.60273" LPOGY="0.17178" LPOGV="1" RPOGX="0.45383" RPOGY="0.25363" RPOGV="1" BPOGX="0.52828" BPOGY="0.21271" BPOGV="1" LPCX="0.28580" LPCY="0.49420" LPD="29.17205" LPS="0.98813" LPV="1" RPCX="0.56026" RPCY="0.48527" RPD="27.70365" RPS="0.98094" RPV="1" LEYEX="-0.05191" LEYEY="0.00005" LEYEZ="0.63284" LPUPILD="0.00570" LPUPILV="1" REYEX="0.01466" REYEY="0.00182" REYEZ="0.63892" RPUPILD="0.00549" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.53302" FPOGY="0.19711" FPOGS="264.84412" FPOGD="0.03351" FPOGID="826" FPOGV="1" LPOGX="0.60327" LPOGY="0.17825" LPOGV="1" RPOGX="0.45383" RPOGY="0.25363" RPOGV="1" BPOGX="0.52855" BPOGY="0.21594" BPOGV="1" LPCX="0.28579" LPCY="0.49434" LPD="29.20511" LPS="0.98094" LPV="1" RPCX="0.56020" RPCY="0.48549" RPD="27.64241" RPS="0.98094" RPV="1" LEYEX="-0.05381" LEYEY="-0.00044" LEYEZ="0.65654" LPUPILD="0.00569" LPUPILV="1" REYEX="0.01509" REYEY="0.00138" REYEZ="0.65570" RPUPILD="0.00548" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.53363" FPOGY="0.20279" FPOGS="264.84412" FPOGD="0.04016" FPOGID="826" FPOGV="1" LPOGX="0.60499" LPOGY="0.26882" LPOGV="1" RPOGX="0.46954" RPOGY="0.20500" RPOGV="1" BPOGX="0.53727" BPOGY="0.23691" BPOGV="1" LPCX="0.28582" LPCY="0.49610" LPD="29.17363" LPS="0.98797" LPV="1" RPCX="0.56039" RPCY="0.48699" RPD="27.83530" RPS="0.99516" RPV="1" LEYEX="-0.05381" LEYEY="-0.00044" LEYEZ="0.65654" LPUPILD="0.00572" LPUPILV="1" REYEX="0.01509" REYEY="0.00138" REYEZ="0.65570" RPUPILD="0.00550" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.53398" FPOGY="0.20215" FPOGS="264.84412" FPOGD="0.04688" FPOGID="826" FPOGV="1" LPOGX="0.60014" LPOGY="0.23321" LPOGV="1" RPOGX="0.47271" RPOGY="0.16207" RPOGV="1" BPOGX="0.53643" BPOGY="0.19764" BPOGV="1" LPCX="0.28582" LPCY="0.49675" LPD="29.24836" LPS="1.00218" LPV="1" RPCX="0.56041" RPCY="0.48764" RPD="27.60996" RPS="1.00937" RPV="1" LEYEX="-0.05381" LEYEY="-0.00044" LEYEZ="0.65654" LPUPILD="0.00572" LPUPILV="1" REYEX="0.01509" REYEY="0.00138" REYEZ="0.65570" RPUPILD="0.00549" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.53419" FPOGY="0.19950" FPOGS="264.84412" FPOGD="0.05356" FPOGID="826" FPOGV="1" LPOGX="0.59844" LPOGY="0.21495" LPOGV="1" RPOGX="0.47345" RPOGY="0.14174" RPOGV="1" BPOGX="0.53595" BPOGY="0.17834" BPOGV="1" LPCX="0.28578" LPCY="0.49702" LPD="29.20063" LPS="1.02430" LPV="1" RPCX="0.56046" RPCY="0.48789" RPD="27.86866" RPS="1.03149" RPV="1" LEYEX="-0.05610" LEYEY="-0.00103" LEYEZ="0.68394" LPUPILD="0.00571" LPUPILV="1" REYEX="0.01520" REYEY="0.00089" REYEZ="0.65592" RPUPILD="0.00547" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.53448" FPOGY="0.19412" FPOGS="264.84412" FPOGD="0.06024" FPOGID="826" FPOGV="1" LPOGX="0.59170" LPOGY="0.12226" LPOGV="1" RPOGX="0.48241" RPOGY="0.16916" RPOGV="1" BPOGX="0.53705" BPOGY="0.14571" BPOGV="1" LPCX="0.28575" LPCY="0.49818" LPD="29.21144" LPS="1.03940" LPV="1" RPCX="0.56057" RPCY="0.48898" RPD="27.83893" RPS="1.03940" RPV="1" LEYEX="-0.05610" LEYEY="-0.00103" LEYEZ="0.68394" LPUPILD="0.00569" LPUPILV="1" REYEX="0.01520" REYEY="0.00089" REYEZ="0.65592" RPUPILD="0.00550" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.53455" FPOGY="0.19252" FPOGS="264.84412" FPOGD="0.06683" FPOGID="826" FPOGV="1" LPOGX="0.58597" LPOGY="0.18764" LPOGV="1" RPOGX="0.48456" RPOGY="0.16527" RPOGV="1" BPOGX="0.53526" BPOGY="0.17646" BPOGV="1" LPCX="0.28569" LPCY="0.49865" LPD="29.24159" LPS="1.04730" LPV="1" RPCX="0.56052" RPCY="0.48950" RPD="27.66852" RPS="1.04730" RPV="1" LEYEX="-0.05610" LEYEY="-0.00103" LEYEZ="0.68394" LPUPILD="0.00570" LPUPILV="1" REYEX="0.01520" REYEY="0.00089" REYEZ="0.65592" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
