2025-05-27 11:35:40.844947
EYEZ="0.49009" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.69926" FPOGY="0.36268" FPOGS="5059.73682" FPOGD="0.27441" FPOGID="14638" FPOGV="1" LPOGX="0.68026" LPOGY="0.42129" LPOGV="1" RPOGX="0.68293" RPOGY="0.30235" RPOGV="1" BPOGX="0.68160" BPOGY="0.36182" BPOGV="1" LPCX="0.34270" LPCY="0.48285" LPD="26.21053" LPS="0.57473" LPV="1" RPCX="0.65679" RPCY="0.45433" RPD="29.05136" RPS="0.57473" RPV="1" LEYEX="-0.02950" LEYEY="0.00102" LEYEZ="0.48767" LPUPILD="0.00447" LPUPILV="1" REYEX="0.02858" REYEY="0.00529" REYEZ="0.49009" RPUPILD="0.00483" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.83731" FPOGY="0.37134" FPOGS="5060.54004" FPOGD="0.38867" FPOGID="14640" FPOGV="1" LPOGX="0.91159" LPOGY="0.42172" LPOGV="1" RPOGX="0.91564" RPOGY="0.31222" RPOGV="1" BPOGX="0.91362" BPOGY="0.36697" BPOGV="1" LPCX="0.39502" LPCY="0.47285" LPD="24.86105" LPS="0.57925" LPV="1" RPCX="0.70613" RPCY="0.46679" RPD="27.68970" RPS="0.57688" RPV="1" LEYEX="-0.02124" LEYEY="0.00260" LEYEZ="0.50235" LPUPILD="0.00451" LPUPILV="1" REYEX="0.03658" REYEY="0.00345" REYEZ="0.48363" RPUPILD="0.00507" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.83859" FPOGY="0.37176" FPOGS="5060.54004" FPOGD="0.39551" FPOGID="14640" FPOGV="1" LPOGX="0.90981" LPOGY="0.42731" LPOGV="1" RPOGX="0.90858" RPOGY="0.32381" RPOGV="1" BPOGX="0.90919" BPOGY="0.37556" BPOGV="1" LPCX="0.39604" LPCY="0.47300" LPD="24.53207" LPS="0.57457" LPV="1" RPCX="0.70687" RPCY="0.46691" RPD="27.68651" RPS="0.56790" RPV="1" LEYEX="-0.01887" LEYEY="0.00230" LEYEZ="0.45195" LPUPILD="0.00459" LPUPILV="1" REYEX="0.03573" REYEY="0.00329" REYEZ="0.47157" RPUPILD="0.00501" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.84034" FPOGY="0.37190" FPOGS="5060.54004" FPOGD="0.40283" FPOGID="14640" FPOGV="1" LPOGX="0.93644" LPOGY="0.45892" LPOGV="1" RPOGX="0.93261" RPOGY="0.31396" RPOGV="1" BPOGX="0.93453" BPOGY="0.38644" BPOGV="1" LPCX="0.39666" LPCY="0.47316" LPD="24.86800" LPS="0.56559" LPV="1" RPCX="0.70743" RPCY="0.46715" RPD="27.85881" RPS="0.56129" RPV="1" LEYEX="-0.01887" LEYEY="0.00230" LEYEZ="0.45195" LPUPILD="0.00454" LPUPILV="1" REYEX="0.03573" REYEY="0.00329" REYEZ="0.47157" RPUPILD="0.00494" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.84207" FPOGY="0.37299" FPOGS="5060.54004" FPOGD="0.40918" FPOGID="14640" FPOGV="1" LPOGX="0.94036" LPOGY="0.48000" LPOGV="1" RPOGX="0.92608" RPOGY="0.33786" RPOGV="1" BPOGX="0.93322" BPOGY="0.40893" BPOGV="1" LPCX="0.39651" LPCY="0.47344" LPD="25.04843" LPS="0.55898" LPV="1" RPCX="0.70737" RPCY="0.46708" RPD="27.70647" RPS="0.55468" RPV="1" LEYEX="-0.01887" LEYEY="0.00230" LEYEZ="0.45195" LPUPILD="0.00450" LPUPILV="1" REYEX="0.03573" REYEY="0.00329" REYEZ="0.47157" RPUPILD="0.00501" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.87073" FPOGY="0.38245" FPOGS="5060.54004" FPOGD="0.40918" FPOGID="14640" FPOGV="0" LPOGX="0.93742" LPOGY="0.48751" LPOGV="1" RPOGX="0.92414" RPOGY="0.34086" RPOGV="1" BPOGX="0.93078" BPOGY="0.41418" BPOGV="1" LPCX="0.39642" LPCY="0.47366" LPD="25.33594" LPS="0.55237" LPV="1" RPCX="0.70712" RPCY="0.46729" RPD="27.69220" RPS="0.55237" RPV="1" LEYEX="-0.02026" LEYEY="0.00243" LEYEZ="0.48346" LPUPILD="0.00453" LPUPILV="1" REYEX="0.03693" REYEY="0.00330" REYEZ="0.48825" RPUPILD="0.00499" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.89116" FPOGY="0.39510" FPOGS="5060.54004" FPOGD="0.40918" FPOGID="14640" FPOGV="0" LPOGX="0.91852" LPOGY="0.48322" LPOGV="1" RPOGX="0.90466" RPOGY="0.33231" RPOGV="1" BPOGX="0.91159" BPOGY="0.40776" BPOGV="1" LPCX="0.39618" LPCY="0.47384" LPD="24.97585" LPS="0.55237" LPV="1" RPCX="0.70697" RPCY="0.46749" RPD="27.38065" RPS="0.55667" RPV="1" LEYEX="-0.02026" LEYEY="0.00243" LEYEZ="0.48346" LPUPILD="0.00451" LPUPILV="1" REYEX="0.03693" REYEY="0.00330" REYEZ="0.48825" RPUPILD="0.00516" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.90015" FPOGY="0.39548" FPOGS="5060.54004" FPOGD="0.40918" FPOGID="14640" FPOGV="0" LPOGX="0.91444" LPOGY="0.45281" LPOGV="1" RPOGX="0.92183" RPOGY="0.33966" RPOGV="1" BPOGX="0.91813" BPOGY="0.39623" BPOGV="1" LPCX="0.39621" LPCY="0.47376" LPD="24.69305" LPS="0.55667" LPV="1" RPCX="0.70683" RPCY="0.46783" RPD="27.71592" RPS="0.56097" RPV="1" LEYEX="-0.02026" LEYEY="0.00243" LEYEZ="0.48346" LPUPILD="0.00453" LPUPILV="1" REYEX="0.03693" REYEY="0.00330" REYEZ="0.48825" RPUPILD="0.00501" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.90486" FPOGY="0.39503" FPOGS="5060.95605" FPOGD="0.02051" FPOGID="14641" FPOGV="1" LPOGX="0.91616" LPOGY="0.44771" LPOGV="1" RPOGX="0.92183" RPOGY="0.33966" RPOGV="1" BPOGX="0.91899" BPOGY="0.39368" BPOGV="1" LPCX="0.39595" LPCY="0.47389" LPD="24.44197" LPS="0.56097" LPV="1" RPCX="0.70668" RPCY="0.46791" RPD="27.65017" RPS="0.56097" RPV="1" LEYEX="-0.02082" LEYEY="0.00238" LEYEZ="0.49513" LPUPILD="0.00451" LPUPILV="1" REYEX="0.03506" REYEY="0.00307" REYEZ="0.46454" RPUPILD="0.00499" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
