2025-05-28 14:38:55.177777
00082" LEYEZ="0.60916" LPUPILD="0.00462" LPUPILV="1" REYEX="0.02273" REYEY="-0.00868" REYEZ="0.63555" RPUPILD="0.00493" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="1.05061" FPOGY="0.40611" FPOGS="2394.73511" FPOGD="0.18823" FPOGID="4401" FPOGV="1" LPOGX="1.02574" LPOGY="0.42874" LPOGV="1" RPOGX="1.02358" RPOGY="0.36308" RPOGV="1" BPOGX="1.02466" BPOGY="0.39591" BPOGV="1" LPCX="0.36163" LPCY="0.49773" LPD="22.31566" LPS="0.88307" LPV="1" RPCX="0.60046" RPCY="0.53770" RPD="20.51978" RPS="0.88307" RPV="1" LEYEX="-0.03334" LEYEY="-0.00082" LEYEZ="0.60916" LPUPILD="0.00464" LPUPILV="1" REYEX="0.02273" REYEY="-0.00868" REYEZ="0.63555" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.13101" FPOGY="0.41267" FPOGS="2395.61353" FPOGD="0.21997" FPOGID="4405" FPOGV="1" LPOGX="1.14067" LPOGY="0.49928" LPOGV="1" RPOGX="1.16062" RPOGY="0.37072" RPOGV="1" BPOGX="1.15065" BPOGY="0.43500" BPOGV="1" LPCX="0.30984" LPCY="0.49580" LPD="22.78829" LPS="0.80523" LPV="1" RPCX="0.55248" RPCY="0.51139" RPD="20.28483" RPS="0.80047" RPV="1" LEYEX="-0.18183" LEYEY="-0.00130" LEYEZ="2.47628" LPUPILD="0.00494" LPUPILV="0" REYEX="0.02273" REYEY="-0.00868" REYEZ="0.63555" RPUPILD="0.00473" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="1.13125" FPOGY="0.41364" FPOGS="2395.61353" FPOGD="0.22681" FPOGID="4405" FPOGV="1" LPOGX="1.13807" LPOGY="0.50310" LPOGV="1" RPOGX="1.14055" RPOGY="0.39032" RPOGV="1" BPOGX="1.13931" BPOGY="0.44671" BPOGV="1" LPCX="0.30927" LPCY="0.49575" LPD="22.95495" LPS="0.80047" LPV="1" RPCX="0.55191" RPCY="0.51161" RPD="21.06261" RPS="0.77719" RPV="1" LEYEX="-0.04513" LEYEY="-0.00044" LEYEZ="0.59312" LPUPILD="0.00481" LPUPILV="1" REYEX="0.00786" REYEY="-0.00295" REYEZ="0.51677" RPUPILD="0.00472" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="1.13086" FPOGY="0.41545" FPOGS="2395.61353" FPOGD="0.23438" FPOGID="4405" FPOGV="1" LPOGX="1.10874" LPOGY="0.55220" LPOGV="1" RPOGX="1.12539" RPOGY="0.40521" RPOGV="1" BPOGX="1.11707" BPOGY="0.47871" BPOGV="1" LPCX="0.30777" LPCY="0.49612" LPD="22.92666" LPS="0.78184" LPV="1" RPCX="0.55083" RPCY="0.51127" RPD="20.97907" RPS="0.76333" RPV="1" LEYEX="-0.04513" LEYEY="-0.00044" LEYEZ="0.59312" LPUPILD="0.00486" LPUPILV="1" REYEX="0.00786" REYEY="-0.00295" REYEZ="0.51677" RPUPILD="0.00474" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="1.14539" FPOGY="0.43799" FPOGS="2395.61353" FPOGD="0.23438" FPOGID="4405" FPOGV="0" LPOGX="1.11694" LPOGY="0.57610" LPOGV="1" RPOGX="1.11154" RPOGY="0.40150" RPOGV="1" BPOGX="1.11424" BPOGY="0.48880" BPOGV="1" LPCX="0.30691" LPCY="0.49642" LPD="23.15944" LPS="0.76798" LPV="1" RPCX="0.55025" RPCY="0.51102" RPD="20.72790" RPS="0.74946" RPV="1" LEYEX="-0.04513" LEYEY="-0.00044" LEYEZ="0.59312" LPUPILD="0.00495" LPUPILV="1" REYEX="0.00786" REYEY="-0.00295" REYEZ="0.51677" RPUPILD="0.00467" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="1.12994" FPOGY="0.46388" FPOGS="2395.61353" FPOGD="0.23438" FPOGID="4405" FPOGV="0" LPOGX="1.10936" LPOGY="0.58616" LPOGV="1" RPOGX="1.11962" RPOGY="0.39338" RPOGV="1" BPOGX="1.11449" BPOGY="0.48977" BPOGV="1" LPCX="0.30629" LPCY="0.49625" LPD="23.07749" LPS="0.75411" LPV="1" RPCX="0.54959" RPCY="0.51090" RPD="21.02189" RPS="0.75888" RPV="1" LEYEX="-0.04543" LEYEY="-0.00057" LEYEZ="0.58886" LPUPILD="0.00486" LPUPILV="1" REYEX="0.00786" REYEY="-0.00295" REYEZ="0.51677" RPUPILD="0.00463" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="1.13115" FPOGY="0.46983" FPOGS="2395.61353" FPOGD="0.23438" FPOGID="4405" FPOGV="0" LPOGX="1.11413" LPOGY="0.58008" LPOGV="1" RPOGX="1.15304" RPOGY="0.38338" RPOGV="1" BPOGX="1.13358" BPOGY="0.48173" BPOGV="1" LPCX="0.30483" LPCY="0.49659" LPD="22.95451" LPS="0.75888" LPV="1" RPCX="0.54849" RPCY="0.51053" RPD="20.81987" RPS="0.78216" RPV="1" LEYEX="-0.04543" LEYEY="-0.00057" LEYEZ="0.58886" LPUPILD="0.00493" LPUPILV="1" REYEX="0.00786" REYEY="-0.00295" REYEZ="0.51677" RPUPILD="0.00465" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="1.13230" FPOGY="0.45941" FPOGS="2395.85400" FPOGD="0.02026" FPOGID="4406" FPOGV="1" LPOGX="1.11950" LPOGY="0.51748" LPOGV="1" RPOGX="1.15200" RPOGY="0.33885" RPOGV="1" BPOGX="1.13575" BPOGY="0.42816" BPOGV="1" LPCX="0.30417" LPCY="0.49676" LPD="22.90898" LPS="0.78216" LPV="1" RPCX="0.54805" RPCY="0.51037" RPD="20.79998" RPS="0.80544" RPV="1" LEYEX="-0.04543" LEYEY="-0.00057" LEYEZ="0.58886" LPUPILD="0.00492" LPUPILV="1" REYEX="0.00786" REYEY="-0.00295" REYEZ="0.51677" RPUPILD="0.00465" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="1.13620" FPOGY="0.44928" FPOGS="2395.85400" FPOGD="0.02734" FPOGID="4406" FPOGV="1" LPOGX="1.13201" LPOGY="0.49887" LPOGV="1" RPOGX="1.17160" RPOGY="0.31859" RPOGV="1" BPOGX="1.15181" BPOGY="0.40873" BPOGV="1" LPCX="0.30361" LPCY="0.49684" LPD="23.17132" LPS="0.80544" LPV="1" RPCX="0.54755" RPCY="0.51035" RPD="20.96625" RPS="0.82872" RPV="1" LEYEX="-0.04674" LEYEY="-0.00063" LEYEZ="0.59775" LPUPILD="0.00475" LPUPILV="1" REYEX="0.00786" REYEY="-0.00295" REYEZ="0.51677" RPUPILD="0.00474" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
