2025-05-29 12:34:07.111239
EY="-0.03485" LEYEZ="0.60427" LPUPILD="0.00489" LPUPILV="1" REYEX="0.01251" REYEY="-0.03303" REYEZ="0.56973" RPUPILD="0.00576" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="1.06113" FPOGY="0.36674" FPOGS="8996.73535" FPOGD="1.31250" FPOGID="24984" FPOGV="1" LPOGX="1.07159" LPOGY="0.35235" LPOGV="1" RPOGX="1.03552" RPOGY="0.28611" RPOGV="1" BPOGX="1.05355" BPOGY="0.31923" BPOGV="1" LPCX="0.30136" LPCY="0.68008" LPD="26.15973" LPS="0.82348" LPV="1" RPCX="0.56592" RPCY="0.68079" RPD="27.86201" RPS="0.82348" RPV="1" LEYEX="-0.04748" LEYEY="-0.03485" LEYEZ="0.60427" LPUPILD="0.00489" LPUPILV="1" REYEX="0.01251" REYEY="-0.03303" REYEZ="0.56973" RPUPILD="0.00571" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.46473" FPOGY="0.32756" FPOGS="8998.83789" FPOGD="0.12109" FPOGID="24987" FPOGV="1" LPOGX="0.49372" LPOGY="0.30687" LPOGV="1" RPOGX="0.42607" RPOGY="0.31107" RPOGV="1" BPOGX="0.45990" BPOGY="0.30897" BPOGV="1" LPCX="0.27696" LPCY="0.68213" LPD="24.93639" LPS="0.89219" LPV="1" RPCX="0.54237" RPCY="0.68104" RPD="29.60958" RPS="0.89798" RPV="1" LEYEX="-0.05178" LEYEY="-0.03559" LEYEZ="0.61222" LPUPILD="0.00519" LPUPILV="1" REYEX="0.01010" REYEY="-0.03584" REYEZ="0.62066" RPUPILD="0.00583" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.46416" FPOGY="0.32710" FPOGS="8998.83789" FPOGD="0.12793" FPOGID="24987" FPOGV="1" LPOGX="0.49067" LPOGY="0.31278" LPOGV="1" RPOGX="0.41596" RPOGY="0.32430" RPOGV="1" BPOGX="0.45332" BPOGY="0.31854" BPOGV="1" LPCX="0.27689" LPCY="0.68217" LPD="24.93857" LPS="0.89232" LPV="1" RPCX="0.54224" RPCY="0.68110" RPD="29.62878" RPS="0.89811" RPV="1" LEYEX="-0.05178" LEYEY="-0.03559" LEYEZ="0.61222" LPUPILD="0.00523" LPUPILV="1" REYEX="0.01010" REYEY="-0.03584" REYEZ="0.62066" RPUPILD="0.00586" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.46411" FPOGY="0.32676" FPOGS="8998.83789" FPOGD="0.13477" FPOGID="24987" FPOGV="1" LPOGX="0.51444" LPOGY="0.31894" LPOGV="1" RPOGX="0.41174" RPOGY="0.32083" RPOGV="1" BPOGX="0.46309" BPOGY="0.31989" BPOGV="1" LPCX="0.27687" LPCY="0.68219" LPD="25.00404" LPS="0.89245" LPV="1" RPCX="0.54217" RPCY="0.68119" RPD="29.53728" RPS="0.89824" RPV="1" LEYEX="-0.05178" LEYEY="-0.03559" LEYEZ="0.61222" LPUPILD="0.00523" LPUPILV="1" REYEX="0.01010" REYEY="-0.03584" REYEZ="0.62066" RPUPILD="0.00586" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.46406" FPOGY="0.32644" FPOGS="8998.83789" FPOGD="0.14160" FPOGID="24987" FPOGV="1" LPOGX="0.51441" LPOGY="0.31884" LPOGV="1" RPOGX="0.41174" RPOGY="0.32072" RPOGV="1" BPOGX="0.46307" BPOGY="0.31978" BPOGV="1" LPCX="0.27682" LPCY="0.68211" LPD="24.84274" LPS="0.89258" LPV="1" RPCX="0.54214" RPCY="0.68121" RPD="29.48109" RPS="0.89837" RPV="1" LEYEX="-0.05157" LEYEY="-0.03538" LEYEZ="0.60864" LPUPILD="0.00527" LPUPILV="1" REYEX="0.01010" REYEY="-0.03584" REYEZ="0.62066" RPUPILD="0.00587" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.46416" FPOGY="0.32722" FPOGS="8998.83789" FPOGD="0.14746" FPOGID="24987" FPOGV="1" LPOGX="0.49642" LPOGY="0.36485" LPOGV="1" RPOGX="0.43607" RPOGY="0.32395" RPOGV="1" BPOGX="0.46625" BPOGY="0.34440" BPOGV="1" LPCX="0.27677" LPCY="0.68215" LPD="25.01725" LPS="0.89837" LPV="1" RPCX="0.54204" RPCY="0.68116" RPD="29.62905" RPS="0.89837" RPV="1" LEYEX="-0.05157" LEYEY="-0.03538" LEYEZ="0.60864" LPUPILD="0.00528" LPUPILV="1" REYEX="0.01010" REYEY="-0.03584" REYEZ="0.62066" RPUPILD="0.00585" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.46405" FPOGY="0.32671" FPOGS="8998.83789" FPOGD="0.15430" FPOGID="24987" FPOGV="1" LPOGX="0.49300" LPOGY="0.30907" LPOGV="1" RPOGX="0.43028" RPOGY="0.32047" RPOGV="1" BPOGX="0.46164" BPOGY="0.31477" BPOGV="1" LPCX="0.27668" LPCY="0.68216" LPD="24.97948" LPS="0.89837" LPV="1" RPCX="0.54199" RPCY="0.68114" RPD="29.63801" RPS="0.89837" RPV="1" LEYEX="-0.05157" LEYEY="-0.03538" LEYEZ="0.60864" LPUPILD="0.00527" LPUPILV="1" REYEX="0.01010" REYEY="-0.03584" REYEZ="0.62066" RPUPILD="0.00584" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.46394" FPOGY="0.32614" FPOGS="8998.83789" FPOGD="0.16113" FPOGID="24987" FPOGV="1" LPOGX="0.49187" LPOGY="0.30445" LPOGV="1" RPOGX="0.43028" RPOGY="0.32058" RPOGV="1" BPOGX="0.46107" BPOGY="0.31251" BPOGV="1" LPCX="0.27669" LPCY="0.68216" LPD="24.99457" LPS="0.90403" LPV="1" RPCX="0.54198" RPCY="0.68114" RPD="29.62588" RPS="0.89824" RPV="1" LEYEX="-0.05226" LEYEY="-0.03582" LEYEZ="0.61630" LPUPILD="0.00527" LPUPILV="1" REYEX="0.00988" REYEY="-0.03520" REYEZ="0.61038" RPUPILD="0.00585" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.46405" FPOGY="0.32587" FPOGS="8998.83789" FPOGD="0.16797" FPOGID="24987" FPOGV="1" LPOGX="0.48754" LPOGY="0.31415" LPOGV="1" RPOGX="0.44615" RPOGY="0.32438" RPOGV="1" BPOGX="0.46685" BPOGY="0.31927" BPOGV="1" LPCX="0.27652" LPCY="0.68219" LPD="25.12265" LPS="0.90390" LPV="1" RPCX="0.54185" RPCY="0.68115" RPD="29.63139" RPS="0.89811" RPV="1" LEYEX="-0.05226" LEYEY="-0.03582" LEYEZ="0.61630" LPUPILD="0.00529" LPUPILV="1" REYEX="0.00988" REYEY="-0.03520" REYEZ="0.61038" RPUPILD="0.00587" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
