2025-05-29 11:50:29.477606
" REYEZ="0.64140" RPUPILD="0.00593" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<REC FPOGX="1.15120" FPOGY="0.17004" FPOGS="6380.42725" FPOGD="0.02051" FPOGID="16311" FPOGV="1" LPOGX="1.20776" LPOGY="0.18004" LPOGV="1" RPOGX="1.10245" RPOGY="0.16117" RPOGV="1" BPOGX="1.15511" BPOGY="0.17061" BPOGV="1" LPCX="0.31403" LPCY="0.59974" LPD="15.89748" LPS="1.02717" LPV="1" RPCX="0.53723" RPCY="0.58965" RPD="26.12389" RPS="1.02717" RPV="1" LEYEX="-0.04718" LEYEY="-0.02103" LEYEZ="0.64017" LPUPILD="0.00430" LPUPILV="1" REYEX="0.00726" REYEY="-0.01905" REYEZ="0.64140" RPUPILD="0.00594" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="6381.05664" FPOGD="0.16162" FPOGID="16314" FPOGV="0" LPOGX="1.14933" LPOGY="0.44346" LPOGV="0" RPOGX="1.07107" RPOGY="0.86655" RPOGV="0" BPOGX="1.07107" BPOGY="0.86655" BPOGV="0" LPCX="0.31564" LPCY="0.59861" LPD="11.57434" LPS="1.02718" LPV="0" RPCX="0.54157" RPCY="0.59666" RPD="8.23513" RPS="1.02718" RPV="0" LEYEX="-0.04775" LEYEY="-0.02100" LEYEZ="0.65716" LPUPILD="0.00384" LPUPILV="1" REYEX="0.00783" REYEY="-0.02024" REYEZ="0.67819" RPUPILD="0.00281" RPUPILV="1" BKID="1045" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="6381.05664" FPOGD="0.16162" FPOGID="16314" FPOGV="0" LPOGX="1.14933" LPOGY="0.44346" LPOGV="0" RPOGX="1.07107" RPOGY="0.86655" RPOGV="0" BPOGX="1.07107" BPOGY="0.86655" BPOGV="0" LPCX="0.31564" LPCY="0.59861" LPD="11.57434" LPS="1.02718" LPV="0" RPCX="0.54157" RPCY="0.59666" RPD="8.23513" RPS="1.02718" RPV="0" LEYEX="-0.04775" LEYEY="-0.02100" LEYEZ="0.65716" LPUPILD="0.00384" LPUPILV="1" REYEX="0.00783" REYEY="-0.02024" REYEZ="0.67819" RPUPILD="0.00281" RPUPILV="1" BKID="1045" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="6381.05664" FPOGD="0.16162" FPOGID="16314" FPOGV="0" LPOGX="1.14933" LPOGY="0.44346" LPOGV="0" RPOGX="1.07107" RPOGY="0.86655" RPOGV="0" BPOGX="1.07107" BPOGY="0.86655" BPOGV="0" LPCX="0.31564" LPCY="0.59861" LPD="11.57434" LPS="1.02718" LPV="0" RPCX="0.54157" RPCY="0.59666" RPD="8.23513" RPS="1.02718" RPV="0" LEYEX="-0.04775" LEYEY="-0.02100" LEYEZ="0.65716" LPUPILD="0.00384" LPUPILV="1" REYEX="0.00783" REYEY="-0.02024" REYEZ="0.67819" RPUPILD="0.00281" RPUPILV="1" BKID="1045" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="6381.05664" FPOGD="0.16162" FPOGID="16314" FPOGV="0" LPOGX="1.14933" LPOGY="0.44346" LPOGV="0" RPOGX="1.07107" RPOGY="0.86655" RPOGV="0" BPOGX="1.07107" BPOGY="0.86655" BPOGV="0" LPCX="0.31564" LPCY="0.59861" LPD="11.57434" LPS="1.02718" LPV="0" RPCX="0.54157" RPCY="0.59666" RPD="8.23513" RPS="1.02718" RPV="0" LEYEX="-0.04775" LEYEY="-0.02100" LEYEZ="0.65716" LPUPILD="0.00384" LPUPILV="1" REYEX="0.00783" REYEY="-0.02024" REYEZ="0.67819" RPUPILD="0.00281" RPUPILV="1" BKID="1045" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="6381.05664" FPOGD="0.16162" FPOGID="16314" FPOGV="0" LPOGX="1.14933" LPOGY="0.44346" LPOGV="0" RPOGX="1.07107" RPOGY="0.86655" RPOGV="0" BPOGX="1.07107" BPOGY="0.86655" BPOGV="0" LPCX="0.31564" LPCY="0.59861" LPD="11.57434" LPS="1.02718" LPV="0" RPCX="0.54157" RPCY="0.59666" RPD="8.23513" RPS="1.02718" RPV="0" LEYEX="-0.04775" LEYEY="-0.02100" LEYEZ="0.65716" LPUPILD="0.00384" LPUPILV="1" REYEX="0.00783" REYEY="-0.02024" REYEZ="0.67819" RPUPILD="0.00281" RPUPILV="1" BKID="1045" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="6381.05664" FPOGD="0.16162" FPOGID="16314" FPOGV="0" LPOGX="1.14933" LPOGY="0.44346" LPOGV="0" RPOGX="1.07107" RPOGY="0.86655" RPOGV="0" BPOGX="1.07107" BPOGY="0.86655" BPOGV="0" LPCX="0.31564" LPCY="0.59861" LPD="11.57434" LPS="1.02718" LPV="0" RPCX="0.54157" RPCY="0.59666" RPD="8.23513" RPS="1.02718" RPV="0" LEYEX="-0.04775" LEYEY="-0.02100" LEYEZ="0.65716" LPUPILD="0.00384" LPUPILV="1" REYEX="0.00783" REYEY="-0.02024" REYEZ="0.67819" RPUPILD="0.00281" RPUPILV="1" BKID="1045" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="6381.05664" FPOGD="0.16162" FPOGID="16314" FPOGV="0" LPOGX="1.14933" LPOGY="0.44346" LPOGV="0" RPOGX="1.07107" RPOGY="0.86655" RPOGV="0" BPOGX="1.07107" BPOGY="0.86655" BPOGV="0" LPCX="0.31564" LPCY="0.59861" LPD="11.57434" LPS="1.02718" LPV="0" RPCX="0.54157" RPCY="0.59666" RPD="8.23513" RPS="1.02718" RPV="0" LEYEX="-0.04775" LEYEY="-0.02100" LEYEZ="0.65716" LPUPILD="0.00384" LPUPILV="1" REYEX="0.00783" REYEY="-0.02024" REYEZ="0.67819" RPUPILD="0.00281" RPUPILV="1" BKID="1045" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="6381.05664" FPOGD="0.16162" FPOGID="16314" FPOGV="0" LPOGX="1.14933" LPOGY="0.44346" LPOGV="0" RPOGX="1.07107" RPOGY="0.86655" RPOGV="0" BPOGX="1.07107" BPOGY="0.86655" BPOGV="0" LPCX="0.31564" LPCY="0.59861" LPD="11.57434" LPS="1.02718" LPV="0" RPCX="0.54157" RPCY="0.59666" RPD="8.23513" RPS="1.02718" RPV="0" LEYEX="-0.04775" LEYEY="-0.02100" LEYEZ="0.65716" LPUPILD="0.00384" LPUPILV="1" REYEX="0.00783" REYEY="-0.02024" REYEZ="0.67819" RPUPILD="0.00281" RPUPILV="1" BKID="1045" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="6381.05664" FPOGD="0.16162" FPOGID="16314" FPOGV="0" LPOGX="1.14933" LPOGY="0.44346" LPOGV="0" RPOGX="1.07107" RPOGY="0.86655" RPOGV="0" BPOGX="1.07107" BPOGY="0.86655" BPOGV="0" LPCX="0.31564" LPCY="0.59861" LPD="11.57434" LPS="1.02718" LPV="0" RPCX="0.54157" RPCY="0.59666" RPD="8.23513" RPS="1.02718" RPV="0" LEYEX="-0.04775" LEYEY="-0.02100" LEYEZ="0.65716" LPUPILD="0.00384" LPUPILV="1" REYEX="0.00783" REYEY="-0.02024" REYEZ="0.67819" RPUPILD="0.00281" RPUPILV="1" BKID="1045" BKDUR="0.00000" BKPMIN="9" />
