2025-05-29 11:53:40.322978
84" REYEZ="0.65218" RPUPILD="0.00625" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.58065" FPOGY="0.02205" FPOGS="6571.25146" FPOGD="0.04053" FPOGID="17123" FPOGV="1" LPOGX="0.64444" LPOGY="0.00075" LPOGV="1" RPOGX="0.49324" RPOGY="-0.06620" RPOGV="1" BPOGX="0.56884" BPOGY="-0.03272" BPOGV="1" LPCX="0.33423" LPCY="0.60762" LPD="17.26778" LPS="1.08328" LPV="1" RPCX="0.55600" RPCY="0.59489" RPD="25.98609" RPS="1.09137" RPV="1" LEYEX="-0.04279" LEYEY="-0.02418" LEYEZ="0.67460" LPUPILD="0.00409" LPUPILV="1" REYEX="0.01466" REYEY="-0.02194" REYEZ="0.69333" RPUPILD="0.00623" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.16365" FPOGY="0.82982" FPOGS="6572.14990" FPOGD="0.04688" FPOGID="17128" FPOGV="1" LPOGX="0.67330" LPOGY="0.20099" LPOGV="0" RPOGX="0.38160" RPOGY="0.93046" RPOGV="0" BPOGX="0.38160" BPOGY="0.93046" BPOGV="0" LPCX="0.33329" LPCY="0.60674" LPD="14.59517" LPS="1.02740" LPV="0" RPCX="0.36962" RPCY="0.69224" RPD="7.36820" RPS="1.02740" RPV="0" LEYEX="-0.04182" LEYEY="-0.02290" LEYEZ="0.65393" LPUPILD="0.00428" LPUPILV="1" REYEX="0.01426" REYEY="-0.02145" REYEZ="0.68419" RPUPILD="0.00286" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.16365" FPOGY="0.82982" FPOGS="6572.14990" FPOGD="0.06494" FPOGID="17128" FPOGV="1" LPOGX="0.67330" LPOGY="0.20099" LPOGV="0" RPOGX="0.38160" RPOGY="0.93046" RPOGV="0" BPOGX="0.38160" BPOGY="0.93046" BPOGV="0" LPCX="0.33329" LPCY="0.60674" LPD="14.59517" LPS="1.02740" LPV="0" RPCX="0.36962" RPCY="0.69224" RPD="7.36820" RPS="1.02740" RPV="0" LEYEX="-0.04182" LEYEY="-0.02290" LEYEZ="0.65393" LPUPILD="0.00428" LPUPILV="1" REYEX="0.01426" REYEY="-0.02145" REYEZ="0.68419" RPUPILD="0.00286" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.17990" FPOGY="0.82659" FPOGS="6572.14990" FPOGD="0.06494" FPOGID="17128" FPOGV="0" LPOGX="0.67330" LPOGY="0.20099" LPOGV="0" RPOGX="0.38160" RPOGY="0.93046" RPOGV="0" BPOGX="0.38160" BPOGY="0.93046" BPOGV="0" LPCX="0.33329" LPCY="0.60674" LPD="14.59517" LPS="1.02740" LPV="0" RPCX="0.36962" RPCY="0.69224" RPD="7.36820" RPS="1.02740" RPV="0" LEYEX="-0.04182" LEYEY="-0.02290" LEYEZ="0.65393" LPUPILD="0.00428" LPUPILV="1" REYEX="0.01426" REYEY="-0.02145" REYEZ="0.68419" RPUPILD="0.00286" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.17990" FPOGY="0.82659" FPOGS="6572.14990" FPOGD="0.06494" FPOGID="17128" FPOGV="0" LPOGX="0.67330" LPOGY="0.20099" LPOGV="0" RPOGX="0.38160" RPOGY="0.93046" RPOGV="0" BPOGX="0.38160" BPOGY="0.93046" BPOGV="0" LPCX="0.33329" LPCY="0.60674" LPD="14.59517" LPS="1.02740" LPV="0" RPCX="0.36962" RPCY="0.69224" RPD="7.36820" RPS="1.02740" RPV="0" LEYEX="-0.04182" LEYEY="-0.02290" LEYEZ="0.65393" LPUPILD="0.00428" LPUPILV="1" REYEX="0.01426" REYEY="-0.02145" REYEZ="0.68419" RPUPILD="0.00286" RPUPILV="1" BKID="1074" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.17990" FPOGY="0.82659" FPOGS="6572.14990" FPOGD="0.06494" FPOGID="17128" FPOGV="0" LPOGX="0.67330" LPOGY="0.20099" LPOGV="0" RPOGX="0.38160" RPOGY="0.93046" RPOGV="0" BPOGX="0.38160" BPOGY="0.93046" BPOGV="0" LPCX="0.33329" LPCY="0.60674" LPD="14.59517" LPS="1.02740" LPV="0" RPCX="0.36962" RPCY="0.69224" RPD="7.36820" RPS="1.02740" RPV="0" LEYEX="-0.04182" LEYEY="-0.02290" LEYEZ="0.65393" LPUPILD="0.00428" LPUPILV="1" REYEX="0.01426" REYEY="-0.02145" REYEZ="0.68419" RPUPILD="0.00286" RPUPILV="1" BKID="1074" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="6572.14990" FPOGD="0.06494" FPOGID="17128" FPOGV="0" LPOGX="0.67330" LPOGY="0.20099" LPOGV="0" RPOGX="0.38160" RPOGY="0.93046" RPOGV="0" BPOGX="0.38160" BPOGY="0.93046" BPOGV="0" LPCX="0.33329" LPCY="0.60674" LPD="14.59517" LPS="1.02740" LPV="0" RPCX="0.36962" RPCY="0.69224" RPD="7.36820" RPS="1.02740" RPV="0" LEYEX="-0.04182" LEYEY="-0.02290" LEYEZ="0.65393" LPUPILD="0.00428" LPUPILV="1" REYEX="0.01426" REYEY="-0.02145" REYEZ="0.68419" RPUPILD="0.00286" RPUPILV="1" BKID="1074" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="6572.14990" FPOGD="0.06494" FPOGID="17128" FPOGV="0" LPOGX="0.67330" LPOGY="0.20099" LPOGV="0" RPOGX="0.38160" RPOGY="0.93046" RPOGV="0" BPOGX="0.38160" BPOGY="0.93046" BPOGV="0" LPCX="0.33329" LPCY="0.60674" LPD="14.59517" LPS="1.02740" LPV="0" RPCX="0.36962" RPCY="0.69224" RPD="7.36820" RPS="1.02740" RPV="0" LEYEX="-0.04182" LEYEY="-0.02290" LEYEZ="0.65393" LPUPILD="0.00428" LPUPILV="1" REYEX="0.01426" REYEY="-0.02145" REYEZ="0.68419" RPUPILD="0.00286" RPUPILV="1" BKID="1074" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="6572.14990" FPOGD="0.06494" FPOGID="17128" FPOGV="0" LPOGX="0.67330" LPOGY="0.20099" LPOGV="0" RPOGX="0.38160" RPOGY="0.93046" RPOGV="0" BPOGX="0.38160" BPOGY="0.93046" BPOGV="0" LPCX="0.33329" LPCY="0.60674" LPD="14.59517" LPS="1.02740" LPV="0" RPCX="0.36962" RPCY="0.69224" RPD="7.36820" RPS="1.02740" RPV="0" LEYEX="-0.04182" LEYEY="-0.02290" LEYEZ="0.65393" LPUPILD="0.00428" LPUPILV="1" REYEX="0.01426" REYEY="-0.02145" REYEZ="0.68419" RPUPILD="0.00286" RPUPILV="1" BKID="1074" BKDUR="0.00000" BKPMIN="8" />
