2025-05-27 10:40:56.444471
0" REYEZ="0.65708" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.31788" FPOGY="0.32776" FPOGS="1775.52209" FPOGD="0.08679" FPOGID="4581" FPOGV="1" LPOGX="0.24146" LPOGY="0.29206" LPOGV="1" RPOGX="0.32094" RPOGY="0.28974" RPOGV="1" BPOGX="0.28120" BPOGY="0.29090" BPOGV="1" LPCX="0.20225" LPCY="0.66797" LPD="24.85055" LPS="1.08020" LPV="1" RPCX="0.45846" RPCY="0.69808" RPD="24.19563" RPS="1.07211" RPV="1" LEYEX="-0.07583" LEYEY="-0.03595" LEYEZ="0.67420" LPUPILD="0.00517" LPUPILV="1" REYEX="-0.01020" REYEY="-0.04120" REYEZ="0.65708" RPUPILD="0.00484" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.30388" FPOGY="0.34822" FPOGS="1776.29919" FPOGD="0.21448" FPOGID="4584" FPOGV="1" LPOGX="0.27472" LPOGY="0.37464" LPOGV="1" RPOGX="0.34248" RPOGY="0.34243" RPOGV="1" BPOGX="0.30860" BPOGY="0.35853" BPOGV="1" LPCX="0.20317" LPCY="0.67379" LPD="25.40072" LPS="1.01713" LPV="1" RPCX="0.45975" RPCY="0.70415" RPD="24.70267" RPS="1.00994" RPV="1" LEYEX="-0.07345" LEYEY="-0.03607" LEYEZ="0.65526" LPUPILD="0.00538" LPUPILV="1" REYEX="-0.00969" REYEY="-0.04166" REYEZ="0.64589" RPUPILD="0.00497" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.30424" FPOGY="0.34912" FPOGS="1776.29919" FPOGD="0.22119" FPOGID="4584" FPOGV="1" LPOGX="0.28556" LPOGY="0.42135" LPOGV="1" RPOGX="0.34721" RPOGY="0.33649" RPOGV="1" BPOGX="0.31639" BPOGY="0.37892" BPOGV="1" LPCX="0.20324" LPCY="0.67359" LPD="25.52571" LPS="1.00994" LPV="1" RPCX="0.45982" RPCY="0.70392" RPD="24.71929" RPS="1.00275" RPV="1" LEYEX="-0.07345" LEYEY="-0.03607" LEYEZ="0.65526" LPUPILD="0.00536" LPUPILV="1" REYEX="-0.00969" REYEY="-0.04166" REYEZ="0.64589" RPUPILD="0.00490" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.30468" FPOGY="0.35017" FPOGS="1776.29919" FPOGD="0.22815" FPOGID="4584" FPOGV="1" LPOGX="0.29093" LPOGY="0.42980" LPOGV="1" RPOGX="0.34781" RPOGY="0.34183" RPOGV="1" BPOGX="0.31937" BPOGY="0.38582" BPOGV="1" LPCX="0.20325" LPCY="0.67347" LPD="25.49378" LPS="0.99572" LPV="1" RPCX="0.45983" RPCY="0.70380" RPD="24.55644" RPS="0.99572" RPV="1" LEYEX="-0.07198" LEYEY="-0.03528" LEYEZ="0.64260" LPUPILD="0.00533" LPUPILV="1" REYEX="-0.00988" REYEY="-0.04263" REYEZ="0.66248" RPUPILD="0.00493" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.30500" FPOGY="0.35076" FPOGS="1776.29919" FPOGD="0.23535" FPOGID="4584" FPOGV="1" LPOGX="0.29790" LPOGY="0.38084" LPOGV="1" RPOGX="0.33482" RPOGY="0.36204" RPOGV="1" BPOGX="0.31636" BPOGY="0.37144" BPOGV="1" LPCX="0.20338" LPCY="0.67316" LPD="25.36092" LPS="0.98870" LPV="1" RPCX="0.46006" RPCY="0.70354" RPD="24.47911" RPS="0.99589" RPV="1" LEYEX="-0.07198" LEYEY="-0.03528" LEYEZ="0.64260" LPUPILD="0.00534" LPUPILV="1" REYEX="-0.00988" REYEY="-0.04263" REYEZ="0.66248" RPUPILD="0.00494" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.30558" FPOGY="0.35206" FPOGS="1776.29919" FPOGD="0.24194" FPOGID="4584" FPOGV="1" LPOGX="0.31138" LPOGY="0.42479" LPOGV="1" RPOGX="0.34176" RPOGY="0.37289" RPOGV="1" BPOGX="0.32657" BPOGY="0.39884" BPOGV="1" LPCX="0.20348" LPCY="0.67309" LPD="25.41171" LPS="0.98886" LPV="1" RPCX="0.46002" RPCY="0.70333" RPD="24.73179" RPS="0.99605" RPV="1" LEYEX="-0.07198" LEYEY="-0.03528" LEYEZ="0.64260" LPUPILD="0.00534" LPUPILV="1" REYEX="-0.00988" REYEY="-0.04263" REYEZ="0.66248" RPUPILD="0.00490" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.30608" FPOGY="0.35309" FPOGS="1776.29919" FPOGD="0.24817" FPOGID="4584" FPOGV="1" LPOGX="0.30879" LPOGY="0.42043" LPOGV="1" RPOGX="0.34038" RPOGY="0.36174" RPOGV="1" BPOGX="0.32458" BPOGY="0.39109" BPOGV="1" LPCX="0.20333" LPCY="0.67300" LPD="25.37566" LPS="0.99605" LPV="1" RPCX="0.46016" RPCY="0.70315" RPD="24.59239" RPS="1.01133" RPV="1" LEYEX="-0.07452" LEYEY="-0.03645" LEYEZ="0.66569" LPUPILD="0.00537" LPUPILV="1" REYEX="-0.01014" REYEY="-0.04386" REYEZ="0.68316" RPUPILD="0.00492" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.30595" FPOGY="0.35335" FPOGS="1776.29919" FPOGD="0.25500" FPOGID="4584" FPOGV="1" LPOGX="0.26299" LPOGY="0.40339" LPOGV="1" RPOGX="0.33891" RPOGY="0.32352" RPOGV="1" BPOGX="0.30095" BPOGY="0.36345" BPOGV="1" LPCX="0.20374" LPCY="0.67254" LPD="25.51832" LPS="1.01835" LPV="1" RPCX="0.46049" RPCY="0.70287" RPD="24.70612" RPS="1.02644" RPV="1" LEYEX="-0.07452" LEYEY="-0.03645" LEYEZ="0.66569" LPUPILD="0.00536" LPUPILV="1" REYEX="-0.01014" REYEY="-0.04386" REYEZ="0.68316" RPUPILD="0.00489" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.30710" FPOGY="0.35346" FPOGS="1776.29919" FPOGD="0.26135" FPOGID="4584" FPOGV="1" LPOGX="0.32196" LPOGY="0.37634" LPOGV="1" RPOGX="0.38141" RPOGY="0.33896" RPOGV="1" BPOGX="0.35169" BPOGY="0.35765" BPOGV="1" LPCX="0.20442" LPCY="0.67234" LPD="25.54982" LPS="1.03347" LPV="1" RPCX="0.46107" RPCY="0.70277" RPD="24.71116" RPS="1.04156" RPV="1" LEYEX="-0.07452" LEYEY="-0.03645" LEYEZ="0.66569" LPUPILD="0.00530" LPUPILV="1" REYEX="-0.01014" REYEY="-0.04386" REYEZ="0.68316" RPUPILD="0.00493" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
