2025-05-28 16:58:34.627270
LEYEZ="0.57380" LPUPILD="0.00498" LPUPILV="1" REYEX="0.03935" REYEY="0.01726" REYEZ="0.57806" RPUPILD="0.00455" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.79437" FPOGY="0.38716" FPOGS="3259.73462" FPOGD="0.17383" FPOGID="6742" FPOGV="1" LPOGX="0.81336" LPOGY="0.41425" LPOGV="1" RPOGX="0.81956" RPOGY="0.38804" RPOGV="1" BPOGX="0.81646" BPOGY="0.40115" BPOGV="1" LPCX="0.38669" LPCY="0.37649" LPD="28.42101" LPS="0.74572" LPV="1" RPCX="0.69005" RPCY="0.39644" RPD="26.32750" RPS="0.74173" RPV="1" LEYEX="-0.02484" LEYEY="0.02000" LEYEZ="0.56246" LPUPILD="0.00489" LPUPILV="1" REYEX="0.03914" REYEY="0.01627" REYEZ="0.55183" RPUPILD="0.00452" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.79511" FPOGY="0.38779" FPOGS="3259.73462" FPOGD="0.18066" FPOGID="6742" FPOGV="1" LPOGX="0.81269" LPOGY="0.41791" LPOGV="1" RPOGX="0.81760" RPOGY="0.39168" RPOGV="1" BPOGX="0.81514" BPOGY="0.40480" BPOGV="1" LPCX="0.38672" LPCY="0.37631" LPD="28.08886" LPS="0.74173" LPV="1" RPCX="0.68988" RPCY="0.39647" RPD="26.33401" RPS="0.73775" RPV="1" LEYEX="-0.02520" LEYEY="0.02019" LEYEZ="0.56790" LPUPILD="0.00484" LPUPILV="1" REYEX="0.03885" REYEY="0.01622" REYEZ="0.55014" RPUPILD="0.00451" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.79516" FPOGY="0.38837" FPOGS="3259.73462" FPOGD="0.18726" FPOGID="6742" FPOGV="1" LPOGX="0.79339" LPOGY="0.42666" LPOGV="1" RPOGX="0.79991" RPOGY="0.38303" RPOGV="1" BPOGX="0.79665" BPOGY="0.40484" BPOGV="1" LPCX="0.38643" LPCY="0.37640" LPD="27.81163" LPS="0.73385" LPV="1" RPCX="0.68963" RPCY="0.39631" RPD="26.31869" RPS="0.73385" RPV="1" LEYEX="-0.02520" LEYEY="0.02019" LEYEZ="0.56790" LPUPILD="0.00487" LPUPILV="1" REYEX="0.03885" REYEY="0.01622" REYEZ="0.55014" RPUPILD="0.00453" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.79468" FPOGY="0.38918" FPOGS="3259.73462" FPOGD="0.19409" FPOGID="6742" FPOGV="1" LPOGX="0.77742" LPOGY="0.42932" LPOGV="1" RPOGX="0.78396" RPOGY="0.39562" RPOGV="1" BPOGX="0.78069" BPOGY="0.41247" BPOGV="1" LPCX="0.38641" LPCY="0.37635" LPD="27.76578" LPS="0.72996" LPV="1" RPCX="0.68960" RPCY="0.39633" RPD="26.39725" RPS="0.72996" RPV="1" LEYEX="-0.02520" LEYEY="0.02019" LEYEZ="0.56790" LPUPILD="0.00485" LPUPILV="1" REYEX="0.03885" REYEY="0.01622" REYEZ="0.55014" RPUPILD="0.00453" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.79422" FPOGY="0.38998" FPOGS="3259.73462" FPOGD="0.20093" FPOGID="6742" FPOGV="1" LPOGX="0.77693" LPOGY="0.43285" LPOGV="1" RPOGX="0.78400" RPOGY="0.39553" RPOGV="1" BPOGX="0.78046" BPOGY="0.41419" BPOGV="1" LPCX="0.38622" LPCY="0.37643" LPD="27.82245" LPS="0.72606" LPV="1" RPCX="0.68945" RPCY="0.39631" RPD="26.32851" RPS="0.73005" RPV="1" LEYEX="-0.02479" LEYEY="0.01979" LEYEZ="0.55677" LPUPILD="0.00488" LPUPILV="1" REYEX="0.03960" REYEY="0.01659" REYEZ="0.56140" RPUPILD="0.00451" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.79426" FPOGY="0.39053" FPOGS="3259.73462" FPOGD="0.20752" FPOGID="6742" FPOGV="1" LPOGX="0.78979" LPOGY="0.43949" LPOGV="1" RPOGX="0.80114" RPOGY="0.37562" RPOGV="1" BPOGX="0.79546" BPOGY="0.40755" BPOGV="1" LPCX="0.38612" LPCY="0.37658" LPD="27.87323" LPS="0.73005" LPV="1" RPCX="0.68928" RPCY="0.39629" RPD="26.36706" RPS="0.73404" RPV="1" LEYEX="-0.02479" LEYEY="0.01979" LEYEZ="0.55677" LPUPILD="0.00487" LPUPILV="1" REYEX="0.03960" REYEY="0.01659" REYEZ="0.56140" RPUPILD="0.00447" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.79447" FPOGY="0.39118" FPOGS="3259.73462" FPOGD="0.21387" FPOGID="6742" FPOGV="1" LPOGX="0.80819" LPOGY="0.44694" LPOGV="1" RPOGX="0.79388" RPOGY="0.37657" RPOGV="1" BPOGX="0.80104" BPOGY="0.41175" BPOGV="1" LPCX="0.38602" LPCY="0.37657" LPD="27.79124" LPS="0.73404" LPV="1" RPCX="0.68927" RPCY="0.39625" RPD="26.42659" RPS="0.73802" RPV="1" LEYEX="-0.02479" LEYEY="0.01979" LEYEZ="0.55677" LPUPILD="0.00484" LPUPILV="1" REYEX="0.03960" REYEY="0.01659" REYEZ="0.56140" RPUPILD="0.00448" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.79467" FPOGY="0.39173" FPOGS="3259.73462" FPOGD="0.22144" FPOGID="6742" FPOGV="1" LPOGX="0.80885" LPOGY="0.44341" LPOGV="1" RPOGX="0.79388" RPOGY="0.37657" RPOGV="1" BPOGX="0.80137" BPOGY="0.40999" BPOGV="1" LPCX="0.38595" LPCY="0.37661" LPD="27.74726" LPS="0.73802" LPV="1" RPCX="0.68910" RPCY="0.39633" RPD="26.23280" RPS="0.73802" RPV="1" LEYEX="-0.02497" LEYEY="0.01978" LEYEZ="0.55887" LPUPILD="0.00483" LPUPILV="1" REYEX="0.03928" REYEY="0.01647" REYEZ="0.55866" RPUPILD="0.00447" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.79483" FPOGY="0.39150" FPOGS="3259.73462" FPOGD="0.22876" FPOGID="6742" FPOGV="1" LPOGX="0.79679" LPOGY="0.37690" LPOGV="1" RPOGX="0.80388" RPOGY="0.39069" RPOGV="1" BPOGX="0.80034" BPOGY="0.38379" BPOGV="1" LPCX="0.38576" LPCY="0.37682" LPD="27.70567" LPS="0.73802" LPV="1" RPCX="0.68901" RPCY="0.39636" RPD="26.23433" RPS="0.73404" RPV="1" LEYEX="-0.02497" LEYEY="0.01978" LEYEZ="0.55887" LPUPILD="0.00487" LPUPILV="1" REYEX="0.03928" REYEY="0.01647" REYEZ="0.55866" RPUPILD="0.00446" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.79477" FPOGY="0.39110" FPOGS="3259.73462" FPOGD="0.23511" FPOGID="6742" FPOGV="1" LPOGX="0.78987" LPOGY="0.39097" LPOGV="1" RPOGX="0.79570" RPOGY="0.36287" RPOGV="1" BPOGX="0.79278" BPOGY="0.37692" BPOGV="1" LPCX="0.38570" LPCY="0.37686" LPD="27.78571" LPS="0.73404" LPV="1" RPCX="0.68894" RPCY="0.39641" RPD="26.30833" RPS="0.73005" RPV="1" LEYEX="-0.02497" LEYEY="0.01978" LEYEZ="0.55887" LPUPILD="0.00486" LPUPILV="1" REYEX="0.03928" REYEY="0.01647" REYEZ="0.55866" RPUPILD="0.00445" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.79469" FPOGY="0.39082" FPOGS="3259.73462" FPOGD="0.24097" FPOGID="6742" FPOGV="1" LPOGX="0.78931" LPOGY="0.39479" LPOGV="1" RPOGX="0.79384" RPOGY="0.36672" RPOGV="1" BPOGX="0.79157" BPOGY="0.38076" BPOGV="1" LPCX="0.38561" LPCY="0.37692" LPD="27.50583" LPS="0.73005" LPV="1" RPCX="0.68885" RPCY="0.39653" RPD="26.05821" RPS="0.72606" RPV="1" LEYEX="-0.02483" LEYEY="0.01952" LEYEZ="0.55387" LPUPILD="0.00488" LPUPILV="1" REYEX="0.03928" REYEY="0.01638" REYEZ="0.55866" RPUPILD="0.00447" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
