2025-05-29 11:29:17.953182
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.40631" FPOGY="0.33785" FPOGS="5109.66357" FPOGD="0.21436" FPOGID="11734" FPOGV="1" LPOGX="0.45371" LPOGY="0.40255" LPOGV="1" RPOGX="0.43711" RPOGY="0.31839" RPOGV="1" BPOGX="0.44541" BPOGY="0.36047" BPOGV="1" LPCX="0.43917" LPCY="0.73983" LPD="21.74027" LPS="1.02678" LPV="1" RPCX="0.70021" RPCY="0.74413" RPD="20.45873" RPS="1.04206" RPV="1" LEYEX="-0.01473" LEYEY="-0.04989" LEYEZ="0.66130" LPUPILD="0.00448" LPUPILV="1" REYEX="0.05265" REYEY="-0.05287" REYEZ="0.68711" RPUPILD="0.00421" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.40741" FPOGY="0.33821" FPOGS="5109.66357" FPOGD="0.22119" FPOGID="11734" FPOGV="1" LPOGX="0.45046" LPOGY="0.39304" LPOGV="1" RPOGX="0.43712" RPOGY="0.30704" RPOGV="1" BPOGX="0.44379" BPOGY="0.35004" BPOGV="1" LPCX="0.43979" LPCY="0.73991" LPD="21.91686" LPS="1.04206" LPV="1" RPCX="0.70075" RPCY="0.74415" RPD="20.50738" RPS="1.05734" RPV="1" LEYEX="-0.01443" LEYEY="-0.04991" LEYEZ="0.66148" LPUPILD="0.00450" LPUPILV="1" REYEX="0.05192" REYEY="-0.05193" REYEZ="0.67488" RPUPILD="0.00427" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.40844" FPOGY="0.33840" FPOGS="5109.66357" FPOGD="0.22754" FPOGID="11734" FPOGV="1" LPOGX="0.45304" LPOGY="0.35838" LPOGV="1" RPOGX="0.43381" RPOGY="0.33131" RPOGV="1" BPOGX="0.44343" BPOGY="0.34484" BPOGV="1" LPCX="0.44038" LPCY="0.73994" LPD="21.90352" LPS="1.05734" LPV="1" RPCX="0.70131" RPCY="0.74415" RPD="20.43843" RPS="1.05734" RPV="1" LEYEX="-0.01443" LEYEY="-0.04991" LEYEZ="0.66148" LPUPILD="0.00456" LPUPILV="1" REYEX="0.05192" REYEY="-0.05193" REYEZ="0.67488" RPUPILD="0.00425" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.40998" FPOGY="0.33881" FPOGS="5109.66357" FPOGD="0.23438" FPOGID="11734" FPOGV="1" LPOGX="0.47182" LPOGY="0.37341" LPOGV="1" RPOGX="0.45573" RPOGY="0.33285" RPOGV="1" BPOGX="0.46377" BPOGY="0.35313" BPOGV="1" LPCX="0.44051" LPCY="0.73980" LPD="21.94497" LPS="1.05734" LPV="1" RPCX="0.70136" RPCY="0.74425" RPD="20.29528" RPS="1.05734" RPV="1" LEYEX="-0.01443" LEYEY="-0.04991" LEYEZ="0.66148" LPUPILD="0.00449" LPUPILV="1" REYEX="0.05192" REYEY="-0.05193" REYEZ="0.67488" RPUPILD="0.00425" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.41145" FPOGY="0.33932" FPOGS="5109.66357" FPOGD="0.24121" FPOGID="11734" FPOGV="1" LPOGX="0.47315" LPOGY="0.37787" LPOGV="1" RPOGX="0.45561" RPOGY="0.33789" RPOGV="1" BPOGX="0.46438" BPOGY="0.35788" BPOGV="1" LPCX="0.44075" LPCY="0.73978" LPD="21.94723" LPS="1.05031" LPV="1" RPCX="0.70170" RPCY="0.74413" RPD="20.32383" RPS="1.05031" RPV="1" LEYEX="-0.01387" LEYEY="-0.04846" LEYEZ="0.64227" LPUPILD="0.00443" LPUPILV="1" REYEX="0.05234" REYEY="-0.05215" REYEZ="0.67766" RPUPILD="0.00422" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.41262" FPOGY="0.33920" FPOGS="5109.66357" FPOGD="0.24756" FPOGID="11734" FPOGV="1" LPOGX="0.43533" LPOGY="0.31223" LPOGV="1" RPOGX="0.47639" RPOGY="0.35724" RPOGV="1" BPOGX="0.45586" BPOGY="0.33474" BPOGV="1" LPCX="0.44097" LPCY="0.73974" LPD="21.76202" LPS="1.04329" LPV="1" RPCX="0.70179" RPCY="0.74425" RPD="20.54422" RPS="1.04329" RPV="1" LEYEX="-0.01387" LEYEY="-0.04846" LEYEZ="0.64227" LPUPILD="0.00450" LPUPILV="1" REYEX="0.05234" REYEY="-0.05215" REYEZ="0.67766" RPUPILD="0.00421" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.41393" FPOGY="0.33913" FPOGS="5109.66357" FPOGD="0.25439" FPOGID="11734" FPOGV="1" LPOGX="0.44240" LPOGY="0.31465" LPOGV="1" RPOGX="0.48536" RPOGY="0.35797" RPOGV="1" BPOGX="0.46388" BPOGY="0.33631" BPOGV="1" LPCX="0.44106" LPCY="0.73979" LPD="21.63611" LPS="1.03626" LPV="1" RPCX="0.70184" RPCY="0.74432" RPD="20.47798" RPS="1.03626" RPV="1" LEYEX="-0.01387" LEYEY="-0.04846" LEYEZ="0.64227" LPUPILD="0.00450" LPUPILV="1" REYEX="0.05234" REYEY="-0.05215" REYEZ="0.67766" RPUPILD="0.00429" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.43841" FPOGY="0.35168" FPOGS="5109.66357" FPOGD="0.25439" FPOGID="11734" FPOGV="0" LPOGX="0.44066" LPOGY="0.30916" LPOGV="1" RPOGX="0.48503" RPOGY="0.36317" RPOGV="1" BPOGX="0.46285" BPOGY="0.33617" BPOGV="1" LPCX="0.44118" LPCY="0.73982" LPD="21.76988" LPS="1.04417" LPV="1" RPCX="0.70200" RPCY="0.74428" RPD="20.28315" RPS="1.02889" RPV="1" LEYEX="-0.01465" LEYEY="-0.05154" LEYEZ="0.68313" LPUPILD="0.00448" LPUPILV="1" REYEX="0.04888" REYEY="-0.04861" REYEZ="0.63166" RPUPILD="0.00427" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.45002" FPOGY="0.33715" FPOGS="5109.66357" FPOGD="0.25439" FPOGID="11734" FPOGV="0" LPOGX="0.47483" LPOGY="0.33071" LPOGV="1" RPOGX="0.44844" RPOGY="0.31454" RPOGV="1" BPOGX="0.46164" BPOGY="0.32262" BPOGV="1" LPCX="0.44140" LPCY="0.73986" LPD="22.11771" LPS="1.04382" LPV="1" RPCX="0.70216" RPCY="0.74445" RPD="20.34143" RPS="1.02854" RPV="1" LEYEX="-0.01465" LEYEY="-0.05154" LEYEZ="0.68313" LPUPILD="0.00455" LPUPILV="1" REYEX="0.04888" REYEY="-0.04861" REYEZ="0.63166" RPUPILD="0.00428" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.44959" FPOGY="0.33384" FPOGS="5109.66357" FPOGD="0.25439" FPOGID="11734" FPOGV="0" LPOGX="0.44269" LPOGY="0.32043" LPOGV="1" RPOGX="0.45477" RPOGY="0.33399" RPOGV="1" BPOGX="0.44873" BPOGY="0.32721" BPOGV="1" LPCX="0.44148" LPCY="0.73993" LPD="21.78760" LPS="1.04347" LPV="1" RPCX="0.70244" RPCY="0.74457" RPD="20.35008" RPS="1.02819" RPV="1" LEYEX="-0.01465" LEYEY="-0.05154" LEYEZ="0.68313" LPUPILD="0.00449" LPUPILV="1" REYEX="0.04888" REYEY="-0.04861" REYEZ="0.63166" RPUPILD="0.00419" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.44979" FPOGY="0.33349" FPOGS="5109.92480" FPOGD="0.02002" FPOGID="11735" FPOGV="1" LPOGX="0.44603" LPOGY="0.33091" LPOGV="1" RPOGX="0.45477" RPOGY="0.33399" RPOGV="1" BPOGX="0.45040" BPOGY="0.33245" BPOGV="1" LPCX="0.44153" LPCY="0.73980" LPD="21.73723" LPS="1.02819" LPV="1" RPCX="0.70248" RPCY="0.74460" RPD="20.32866" RPS="1.02819" RPV="1" LEYEX="-0.01377" LEYEY="-0.04880" LEYEZ="0.64674" LPUPILD="0.00445" LPUPILV="1" REYEX="0.05294" REYEY="-0.05275" REYEZ="0.68287" RPUPILD="0.00418" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.45349" FPOGY="0.33026" FPOGS="5109.92480" FPOGD="0.02637" FPOGID="11735" FPOGV="1" LPOGX="0.45155" LPOGY="0.35110" LPOGV="1" RPOGX="0.48500" RPOGY="0.28360" RPOGV="1" BPOGX="0.46828" BPOGY="0.31735" BPOGV="1" LPCX="0.44186" LPCY="0.73993" LPD="21.90026" LPS="1.01326" LPV="1" RPCX="0.70266" RPCY="0.74471" RPD="19.99411" RPS="1.02854" RPV="1" LEYEX="-0.01377" LEYEY="-0.04880" LEYEZ="0.64674" LPUPILD="0.00449" LPUPILV="1" REYEX="0.05294" REYEY="-0.05275" REYEZ="0.68287" RPUPILD="0.00421" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.45750" FPOGY="0.32875" FPOGS="5109.92480" FPOGD="0.03320" FPOGID="11735" FPOGV="1" LPOGX="0.45452" LPOGY="0.35319" LPOGV="1" RPOGX="0.50056" RPOGY="0.28921" RPOGV="1" BPOGX="0.47754" BPOGY="0.32120" BPOGV="1" LPCX="0.44192" LPCY="0.73991" LPD="21.78191" LPS="1.01361" LPV="1" RPCX="0.70271" RPCY="0.74483" RPD="20.37936" RPS="1.02889" RPV="1" LEYEX="-0.01377" LEYEY="-0.04880" LEYEZ="0.64674" LPUPILD="0.00447" LPUPILV="1" REYEX="0.05294" REYEY="-0.05275" REYEZ="0.68287" RPUPILD="0.00423" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
