2025-05-28 12:29:30.485456
EYEZ="2.87183" RPUPILD="0.00420" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.83024" FPOGY="0.26483" FPOGS="2356.66260" FPOGD="0.20093" FPOGID="5874" FPOGV="1" LPOGX="0.88369" LPOGY="0.17269" LPOGV="1" RPOGX="0.74842" RPOGY="0.25002" RPOGV="1" BPOGX="0.81605" BPOGY="0.21135" BPOGV="1" LPCX="0.38781" LPCY="0.47059" LPD="23.24724" LPS="0.98909" LPV="1" RPCX="0.67134" RPCY="0.51877" RPD="23.51734" RPS="0.98265" RPV="1" LEYEX="-0.02910" LEYEY="0.00441" LEYEZ="0.66108" LPUPILD="0.00411" LPUPILV="1" REYEX="0.18069" REYEY="-0.02283" REYEZ="2.87183" RPUPILD="0.00419" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.07410" FPOGY="0.32380" FPOGS="2357.64062" FPOGD="0.13379" FPOGID="5877" FPOGV="1" LPOGX="1.15094" LPOGY="0.31000" LPOGV="1" RPOGX="1.01316" RPOGY="0.29504" RPOGV="1" BPOGX="1.08205" BPOGY="0.30252" BPOGV="1" LPCX="0.39572" LPCY="0.46931" LPD="23.95225" LPS="0.95118" LPV="1" RPCX="0.67866" RPCY="0.51857" RPD="24.46556" RPS="0.94539" RPV="1" LEYEX="-0.02823" LEYEY="0.00485" LEYEZ="0.66638" LPUPILD="0.00419" LPUPILV="1" REYEX="0.04029" REYEY="-0.00468" REYEZ="0.61208" RPUPILD="0.00424" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="1.07449" FPOGY="0.32279" FPOGS="2357.64062" FPOGD="0.14038" FPOGID="5877" FPOGV="1" LPOGX="1.15152" LPOGY="0.30889" LPOGV="1" RPOGX="1.01387" RPOGY="0.29405" RPOGV="1" BPOGX="1.08269" BPOGY="0.30147" BPOGV="1" LPCX="0.39579" LPCY="0.46937" LPD="23.90635" LPS="0.95242" LPV="1" RPCX="0.67868" RPCY="0.51862" RPD="24.46402" RPS="0.94663" RPV="1" LEYEX="-0.02823" LEYEY="0.00485" LEYEZ="0.66638" LPUPILD="0.00417" LPUPILV="1" REYEX="0.04029" REYEY="-0.00468" REYEZ="0.61208" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="1.07477" FPOGY="0.32279" FPOGS="2357.64062" FPOGD="0.14697" FPOGID="5877" FPOGV="1" LPOGX="1.14799" LPOGY="0.32516" LPOGV="1" RPOGX="1.01360" RPOGY="0.32060" RPOGV="1" BPOGX="1.08079" BPOGY="0.32288" BPOGV="1" LPCX="0.39582" LPCY="0.46946" LPD="23.84102" LPS="0.94663" LPV="1" RPCX="0.67864" RPCY="0.51879" RPD="24.37311" RPS="0.94663" RPV="1" LEYEX="-0.02823" LEYEY="0.00485" LEYEZ="0.66638" LPUPILD="0.00417" LPUPILV="1" REYEX="0.04029" REYEY="-0.00468" REYEZ="0.61208" RPUPILD="0.00433" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="1.07512" FPOGY="0.32279" FPOGS="2357.64062" FPOGD="0.15356" FPOGID="5877" FPOGV="1" LPOGX="1.14904" LPOGY="0.32636" LPOGV="1" RPOGX="1.01746" RPOGY="0.31908" RPOGV="1" BPOGX="1.08325" BPOGY="0.32272" BPOGV="1" LPCX="0.39582" LPCY="0.46952" LPD="23.96063" LPS="0.94663" LPV="1" RPCX="0.67863" RPCY="0.51892" RPD="24.74091" RPS="0.94663" RPV="1" LEYEX="-0.02823" LEYEY="0.00485" LEYEZ="0.66638" LPUPILD="0.00417" LPUPILV="1" REYEX="0.04029" REYEY="-0.00468" REYEZ="0.61208" RPUPILD="0.00430" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="1.07530" FPOGY="0.32302" FPOGS="2357.64062" FPOGD="0.16064" FPOGID="5877" FPOGV="1" LPOGX="1.14575" LPOGY="0.33258" LPOGV="1" RPOGX="1.01338" RPOGY="0.32450" RPOGV="1" BPOGX="1.07956" BPOGY="0.32854" BPOGV="1" LPCX="0.39585" LPCY="0.46954" LPD="23.92683" LPS="0.93960" LPV="1" RPCX="0.67863" RPCY="0.51892" RPD="24.74091" RPS="0.93960" RPV="1" LEYEX="-0.02695" LEYEY="0.00454" LEYEZ="0.63737" LPUPILD="0.00420" LPUPILV="1" REYEX="0.04029" REYEY="-0.00473" REYEZ="0.61208" RPUPILD="0.00430" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="1.07542" FPOGY="0.32426" FPOGS="2357.64062" FPOGD="0.16748" FPOGID="5877" FPOGV="1" LPOGX="1.14668" LPOGY="0.35285" LPOGV="1" RPOGX="1.01025" RPOGY="0.35773" RPOGV="1" BPOGX="1.07846" BPOGY="0.35529" BPOGV="1" LPCX="0.39584" LPCY="0.46956" LPD="23.91796" LPS="0.93258" LPV="1" RPCX="0.67867" RPCY="0.51912" RPD="24.37927" RPS="0.93258" RPV="1" LEYEX="-0.02695" LEYEY="0.00454" LEYEZ="0.63737" LPUPILD="0.00421" LPUPILV="1" REYEX="0.04029" REYEY="-0.00473" REYEZ="0.61208" RPUPILD="0.00430" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="1.07551" FPOGY="0.32472" FPOGS="2357.64062" FPOGD="0.17603" FPOGID="5877" FPOGV="1" LPOGX="1.14724" LPOGY="0.36327" LPOGV="1" RPOGX="1.00870" RPOGY="0.31030" RPOGV="1" BPOGX="1.07797" BPOGY="0.33679" BPOGV="1" LPCX="0.39588" LPCY="0.46964" LPD="23.83549" LPS="0.92555" LPV="1" RPCX="0.67865" RPCY="0.51919" RPD="24.32926" RPS="0.92555" RPV="1" LEYEX="-0.02695" LEYEY="0.00454" LEYEZ="0.63737" LPUPILD="0.00421" LPUPILV="1" REYEX="0.04029" REYEY="-0.00473" REYEZ="0.61208" RPUPILD="0.00433" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="1.07547" FPOGY="0.32536" FPOGS="2357.64062" FPOGD="0.18066" FPOGID="5877" FPOGV="1" LPOGX="1.14387" LPOGY="0.36933" LPOGV="1" RPOGX="1.00459" RPOGY="0.31592" RPOGV="1" BPOGX="1.07423" BPOGY="0.34262" BPOGV="1" LPCX="0.39590" LPCY="0.46968" LPD="23.83735" LPS="0.91852" LPV="1" RPCX="0.67866" RPCY="0.51922" RPD="24.41257" RPS="0.91852" RPV="1" LEYEX="-0.02695" LEYEY="0.00454" LEYEZ="0.63737" LPUPILD="0.00422" LPUPILV="1" REYEX="0.04029" REYEY="-0.00473" REYEZ="0.61208" RPUPILD="0.00433" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
