2025-05-28 12:29:49.307549
EYEZ="0.62624" RPUPILD="0.00454" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.79445" FPOGY="0.39252" FPOGS="2375.24341" FPOGD="0.43604" FPOGID="5946" FPOGV="1" LPOGX="0.89426" LPOGY="0.29718" LPOGV="1" RPOGX="0.74040" RPOGY="0.57708" RPOGV="1" BPOGX="0.81733" BPOGY="0.43713" BPOGV="1" LPCX="0.37320" LPCY="0.47208" LPD="23.77512" LPS="0.95454" LPV="1" RPCX="0.65713" RPCY="0.51578" RPD="22.10012" RPS="0.94811" RPV="1" LEYEX="-0.03139" LEYEY="0.00396" LEYEZ="0.62866" LPUPILD="0.00424" LPUPILV="1" REYEX="0.03686" REYEY="-0.00385" REYEZ="0.62624" RPUPILD="0.00440" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.79507" FPOGY="0.39287" FPOGS="2375.24341" FPOGD="0.44263" FPOGID="5946" FPOGV="1" LPOGX="0.89290" LPOGY="0.30271" LPOGV="1" RPOGX="0.74040" RPOGY="0.57708" RPOGV="1" BPOGX="0.81665" BPOGY="0.43989" BPOGV="1" LPCX="0.37344" LPCY="0.47209" LPD="23.75324" LPS="0.94811" LPV="1" RPCX="0.65764" RPCY="0.51541" RPD="23.13878" RPS="0.94811" RPV="1" LEYEX="-0.03184" LEYEY="0.00404" LEYEZ="0.64142" LPUPILD="0.00421" LPUPILV="1" REYEX="0.03805" REYEY="-0.00407" REYEZ="0.64556" RPUPILD="0.00447" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.79598" FPOGY="0.39349" FPOGS="2375.24341" FPOGD="0.44897" FPOGID="5946" FPOGV="1" LPOGX="0.88529" LPOGY="0.29126" LPOGV="1" RPOGX="0.77244" RPOGY="0.59831" RPOGV="1" BPOGX="0.82886" BPOGY="0.44479" BPOGV="1" LPCX="0.37392" LPCY="0.47212" LPD="23.87515" LPS="0.94811" LPV="1" RPCX="0.65786" RPCY="0.51557" RPD="23.11692" RPS="0.95454" RPV="1" LEYEX="-0.03184" LEYEY="0.00404" LEYEZ="0.64142" LPUPILD="0.00425" LPUPILV="1" REYEX="0.03805" REYEY="-0.00407" REYEZ="0.64556" RPUPILD="0.00439" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.03359" FPOGY="0.52025" FPOGS="2376.55688" FPOGD="0.04004" FPOGID="5950" FPOGV="1" LPOGX="1.09929" LPOGY="0.42968" LPOGV="1" RPOGX="0.94968" RPOGY="0.61706" RPOGV="1" BPOGX="1.02449" BPOGY="0.52337" BPOGV="1" LPCX="0.38273" LPCY="0.47459" LPD="23.38684" LPS="0.89757" LPV="1" RPCX="0.66646" RPCY="0.51965" RPD="22.76330" RPS="0.89757" RPV="1" LEYEX="-0.03041" LEYEY="0.00362" LEYEZ="0.64386" LPUPILD="0.00420" LPUPILV="1" REYEX="0.03625" REYEY="-0.00436" REYEZ="0.59320" RPUPILD="0.00441" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.03321" FPOGY="0.51804" FPOGS="2376.55688" FPOGD="0.04688" FPOGID="5950" FPOGV="1" LPOGX="1.09246" LPOGY="0.40926" LPOGV="1" RPOGX="0.96855" RPOGY="0.59585" RPOGV="1" BPOGX="1.03050" BPOGY="0.50255" BPOGV="1" LPCX="0.38285" LPCY="0.47433" LPD="23.16356" LPS="0.89757" LPV="1" RPCX="0.66629" RPCY="0.51965" RPD="22.47728" RPS="0.89757" RPV="1" LEYEX="-0.03041" LEYEY="0.00362" LEYEZ="0.64386" LPUPILD="0.00416" LPUPILV="1" REYEX="0.03625" REYEY="-0.00436" REYEZ="0.59320" RPUPILD="0.00457" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.03326" FPOGY="0.51600" FPOGS="2376.55688" FPOGD="0.05371" FPOGID="5950" FPOGV="1" LPOGX="1.09246" LPOGY="0.40926" LPOGV="1" RPOGX="0.97488" RPOGY="0.59004" RPOGV="1" BPOGX="1.03367" BPOGY="0.49965" BPOGV="1" LPCX="0.38285" LPCY="0.47434" LPD="23.17028" LPS="0.89757" LPV="1" RPCX="0.66628" RPCY="0.51962" RPD="22.55490" RPS="0.90859" RPV="1" LEYEX="-0.03050" LEYEY="0.00368" LEYEZ="0.64567" LPUPILD="0.00416" LPUPILV="1" REYEX="0.03850" REYEY="-0.00462" REYEZ="0.62856" RPUPILD="0.00457" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.03397" FPOGY="0.51244" FPOGS="2376.55688" FPOGD="0.06030" FPOGID="5950" FPOGV="1" LPOGX="1.09817" LPOGY="0.38294" LPOGV="1" RPOGX="0.98257" RPOGY="0.57794" RPOGV="1" BPOGX="1.04037" BPOGY="0.48044" BPOGV="1" LPCX="0.38293" LPCY="0.47420" LPD="23.49641" LPS="0.90859" LPV="1" RPCX="0.66649" RPCY="0.51955" RPD="22.78766" RPS="0.91962" RPV="1" LEYEX="-0.03050" LEYEY="0.00368" LEYEZ="0.64567" LPUPILD="0.00418" LPUPILV="1" REYEX="0.03850" REYEY="-0.00462" REYEZ="0.62856" RPUPILD="0.00465" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.03546" FPOGY="0.51015" FPOGS="2376.55688" FPOGD="0.06689" FPOGID="5950" FPOGV="1" LPOGX="1.10758" LPOGY="0.37435" LPOGV="1" RPOGX="0.99311" RPOGY="0.60006" RPOGV="1" BPOGX="1.05034" BPOGY="0.48721" BPOGV="1" LPCX="0.38290" LPCY="0.47418" LPD="23.54980" LPS="0.91962" LPV="1" RPCX="0.66661" RPCY="0.51955" RPD="22.57635" RPS="0.93065" RPV="1" LEYEX="-0.03050" LEYEY="0.00368" LEYEZ="0.64567" LPUPILD="0.00419" LPUPILV="1" REYEX="0.03850" REYEY="-0.00462" REYEZ="0.62856" RPUPILD="0.00470" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.03717" FPOGY="0.50762" FPOGS="2376.55688" FPOGD="0.07349" FPOGID="5950" FPOGV="1" LPOGX="1.11244" LPOGY="0.36501" LPOGV="1" RPOGX="0.99949" RPOGY="0.59453" RPOGV="1" BPOGX="1.05597" BPOGY="0.47977" BPOGV="1" LPCX="0.38290" LPCY="0.47418" LPD="23.54980" LPS="0.93065" LPV="1" RPCX="0.66650" RPCY="0.51943" RPD="22.68879" RPS="0.94168" RPV="1" LEYEX="-0.03041" LEYEY="0.00372" LEYEZ="0.64386" LPUPILD="0.00420" LPUPILV="1" REYEX="0.03850" REYEY="-0.00462" REYEZ="0.62856" RPUPILD="0.00470" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
