2025-05-27 11:18:31.115386
" REYEZ="0.64024" RPUPILD="0.00459" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="1.04735" FPOGY="0.61770" FPOGS="4030.06250" FPOGD="0.22168" FPOGID="11038" FPOGV="1" LPOGX="1.19680" LPOGY="0.63989" LPOGV="1" RPOGX="0.90001" RPOGY="0.55381" RPOGV="1" BPOGX="1.04841" BPOGY="0.59685" BPOGV="1" LPCX="0.33538" LPCY="0.65335" LPD="22.35164" LPS="0.90931" LPV="1" RPCX="0.62688" RPCY="0.66913" RPD="21.68532" RPS="0.91574" RPV="1" LEYEX="-0.03985" LEYEY="-0.02949" LEYEZ="0.60395" LPUPILD="0.00476" LPUPILV="1" REYEX="0.02967" REYEY="-0.03419" REYEZ="0.64024" RPUPILD="0.00460" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.06087" FPOGY="0.56324" FPOGS="4030.97412" FPOGD="0.22095" FPOGID="11041" FPOGV="1" LPOGX="1.23007" LPOGY="0.60324" LPOGV="1" RPOGX="0.93516" RPOGY="0.50977" RPOGV="1" BPOGX="1.08262" BPOGY="0.55651" BPOGV="1" LPCX="0.33238" LPCY="0.65252" LPD="22.06938" LPS="0.89592" LPV="1" RPCX="0.62369" RPCY="0.66739" RPD="21.70621" RPS="0.90814" RPV="1" LEYEX="-0.04217" LEYEY="-0.03049" LEYEZ="0.62837" LPUPILD="0.00453" LPUPILV="1" REYEX="0.02849" REYEY="-0.03354" REYEZ="0.63337" RPUPILD="0.00442" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="1.06138" FPOGY="0.56247" FPOGS="4030.97412" FPOGD="0.22729" FPOGID="11041" FPOGV="1" LPOGX="1.24443" LPOGY="0.58437" LPOGV="1" RPOGX="0.91329" RPOGY="0.48782" RPOGV="1" BPOGX="1.07886" BPOGY="0.53610" BPOGV="1" LPCX="0.33235" LPCY="0.65244" LPD="22.18450" LPS="0.90814" LPV="1" RPCX="0.62348" RPCY="0.66751" RPD="21.48571" RPS="0.92036" RPV="1" LEYEX="-0.04217" LEYEY="-0.03049" LEYEZ="0.62837" LPUPILD="0.00455" LPUPILV="1" REYEX="0.02849" REYEY="-0.03354" REYEZ="0.63337" RPUPILD="0.00451" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="1.06171" FPOGY="0.56182" FPOGS="4030.97412" FPOGD="0.23486" FPOGID="11041" FPOGV="1" LPOGX="1.23696" LPOGY="0.58716" LPOGV="1" RPOGX="0.90977" RPOGY="0.49148" RPOGV="1" BPOGX="1.07336" BPOGY="0.53932" BPOGV="1" LPCX="0.33231" LPCY="0.65230" LPD="22.55429" LPS="0.92036" LPV="1" RPCX="0.62334" RPCY="0.66740" RPD="21.37934" RPS="0.93259" RPV="1" LEYEX="-0.04217" LEYEY="-0.03049" LEYEZ="0.62837" LPUPILD="0.00452" LPUPILV="1" REYEX="0.02849" REYEY="-0.03354" REYEZ="0.63337" RPUPILD="0.00459" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="1.06208" FPOGY="0.56116" FPOGS="4030.97412" FPOGD="0.24146" FPOGID="11041" FPOGV="1" LPOGX="1.24077" LPOGY="0.58313" LPOGV="1" RPOGX="0.90984" RPOGY="0.49140" RPOGV="1" BPOGX="1.07531" BPOGY="0.53727" BPOGV="1" LPCX="0.33225" LPCY="0.65231" LPD="22.56245" LPS="0.92693" LPV="1" RPCX="0.62333" RPCY="0.66738" RPD="21.43302" RPS="0.93272" RPV="1" LEYEX="-0.17837" LEYEY="-0.13162" LEYEZ="2.71233" LPUPILD="0.00453" LPUPILV="0" REYEX="0.02785" REYEY="-0.03279" REYEZ="0.62012" RPUPILD="0.00456" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="1.06216" FPOGY="0.56040" FPOGS="4030.97412" FPOGD="0.24829" FPOGID="11041" FPOGV="1" LPOGX="1.22941" LPOGY="0.58123" LPOGV="1" RPOGX="0.90072" RPOGY="0.48314" RPOGV="1" BPOGX="1.06506" BPOGY="0.53218" BPOGV="1" LPCX="0.33206" LPCY="0.65217" LPD="22.75110" LPS="0.92706" LPV="1" RPCX="0.62312" RPCY="0.66730" RPD="21.41080" RPS="0.92063" RPV="1" LEYEX="-0.17837" LEYEY="-0.13162" LEYEZ="2.71233" LPUPILD="0.00448" LPUPILV="0" REYEX="0.02785" REYEY="-0.03279" REYEZ="0.62012" RPUPILD="0.00456" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="1.06184" FPOGY="0.56116" FPOGS="4030.97412" FPOGD="0.25464" FPOGID="11041" FPOGV="1" LPOGX="1.20673" LPOGY="0.63265" LPOGV="1" RPOGX="0.89286" RPOGY="0.54742" RPOGV="1" BPOGX="1.04980" BPOGY="0.59004" BPOGV="1" LPCX="0.33138" LPCY="0.65224" LPD="21.74389" LPS="0.91497" LPV="1" RPCX="0.62284" RPCY="0.66718" RPD="20.93242" RPS="0.90854" RPV="1" LEYEX="-0.17837" LEYEY="-0.13162" LEYEZ="2.71233" LPUPILD="0.00451" LPUPILV="0" REYEX="0.02785" REYEY="-0.03279" REYEZ="0.62012" RPUPILD="0.00450" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="1.06138" FPOGY="0.56205" FPOGS="4030.97412" FPOGD="0.26172" FPOGID="11041" FPOGV="1" LPOGX="1.20002" LPOGY="0.63937" LPOGV="1" RPOGX="0.88700" RPOGY="0.55437" RPOGV="1" BPOGX="1.04351" BPOGY="0.59687" BPOGV="1" LPCX="0.33102" LPCY="0.65201" LPD="21.87377" LPS="0.90288" LPV="1" RPCX="0.62260" RPCY="0.66684" RPD="21.58578" RPS="0.89644" RPV="1" LEYEX="-0.18421" LEYEY="-0.13392" LEYEZ="2.76841" LPUPILD="0.00455" LPUPILV="0" REYEX="0.02779" REYEY="-0.03295" REYEZ="0.62497" RPUPILD="0.00434" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="1.05801" FPOGY="0.56097" FPOGS="4030.97412" FPOGD="0.26831" FPOGID="11041" FPOGV="1" LPOGX="1.07555" LPOGY="0.63843" LPOGV="1" RPOGX="0.77053" RPOGY="0.39680" RPOGV="1" BPOGX="0.92304" BPOGY="0.51761" BPOGV="1" LPCX="0.32792" LPCY="0.65200" LPD="19.75407" LPS="0.89644" LPV="1" RPCX="0.62007" RPCY="0.66594" RPD="21.05749" RPS="0.89644" RPV="1" LEYEX="-0.18421" LEYEY="-0.13392" LEYEZ="2.76841" LPUPILD="0.00465" LPUPILV="0" REYEX="0.02779" REYEY="-0.03295" REYEZ="0.62497" RPUPILD="0.00450" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
