2025-05-28 11:15:55.010309
" REYEZ="0.65758" RPUPILD="0.00438" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="1" />
<REC FPOGX="0.96450" FPOGY="0.50873" FPOGS="3754.67871" FPOGD="0.09375" FPOGID="10316" FPOGV="1" LPOGX="1.12772" LPOGY="0.56631" LPOGV="1" RPOGX="0.90470" RPOGY="0.50938" RPOGV="1" BPOGX="1.01621" BPOGY="0.53784" BPOGV="1" LPCX="0.34665" LPCY="0.51073" LPD="21.58478" LPS="1.03558" LPV="1" RPCX="0.62266" RPCY="0.53171" RPD="21.03882" RPS="1.02749" RPV="1" LEYEX="-0.03882" LEYEY="-0.00319" LEYEZ="0.63457" LPUPILD="0.00461" LPUPILV="1" REYEX="0.02963" REYEY="-0.00730" REYEZ="0.65758" RPUPILD="0.00435" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="1" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.05756" FPOGY="0.59524" FPOGS="3755.35547" FPOGD="0.32153" FPOGID="10319" FPOGV="1" LPOGX="1.17257" LPOGY="0.55291" LPOGV="1" RPOGX="0.90988" RPOGY="0.58111" RPOGV="1" BPOGX="1.04123" BPOGY="0.56701" BPOGV="1" LPCX="0.34515" LPCY="0.51126" LPD="21.78695" LPS="0.99007" LPV="1" RPCX="0.62064" RPCY="0.53170" RPD="20.28562" RPS="0.98288" RPV="1" LEYEX="-0.03965" LEYEY="-0.00326" LEYEZ="0.64015" LPUPILD="0.00449" LPUPILV="1" REYEX="0.02799" REYEY="-0.00691" REYEZ="0.63498" RPUPILD="0.00447" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="1" />
<REC FPOGX="1.05734" FPOGY="0.59561" FPOGS="3755.35547" FPOGD="0.32812" FPOGID="10319" FPOGV="1" LPOGX="1.16790" LPOGY="0.56169" LPOGV="1" RPOGX="0.90576" RPOGY="0.63161" RPOGV="1" BPOGX="1.03683" BPOGY="0.59665" BPOGV="1" LPCX="0.34517" LPCY="0.51126" LPD="21.75404" LPS="0.98288" LPV="1" RPCX="0.62021" RPCY="0.53161" RPD="20.15436" RPS="0.97569" RPV="1" LEYEX="-0.03965" LEYEY="-0.00326" LEYEZ="0.64015" LPUPILD="0.00449" LPUPILV="1" REYEX="0.02799" REYEY="-0.00691" REYEZ="0.63498" RPUPILD="0.00475" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="1" />
<REC FPOGX="1.05705" FPOGY="0.59606" FPOGS="3755.35547" FPOGD="0.33472" FPOGID="10319" FPOGV="1" LPOGX="1.16447" LPOGY="0.56594" LPOGV="1" RPOGX="0.90240" RPOGY="0.63486" RPOGV="1" BPOGX="1.03344" BPOGY="0.60040" BPOGV="1" LPCX="0.34510" LPCY="0.51125" LPD="21.66154" LPS="0.97569" LPV="1" RPCX="0.62021" RPCY="0.53161" RPD="20.15436" RPS="0.96850" RPV="1" LEYEX="-0.03965" LEYEY="-0.00326" LEYEZ="0.64015" LPUPILD="0.00448" LPUPILV="1" REYEX="0.02799" REYEY="-0.00691" REYEZ="0.63498" RPUPILD="0.00475" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="1" />
<REC FPOGX="1.05786" FPOGY="0.59637" FPOGS="3755.35547" FPOGD="0.34229" FPOGID="10319" FPOGV="1" LPOGX="1.19165" LPOGY="0.58653" LPOGV="1" RPOGX="0.92681" RPOGY="0.63726" RPOGV="1" BPOGX="1.05923" BPOGY="0.61189" BPOGV="1" LPCX="0.34508" LPCY="0.51127" LPD="21.82133" LPS="0.96850" LPV="1" RPCX="0.62031" RPCY="0.53152" RPD="20.50183" RPS="0.96850" RPV="1" LEYEX="-0.03965" LEYEY="-0.00326" LEYEZ="0.64015" LPUPILD="0.00447" LPUPILV="1" REYEX="0.02799" REYEY="-0.00691" REYEZ="0.63498" RPUPILD="0.00469" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="1" />
<REC FPOGX="1.05807" FPOGY="0.59650" FPOGS="3755.35547" FPOGD="0.34912" FPOGID="10319" FPOGV="1" LPOGX="1.17705" LPOGY="0.60192" LPOGV="1" RPOGX="0.91433" RPOGY="0.63170" RPOGV="1" BPOGX="1.04569" BPOGY="0.61681" BPOGV="1" LPCX="0.34509" LPCY="0.51125" LPD="21.73787" LPS="0.96850" LPV="1" RPCX="0.62059" RPCY="0.53162" RPD="20.21298" RPS="0.96850" RPV="1" LEYEX="-0.03965" LEYEY="-0.00326" LEYEZ="0.64015" LPUPILD="0.00446" LPUPILV="1" REYEX="0.02799" REYEY="-0.00691" REYEZ="0.63498" RPUPILD="0.00450" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="1" />
<REC FPOGX="1.05843" FPOGY="0.59648" FPOGS="3755.35547" FPOGD="0.35669" FPOGID="10319" FPOGV="1" LPOGX="1.17705" LPOGY="0.60192" LPOGV="1" RPOGX="0.91433" RPOGY="0.63170" RPOGV="1" BPOGX="1.04569" BPOGY="0.61681" BPOGV="1" LPCX="0.34508" LPCY="0.51122" LPD="21.76141" LPS="0.96850" LPV="1" RPCX="0.62056" RPCY="0.53153" RPD="20.37932" RPS="0.96850" RPV="1" LEYEX="-0.03965" LEYEY="-0.00326" LEYEZ="0.64015" LPUPILD="0.00447" LPUPILV="1" REYEX="0.02799" REYEY="-0.00691" REYEZ="0.63498" RPUPILD="0.00451" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="1" />
<REC FPOGX="1.05919" FPOGY="0.59638" FPOGS="3755.35547" FPOGD="0.36206" FPOGID="10319" FPOGV="1" LPOGX="1.18016" LPOGY="0.59352" LPOGV="1" RPOGX="0.91621" RPOGY="0.61761" RPOGV="1" BPOGX="1.04818" BPOGY="0.60556" BPOGV="1" LPCX="0.34508" LPCY="0.51130" LPD="21.98601" LPS="0.96850" LPV="1" RPCX="0.62061" RPCY="0.53155" RPD="20.35920" RPS="0.96850" RPV="1" LEYEX="-0.03965" LEYEY="-0.00326" LEYEZ="0.64015" LPUPILD="0.00446" LPUPILV="1" REYEX="0.02799" REYEY="-0.00691" REYEZ="0.63498" RPUPILD="0.00450" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="1" />
<REC FPOGX="1.05884" FPOGY="0.59668" FPOGS="3755.35547" FPOGD="0.36890" FPOGID="10319" FPOGV="1" LPOGX="1.17707" LPOGY="0.59253" LPOGV="1" RPOGX="0.91823" RPOGY="0.63064" RPOGV="1" BPOGX="1.04765" BPOGY="0.61158" BPOGV="1" LPCX="0.34508" LPCY="0.51122" LPD="21.74804" LPS="0.96850" LPV="1" RPCX="0.62067" RPCY="0.53146" RPD="20.78751" RPS="0.96850" RPV="1" LEYEX="-0.03965" LEYEY="-0.00326" LEYEZ="0.64015" LPUPILD="0.00447" LPUPILV="1" REYEX="0.02799" REYEY="-0.00691" REYEZ="0.63498" RPUPILD="0.00445" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="1" />
