2025-05-27 14:22:11.404451
REYEZ="0.59766" RPUPILD="0.00461" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.53137" FPOGY="0.90211" FPOGS="2641.72192" FPOGD="0.10693" FPOGID="5201" FPOGV="1" LPOGX="0.72494" LPOGY="0.82169" LPOGV="1" RPOGX="0.61673" RPOGY="1.06984" RPOGV="1" BPOGX="0.67083" BPOGY="0.94577" BPOGV="1" LPCX="0.31583" LPCY="0.58369" LPD="19.64525" LPS="0.83498" LPV="1" RPCX="0.57736" RPCY="0.58033" RPD="18.49817" RPS="0.83022" RPV="1" LEYEX="-0.04301" LEYEY="-0.01610" LEYEZ="0.60640" LPUPILD="0.00404" LPUPILV="1" REYEX="0.01703" REYEY="-0.01479" REYEZ="0.59766" RPUPILD="0.00454" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.53915" FPOGY="0.90453" FPOGS="2641.72192" FPOGD="0.11353" FPOGID="5201" FPOGV="1" LPOGX="0.72496" LPOGY="0.82158" LPOGV="1" RPOGX="0.61784" RPOGY="1.06970" RPOGV="1" BPOGX="0.67140" BPOGY="0.94564" BPOGV="1" LPCX="0.31579" LPCY="0.58380" LPD="19.64464" LPS="0.83534" LPV="1" RPCX="0.57715" RPCY="0.58033" RPD="18.77836" RPS="0.83534" RPV="1" LEYEX="-0.04300" LEYEY="-0.01614" LEYEZ="0.60626" LPUPILD="0.00406" LPUPILV="1" REYEX="0.01693" REYEY="-0.01475" REYEZ="0.59599" RPUPILD="0.00447" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.35301" FPOGY="0.87889" FPOGS="2642.69336" FPOGD="0.05322" FPOGID="5206" FPOGV="1" LPOGX="0.37622" LPOGY="0.80511" LPOGV="1" RPOGX="0.31395" RPOGY="0.96791" RPOGV="1" BPOGX="0.34508" BPOGY="0.88651" BPOGV="1" LPCX="0.30441" LPCY="0.58474" LPD="21.65168" LPS="0.83938" LPV="1" RPCX="0.56618" RPCY="0.57759" RPD="22.30708" RPS="0.83938" RPV="1" LEYEX="-0.18833" LEYEY="-0.06990" LEYEZ="2.61798" LPUPILD="0.00432" LPUPILV="0" REYEX="0.01548" REYEY="-0.01450" REYEZ="0.59490" RPUPILD="0.00505" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.35089" FPOGY="0.87859" FPOGS="2642.69336" FPOGD="0.06030" FPOGID="5206" FPOGV="1" LPOGX="0.37069" LPOGY="0.79372" LPOGV="1" RPOGX="0.29302" RPOGY="0.95813" RPOGV="1" BPOGX="0.33186" BPOGY="0.87592" BPOGV="1" LPCX="0.30433" LPCY="0.58457" LPD="21.53748" LPS="0.83426" LPV="1" RPCX="0.56618" RPCY="0.57759" RPD="22.22147" RPS="0.83426" RPV="1" LEYEX="-0.18833" LEYEY="-0.06990" LEYEZ="2.61798" LPUPILD="0.00431" LPUPILV="0" REYEX="0.01548" REYEY="-0.01450" REYEZ="0.59490" RPUPILD="0.00503" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.34940" FPOGY="0.87856" FPOGS="2642.69336" FPOGD="0.06665" FPOGID="5206" FPOGV="1" LPOGX="0.37428" LPOGY="0.79686" LPOGV="1" RPOGX="0.29469" RPOGY="0.95972" RPOGV="1" BPOGX="0.33449" BPOGY="0.87829" BPOGV="1" LPCX="0.30424" LPCY="0.58443" LPD="21.67186" LPS="0.82449" LPV="1" RPCX="0.56607" RPCY="0.57750" RPD="22.42374" RPS="0.82449" RPV="1" LEYEX="-0.18054" LEYEY="-0.06700" LEYEZ="2.50920" LPUPILD="0.00428" LPUPILV="0" REYEX="0.01548" REYEY="-0.01441" REYEZ="0.59490" RPUPILD="0.00506" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.35164" FPOGY="0.87725" FPOGS="2642.69336" FPOGD="0.07300" FPOGID="5206" FPOGV="1" LPOGX="0.42378" LPOGY="0.78264" LPOGV="1" RPOGX="0.32866" RPOGY="0.94300" RPOGV="1" BPOGX="0.37622" BPOGY="0.86282" BPOGV="1" LPCX="0.30420" LPCY="0.58418" LPD="21.79441" LPS="0.81984" LPV="1" RPCX="0.56595" RPCY="0.57724" RPD="22.70911" RPS="0.81984" RPV="1" LEYEX="-0.18054" LEYEY="-0.06700" LEYEZ="2.50920" LPUPILD="0.00433" LPUPILV="0" REYEX="0.01548" REYEY="-0.01441" REYEZ="0.59490" RPUPILD="0.00511" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.35329" FPOGY="0.87739" FPOGS="2642.69336" FPOGD="0.07959" FPOGID="5206" FPOGV="1" LPOGX="0.42269" LPOGY="0.83022" LPOGV="1" RPOGX="0.32353" RPOGY="0.92777" RPOGV="1" BPOGX="0.37311" BPOGY="0.87900" BPOGV="1" LPCX="0.30417" LPCY="0.58405" LPD="21.94762" LPS="0.81518" LPV="1" RPCX="0.56597" RPCY="0.57728" RPD="22.49647" RPS="0.81518" RPV="1" LEYEX="-0.18054" LEYEY="-0.06700" LEYEZ="2.50920" LPUPILD="0.00436" LPUPILV="0" REYEX="0.01548" REYEY="-0.01441" REYEZ="0.59490" RPUPILD="0.00514" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.35468" FPOGY="0.87746" FPOGS="2642.69336" FPOGD="0.08691" FPOGID="5206" FPOGV="1" LPOGX="0.42269" LPOGY="0.83022" LPOGV="1" RPOGX="0.32281" RPOGY="0.92670" RPOGV="1" BPOGX="0.37275" BPOGY="0.87846" BPOGV="1" LPCX="0.30422" LPCY="0.58403" LPD="22.03818" LPS="0.81518" LPV="1" RPCX="0.56586" RPCY="0.57724" RPD="22.50319" RPS="0.82042" RPV="1" LEYEX="-0.18800" LEYEY="-0.06944" LEYEZ="2.60809" LPUPILD="0.00434" LPUPILV="0" REYEX="0.01571" REYEY="-0.01463" REYEZ="0.60571" RPUPILD="0.00507" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.35499" FPOGY="0.87753" FPOGS="2642.69336" FPOGD="0.09375" FPOGID="5206" FPOGV="1" LPOGX="0.40581" LPOGY="0.80997" LPOGV="1" RPOGX="0.31290" RPOGY="0.94692" RPOGV="1" BPOGX="0.35935" BPOGY="0.87845" BPOGV="1" LPCX="0.30417" LPCY="0.58400" LPD="22.26917" LPS="0.82508" LPV="1" RPCX="0.56592" RPCY="0.57710" RPD="22.76392" RPS="0.83031" RPV="1" LEYEX="-0.18800" LEYEY="-0.06944" LEYEZ="2.60809" LPUPILD="0.00433" LPUPILV="0" REYEX="0.01571" REYEY="-0.01463" REYEZ="0.60571" RPUPILD="0.00508" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.35494" FPOGY="0.87673" FPOGS="2642.69336" FPOGD="0.10059" FPOGID="5206" FPOGV="1" LPOGX="0.39469" LPOGY="0.79569" LPOGV="1" RPOGX="0.31372" RPOGY="0.93389" RPOGV="1" BPOGX="0.35420" BPOGY="0.86479" BPOGV="1" LPCX="0.30410" LPCY="0.58405" LPD="21.81550" LPS="0.83497" LPV="1" RPCX="0.56595" RPCY="0.57707" RPD="22.67920" RPS="0.84021" RPV="1" LEYEX="-0.18800" LEYEY="-0.06944" LEYEZ="2.60809" LPUPILD="0.00431" LPUPILV="0" REYEX="0.01571" REYEY="-0.01463" REYEZ="0.60571" RPUPILD="0.00503" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.35468" FPOGY="0.87580" FPOGS="2642.69336" FPOGD="0.10791" FPOGID="5206" FPOGV="1" LPOGX="0.38960" LPOGY="0.79090" LPOGV="1" RPOGX="0.31154" RPOGY="0.93102" RPOGV="1" BPOGX="0.35057" BPOGY="0.86096" BPOGV="1" LPCX="0.30402" LPCY="0.58402" LPD="21.87828" LPS="0.84998" LPV="1" RPCX="0.56591" RPCY="0.57700" RPD="22.73873" RPS="0.85522" RPV="1" LEYEX="-0.04496" LEYEY="-0.01621" LEYEZ="0.61072" LPUPILD="0.00434" LPUPILV="1" REYEX="0.01571" REYEY="-0.01463" REYEZ="0.60571" RPUPILD="0.00503" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.35427" FPOGY="0.87476" FPOGS="2642.69336" FPOGD="0.11377" FPOGID="5206" FPOGV="1" LPOGX="0.38778" LPOGY="0.77969" LPOGV="1" RPOGX="0.30666" RPOGY="0.93423" RPOGV="1" BPOGX="0.34722" BPOGY="0.85696" BPOGV="1" LPCX="0.30385" LPCY="0.58397" LPD="21.89285" LPS="0.86034" LPV="1" RPCX="0.56584" RPCY="0.57696" RPD="22.75203" RPS="0.86034" RPV="1" LEYEX="-0.04496" LEYEY="-0.01621" LEYEZ="0.61072" LPUPILD="0.00429" LPUPILV="1" REYEX="0.01571" REYEY="-0.01463" REYEZ="0.60571" RPUPILD="0.00498" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
