2025-05-30 10:57:21.874601
 REYEZ="0.64293" RPUPILD="0.00448" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="1.08820" FPOGY="0.35366" FPOGS="3691.09033" FPOGD="0.15405" FPOGID="7622" FPOGV="1" LPOGX="1.19166" LPOGY="0.36631" LPOGV="1" RPOGX="0.95408" RPOGY="0.31924" RPOGV="1" BPOGX="1.07287" BPOGY="0.34278" BPOGV="1" LPCX="0.33454" LPCY="0.51843" LPD="23.49887" LPS="0.97659" LPV="1" RPCX="0.61985" RPCY="0.51529" RPD="24.40173" RPS="0.96940" RPV="1" LEYEX="-0.04234" LEYEY="-0.00491" LEYEZ="0.64166" LPUPILD="0.00410" LPUPILV="1" REYEX="0.02796" REYEY="-0.00424" REYEZ="0.64293" RPUPILD="0.00449" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="1.08757" FPOGY="0.35326" FPOGS="3691.09033" FPOGD="0.16040" FPOGID="7622" FPOGV="1" LPOGX="1.19121" LPOGY="0.36705" LPOGV="1" RPOGX="0.95363" RPOGY="0.31992" RPOGV="1" BPOGX="1.07242" BPOGY="0.34349" BPOGV="1" LPCX="0.33478" LPCY="0.51830" LPD="23.68004" LPS="0.97569" LPV="1" RPCX="0.61994" RPCY="0.51536" RPD="24.49466" RPS="0.96850" RPV="1" LEYEX="-0.04203" LEYEY="-0.00482" LEYEZ="0.63696" LPUPILD="0.00411" LPUPILV="1" REYEX="0.02816" REYEY="-0.00426" REYEZ="0.64535" RPUPILD="0.00449" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.51302" FPOGY="0.32225" FPOGS="3691.85376" FPOGD="0.31519" FPOGID="7626" FPOGV="1" LPOGX="0.61443" LPOGY="0.32492" LPOGV="1" RPOGX="0.40442" RPOGY="0.33531" RPOGV="1" BPOGX="0.50943" BPOGY="0.33011" BPOGV="1" LPCX="0.32156" LPCY="0.51762" LPD="22.65620" LPS="1.01833" LPV="1" RPCX="0.60742" RPCY="0.51569" RPD="23.31944" RPS="1.01833" RPV="1" LEYEX="-0.04501" LEYEY="-0.00485" LEYEZ="0.66039" LPUPILD="0.00412" LPUPILV="1" REYEX="0.02737" REYEY="-0.00441" REYEZ="0.66019" RPUPILD="0.00419" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51306" FPOGY="0.32326" FPOGS="3691.85376" FPOGD="0.32178" FPOGID="7626" FPOGV="1" LPOGX="0.61443" LPOGY="0.32492" LPOGV="1" RPOGX="0.40442" RPOGY="0.33531" RPOGV="1" BPOGX="0.50943" BPOGY="0.33011" BPOGV="1" LPCX="0.32145" LPCY="0.51770" LPD="22.57888" LPS="1.01833" LPV="1" RPCX="0.60727" RPCY="0.51579" RPD="23.10348" RPS="1.01833" RPV="1" LEYEX="-0.04332" LEYEY="-0.00470" LEYEZ="0.63355" LPUPILD="0.00411" LPUPILV="1" REYEX="0.02732" REYEY="-0.00436" REYEZ="0.66125" RPUPILD="0.00424" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51302" FPOGY="0.32444" FPOGS="3691.85376" FPOGD="0.32861" FPOGID="7626" FPOGV="1" LPOGX="0.62445" LPOGY="0.35041" LPOGV="1" RPOGX="0.41188" RPOGY="0.35367" RPOGV="1" BPOGX="0.51816" BPOGY="0.35204" BPOGV="1" LPCX="0.32125" LPCY="0.51776" LPD="22.62263" LPS="1.01131" LPV="1" RPCX="0.60698" RPCY="0.51574" RPD="22.97119" RPS="1.01131" RPV="1" LEYEX="-0.04332" LEYEY="-0.00470" LEYEZ="0.63355" LPUPILD="0.00414" LPUPILV="1" REYEX="0.02732" REYEY="-0.00436" REYEZ="0.66125" RPUPILD="0.00427" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51360" FPOGY="0.32547" FPOGS="3691.85376" FPOGD="0.33545" FPOGID="7626" FPOGV="1" LPOGX="0.64211" LPOGY="0.36303" LPOGV="1" RPOGX="0.42068" RPOGY="0.34724" RPOGV="1" BPOGX="0.53139" BPOGY="0.35514" BPOGV="1" LPCX="0.32110" LPCY="0.51773" LPD="22.54394" LPS="1.00428" LPV="1" RPCX="0.60682" RPCY="0.51570" RPD="22.97768" RPS="1.00428" RPV="1" LEYEX="-0.04332" LEYEY="-0.00470" LEYEZ="0.63355" LPUPILD="0.00414" LPUPILV="1" REYEX="0.02732" REYEY="-0.00436" REYEZ="0.66125" RPUPILD="0.00425" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51417" FPOGY="0.32632" FPOGS="3691.85376" FPOGD="0.34204" FPOGID="7626" FPOGV="1" LPOGX="0.64211" LPOGY="0.36303" LPOGV="1" RPOGX="0.42056" RPOGY="0.34123" RPOGV="1" BPOGX="0.53133" BPOGY="0.35213" BPOGV="1" LPCX="0.32095" LPCY="0.51782" LPD="22.45065" LPS="1.00428" LPV="1" RPCX="0.60678" RPCY="0.51563" RPD="23.17379" RPS="1.01237" RPV="1" LEYEX="-0.04547" LEYEY="-0.00497" LEYEZ="0.66276" LPUPILD="0.00411" LPUPILV="1" REYEX="0.02614" REYEY="-0.00425" REYEZ="0.63608" RPUPILD="0.00421" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51397" FPOGY="0.32584" FPOGS="3691.85376" FPOGD="0.34961" FPOGID="7626" FPOGV="1" LPOGX="0.60533" LPOGY="0.24745" LPOGV="1" RPOGX="0.39090" RPOGY="0.33297" RPOGV="1" BPOGX="0.49812" BPOGY="0.29021" BPOGV="1" LPCX="0.32064" LPCY="0.51792" LPD="22.78493" LPS="1.01940" LPV="1" RPCX="0.60648" RPCY="0.51561" RPD="23.04594" RPS="1.02749" RPV="1" LEYEX="-0.04547" LEYEY="-0.00497" LEYEZ="0.66276" LPUPILD="0.00419" LPUPILV="1" REYEX="0.02614" REYEY="-0.00425" REYEZ="0.63608" RPUPILD="0.00427" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51409" FPOGY="0.32586" FPOGS="3691.85376" FPOGD="0.35547" FPOGID="7626" FPOGV="1" LPOGX="0.65309" LPOGY="0.25306" LPOGV="1" RPOGX="0.37629" RPOGY="0.34033" RPOGV="1" BPOGX="0.51469" BPOGY="0.29669" BPOGV="1" LPCX="0.32048" LPCY="0.51798" LPD="22.74987" LPS="1.03451" LPV="1" RPCX="0.60627" RPCY="0.51568" RPD="23.03919" RPS="1.04260" RPV="1" LEYEX="-0.04547" LEYEY="-0.00497" LEYEZ="0.66276" LPUPILD="0.00415" LPUPILV="1" REYEX="0.02614" REYEY="-0.00425" REYEZ="0.63608" RPUPILD="0.00422" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51420" FPOGY="0.32574" FPOGS="3691.85376" FPOGD="0.36206" FPOGID="7626" FPOGV="1" LPOGX="0.65288" LPOGY="0.24666" LPOGV="1" RPOGX="0.37629" RPOGY="0.34033" RPOGV="1" BPOGX="0.51458" BPOGY="0.29349" BPOGV="1" LPCX="0.32024" LPCY="0.51812" LPD="22.85900" LPS="1.04260" LPV="1" RPCX="0.60613" RPCY="0.51572" RPD="22.95929" RPS="1.04260" RPV="1" LEYEX="-0.04446" LEYEY="-0.00489" LEYEZ="0.64596" LPUPILD="0.00413" LPUPILV="1" REYEX="0.02696" REYEY="-0.00440" REYEZ="0.65978" RPUPILD="0.00423" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51409" FPOGY="0.32579" FPOGS="3691.85376" FPOGD="0.36865" FPOGID="7626" FPOGV="1" LPOGX="0.61009" LPOGY="0.27003" LPOGV="1" RPOGX="0.39905" RPOGY="0.34204" RPOGV="1" BPOGX="0.50457" BPOGY="0.30604" BPOGV="1" LPCX="0.32002" LPCY="0.51815" LPD="22.94945" LPS="1.03557" LPV="1" RPCX="0.60587" RPCY="0.51565" RPD="23.37247" RPS="1.02749" RPV="1" LEYEX="-0.04446" LEYEY="-0.00489" LEYEZ="0.64596" LPUPILD="0.00417" LPUPILV="1" REYEX="0.02696" REYEY="-0.00440" REYEZ="0.65978" RPUPILD="0.00421" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51408" FPOGY="0.32594" FPOGS="3691.85376" FPOGD="0.37549" FPOGID="7626" FPOGV="1" LPOGX="0.62945" LPOGY="0.29377" LPOGV="1" RPOGX="0.38267" RPOGY="0.34959" RPOGV="1" BPOGX="0.50606" BPOGY="0.32168" BPOGV="1" LPCX="0.31978" LPCY="0.51825" LPD="22.62856" LPS="1.02046" LPV="1" RPCX="0.60566" RPCY="0.51569" RPD="22.88978" RPS="1.01237" RPV="1" LEYEX="-0.04446" LEYEY="-0.00489" LEYEZ="0.64596" LPUPILD="0.00415" LPUPILV="1" REYEX="0.02696" REYEY="-0.00440" REYEZ="0.65978" RPUPILD="0.00424" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51408" FPOGY="0.32620" FPOGS="3691.85376" FPOGD="0.38232" FPOGID="7626" FPOGV="1" LPOGX="0.62984" LPOGY="0.29990" LPOGV="1" RPOGX="0.38308" RPOGY="0.35556" RPOGV="1" BPOGX="0.50646" BPOGY="0.32773" BPOGV="1" LPCX="0.31955" LPCY="0.51839" LPD="22.72287" LPS="1.01237" LPV="1" RPCX="0.60545" RPCY="0.51568" RPD="23.07354" RPS="1.00428" RPV="1" LEYEX="-0.04570" LEYEY="-0.00506" LEYEZ="0.66180" LPUPILD="0.00413" LPUPILV="1" REYEX="0.02686" REYEY="-0.00447" REYEZ="0.66219" RPUPILD="0.00424" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51432" FPOGY="0.32670" FPOGS="3691.85376" FPOGD="0.38892" FPOGID="7626" FPOGV="1" LPOGX="0.63114" LPOGY="0.32447" LPOGV="1" RPOGX="0.41411" RPOGY="0.34543" RPOGV="1" BPOGX="0.52263" BPOGY="0.33495" BPOGV="1" LPCX="0.31925" LPCY="0.51850" LPD="22.70459" LPS="1.01131" LPV="1" RPCX="0.60523" RPCY="0.51571" RPD="23.06997" RPS="1.01131" RPV="1" LEYEX="-0.04570" LEYEY="-0.00506" LEYEZ="0.66180" LPUPILD="0.00418" LPUPILV="1" REYEX="0.02686" REYEY="-0.00447" REYEZ="0.66219" RPUPILD="0.00421" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51420" FPOGY="0.32627" FPOGS="3691.85376" FPOGD="0.39648" FPOGID="7626" FPOGV="1" LPOGX="0.60420" LPOGY="0.32798" LPOGV="1" RPOGX="0.39488" RPOGY="0.29481" RPOGV="1" BPOGX="0.49954" BPOGY="0.31139" BPOGV="1" LPCX="0.31920" LPCY="0.51857" LPD="22.70035" LPS="1.01834" LPV="1" RPCX="0.60501" RPCY="0.51579" RPD="23.05400" RPS="1.01834" RPV="1" LEYEX="-0.04570" LEYEY="-0.00506" LEYEZ="0.66180" LPUPILD="0.00415" LPUPILV="1" REYEX="0.02686" REYEY="-0.00447" REYEZ="0.66219" RPUPILD="0.00422" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51407" FPOGY="0.32578" FPOGS="3691.85376" FPOGD="0.40259" FPOGID="7626" FPOGV="1" LPOGX="0.60369" LPOGY="0.32290" LPOGV="1" RPOGX="0.39430" RPOGY="0.28291" RPOGV="1" BPOGX="0.49900" BPOGY="0.30291" BPOGV="1" LPCX="0.31892" LPCY="0.51871" LPD="22.65066" LPS="1.02536" LPV="1" RPCX="0.60479" RPCY="0.51569" RPD="22.92681" RPS="1.03345" RPV="1" LEYEX="-0.04535" LEYEY="-0.00510" LEYEZ="0.65383" LPUPILD="0.00413" LPUPILV="1" REYEX="0.02746" REYEY="-0.00459" REYEZ="0.68066" RPUPILD="0.00421" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51437" FPOGY="0.32621" FPOGS="3691.85376" FPOGD="0.40894" FPOGID="7626" FPOGV="1" LPOGX="0.63433" LPOGY="0.33464" LPOGV="1" RPOGX="0.43084" RPOGY="0.34290" RPOGV="1" BPOGX="0.53259" BPOGY="0.33877" BPOGV="1" LPCX="0.31873" LPCY="0.51880" LPD="22.67155" LPS="1.03345" LPV="1" RPCX="0.60449" RPCY="0.51573" RPD="22.92561" RPS="1.04154" RPV="1" LEYEX="-0.04535" LEYEY="-0.00510" LEYEZ="0.65383" LPUPILD="0.00416" LPUPILV="1" REYEX="0.02746" REYEY="-0.00459" REYEZ="0.68066" RPUPILD="0.00424" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51432" FPOGY="0.32570" FPOGS="3691.85376" FPOGD="0.41553" FPOGID="7626" FPOGV="1" LPOGX="0.62145" LPOGY="0.29556" LPOGV="1" RPOGX="0.40712" RPOGY="0.27977" RPOGV="1" BPOGX="0.51428" BPOGY="0.28766" BPOGV="1" LPCX="0.31856" LPCY="0.51895" LPD="22.64853" LPS="1.04154" LPV="1" RPCX="0.60438" RPCY="0.51579" RPD="22.81474" RPS="1.04963" RPV="1" LEYEX="-0.04535" LEYEY="-0.00510" LEYEZ="0.65383" LPUPILD="0.00411" LPUPILV="1" REYEX="0.02746" REYEY="-0.00459" REYEZ="0.68066" RPUPILD="0.00420" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51426" FPOGY="0.32514" FPOGS="3691.85376" FPOGD="0.42188" FPOGID="7626" FPOGV="1" LPOGX="0.62139" LPOGY="0.29477" LPOGV="1" RPOGX="0.40709" RPOGY="0.27894" RPOGV="1" BPOGX="0.51424" BPOGY="0.28686" BPOGV="1" LPCX="0.31828" LPCY="0.51899" LPD="22.96144" LPS="1.04260" LPV="1" RPCX="0.60425" RPCY="0.51583" RPD="22.89283" RPS="1.05069" RPV="1" LEYEX="-0.04358" LEYEY="-0.00489" LEYEZ="0.62630" LPUPILD="0.00411" LPUPILV="1" REYEX="0.02730" REYEY="-0.00458" REYEZ="0.67916" RPUPILD="0.00423" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51408" FPOGY="0.32442" FPOGS="3691.85376" FPOGD="0.42871" FPOGID="7626" FPOGV="1" LPOGX="0.62439" LPOGY="0.26751" LPOGV="1" RPOGX="0.37819" RPOGY="0.30338" RPOGV="1" BPOGX="0.50129" BPOGY="0.28545" BPOGV="1" LPCX="0.31815" LPCY="0.51917" LPD="22.77966" LPS="1.04366" LPV="1" RPCX="0.60397" RPCY="0.51583" RPD="23.12813" RPS="1.04366" RPV="1" LEYEX="-0.04358" LEYEY="-0.00489" LEYEZ="0.62630" LPUPILD="0.00413" LPUPILV="1" REYEX="0.02730" REYEY="-0.00458" REYEZ="0.67916" RPUPILD="0.00418" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51442" FPOGY="0.32314" FPOGS="3691.85376" FPOGD="0.43530" FPOGID="7626" FPOGV="1" LPOGX="0.64306" LPOGY="0.27331" LPOGV="1" RPOGX="0.40037" RPOGY="0.28846" RPOGV="1" BPOGX="0.52171" BPOGY="0.28089" BPOGV="1" LPCX="0.31798" LPCY="0.51924" LPD="22.90200" LPS="1.03664" LPV="1" RPCX="0.60390" RPCY="0.51582" RPD="22.94114" RPS="1.03664" RPV="1" LEYEX="-0.04358" LEYEY="-0.00489" LEYEZ="0.62630" LPUPILD="0.00410" LPUPILV="1" REYEX="0.02730" REYEY="-0.00458" REYEZ="0.67916" RPUPILD="0.00421" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51476" FPOGY="0.32199" FPOGS="3691.85376" FPOGD="0.44336" FPOGID="7626" FPOGV="1" LPOGX="0.64331" LPOGY="0.27871" LPOGV="1" RPOGX="0.40087" RPOGY="0.30023" RPOGV="1" BPOGX="0.52209" BPOGY="0.28947" BPOGV="1" LPCX="0.31791" LPCY="0.51933" LPD="22.78068" LPS="1.02961" LPV="1" RPCX="0.60372" RPCY="0.51588" RPD="23.00611" RPS="1.02152" RPV="1" LEYEX="-0.04441" LEYEY="-0.00506" LEYEZ="0.63696" LPUPILD="0.00412" LPUPILV="1" REYEX="0.02613" REYEY="-0.00446" REYEZ="0.65386" RPUPILD="0.00422" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
