2025-05-29 12:01:56.467898
YEZ="0.67562" RPUPILD="0.00330" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.68062" FPOGY="0.51645" FPOGS="7068.21436" FPOGD="0.12695" FPOGID="19051" FPOGV="1" LPOGX="0.91686" LPOGY="0.68144" LPOGV="1" RPOGX="0.58429" RPOGY="0.45381" RPOGV="1" BPOGX="0.75057" BPOGY="0.56763" BPOGV="1" LPCX="0.33747" LPCY="0.38508" LPD="17.87379" LPS="1.10083" LPV="1" RPCX="0.62621" RPCY="0.41054" RPD="19.57113" RPS="1.10083" RPV="1" LEYEX="-0.04282" LEYEY="0.02303" LEYEZ="0.67348" LPUPILD="0.00317" LPUPILV="1" REYEX="0.00000" REYEY="0.00000" REYEZ="0.00000" RPUPILD="0.00358" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.68388" FPOGY="0.51909" FPOGS="7068.21436" FPOGD="0.13379" FPOGID="19051" FPOGV="1" LPOGX="0.91500" LPOGY="0.68485" LPOGV="1" RPOGX="0.58314" RPOGY="0.45894" RPOGV="1" BPOGX="0.74907" BPOGY="0.57189" BPOGV="1" LPCX="0.33801" LPCY="0.38508" LPD="17.61274" LPS="1.09187" LPV="1" RPCX="0.62664" RPCY="0.41062" RPD="19.15615" RPS="1.09187" RPV="1" LEYEX="-0.04321" LEYEY="0.02346" LEYEZ="0.68606" LPUPILD="0.00321" LPUPILV="1" REYEX="0.03257" REYEY="0.01761" REYEZ="0.67879" RPUPILD="0.00353" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.69104" FPOGY="0.52031" FPOGS="7068.21436" FPOGD="0.14014" FPOGID="19051" FPOGV="1" LPOGX="0.96630" LPOGY="0.70768" LPOGV="1" RPOGX="0.71659" RPOGY="0.38420" RPOGV="1" BPOGX="0.84145" BPOGY="0.54594" BPOGV="1" LPCX="0.33981" LPCY="0.38517" LPD="17.71855" LPS="1.09187" LPV="1" RPCX="0.62833" RPCY="0.41080" RPD="19.52562" RPS="1.09187" RPV="1" LEYEX="-0.04321" LEYEY="0.02346" LEYEZ="0.68606" LPUPILD="0.00318" LPUPILV="1" REYEX="0.03257" REYEY="0.01761" REYEZ="0.67879" RPUPILD="0.00356" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.72173" FPOGY="0.54439" FPOGS="7068.21436" FPOGD="0.14014" FPOGID="19051" FPOGV="0" LPOGX="1.00414" LPOGY="0.71370" LPOGV="1" RPOGX="0.70386" RPOGY="0.43913" RPOGV="1" BPOGX="0.85400" BPOGY="0.57641" BPOGV="1" LPCX="0.34015" LPCY="0.38521" LPD="18.19776" LPS="1.09187" LPV="1" RPCX="0.62859" RPCY="0.41082" RPD="19.55870" RPS="1.09187" RPV="1" LEYEX="-0.04321" LEYEY="0.02346" LEYEZ="0.68606" LPUPILD="0.00322" LPUPILV="1" REYEX="0.03257" REYEY="0.01761" REYEZ="0.67879" RPUPILD="0.00348" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.78787" FPOGY="0.56040" FPOGS="7068.21436" FPOGD="0.14014" FPOGID="19051" FPOGV="0" LPOGX="1.00414" LPOGY="0.71370" LPOGV="1" RPOGX="0.70386" RPOGY="0.43913" RPOGV="1" BPOGX="0.85400" BPOGY="0.57641" BPOGV="1" LPCX="0.34028" LPCY="0.38517" LPD="17.83833" LPS="1.09187" LPV="1" RPCX="0.62872" RPCY="0.41076" RPD="19.38715" RPS="1.09187" RPV="1" LEYEX="-0.04268" LEYEY="0.02329" LEYEZ="0.68088" LPUPILD="0.00318" LPUPILV="1" REYEX="0.03318" REYEY="0.01783" REYEZ="0.68703" RPUPILD="0.00352" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.81091" FPOGY="0.55281" FPOGS="7068.21436" FPOGD="0.14014" FPOGID="19051" FPOGV="0" LPOGX="1.00393" LPOGY="0.71076" LPOGV="1" RPOGX="0.71006" RPOGY="0.36450" RPOGV="1" BPOGX="0.85700" BPOGY="0.53763" BPOGV="1" LPCX="0.34044" LPCY="0.38516" LPD="17.85295" LPS="1.09187" LPV="1" RPCX="0.62885" RPCY="0.41077" RPD="19.48996" RPS="1.09187" RPV="1" LEYEX="-0.04268" LEYEY="0.02329" LEYEZ="0.68088" LPUPILD="0.00319" LPUPILV="1" REYEX="0.03318" REYEY="0.01783" REYEZ="0.68703" RPUPILD="0.00354" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.85584" FPOGY="0.55120" FPOGS="7068.21436" FPOGD="0.14014" FPOGID="19051" FPOGV="0" LPOGX="1.00494" LPOGY="0.71798" LPOGV="1" RPOGX="0.70812" RPOGY="0.36112" RPOGV="1" BPOGX="0.85653" BPOGY="0.53955" BPOGV="1" LPCX="0.34043" LPCY="0.38524" LPD="17.77224" LPS="1.09187" LPV="1" RPCX="0.62887" RPCY="0.41076" RPD="19.50114" RPS="1.09187" RPV="1" LEYEX="-0.04268" LEYEY="0.02329" LEYEZ="0.68088" LPUPILD="0.00323" LPUPILV="1" REYEX="0.03318" REYEY="0.01783" REYEZ="0.68703" RPUPILD="0.00354" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.85619" FPOGY="0.54537" FPOGS="7068.21436" FPOGD="0.14014" FPOGID="19051" FPOGV="0" LPOGX="1.00494" LPOGY="0.71798" LPOGV="1" RPOGX="0.70812" RPOGY="0.36112" RPOGV="1" BPOGX="0.85653" BPOGY="0.53955" BPOGV="1" LPCX="0.34043" LPCY="0.38525" LPD="17.75217" LPS="1.09187" LPV="1" RPCX="0.62883" RPCY="0.41077" RPD="19.56981" RPS="1.09187" RPV="1" LEYEX="-0.04268" LEYEY="0.02324" LEYEZ="0.68088" LPUPILD="0.00323" LPUPILV="1" REYEX="0.03275" REYEY="0.01755" REYEZ="0.67820" RPUPILD="0.00354" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.85843" FPOGY="0.54764" FPOGS="7068.21436" FPOGD="0.14014" FPOGID="19051" FPOGV="0" LPOGX="1.00719" LPOGY="0.72955" LPOGV="1" RPOGX="0.71863" RPOGY="0.37478" RPOGV="1" BPOGX="0.86291" BPOGY="0.55217" BPOGV="1" LPCX="0.34044" LPCY="0.38534" LPD="17.81575" LPS="1.09187" LPV="1" RPCX="0.62884" RPCY="0.41082" RPD="19.63394" RPS="1.09187" RPV="1" LEYEX="-0.04268" LEYEY="0.02324" LEYEZ="0.68088" LPUPILD="0.00322" LPUPILV="1" REYEX="0.03275" REYEY="0.01755" REYEZ="0.67820" RPUPILD="0.00355" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.85980" FPOGY="0.54713" FPOGS="7068.38135" FPOGD="0.02002" FPOGID="19052" FPOGV="1" LPOGX="1.00437" LPOGY="0.70925" LPOGV="1" RPOGX="0.72347" RPOGY="0.38196" RPOGV="1" BPOGX="0.86392" BPOGY="0.54561" BPOGV="1" LPCX="0.34053" LPCY="0.38532" LPD="18.00040" LPS="1.09187" LPV="1" RPCX="0.62882" RPCY="0.41081" RPD="19.59376" RPS="1.09187" RPV="1" LEYEX="-0.04268" LEYEY="0.02324" LEYEZ="0.68088" LPUPILD="0.00324" LPUPILV="1" REYEX="0.03275" REYEY="0.01755" REYEZ="0.67820" RPUPILD="0.00356" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.86062" FPOGY="0.54683" FPOGS="7068.38135" FPOGD="0.02734" FPOGID="19052" FPOGV="1" LPOGX="1.00437" LPOGY="0.70925" LPOGV="1" RPOGX="0.72347" RPOGY="0.38196" RPOGV="1" BPOGX="0.86392" BPOGY="0.54561" BPOGV="1" LPCX="0.34051" LPCY="0.38536" LPD="17.97212" LPS="1.09187" LPV="1" RPCX="0.62886" RPCY="0.41081" RPD="19.56348" RPS="1.09187" RPV="1" LEYEX="-0.04268" LEYEY="0.02324" LEYEZ="0.68088" LPUPILD="0.00323" LPUPILV="1" REYEX="0.03275" REYEY="0.01755" REYEZ="0.67820" RPUPILD="0.00356" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.86111" FPOGY="0.54854" FPOGS="7068.38135" FPOGD="0.03369" FPOGID="19052" FPOGV="1" LPOGX="1.01055" LPOGY="0.71645" LPOGV="1" RPOGX="0.71658" RPOGY="0.39772" RPOGV="1" BPOGX="0.86357" BPOGY="0.55708" BPOGV="1" LPCX="0.34051" LPCY="0.38537" LPD="17.97983" LPS="1.09187" LPV="1" RPCX="0.62889" RPCY="0.41087" RPD="19.62432" RPS="1.09187" RPV="1" LEYEX="-0.04268" LEYEY="0.02324" LEYEZ="0.68088" LPUPILD="0.00322" LPUPILV="1" REYEX="0.03275" REYEY="0.01755" REYEZ="0.67820" RPUPILD="0.00358" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.86195" FPOGY="0.55088" FPOGS="7068.38135" FPOGD="0.04053" FPOGID="19052" FPOGV="1" LPOGX="1.00824" LPOGY="0.73033" LPOGV="1" RPOGX="0.72569" RPOGY="0.39950" RPOGV="1" BPOGX="0.86697" BPOGY="0.56491" BPOGV="1" LPCX="0.34051" LPCY="0.38540" LPD="18.01937" LPS="1.09187" LPV="1" RPCX="0.62889" RPCY="0.41087" RPD="19.62432" RPS="1.09187" RPV="1" LEYEX="-0.04268" LEYEY="0.02324" LEYEZ="0.68088" LPUPILD="0.00322" LPUPILV="1" REYEX="0.03275" REYEY="0.01755" REYEZ="0.67820" RPUPILD="0.00358" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.86258" FPOGY="0.55263" FPOGS="7068.38135" FPOGD="0.04736" FPOGID="19052" FPOGV="1" LPOGX="1.00824" LPOGY="0.73033" LPOGV="1" RPOGX="0.72569" RPOGY="0.39950" RPOGV="1" BPOGX="0.86697" BPOGY="0.56491" BPOGV="1" LPCX="0.34051" LPCY="0.38537" LPD="17.99349" LPS="1.09187" LPV="1" RPCX="0.62889" RPCY="0.41091" RPD="19.62699" RPS="1.09187" RPV="1" LEYEX="-0.04268" LEYEY="0.02324" LEYEZ="0.68088" LPUPILD="0.00323" LPUPILV="1" REYEX="0.03275" REYEY="0.01755" REYEZ="0.67820" RPUPILD="0.00359" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.86257" FPOGY="0.55562" FPOGS="7068.38135" FPOGD="0.05420" FPOGID="19052" FPOGV="1" LPOGX="1.00718" LPOGY="0.73814" LPOGV="1" RPOGX="0.71785" RPOGY="0.42090" RPOGV="1" BPOGX="0.86251" BPOGY="0.57952" BPOGV="1" LPCX="0.34054" LPCY="0.38541" LPD="17.84853" LPS="1.09187" LPV="1" RPCX="0.62894" RPCY="0.41101" RPD="19.50789" RPS="1.09187" RPV="1" LEYEX="-0.04268" LEYEY="0.02324" LEYEZ="0.68088" LPUPILD="0.00325" LPUPILV="1" REYEX="0.03275" REYEY="0.01755" REYEZ="0.67820" RPUPILD="0.00366" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.86329" FPOGY="0.55774" FPOGS="7068.38135" FPOGD="0.06055" FPOGID="19052" FPOGV="1" LPOGX="1.01156" LPOGY="0.75671" LPOGV="1" RPOGX="0.72792" RPOGY="0.39701" RPOGV="1" BPOGX="0.86974" BPOGY="0.57686" BPOGV="1" LPCX="0.34048" LPCY="0.38560" LPD="18.12582" LPS="1.09187" LPV="1" RPCX="0.62887" RPCY="0.41100" RPD="19.71039" RPS="1.09187" RPV="1" LEYEX="-0.04268" LEYEY="0.02324" LEYEZ="0.68088" LPUPILD="0.00329" LPUPILV="1" REYEX="0.03275" REYEY="0.01755" REYEZ="0.67820" RPUPILD="0.00362" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.86398" FPOGY="0.55922" FPOGS="7068.38135" FPOGD="0.06738" FPOGID="19052" FPOGV="1" LPOGX="1.01156" LPOGY="0.75671" LPOGV="1" RPOGX="0.73025" RPOGY="0.39134" RPOGV="1" BPOGX="0.87091" BPOGY="0.57403" BPOGV="1" LPCX="0.34053" LPCY="0.38543" LPD="17.87420" LPS="1.09187" LPV="1" RPCX="0.62896" RPCY="0.41098" RPD="19.57353" RPS="1.10104" RPV="1" LEYEX="-0.04268" LEYEY="0.02324" LEYEZ="0.68088" LPUPILD="0.00326" LPUPILV="1" REYEX="0.03332" REYEY="0.01778" REYEZ="0.68897" RPUPILD="0.00361" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.86313" FPOGY="0.55717" FPOGS="7068.38135" FPOGD="0.07422" FPOGID="19052" FPOGV="1" LPOGX="0.98109" LPOGY="0.66106" LPOGV="1" RPOGX="0.72645" RPOGY="0.40804" RPOGV="1" BPOGX="0.85377" BPOGY="0.53455" BPOGV="1" LPCX="0.34059" LPCY="0.38550" LPD="17.60560" LPS="1.10104" LPV="1" RPCX="0.62900" RPCY="0.41107" RPD="19.51891" RPS="1.11020" RPV="1" LEYEX="-0.04268" LEYEY="0.02324" LEYEZ="0.68088" LPUPILD="0.00348" LPUPILV="1" REYEX="0.03332" REYEY="0.01778" REYEZ="0.68897" RPUPILD="0.00364" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.86301" FPOGY="0.55310" FPOGS="7068.38135" FPOGD="0.08057" FPOGID="19052" FPOGV="1" LPOGX="0.98046" LPOGY="0.60505" LPOGV="1" RPOGX="0.74270" RPOGY="0.40353" RPOGV="1" BPOGX="0.86158" BPOGY="0.50429" BPOGV="1" LPCX="0.34056" LPCY="0.38531" LPD="17.66386" LPS="1.11020" LPV="1" RPCX="0.62897" RPCY="0.41109" RPD="19.63628" RPS="1.11937" RPV="1" LEYEX="-0.04268" LEYEY="0.02324" LEYEZ="0.68088" LPUPILD="0.00339" LPUPILV="1" REYEX="0.03332" REYEY="0.01778" REYEZ="0.68897" RPUPILD="0.00363" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.86308" FPOGY="0.54927" FPOGS="7068.38135" FPOGD="0.08740" FPOGID="19052" FPOGV="1" LPOGX="0.98285" LPOGY="0.60085" LPOGV="1" RPOGX="0.74508" RPOGY="0.39805" RPOGV="1" BPOGX="0.86397" BPOGY="0.49945" BPOGV="1" LPCX="0.34057" LPCY="0.38539" LPD="17.76998" LPS="1.11937" LPV="1" RPCX="0.62903" RPCY="0.41105" RPD="19.66069" RPS="1.12854" RPV="1" LEYEX="-0.04268" LEYEY="0.02318" LEYEZ="0.68088" LPUPILD="0.00340" LPUPILV="1" REYEX="0.03332" REYEY="0.01778" REYEZ="0.68897" RPUPILD="0.00363" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.86333" FPOGY="0.54668" FPOGS="7068.38135" FPOGD="0.09424" FPOGID="19052" FPOGV="1" LPOGX="0.98914" LPOGY="0.61309" LPOGV="1" RPOGX="0.74459" RPOGY="0.40797" RPOGV="1" BPOGX="0.86686" BPOGY="0.51053" BPOGV="1" LPCX="0.34050" LPCY="0.38556" LPD="17.72882" LPS="1.12854" LPV="1" RPCX="0.62903" RPCY="0.41118" RPD="19.77936" RPS="1.12854" RPV="1" LEYEX="-0.04268" LEYEY="0.02318" LEYEZ="0.68088" LPUPILD="0.00333" LPUPILV="1" REYEX="0.03332" REYEY="0.01778" REYEZ="0.68897" RPUPILD="0.00367" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.86350" FPOGY="0.54458" FPOGS="7068.38135" FPOGD="0.10107" FPOGID="19052" FPOGV="1" LPOGX="0.99490" LPOGY="0.60311" LPOGV="1" RPOGX="0.73717" RPOGY="0.42301" RPOGV="1" BPOGX="0.86603" BPOGY="0.51306" BPOGV="1" LPCX="0.34058" LPCY="0.38543" LPD="17.74378" LPS="1.12854" LPV="1" RPCX="0.62909" RPCY="0.41121" RPD="19.85907" RPS="1.12854" RPV="1" LEYEX="-0.04268" LEYEY="0.02318" LEYEZ="0.68088" LPUPILD="0.00341" LPUPILV="1" REYEX="0.03332" REYEY="0.01778" REYEZ="0.68897" RPUPILD="0.00360" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.86379" FPOGY="0.54246" FPOGS="7068.38135" FPOGD="0.10742" FPOGID="19052" FPOGV="1" LPOGX="0.99730" LPOGY="0.59905" LPOGV="1" RPOGX="0.73944" RPOGY="0.41785" RPOGV="1" BPOGX="0.86837" BPOGY="0.50845" BPOGV="1" LPCX="0.34058" LPCY="0.38555" LPD="17.80368" LPS="1.13750" LPV="1" RPCX="0.62908" RPCY="0.41125" RPD="19.83879" RPS="1.13750" RPV="1" LEYEX="-0.04413" LEYEY="0.02389" LEYEZ="0.70475" LPUPILD="0.00336" LPUPILV="1" REYEX="0.03332" REYEY="0.01778" REYEZ="0.68897" RPUPILD="0.00359" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
