2025-05-27 14:36:26.195441
Z="0.63896" RPUPILD="0.00568" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.98862" FPOGY="0.50865" FPOGS="3496.43262" FPOGD="0.18726" FPOGID="7581" FPOGV="1" LPOGX="1.08446" LPOGY="0.54151" LPOGV="1" RPOGX="0.83356" RPOGY="0.47976" RPOGV="1" BPOGX="0.95901" BPOGY="0.51063" BPOGV="1" LPCX="0.25897" LPCY="0.41094" LPD="22.92793" LPS="0.97442" LPV="1" RPCX="0.51468" RPCY="0.40727" RPD="25.33723" RPS="0.97442" RPV="1" LEYEX="-0.06033" LEYEY="0.01640" LEYEZ="0.63760" LPUPILD="0.00466" LPUPILV="1" REYEX="0.00240" REYEY="0.01725" REYEZ="0.63896" RPUPILD="0.00569" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.93163" FPOGY="0.47892" FPOGS="3497.49780" FPOGD="0.04028" FPOGID="7585" FPOGV="1" LPOGX="1.07112" LPOGY="0.49080" LPOGV="1" RPOGX="0.78972" RPOGY="0.46598" RPOGV="1" BPOGX="0.93042" BPOGY="0.47839" BPOGV="1" LPCX="0.25853" LPCY="0.41172" LPD="21.62537" LPS="1.04869" LPV="1" RPCX="0.51420" RPCY="0.40831" RPD="25.15830" RPS="1.04150" RPV="1" LEYEX="-0.06297" LEYEY="0.01700" LEYEZ="0.66651" LPUPILD="0.00449" LPUPILV="1" REYEX="0.00243" REYEY="0.01725" REYEZ="0.64787" RPUPILD="0.00550" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.93160" FPOGY="0.47910" FPOGS="3497.49780" FPOGD="0.04712" FPOGID="7585" FPOGV="1" LPOGX="1.07653" LPOGY="0.49529" LPOGV="1" RPOGX="0.78624" RPOGY="0.46542" RPOGV="1" BPOGX="0.93139" BPOGY="0.48035" BPOGV="1" LPCX="0.25861" LPCY="0.41179" LPD="21.60390" LPS="1.04150" LPV="1" RPCX="0.51419" RPCY="0.40828" RPD="25.13969" RPS="1.03431" RPV="1" LEYEX="-0.06297" LEYEY="0.01700" LEYEZ="0.66651" LPUPILD="0.00449" LPUPILV="1" REYEX="0.00243" REYEY="0.01725" REYEZ="0.64787" RPUPILD="0.00551" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.93130" FPOGY="0.47972" FPOGS="3497.49780" FPOGD="0.05371" FPOGID="7585" FPOGV="1" LPOGX="1.07391" LPOGY="0.49971" LPOGV="1" RPOGX="0.78392" RPOGY="0.46964" RPOGV="1" BPOGX="0.92891" BPOGY="0.48467" BPOGV="1" LPCX="0.25860" LPCY="0.41177" LPD="21.53222" LPS="1.03431" LPV="1" RPCX="0.51422" RPCY="0.40826" RPD="25.04955" RPS="1.02712" RPV="1" LEYEX="-0.06366" LEYEY="0.01713" LEYEZ="0.67380" LPUPILD="0.00447" LPUPILV="1" REYEX="0.00243" REYEY="0.01725" REYEZ="0.64787" RPUPILD="0.00552" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.93058" FPOGY="0.47746" FPOGS="3497.49780" FPOGD="0.06055" FPOGID="7585" FPOGV="1" LPOGX="1.06698" LPOGY="0.44457" LPOGV="1" RPOGX="0.78120" RPOGY="0.46968" RPOGV="1" BPOGX="0.92409" BPOGY="0.45712" BPOGV="1" LPCX="0.25853" LPCY="0.41177" LPD="21.73825" LPS="1.02712" LPV="1" RPCX="0.51419" RPCY="0.40824" RPD="25.07288" RPS="1.02712" RPV="1" LEYEX="-0.06366" LEYEY="0.01713" LEYEZ="0.67380" LPUPILD="0.00450" LPUPILV="1" REYEX="0.00243" REYEY="0.01725" REYEZ="0.64787" RPUPILD="0.00554" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.92981" FPOGY="0.47581" FPOGS="3497.49780" FPOGD="0.06689" FPOGID="7585" FPOGV="1" LPOGX="1.06226" LPOGY="0.45227" LPOGV="1" RPOGX="0.78193" RPOGY="0.46623" RPOGV="1" BPOGX="0.92209" BPOGY="0.45925" BPOGV="1" LPCX="0.25854" LPCY="0.41175" LPD="21.65667" LPS="1.02712" LPV="1" RPCX="0.51422" RPCY="0.40826" RPD="25.04955" RPS="1.02712" RPV="1" LEYEX="-0.06366" LEYEY="0.01713" LEYEZ="0.67380" LPUPILD="0.00448" LPUPILV="1" REYEX="0.00243" REYEY="0.01725" REYEZ="0.64787" RPUPILD="0.00552" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.92917" FPOGY="0.47443" FPOGS="3497.49780" FPOGD="0.07422" FPOGID="7585" FPOGV="1" LPOGX="1.06226" LPOGY="0.45227" LPOGV="1" RPOGX="0.78193" RPOGY="0.46623" RPOGV="1" BPOGX="0.92209" BPOGY="0.45925" BPOGV="1" LPCX="0.25854" LPCY="0.41173" LPD="21.64639" LPS="1.02712" LPV="1" RPCX="0.51420" RPCY="0.40824" RPD="25.08612" RPS="1.02712" RPV="1" LEYEX="-0.06297" LEYEY="0.01700" LEYEZ="0.66651" LPUPILD="0.00449" LPUPILV="1" REYEX="0.00239" REYEY="0.01701" REYEZ="0.63709" RPUPILD="0.00550" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.92820" FPOGY="0.47504" FPOGS="3497.49780" FPOGD="0.08057" FPOGID="7585" FPOGV="1" LPOGX="1.05881" LPOGY="0.51435" LPOGV="1" RPOGX="0.77429" RPOGY="0.45049" RPOGV="1" BPOGX="0.91655" BPOGY="0.48242" BPOGV="1" LPCX="0.25849" LPCY="0.41172" LPD="21.72087" LPS="1.02712" LPV="1" RPCX="0.51415" RPCY="0.40819" RPD="25.12738" RPS="1.02712" RPV="1" LEYEX="-0.06297" LEYEY="0.01700" LEYEZ="0.66651" LPUPILD="0.00449" LPUPILV="1" REYEX="0.00239" REYEY="0.01701" REYEZ="0.63709" RPUPILD="0.00549" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.92758" FPOGY="0.47551" FPOGS="3497.49780" FPOGD="0.08716" FPOGID="7585" FPOGV="1" LPOGX="1.06327" LPOGY="0.51166" LPOGV="1" RPOGX="0.77585" RPOGY="0.45144" RPOGV="1" BPOGX="0.91956" BPOGY="0.48155" BPOGV="1" LPCX="0.25849" LPCY="0.41169" LPD="21.69798" LPS="1.02712" LPV="1" RPCX="0.51415" RPCY="0.40819" RPD="25.12738" RPS="1.02712" RPV="1" LEYEX="-0.06297" LEYEY="0.01700" LEYEZ="0.66651" LPUPILD="0.00449" LPUPILV="1" REYEX="0.00239" REYEY="0.01701" REYEZ="0.63709" RPUPILD="0.00549" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
