2025-05-27 14:42:30.034618
EYEZ="0.64203" RPUPILD="0.00526" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.47974" FPOGY="0.41665" FPOGS="3860.18970" FPOGD="0.26831" FPOGID="8843" FPOGV="1" LPOGX="0.63749" LPOGY="0.37748" LPOGV="1" RPOGX="0.37942" RPOGY="0.41530" RPOGV="1" BPOGX="0.50846" BPOGY="0.39639" BPOGV="1" LPCX="0.21019" LPCY="0.39511" LPD="21.53338" LPS="1.04326" LPV="1" RPCX="0.47018" RPCY="0.39224" RPD="26.86251" RPS="1.02798" RPV="1" LEYEX="-0.07612" LEYEY="0.02083" LEYEZ="0.68410" LPUPILD="0.00419" LPUPILV="1" REYEX="-0.00722" REYEY="0.02022" REYEZ="0.64203" RPUPILD="0.00525" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.59907" FPOGY="0.43145" FPOGS="3861.18823" FPOGD="0.18359" FPOGID="8846" FPOGV="1" LPOGX="0.69539" LPOGY="0.42451" LPOGV="1" RPOGX="0.42856" RPOGY="0.46070" RPOGV="1" BPOGX="0.56197" BPOGY="0.44261" BPOGV="1" LPCX="0.21499" LPCY="0.39994" LPD="20.95677" LPS="0.99812" LPV="1" RPCX="0.47447" RPCY="0.39714" RPD="25.54895" RPS="0.98284" RPV="1" LEYEX="-0.06984" LEYEY="0.01854" LEYEZ="0.63709" LPUPILD="0.00409" LPUPILV="1" REYEX="-0.00622" REYEY="0.01916" REYEZ="0.63863" RPUPILD="0.00502" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.59779" FPOGY="0.43218" FPOGS="3861.18823" FPOGD="0.18774" FPOGID="8846" FPOGV="1" LPOGX="0.69519" LPOGY="0.43453" LPOGV="1" RPOGX="0.42868" RPOGY="0.47053" RPOGV="1" BPOGX="0.56193" BPOGY="0.45253" BPOGV="1" LPCX="0.21523" LPCY="0.39986" LPD="20.13263" LPS="0.98284" LPV="1" RPCX="0.47439" RPCY="0.39732" RPD="25.31540" RPS="0.96757" RPV="1" LEYEX="-0.06893" LEYEY="0.01816" LEYEZ="0.62882" LPUPILD="0.00413" LPUPILV="1" REYEX="-0.00622" REYEY="0.01916" REYEZ="0.63863" RPUPILD="0.00505" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.59635" FPOGY="0.43298" FPOGS="3861.18823" FPOGD="0.19458" FPOGID="8846" FPOGV="1" LPOGX="0.69871" LPOGY="0.43262" LPOGV="1" RPOGX="0.41072" RPOGY="0.47952" RPOGV="1" BPOGX="0.55471" BPOGY="0.45607" BPOGV="1" LPCX="0.21536" LPCY="0.40021" LPD="20.12476" LPS="0.96757" LPV="1" RPCX="0.47461" RPCY="0.39769" RPD="25.29145" RPS="0.96757" RPV="1" LEYEX="-0.06893" LEYEY="0.01816" LEYEZ="0.62882" LPUPILD="0.00410" LPUPILV="1" REYEX="-0.00622" REYEY="0.01916" REYEZ="0.63863" RPUPILD="0.00502" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.59501" FPOGY="0.43360" FPOGS="3861.18823" FPOGD="0.20117" FPOGID="8846" FPOGV="1" LPOGX="0.69590" LPOGY="0.47055" LPOGV="1" RPOGX="0.41370" RPOGY="0.43436" RPOGV="1" BPOGX="0.55480" BPOGY="0.45246" BPOGV="1" LPCX="0.21539" LPCY="0.40037" LPD="20.41270" LPS="0.96757" LPV="1" RPCX="0.47465" RPCY="0.39790" RPD="25.24746" RPS="0.96757" RPV="1" LEYEX="-0.06893" LEYEY="0.01816" LEYEZ="0.62882" LPUPILD="0.00409" LPUPILV="1" REYEX="-0.00622" REYEY="0.01916" REYEZ="0.63863" RPUPILD="0.00503" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.59375" FPOGY="0.43389" FPOGS="3861.18823" FPOGD="0.20801" FPOGID="8846" FPOGV="1" LPOGX="0.69600" LPOGY="0.46614" LPOGV="1" RPOGX="0.41320" RPOGY="0.41915" RPOGV="1" BPOGX="0.55460" BPOGY="0.44264" BPOGV="1" LPCX="0.21539" LPCY="0.40051" LPD="20.23824" LPS="0.97459" LPV="1" RPCX="0.47473" RPCY="0.39807" RPD="25.26806" RPS="0.98987" RPV="1" LEYEX="-0.07255" LEYEY="0.01902" LEYEZ="0.66231" LPUPILD="0.00407" LPUPILV="1" REYEX="-0.00659" REYEY="0.02040" REYEZ="0.68670" RPUPILD="0.00501" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.59313" FPOGY="0.43410" FPOGS="3861.18823" FPOGD="0.21460" FPOGID="8846" FPOGV="1" LPOGX="0.71977" LPOGY="0.45055" LPOGV="1" RPOGX="0.42676" RPOGY="0.43141" RPOGV="1" BPOGX="0.57327" BPOGY="0.44098" BPOGV="1" LPCX="0.21533" LPCY="0.40112" LPD="20.96824" LPS="0.99690" LPV="1" RPCX="0.47478" RPCY="0.39855" RPD="25.22969" RPS="1.01217" RPV="1" LEYEX="-0.07255" LEYEY="0.01902" LEYEZ="0.66231" LPUPILD="0.00406" LPUPILV="1" REYEX="-0.00659" REYEY="0.02040" REYEZ="0.68670" RPUPILD="0.00502" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.59253" FPOGY="0.43354" FPOGS="3861.18823" FPOGD="0.22119" FPOGID="8846" FPOGV="1" LPOGX="0.71867" LPOGY="0.45461" LPOGV="1" RPOGX="0.42676" RPOGY="0.37556" RPOGV="1" BPOGX="0.57272" BPOGY="0.41509" BPOGV="1" LPCX="0.21538" LPCY="0.40122" LPD="20.84723" LPS="1.01920" LPV="1" RPCX="0.47477" RPCY="0.39866" RPD="25.43567" RPS="1.03448" RPV="1" LEYEX="-0.07255" LEYEY="0.01902" LEYEZ="0.66231" LPUPILD="0.00405" LPUPILV="1" REYEX="-0.00659" REYEY="0.02040" REYEZ="0.68670" RPUPILD="0.00499" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.59197" FPOGY="0.43260" FPOGS="3861.18823" FPOGD="0.22827" FPOGID="8846" FPOGV="1" LPOGX="0.71945" LPOGY="0.44088" LPOGV="1" RPOGX="0.42656" RPOGY="0.36008" RPOGV="1" BPOGX="0.57301" BPOGY="0.40048" BPOGV="1" LPCX="0.21569" LPCY="0.40114" LPD="19.82417" LPS="1.04150" LPV="1" RPCX="0.47485" RPCY="0.39895" RPD="25.19677" RPS="1.05678" RPV="1" LEYEX="-0.07185" LEYEY="0.01872" LEYEZ="0.65682" LPUPILD="0.00412" LPUPILV="1" REYEX="-0.00654" REYEY="0.02002" REYEZ="0.68104" RPUPILD="0.00504" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
