2025-05-29 10:09:07.448318
YEZ="0.68245" RPUPILD="0.00475" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.53810" FPOGY="0.40611" FPOGS="298.66092" FPOGD="0.14072" FPOGID="948" FPOGV="1" LPOGX="0.67503" LPOGY="0.40103" LPOGV="1" RPOGX="0.38186" RPOGY="0.45734" RPOGV="1" BPOGX="0.52845" BPOGY="0.42918" BPOGV="1" LPCX="0.23401" LPCY="0.58683" LPD="20.38824" LPS="1.08797" LPV="1" RPCX="0.48214" RPCY="0.57438" RPD="23.36156" RPS="1.08797" RPV="1" LEYEX="-0.06781" LEYEY="-0.01880" LEYEZ="0.66502" LPUPILD="0.00408" LPUPILV="1" REYEX="-0.00450" REYEY="-0.01658" REYEZ="0.68245" RPUPILD="0.00473" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.63575" FPOGY="0.39068" FPOGS="299.55194" FPOGD="0.16110" FPOGID="951" FPOGV="1" LPOGX="0.80409" LPOGY="0.45010" LPOGV="1" RPOGX="0.50545" RPOGY="0.39204" RPOGV="1" BPOGX="0.65477" BPOGY="0.42107" BPOGV="1" LPCX="0.23936" LPCY="0.58720" LPD="20.06277" LPS="1.14235" LPV="1" RPCX="0.48709" RPCY="0.57526" RPD="23.67699" RPS="1.14235" RPV="1" LEYEX="-0.06875" LEYEY="-0.01940" LEYEZ="0.68428" LPUPILD="0.00425" LPUPILV="1" REYEX="-0.00340" REYEY="-0.01641" REYEZ="0.66718" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.63557" FPOGY="0.39223" FPOGS="299.55194" FPOGD="0.16806" FPOGID="951" FPOGV="1" LPOGX="0.76971" LPOGY="0.45572" LPOGV="1" RPOGX="0.49217" RPOGY="0.40623" RPOGV="1" BPOGX="0.63094" BPOGY="0.43098" BPOGV="1" LPCX="0.23960" LPCY="0.58720" LPD="20.21949" LPS="1.13339" LPV="1" RPCX="0.48712" RPCY="0.57526" RPD="23.67569" RPS="1.12423" RPV="1" LEYEX="-0.06875" LEYEY="-0.01940" LEYEZ="0.68428" LPUPILD="0.00418" LPUPILV="1" REYEX="-0.00340" REYEY="-0.01641" REYEZ="0.66718" RPUPILD="0.00494" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.63555" FPOGY="0.39381" FPOGS="299.55194" FPOGD="0.17444" FPOGID="951" FPOGV="1" LPOGX="0.78127" LPOGY="0.44243" LPOGV="1" RPOGX="0.48893" RPOGY="0.42720" RPOGV="1" BPOGX="0.63510" BPOGY="0.43482" BPOGV="1" LPCX="0.23969" LPCY="0.58716" LPD="20.05595" LPS="1.11527" LPV="1" RPCX="0.48715" RPCY="0.57525" RPD="23.69660" RPS="1.10610" RPV="1" LEYEX="-0.06875" LEYEY="-0.01940" LEYEZ="0.68428" LPUPILD="0.00419" LPUPILV="1" REYEX="-0.00340" REYEY="-0.01641" REYEZ="0.66718" RPUPILD="0.00496" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.63553" FPOGY="0.39525" FPOGS="299.55194" FPOGD="0.18121" FPOGID="951" FPOGV="1" LPOGX="0.78048" LPOGY="0.44777" LPOGV="1" RPOGX="0.48941" RPOGY="0.42093" RPOGV="1" BPOGX="0.63494" BPOGY="0.43435" BPOGV="1" LPCX="0.23957" LPCY="0.58714" LPD="20.26774" LPS="1.10610" LPV="1" RPCX="0.48712" RPCY="0.57523" RPD="23.74277" RPS="1.11658" RPV="1" LEYEX="-0.07048" LEYEY="-0.01987" LEYEZ="0.70093" LPUPILD="0.00421" LPUPILV="1" REYEX="-0.00388" REYEY="-0.01817" REYEZ="0.73854" RPUPILD="0.00494" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.63522" FPOGY="0.39649" FPOGS="299.55194" FPOGD="0.18784" FPOGID="951" FPOGV="1" LPOGX="0.76656" LPOGY="0.38595" LPOGV="1" RPOGX="0.48636" RPOGY="0.47627" RPOGV="1" BPOGX="0.62646" BPOGY="0.43111" BPOGV="1" LPCX="0.23864" LPCY="0.58743" LPD="20.75350" LPS="1.12554" LPV="1" RPCX="0.48652" RPCY="0.57528" RPD="23.56931" RPS="1.14518" RPV="1" LEYEX="-0.07048" LEYEY="-0.01987" LEYEZ="0.70093" LPUPILD="0.00420" LPUPILV="1" REYEX="-0.00388" REYEY="-0.01817" REYEZ="0.73854" RPUPILD="0.00504" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.63376" FPOGY="0.39655" FPOGS="299.55194" FPOGD="0.19473" FPOGID="951" FPOGV="1" LPOGX="0.71783" LPOGY="0.34854" LPOGV="1" RPOGX="0.46536" RPOGY="0.44817" RPOGV="1" BPOGX="0.59159" BPOGY="0.39835" BPOGV="1" LPCX="0.23812" LPCY="0.58729" LPD="20.62191" LPS="1.15414" LPV="1" RPCX="0.48604" RPCY="0.57518" RPD="23.79690" RPS="1.17378" RPV="1" LEYEX="-0.07048" LEYEY="-0.01987" LEYEZ="0.70093" LPUPILD="0.00424" LPUPILV="1" REYEX="-0.00388" REYEY="-0.01817" REYEZ="0.73854" RPUPILD="0.00499" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.63241" FPOGY="0.39641" FPOGS="299.55194" FPOGD="0.20123" FPOGID="951" FPOGV="1" LPOGX="0.71841" LPOGY="0.33603" LPOGV="1" RPOGX="0.46536" RPOGY="0.44817" RPOGV="1" BPOGX="0.59189" BPOGY="0.39210" BPOGV="1" LPCX="0.23793" LPCY="0.58725" LPD="20.64358" LPS="1.17378" LPV="1" RPCX="0.48572" RPCY="0.57519" RPD="23.84216" RPS="1.17378" RPV="1" LEYEX="-0.06782" LEYEY="-0.01908" LEYEZ="0.67300" LPUPILD="0.00423" LPUPILV="1" REYEX="-0.00382" REYEY="-0.01687" REYEZ="0.68776" RPUPILD="0.00500" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.63087" FPOGY="0.39640" FPOGS="299.55194" FPOGD="0.20804" FPOGID="951" FPOGV="1" LPOGX="0.72057" LPOGY="0.34243" LPOGV="1" RPOGX="0.44560" RPOGY="0.44989" RPOGV="1" BPOGX="0.58308" BPOGY="0.39616" BPOGV="1" LPCX="0.23794" LPCY="0.58718" LPD="20.65859" LPS="1.16482" LPV="1" RPCX="0.48561" RPCY="0.57511" RPD="23.76182" RPS="1.14518" RPV="1" LEYEX="-0.06782" LEYEY="-0.01908" LEYEZ="0.67300" LPUPILD="0.00424" LPUPILV="1" REYEX="-0.00382" REYEY="-0.01687" REYEZ="0.68776" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
