2025-05-27 14:56:45.190337
451" REYEZ="0.70573" RPUPILD="0.00434" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.21468" FPOGY="0.51286" FPOGS="4715.58496" FPOGD="0.02588" FPOGID="10661" FPOGV="1" LPOGX="0.27855" LPOGY="0.58088" LPOGV="1" RPOGX="0.13602" RPOGY="0.37277" RPOGV="1" BPOGX="0.20729" BPOGY="0.47683" BPOGV="1" LPCX="0.24453" LPCY="0.58167" LPD="17.91930" LPS="1.11330" LPV="1" RPCX="0.47923" RPCY="0.60797" RPD="18.89498" RPS="1.11330" RPV="1" LEYEX="-0.06211" LEYEY="-0.01684" LEYEZ="0.64719" LPUPILD="0.00391" LPUPILV="1" REYEX="-0.00460" REYEY="-0.02451" REYEZ="0.70573" RPUPILD="0.00434" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.62071" FPOGY="0.57337" FPOGS="4716.15332" FPOGD="0.36963" FPOGID="10663" FPOGV="1" LPOGX="0.68451" LPOGY="0.70475" LPOGV="1" RPOGX="0.54665" RPOGY="0.55750" RPOGV="1" BPOGX="0.61558" BPOGY="0.63113" BPOGV="1" LPCX="0.29652" LPCY="0.57293" LPD="18.58447" LPS="1.03376" LPV="1" RPCX="0.53173" RPCY="0.60961" RPD="18.18982" RPS="1.02567" RPV="1" LEYEX="-0.05254" LEYEY="-0.01577" LEYEZ="0.67188" LPUPILD="0.00405" LPUPILV="1" REYEX="0.00773" REYEY="-0.02341" REYEZ="0.66541" RPUPILD="0.00424" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.62067" FPOGY="0.57587" FPOGS="4716.15332" FPOGD="0.37549" FPOGID="10663" FPOGV="1" LPOGX="0.68452" LPOGY="0.70229" LPOGV="1" RPOGX="0.54661" RPOGY="0.55768" RPOGV="1" BPOGX="0.61557" BPOGY="0.62998" BPOGV="1" LPCX="0.29654" LPCY="0.57297" LPD="19.19487" LPS="1.04060" LPV="1" RPCX="0.53190" RPCY="0.60957" RPD="18.50863" RPS="1.02532" RPV="1" LEYEX="-0.05260" LEYEY="-0.01581" LEYEZ="0.67328" LPUPILD="0.00408" LPUPILV="1" REYEX="0.00764" REYEY="-0.02263" REYEZ="0.64464" RPUPILD="0.00424" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.61703" FPOGY="0.60709" FPOGS="4716.15332" FPOGD="0.37549" FPOGID="10663" FPOGV="0" LPOGX="0.65379" LPOGY="0.88961" LPOGV="1" RPOGX="0.49454" RPOGY="0.79853" RPOGV="1" BPOGX="0.57416" BPOGY="0.84407" BPOGV="1" LPCX="0.29630" LPCY="0.57438" LPD="15.15143" LPS="1.03323" LPV="1" RPCX="0.53185" RPCY="0.61084" RPD="14.05489" RPS="1.02604" RPV="1" LEYEX="-0.05260" LEYEY="-0.01581" LEYEZ="0.67328" LPUPILD="0.00397" LPUPILV="1" REYEX="0.00764" REYEY="-0.02263" REYEZ="0.64464" RPUPILD="0.00411" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.57764" FPOGY="0.80089" FPOGS="4716.15332" FPOGD="0.37549" FPOGID="10663" FPOGV="0" LPOGX="0.58398" LPOGY="1.05755" LPOGV="1" RPOGX="0.49252" RPOGY="0.93183" RPOGV="1" BPOGX="0.53825" BPOGY="0.99469" BPOGV="1" LPCX="0.29480" LPCY="0.57584" LPD="9.67582" LPS="1.03394" LPV="1" RPCX="0.53106" RPCY="0.61211" RPD="11.27583" RPS="1.02675" RPV="1" LEYEX="-0.05260" LEYEY="-0.01581" LEYEZ="0.67328" LPUPILD="0.00267" LPUPILV="1" REYEX="0.00764" REYEY="-0.02263" REYEZ="0.64464" RPUPILD="0.00347" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.56451" FPOGY="0.86547" FPOGS="4716.15332" FPOGD="0.37549" FPOGID="10663" FPOGV="0" LPOGX="0.58391" LPOGY="1.05754" LPOGV="1" RPOGX="0.49256" RPOGY="0.93172" RPOGV="1" BPOGX="0.53824" BPOGY="0.99463" BPOGV="1" LPCX="0.29734" LPCY="0.57596" LPD="10.58471" LPS="1.03465" LPV="1" RPCX="0.52893" RPCY="0.61178" RPD="7.33805" RPS="1.02747" RPV="1" LEYEX="-0.05260" LEYEY="-0.01581" LEYEZ="0.67328" LPUPILD="0.00281" LPUPILV="1" REYEX="0.00764" REYEY="-0.02263" REYEZ="0.64464" RPUPILD="0.00264" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.53824" FPOGY="0.99466" FPOGS="4716.15332" FPOGD="0.37549" FPOGID="10663" FPOGV="0" LPOGX="0.58391" LPOGY="1.05754" LPOGV="0" RPOGX="0.49256" RPOGY="0.93172" RPOGV="0" BPOGX="0.53824" BPOGY="0.99463" BPOGV="0" LPCX="0.29734" LPCY="0.57596" LPD="10.58471" LPS="1.02747" LPV="0" RPCX="0.52893" RPCY="0.61178" RPD="7.33805" RPS="1.02747" RPV="0" LEYEX="-0.05260" LEYEY="-0.01581" LEYEZ="0.67328" LPUPILD="0.00281" LPUPILV="1" REYEX="0.00764" REYEY="-0.02263" REYEZ="0.64464" RPUPILD="0.00264" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.53824" FPOGY="0.99466" FPOGS="4716.15332" FPOGD="0.37549" FPOGID="10663" FPOGV="0" LPOGX="0.58391" LPOGY="1.05754" LPOGV="0" RPOGX="0.49256" RPOGY="0.93172" RPOGV="0" BPOGX="0.53824" BPOGY="0.99463" BPOGV="0" LPCX="0.29734" LPCY="0.57596" LPD="10.58471" LPS="1.02747" LPV="0" RPCX="0.52893" RPCY="0.61178" RPD="7.33805" RPS="1.02747" RPV="0" LEYEX="-0.05260" LEYEY="-0.01581" LEYEZ="0.67328" LPUPILD="0.00281" LPUPILV="1" REYEX="0.00764" REYEY="-0.02263" REYEZ="0.64464" RPUPILD="0.00264" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.53824" FPOGY="0.99466" FPOGS="4716.15332" FPOGD="0.37549" FPOGID="10663" FPOGV="0" LPOGX="0.58391" LPOGY="1.05754" LPOGV="0" RPOGX="0.49256" RPOGY="0.93172" RPOGV="0" BPOGX="0.53824" BPOGY="0.99463" BPOGV="0" LPCX="0.29734" LPCY="0.57596" LPD="10.58471" LPS="1.02747" LPV="0" RPCX="0.52893" RPCY="0.61178" RPD="7.33805" RPS="1.02747" RPV="0" LEYEX="-0.05260" LEYEY="-0.01581" LEYEZ="0.67328" LPUPILD="0.00281" LPUPILV="1" REYEX="0.00764" REYEY="-0.02263" REYEZ="0.64464" RPUPILD="0.00264" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
