2025-05-29 11:04:58.948413
 REYEZ="0.55386" RPUPILD="0.00452" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.05277" FPOGY="0.43062" FPOGS="3650.90332" FPOGD="0.03955" FPOGID="8734" FPOGV="1" LPOGX="1.16649" LPOGY="0.56955" LPOGV="1" RPOGX="0.96509" RPOGY="0.27511" RPOGV="1" BPOGX="1.06579" BPOGY="0.42233" BPOGV="1" LPCX="0.36970" LPCY="0.54160" LPD="20.08333" LPS="0.81544" LPV="1" RPCX="0.62219" RPCY="0.57584" RPD="21.14794" RPS="0.82021" RPV="1" LEYEX="-0.03113" LEYEY="-0.00882" LEYEZ="0.59397" LPUPILD="0.00451" LPUPILV="1" REYEX="0.02622" REYEY="-0.01541" REYEZ="0.59370" RPUPILD="0.00474" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="1.05529" FPOGY="0.42837" FPOGS="3650.90332" FPOGD="0.04614" FPOGID="8734" FPOGV="1" LPOGX="1.17481" LPOGY="0.55931" LPOGV="1" RPOGX="0.97103" RPOGY="0.26587" RPOGV="1" BPOGX="1.07292" BPOGY="0.41259" BPOGV="1" LPCX="0.36964" LPCY="0.54181" LPD="19.78952" LPS="0.82998" LPV="1" RPCX="0.62235" RPCY="0.57612" RPD="21.51122" RPS="0.82998" RPV="1" LEYEX="-0.03205" LEYEY="-0.00904" LEYEZ="0.60897" LPUPILD="0.00444" LPUPILV="1" REYEX="0.02579" REYEY="-0.01519" REYEZ="0.58710" RPUPILD="0.00458" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="1.05769" FPOGY="0.42794" FPOGS="3650.90332" FPOGD="0.05249" FPOGID="8734" FPOGV="1" LPOGX="1.17693" LPOGY="0.55916" LPOGV="1" RPOGX="0.97698" RPOGY="0.28991" RPOGV="1" BPOGX="1.07695" BPOGY="0.42454" BPOGV="1" LPCX="0.36937" LPCY="0.54173" LPD="19.61454" LPS="0.83510" LPV="1" RPCX="0.62171" RPCY="0.57609" RPD="21.46982" RPS="0.83034" RPV="1" LEYEX="-0.03205" LEYEY="-0.00904" LEYEZ="0.60897" LPUPILD="0.00444" LPUPILV="1" REYEX="0.02579" REYEY="-0.01519" REYEZ="0.58710" RPUPILD="0.00484" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="1.05877" FPOGY="0.42761" FPOGS="3650.90332" FPOGD="0.05908" FPOGID="8734" FPOGV="1" LPOGX="1.16729" LPOGY="0.55743" LPOGV="1" RPOGX="0.96968" RPOGY="0.29180" RPOGV="1" BPOGX="1.06848" BPOGY="0.42461" BPOGV="1" LPCX="0.36928" LPCY="0.54186" LPD="19.70942" LPS="0.83546" LPV="1" RPCX="0.62156" RPCY="0.57588" RPD="21.46485" RPS="0.83069" RPV="1" LEYEX="-0.03205" LEYEY="-0.00904" LEYEZ="0.60897" LPUPILD="0.00440" LPUPILV="1" REYEX="0.02579" REYEY="-0.01519" REYEZ="0.58710" RPUPILD="0.00461" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="1.05955" FPOGY="0.42749" FPOGS="3650.90332" FPOGD="0.06616" FPOGID="8734" FPOGV="1" LPOGX="1.16749" LPOGY="0.55718" LPOGV="1" RPOGX="0.96725" RPOGY="0.29544" RPOGV="1" BPOGX="1.06737" BPOGY="0.42631" BPOGV="1" LPCX="0.36907" LPCY="0.54177" LPD="19.83009" LPS="0.83581" LPV="1" RPCX="0.62155" RPCY="0.57567" RPD="21.43003" RPS="0.82670" RPV="1" LEYEX="-0.03207" LEYEY="-0.00900" LEYEZ="0.60580" LPUPILD="0.00448" LPUPILV="1" REYEX="0.02495" REYEY="-0.01472" REYEZ="0.57073" RPUPILD="0.00459" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="1.06058" FPOGY="0.42651" FPOGS="3650.90332" FPOGD="0.07251" FPOGID="8734" FPOGV="1" LPOGX="1.17864" LPOGY="0.56486" LPOGV="1" RPOGX="0.96509" RPOGY="0.26665" RPOGV="1" BPOGX="1.07187" BPOGY="0.41576" BPOGV="1" LPCX="0.36862" LPCY="0.54170" LPD="19.57467" LPS="0.82670" LPV="1" RPCX="0.62160" RPCY="0.57549" RPD="21.80306" RPS="0.82235" RPV="1" LEYEX="-0.03207" LEYEY="-0.00900" LEYEZ="0.60580" LPUPILD="0.00444" LPUPILV="1" REYEX="0.02495" REYEY="-0.01472" REYEZ="0.57073" RPUPILD="0.00449" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="1.06133" FPOGY="0.42619" FPOGS="3650.90332" FPOGD="0.07935" FPOGID="8734" FPOGV="1" LPOGX="1.16672" LPOGY="0.57059" LPOGV="1" RPOGX="0.97394" RPOGY="0.27403" RPOGV="1" BPOGX="1.07033" BPOGY="0.42231" BPOGV="1" LPCX="0.36847" LPCY="0.54161" LPD="19.59815" LPS="0.82235" LPV="1" RPCX="0.62112" RPCY="0.57549" RPD="21.25964" RPS="0.81801" RPV="1" LEYEX="-0.03207" LEYEY="-0.00900" LEYEZ="0.60580" LPUPILD="0.00449" LPUPILV="1" REYEX="0.02495" REYEY="-0.01472" REYEZ="0.57073" RPUPILD="0.00467" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="1.06167" FPOGY="0.42632" FPOGS="3650.90332" FPOGD="0.08765" FPOGID="8734" FPOGV="1" LPOGX="1.16134" LPOGY="0.57716" LPOGV="1" RPOGX="0.97076" RPOGY="0.27889" RPOGV="1" BPOGX="1.06605" BPOGY="0.42803" BPOGV="1" LPCX="0.36844" LPCY="0.54175" LPD="20.00668" LPS="0.81289" LPV="1" RPCX="0.62098" RPCY="0.57536" RPD="21.18417" RPS="0.81289" RPV="1" LEYEX="-0.03178" LEYEY="-0.00883" LEYEZ="0.59781" LPUPILD="0.00443" LPUPILV="1" REYEX="0.02528" REYEY="-0.01491" REYEZ="0.58145" RPUPILD="0.00475" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="1.06250" FPOGY="0.42628" FPOGS="3650.90332" FPOGD="0.09399" FPOGID="8734" FPOGV="1" LPOGX="1.17941" LPOGY="0.58759" LPOGV="1" RPOGX="0.96881" RPOGY="0.26376" RPOGV="1" BPOGX="1.07411" BPOGY="0.42568" BPOGV="1" LPCX="0.36808" LPCY="0.54195" LPD="20.24288" LPS="0.80777" LPV="1" RPCX="0.62090" RPCY="0.57522" RPD="21.40290" RPS="0.81212" RPV="1" LEYEX="-0.03178" LEYEY="-0.00883" LEYEZ="0.59781" LPUPILD="0.00438" LPUPILV="1" REYEX="0.02528" REYEY="-0.01491" REYEZ="0.58145" RPUPILD="0.00473" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="1.06233" FPOGY="0.42568" FPOGS="3650.90332" FPOGD="0.09961" FPOGID="8734" FPOGV="1" LPOGX="1.16195" LPOGY="0.58975" LPOGV="1" RPOGX="0.95757" RPOGY="0.24359" RPOGV="1" BPOGX="1.05976" BPOGY="0.41667" BPOGV="1" LPCX="0.36787" LPCY="0.54187" LPD="19.93281" LPS="0.80700" LPV="1" RPCX="0.62057" RPCY="0.57516" RPD="21.43216" RPS="0.81135" RPV="1" LEYEX="-0.03178" LEYEY="-0.00883" LEYEZ="0.59781" LPUPILD="0.00432" LPUPILV="1" REYEX="0.02528" REYEY="-0.01491" REYEZ="0.58145" RPUPILD="0.00462" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="1.06241" FPOGY="0.42480" FPOGS="3650.90332" FPOGD="0.10620" FPOGID="8734" FPOGV="1" LPOGX="1.16444" LPOGY="0.58678" LPOGV="1" RPOGX="0.96307" RPOGY="0.23455" RPOGV="1" BPOGX="1.06376" BPOGY="0.41066" BPOGV="1" LPCX="0.36763" LPCY="0.54205" LPD="20.40001" LPS="0.81135" LPV="1" RPCX="0.62053" RPCY="0.57524" RPD="21.53220" RPS="0.82046" RPV="1" LEYEX="-0.03239" LEYEY="-0.00896" LEYEZ="0.60672" LPUPILD="0.00438" LPUPILV="1" REYEX="0.02553" REYEY="-0.01514" REYEZ="0.59020" RPUPILD="0.00465" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
