2025-05-29 11:02:47.214890
<ACK ID="ENABLE_SEND_POG_FIX" STATE="1" />
<ACK ID="ENABLE_SEND_POG_LEFT" STATE="1" />
<ACK ID="ENABLE_SEND_POG_RIGHT" STATE="1" />
<ACK ID="ENABLE_SEND_POG_BEST" STATE="1" />
<ACK ID="ENABLE_SEND_PUPIL_LEFT" STATE="1" />
<ACK ID="ENABLE_SEND_PUPIL_RIGHT" STATE="1" />
<ACK ID="ENABLE_SEND_EYE_LEFT" STATE="1" />
<ACK ID="ENABLE_SEND_EYE_RIGHT" STATE="1" />
<ACK ID="ENABLE_SEND_BLINK" STATE="1" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.10232" FPOGY="-0.17989" FPOGS="3519.09106" FPOGD="0.12720" FPOGID="8209" FPOGV="1" LPOGX="0.15454" LPOGY="-0.10512" LPOGV="1" RPOGX="0.05165" RPOGY="-0.26775" RPOGV="1" BPOGX="0.10310" BPOGY="-0.18644" BPOGV="1" LPCX="0.40546" LPCY="0.52003" LPD="21.34979" LPS="0.99732" LPV="1" RPCX="0.65225" RPCY="0.53778" RPD="25.07305" RPS="0.98370" RPV="1" LEYEX="-0.02213" LEYEY="-0.00606" LEYEZ="0.65735" LPUPILD="0.00436" LPUPILV="1" REYEX="0.03772" REYEY="-0.00954" REYEZ="0.62040" RPUPILD="0.00547" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.10247" FPOGY="-0.17987" FPOGS="3519.09106" FPOGD="0.13403" FPOGID="8209" FPOGV="1" LPOGX="0.15734" LPOGY="-0.09920" LPOGV="1" RPOGX="0.05366" RPOGY="-0.25953" RPOGV="1" BPOGX="0.10550" BPOGY="-0.17936" BPOGV="1" LPCX="0.40519" LPCY="0.51947" LPD="20.86465" LPS="0.99160" LPV="1" RPCX="0.65198" RPCY="0.53722" RPD="24.81222" RPS="0.97798" RPV="1" LEYEX="-0.02356" LEYEY="-0.00594" LEYEZ="0.68297" LPUPILD="0.00463" LPUPILV="1" REYEX="0.03732" REYEY="-0.00916" REYEZ="0.61981" RPUPILD="0.00544" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.10203" FPOGY="-0.17875" FPOGS="3519.09106" FPOGD="0.14062" FPOGID="8209" FPOGV="1" LPOGX="0.14781" LPOGY="-0.08183" LPOGV="1" RPOGX="0.03756" RPOGY="-0.22872" RPOGV="1" BPOGX="0.09269" BPOGY="-0.15528" BPOGV="1" LPCX="0.40389" LPCY="0.51898" LPD="21.33177" LPS="0.98589" LPV="1" RPCX="0.65113" RPCY="0.53639" RPD="25.09765" RPS="0.98589" RPV="1" LEYEX="-0.02356" LEYEY="-0.00594" LEYEZ="0.68297" LPUPILD="0.00435" LPUPILV="1" REYEX="0.03732" REYEY="-0.00916" REYEZ="0.61981" RPUPILD="0.00541" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.10216" FPOGY="-0.17912" FPOGS="3519.09106" FPOGD="0.14746" FPOGID="8209" FPOGV="1" LPOGX="0.16580" LPOGY="-0.06656" LPOGV="1" RPOGX="0.04452" RPOGY="-0.30785" RPOGV="1" BPOGX="0.10516" BPOGY="-0.18721" BPOGV="1" LPCX="0.40365" LPCY="0.51897" LPD="21.15475" LPS="0.99379" LPV="1" RPCX="0.65068" RPCY="0.53602" RPD="25.32363" RPS="0.99379" RPV="1" LEYEX="-0.02356" LEYEY="-0.00594" LEYEZ="0.68297" LPUPILD="0.00453" LPUPILV="1" REYEX="0.03732" REYEY="-0.00916" REYEZ="0.61981" RPUPILD="0.00544" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.10224" FPOGY="-0.17965" FPOGS="3519.09106" FPOGD="0.15381" FPOGID="8209" FPOGV="1" LPOGX="0.16580" LPOGY="-0.06656" LPOGV="1" RPOGX="0.04225" RPOGY="-0.31729" RPOGV="1" BPOGX="0.10403" BPOGY="-0.19193" BPOGV="1" LPCX="0.40316" LPCY="0.51830" LPD="20.88738" LPS="0.99379" LPV="1" RPCX="0.65054" RPCY="0.53566" RPD="25.59809" RPS="1.00022" RPV="1" LEYEX="-0.02314" LEYEY="-0.00553" LEYEZ="0.65816" LPUPILD="0.00437" LPUPILV="1" REYEX="0.17659" REYEY="-0.04308" REYEZ="3.02331" RPUPILD="0.00540" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.10235" FPOGY="-0.17978" FPOGS="3519.09106" FPOGD="0.16040" FPOGID="8209" FPOGV="1" LPOGX="0.17340" LPOGY="-0.07281" LPOGV="1" RPOGX="0.03660" RPOGY="-0.29302" RPOGV="1" BPOGX="0.10500" BPOGY="-0.18292" BPOGV="1" LPCX="0.40233" LPCY="0.51824" LPD="21.12836" LPS="0.99232" LPV="1" RPCX="0.64972" RPCY="0.53505" RPD="24.81044" RPS="0.99875" RPV="1" LEYEX="-0.02314" LEYEY="-0.00553" LEYEZ="0.65816" LPUPILD="0.00462" LPUPILV="1" REYEX="0.17659" REYEY="-0.04308" REYEZ="3.02331" RPUPILD="0.00541" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.10363" FPOGY="-0.17546" FPOGS="3519.09106" FPOGD="0.16724" FPOGID="8209" FPOGV="1" LPOGX="0.13550" LPOGY="-0.06736" LPOGV="1" RPOGX="0.03660" RPOGY="-0.29302" RPOGV="0" BPOGX="0.13550" BPOGY="-0.06736" BPOGV="1" LPCX="0.40175" LPCY="0.51805" LPD="21.39342" LPS="0.99085" LPV="1" RPCX="0.64909" RPCY="0.53472" RPD="24.07028" RPS="0.99728" RPV="1" LEYEX="-0.02314" LEYEY="-0.00553" LEYEZ="0.65816" LPUPILD="0.00441" LPUPILV="1" REYEX="0.17659" REYEY="-0.04308" REYEZ="3.02331" RPUPILD="0.00557" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.10483" FPOGY="-0.17140" FPOGS="3519.09106" FPOGD="0.17383" FPOGID="8209" FPOGV="1" LPOGX="0.13626" LPOGY="-0.06588" LPOGV="1" RPOGX="0.03660" RPOGY="-0.29302" RPOGV="0" BPOGX="0.13626" BPOGY="-0.06588" BPOGV="1" LPCX="0.40114" LPCY="0.51816" LPD="21.23623" LPS="0.98938" LPV="1" RPCX="0.64871" RPCY="0.53472" RPD="24.33018" RPS="0.99581" RPV="1" LEYEX="-0.02329" LEYEY="-0.00542" LEYEZ="0.65128" LPUPILD="0.00439" LPUPILV="1" REYEX="0.17659" REYEY="-0.04308" REYEZ="3.02331" RPUPILD="0.00550" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.10292" FPOGY="-0.16791" FPOGS="3519.09106" FPOGD="0.18066" FPOGID="8209" FPOGV="1" LPOGX="0.11562" LPOGY="0.04324" LPOGV="1" RPOGX="-0.01335" RPOGY="-0.19063" RPOGV="1" BPOGX="0.05114" BPOGY="-0.07369" BPOGV="1" LPCX="0.40007" LPCY="0.51912" LPD="21.13974" LPS="0.99581" LPV="1" RPCX="0.64721" RPCY="0.53545" RPD="25.20585" RPS="0.99581" RPV="1" LEYEX="-0.02329" LEYEY="-0.00542" LEYEZ="0.65128" LPUPILD="0.00450" LPUPILV="1" REYEX="0.17659" REYEY="-0.04308" REYEZ="3.02331" RPUPILD="0.00544" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.10035" FPOGY="-0.16446" FPOGS="3519.09106" FPOGD="0.18799" FPOGID="8209" FPOGV="1" LPOGX="0.09112" LPOGY="0.05496" LPOGV="1" RPOGX="-0.03401" RPOGY="-0.19048" RPOGV="1" BPOGX="0.02855" BPOGY="-0.06776" BPOGV="1" LPCX="0.39970" LPCY="0.51917" LPD="21.25733" LPS="0.99581" LPV="1" RPCX="0.64673" RPCY="0.53554" RPD="25.05826" RPS="0.99581" RPV="1" LEYEX="-0.02329" LEYEY="-0.00542" LEYEZ="0.65128" LPUPILD="0.00440" LPUPILV="1" REYEX="0.17659" REYEY="-0.04308" REYEZ="3.02331" RPUPILD="0.00546" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.09033" FPOGY="-0.13113" FPOGS="3519.09106" FPOGD="0.18799" FPOGID="8209" FPOGV="0" LPOGX="0.09502" LPOGY="0.06119" LPOGV="1" RPOGX="-0.03100" RPOGY="-0.18098" RPOGV="1" BPOGX="0.03201" BPOGY="-0.05990" BPOGV="1" LPCX="0.39944" LPCY="0.51920" LPD="20.12521" LPS="0.98878" LPV="1" RPCX="0.64639" RPCY="0.53565" RPD="25.13549" RPS="0.98878" RPV="1" LEYEX="-0.02207" LEYEY="-0.00511" LEYEZ="0.60816" LPUPILD="0.00459" LPUPILV="1" REYEX="0.03727" REYEY="-0.00901" REYEZ="0.63893" RPUPILD="0.00545" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
