2025-05-27 15:16:05.707597
681" REYEZ="0.65927" RPUPILD="0.00592" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.86674" FPOGY="0.44432" FPOGS="5875.78223" FPOGD="0.34863" FPOGID="14196" FPOGV="1" LPOGX="0.88842" LPOGY="0.48589" LPOGV="1" RPOGX="0.81222" RPOGY="0.44464" RPOGV="1" BPOGX="0.85032" BPOGY="0.46526" BPOGV="1" LPCX="0.25203" LPCY="0.59061" LPD="27.58445" LPS="1.02552" LPV="1" RPCX="0.49331" RPCY="0.57805" RPD="27.10908" RPS="1.02552" RPV="1" LEYEX="-0.06340" LEYEY="-0.01938" LEYEZ="0.65904" LPUPILD="0.00585" LPUPILV="1" REYEX="-0.00272" REYEY="-0.01681" REYEZ="0.65927" RPUPILD="0.00591" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="5876.91455" FPOGD="0.04688" FPOGID="14200" FPOGV="0" LPOGX="1.28007" LPOGY="1.37735" LPOGV="0" RPOGX="0.91868" RPOGY="1.11700" RPOGV="0" BPOGX="0.91868" BPOGY="1.11700" BPOGV="0" LPCX="0.25681" LPCY="0.59581" LPD="11.78358" LPS="0.96866" LPV="0" RPCX="0.49547" RPCY="0.58315" RPD="13.14736" RPS="0.96866" RPV="0" LEYEX="-0.06068" LEYEY="-0.01852" LEYEZ="0.63324" LPUPILD="0.00442" LPUPILV="1" REYEX="-0.00269" REYEY="-0.01608" REYEZ="0.62884" RPUPILD="0.00479" RPUPILV="1" BKID="1067" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="5876.91455" FPOGD="0.04688" FPOGID="14200" FPOGV="0" LPOGX="1.28007" LPOGY="1.37735" LPOGV="0" RPOGX="0.91868" RPOGY="1.11700" RPOGV="0" BPOGX="0.91868" BPOGY="1.11700" BPOGV="0" LPCX="0.25681" LPCY="0.59581" LPD="11.78358" LPS="0.96866" LPV="0" RPCX="0.49547" RPCY="0.58315" RPD="13.14736" RPS="0.96866" RPV="0" LEYEX="-0.06068" LEYEY="-0.01852" LEYEZ="0.63324" LPUPILD="0.00442" LPUPILV="1" REYEX="-0.00269" REYEY="-0.01608" REYEZ="0.62884" RPUPILD="0.00479" RPUPILV="1" BKID="1067" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="5876.91455" FPOGD="0.04688" FPOGID="14200" FPOGV="0" LPOGX="1.28007" LPOGY="1.37735" LPOGV="0" RPOGX="0.91868" RPOGY="1.11700" RPOGV="0" BPOGX="0.91868" BPOGY="1.11700" BPOGV="0" LPCX="0.25681" LPCY="0.59581" LPD="11.78358" LPS="0.96866" LPV="0" RPCX="0.49547" RPCY="0.58315" RPD="13.14736" RPS="0.96866" RPV="0" LEYEX="-0.06068" LEYEY="-0.01852" LEYEZ="0.63324" LPUPILD="0.00442" LPUPILV="1" REYEX="-0.00269" REYEY="-0.01608" REYEZ="0.62884" RPUPILD="0.00479" RPUPILV="1" BKID="1067" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="5876.91455" FPOGD="0.04688" FPOGID="14200" FPOGV="0" LPOGX="1.28007" LPOGY="1.37735" LPOGV="0" RPOGX="0.91868" RPOGY="1.11700" RPOGV="0" BPOGX="0.91868" BPOGY="1.11700" BPOGV="0" LPCX="0.25681" LPCY="0.59581" LPD="11.78358" LPS="0.96866" LPV="0" RPCX="0.49547" RPCY="0.58315" RPD="13.14736" RPS="0.96866" RPV="0" LEYEX="-0.06068" LEYEY="-0.01852" LEYEZ="0.63324" LPUPILD="0.00442" LPUPILV="1" REYEX="-0.00269" REYEY="-0.01608" REYEZ="0.62884" RPUPILD="0.00479" RPUPILV="1" BKID="1067" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="5876.91455" FPOGD="0.04688" FPOGID="14200" FPOGV="0" LPOGX="1.28007" LPOGY="1.37735" LPOGV="0" RPOGX="0.91868" RPOGY="1.11700" RPOGV="0" BPOGX="0.91868" BPOGY="1.11700" BPOGV="0" LPCX="0.25681" LPCY="0.59581" LPD="11.78358" LPS="0.96866" LPV="0" RPCX="0.49547" RPCY="0.58315" RPD="13.14736" RPS="0.96866" RPV="0" LEYEX="-0.06068" LEYEY="-0.01852" LEYEZ="0.63324" LPUPILD="0.00442" LPUPILV="1" REYEX="-0.00269" REYEY="-0.01608" REYEZ="0.62884" RPUPILD="0.00479" RPUPILV="1" BKID="1067" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="5876.91455" FPOGD="0.04688" FPOGID="14200" FPOGV="0" LPOGX="1.28007" LPOGY="1.37735" LPOGV="0" RPOGX="0.91868" RPOGY="1.11700" RPOGV="0" BPOGX="0.91868" BPOGY="1.11700" BPOGV="0" LPCX="0.25681" LPCY="0.59581" LPD="11.78358" LPS="0.96866" LPV="0" RPCX="0.49547" RPCY="0.58315" RPD="13.14736" RPS="0.96866" RPV="0" LEYEX="-0.06068" LEYEY="-0.01852" LEYEZ="0.63324" LPUPILD="0.00442" LPUPILV="1" REYEX="-0.00269" REYEY="-0.01608" REYEZ="0.62884" RPUPILD="0.00479" RPUPILV="1" BKID="1067" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="5876.91455" FPOGD="0.04688" FPOGID="14200" FPOGV="0" LPOGX="1.28007" LPOGY="1.37735" LPOGV="0" RPOGX="0.91868" RPOGY="1.11700" RPOGV="0" BPOGX="0.91868" BPOGY="1.11700" BPOGV="0" LPCX="0.25681" LPCY="0.59581" LPD="11.78358" LPS="0.96866" LPV="0" RPCX="0.49547" RPCY="0.58315" RPD="13.14736" RPS="0.96866" RPV="0" LEYEX="-0.06068" LEYEY="-0.01852" LEYEZ="0.63324" LPUPILD="0.00442" LPUPILV="1" REYEX="-0.00269" REYEY="-0.01608" REYEZ="0.62884" RPUPILD="0.00479" RPUPILV="1" BKID="1067" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="5876.91455" FPOGD="0.04688" FPOGID="14200" FPOGV="0" LPOGX="1.28007" LPOGY="1.37735" LPOGV="0" RPOGX="0.91868" RPOGY="1.11700" RPOGV="0" BPOGX="0.91868" BPOGY="1.11700" BPOGV="0" LPCX="0.25681" LPCY="0.59581" LPD="11.78358" LPS="0.96866" LPV="0" RPCX="0.49547" RPCY="0.58315" RPD="13.14736" RPS="0.96866" RPV="0" LEYEX="-0.06068" LEYEY="-0.01852" LEYEZ="0.63324" LPUPILD="0.00442" LPUPILV="1" REYEX="-0.00269" REYEY="-0.01608" REYEZ="0.62884" RPUPILD="0.00479" RPUPILV="1" BKID="1067" BKDUR="0.00000" BKPMIN="11" />
