2025-05-30 13:07:40.740174
00616" REYEZ="0.66224" RPUPILD="0.00452" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.62153" FPOGY="-0.04311" FPOGS="3712.10693" FPOGD="0.14673" FPOGID="3557" FPOGV="1" LPOGX="0.71835" LPOGY="0.08782" LPOGV="1" RPOGX="0.54851" RPOGY="-0.10770" RPOGV="1" BPOGX="0.63343" BPOGY="-0.00994" BPOGV="1" LPCX="0.30830" LPCY="0.52868" LPD="20.18805" LPS="1.03225" LPV="1" RPCX="0.56253" RPCY="0.52068" RPD="21.31224" RPS="1.03225" RPV="1" LEYEX="-0.05072" LEYEY="-0.00796" LEYEZ="0.68876" LPUPILD="0.00432" LPUPILV="1" REYEX="0.01540" REYEY="-0.00611" REYEZ="0.65198" RPUPILD="0.00452" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.84627" FPOGY="0.01337" FPOGS="3712.85010" FPOGD="0.31470" FPOGID="3560" FPOGV="1" LPOGX="0.92630" LPOGY="0.11374" LPOGV="1" RPOGX="0.77519" RPOGY="-0.06766" RPOGV="1" BPOGX="0.85075" BPOGY="0.02304" BPOGV="1" LPCX="0.36493" LPCY="0.53094" LPD="19.73000" LPS="1.02720" LPV="1" RPCX="0.61894" RPCY="0.54669" RPD="20.45588" RPS="1.02720" RPV="1" LEYEX="-0.03567" LEYEY="-0.00806" LEYEZ="0.67187" LPUPILD="0.00409" LPUPILV="1" REYEX="0.02838" REYEY="-0.01091" REYEZ="0.64370" RPUPILD="0.00404" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.84555" FPOGY="0.01325" FPOGS="3712.85010" FPOGD="0.32153" FPOGID="3560" FPOGV="1" LPOGX="0.92132" LPOGY="0.05350" LPOGV="1" RPOGX="0.75301" RPOGY="-0.01117" RPOGV="1" BPOGX="0.83716" BPOGY="0.02117" BPOGV="1" LPCX="0.36509" LPCY="0.53087" LPD="19.35501" LPS="1.02720" LPV="1" RPCX="0.61920" RPCY="0.54706" RPD="20.61699" RPS="1.02720" RPV="1" LEYEX="-0.03567" LEYEY="-0.00806" LEYEZ="0.67187" LPUPILD="0.00409" LPUPILV="1" REYEX="0.02838" REYEY="-0.01091" REYEZ="0.64370" RPUPILD="0.00403" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.84557" FPOGY="0.01351" FPOGS="3712.85010" FPOGD="0.32837" FPOGID="3560" FPOGV="1" LPOGX="0.92132" LPOGY="0.05350" LPOGV="1" RPOGX="0.75505" RPOGY="-0.01865" RPOGV="1" BPOGX="0.83819" BPOGY="0.01743" BPOGV="1" LPCX="0.36534" LPCY="0.53099" LPD="18.98484" LPS="1.02720" LPV="1" RPCX="0.61922" RPCY="0.54719" RPD="20.30933" RPS="1.03439" RPV="1" LEYEX="-0.03586" LEYEY="-0.00825" LEYEZ="0.67927" LPUPILD="0.00415" LPUPILV="1" REYEX="0.02949" REYEY="-0.01153" REYEZ="0.66538" RPUPILD="0.00415" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.84610" FPOGY="0.01264" FPOGS="3712.85010" FPOGD="0.33472" FPOGID="3560" FPOGV="1" LPOGX="0.93245" LPOGY="0.03439" LPOGV="1" RPOGX="0.78870" RPOGY="-0.07267" RPOGV="1" BPOGX="0.86057" BPOGY="-0.01914" BPOGV="1" LPCX="0.36573" LPCY="0.53120" LPD="19.12356" LPS="1.03439" LPV="1" RPCX="0.61949" RPCY="0.54782" RPD="20.53620" RPS="1.04158" RPV="1" LEYEX="-0.03586" LEYEY="-0.00825" LEYEZ="0.67927" LPUPILD="0.00419" LPUPILV="1" REYEX="0.02949" REYEY="-0.01153" REYEZ="0.66538" RPUPILD="0.00405" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.84620" FPOGY="0.01261" FPOGS="3712.85010" FPOGD="0.34155" FPOGID="3560" FPOGV="1" LPOGX="0.91445" LPOGY="0.03122" LPOGV="1" RPOGX="0.79809" RPOGY="-0.03944" RPOGV="1" BPOGX="0.85627" BPOGY="-0.00411" BPOGV="1" LPCX="0.36593" LPCY="0.53133" LPD="19.15961" LPS="1.04158" LPV="1" RPCX="0.61958" RPCY="0.54786" RPD="20.59935" RPS="1.04877" RPV="1" LEYEX="-0.03586" LEYEY="-0.00825" LEYEZ="0.67927" LPUPILD="0.00413" LPUPILV="1" REYEX="0.02949" REYEY="-0.01153" REYEZ="0.66538" RPUPILD="0.00403" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.84628" FPOGY="0.01258" FPOGS="3712.85010" FPOGD="0.34863" FPOGID="3560" FPOGV="1" LPOGX="0.91594" LPOGY="0.02359" LPOGV="1" RPOGX="0.79809" RPOGY="-0.03944" RPOGV="1" BPOGX="0.85702" BPOGY="-0.00793" BPOGV="1" LPCX="0.36605" LPCY="0.53120" LPD="18.97582" LPS="1.04877" LPV="1" RPCX="0.61963" RPCY="0.54802" RPD="19.87700" RPS="1.04877" RPV="1" LEYEX="-0.03592" LEYEY="-0.00842" LEYEZ="0.68433" LPUPILD="0.00411" LPUPILV="1" REYEX="0.02838" REYEY="-0.01118" REYEZ="0.63720" RPUPILD="0.00409" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.84609" FPOGY="0.01143" FPOGS="3712.85010" FPOGD="0.35474" FPOGID="3560" FPOGV="1" LPOGX="0.93590" LPOGY="0.04896" LPOGV="1" RPOGX="0.75243" RPOGY="-0.08125" RPOGV="1" BPOGX="0.84417" BPOGY="-0.01615" BPOGV="1" LPCX="0.36659" LPCY="0.53163" LPD="19.43972" LPS="1.04877" LPV="1" RPCX="0.61985" RPCY="0.54824" RPD="19.92953" RPS="1.04158" RPV="1" LEYEX="-0.03592" LEYEY="-0.00842" LEYEZ="0.68433" LPUPILD="0.00411" LPUPILV="1" REYEX="0.02838" REYEY="-0.01118" REYEZ="0.63720" RPUPILD="0.00406" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.84584" FPOGY="0.01130" FPOGS="3712.85010" FPOGD="0.36157" FPOGID="3560" FPOGV="1" LPOGX="0.92023" LPOGY="0.05156" LPOGV="1" RPOGX="0.74920" RPOGY="-0.04672" RPOGV="1" BPOGX="0.83472" BPOGY="0.00242" BPOGV="1" LPCX="0.36668" LPCY="0.53138" LPD="18.75104" LPS="1.04158" LPV="1" RPCX="0.61976" RPCY="0.54868" RPD="20.21689" RPS="1.03439" RPV="1" LEYEX="-0.03592" LEYEY="-0.00842" LEYEZ="0.68433" LPUPILD="0.00415" LPUPILV="1" REYEX="0.02838" REYEY="-0.01118" REYEZ="0.63720" RPUPILD="0.00410" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
