2025-05-28 16:32:31.031420
REYEZ="0.66842" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.96654" FPOGY="0.17447" FPOGS="1695.19812" FPOGD="0.20105" FPOGID="5333" FPOGV="1" LPOGX="0.94365" LPOGY="0.29665" LPOGV="1" RPOGX="0.93478" RPOGY="0.03317" RPOGV="1" BPOGX="0.93922" BPOGY="0.16491" BPOGV="1" LPCX="0.37901" LPCY="0.73457" LPD="23.74928" LPS="1.04857" LPV="1" RPCX="0.61832" RPCY="0.71327" RPD="24.87784" RPS="1.04857" RPV="1" LEYEX="-0.03161" LEYEY="-0.04883" LEYEZ="0.65767" LPUPILD="0.00522" LPUPILV="1" REYEX="0.02826" REYEY="-0.04469" REYEZ="0.65770" RPUPILD="0.00559" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.06802" FPOGY="0.24259" FPOGS="1696.06506" FPOGD="0.25195" FPOGID="5336" FPOGV="1" LPOGX="1.09717" LPOGY="0.38583" LPOGV="1" RPOGX="1.02182" RPOGY="0.15115" RPOGV="1" BPOGX="1.05949" BPOGY="0.26849" BPOGV="1" LPCX="0.35684" LPCY="0.74207" LPD="24.15635" LPS="0.98886" LPV="1" RPCX="0.59531" RPCY="0.71820" RPD="26.42467" RPS="0.98167" RPV="1" LEYEX="-0.03826" LEYEY="-0.05007" LEYEZ="0.65839" LPUPILD="0.00542" LPUPILV="1" REYEX="0.02191" REYEY="-0.04489" REYEZ="0.64643" RPUPILD="0.00593" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="1.06763" FPOGY="0.24354" FPOGS="1696.06506" FPOGD="0.25854" FPOGID="5336" FPOGV="1" LPOGX="1.09147" LPOGY="0.39679" LPOGV="1" RPOGX="1.01389" RPOGY="0.16401" RPOGV="1" BPOGX="1.05268" BPOGY="0.28040" BPOGV="1" LPCX="0.35680" LPCY="0.74208" LPD="24.24910" LPS="0.97464" LPV="1" RPCX="0.59518" RPCY="0.71812" RPD="26.29351" RPS="0.96745" RPV="1" LEYEX="-0.03826" LEYEY="-0.05007" LEYEZ="0.65839" LPUPILD="0.00541" LPUPILV="1" REYEX="0.02198" REYEY="-0.04535" REYEZ="0.65447" RPUPILD="0.00594" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="1.06718" FPOGY="0.24502" FPOGS="1696.06506" FPOGD="0.26685" FPOGID="5336" FPOGV="1" LPOGX="1.08253" LPOGY="0.40348" LPOGV="1" RPOGX="1.01570" RPOGY="0.20510" RPOGV="1" BPOGX="1.04912" BPOGY="0.30429" BPOGV="1" LPCX="0.35635" LPCY="0.74215" LPD="24.38642" LPS="0.96745" LPV="1" RPCX="0.59484" RPCY="0.71793" RPD="26.33155" RPS="0.96745" RPV="1" LEYEX="-0.03826" LEYEY="-0.05007" LEYEZ="0.65839" LPUPILD="0.00545" LPUPILV="1" REYEX="0.02198" REYEY="-0.04535" REYEZ="0.65447" RPUPILD="0.00592" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="1.06717" FPOGY="0.24552" FPOGS="1696.06506" FPOGD="0.27234" FPOGID="5336" FPOGV="1" LPOGX="1.10894" LPOGY="0.39754" LPOGV="1" RPOGX="1.02455" RPOGY="0.13461" RPOGV="1" BPOGX="1.06675" BPOGY="0.26607" BPOGV="1" LPCX="0.35609" LPCY="0.74210" LPD="24.54927" LPS="0.96745" LPV="1" RPCX="0.59465" RPCY="0.71790" RPD="26.32810" RPS="0.96745" RPV="1" LEYEX="-0.03826" LEYEY="-0.05007" LEYEZ="0.65839" LPUPILD="0.00539" LPUPILV="1" REYEX="0.02198" REYEY="-0.04535" REYEZ="0.65447" RPUPILD="0.00588" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="1.06729" FPOGY="0.24578" FPOGS="1696.06506" FPOGD="0.27881" FPOGID="5336" FPOGV="1" LPOGX="1.11190" LPOGY="0.39206" LPOGV="1" RPOGX="1.03261" RPOGY="0.12137" RPOGV="1" BPOGX="1.07225" BPOGY="0.25671" BPOGV="1" LPCX="0.35606" LPCY="0.74210" LPD="24.33278" LPS="0.97448" LPV="1" RPCX="0.59454" RPCY="0.71787" RPD="26.38091" RPS="0.98167" RPV="1" LEYEX="-0.03826" LEYEY="-0.05007" LEYEZ="0.65839" LPUPILD="0.00541" LPUPILV="1" REYEX="0.02212" REYEY="-0.04589" REYEZ="0.66298" RPUPILD="0.00589" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="1.06710" FPOGY="0.24626" FPOGS="1696.06506" FPOGD="0.28552" FPOGID="5336" FPOGV="1" LPOGX="1.07060" LPOGY="0.38161" LPOGV="1" RPOGX="1.04764" RPOGY="0.15186" RPOGV="1" BPOGX="1.05912" BPOGY="0.26673" BPOGV="1" LPCX="0.35580" LPCY="0.74207" LPD="24.26165" LPS="0.98869" LPV="1" RPCX="0.59415" RPCY="0.71775" RPD="26.28747" RPS="0.99588" RPV="1" LEYEX="-0.03826" LEYEY="-0.05007" LEYEZ="0.65839" LPUPILD="0.00550" LPUPILV="1" REYEX="0.02212" REYEY="-0.04589" REYEZ="0.66298" RPUPILD="0.00591" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="1.06750" FPOGY="0.24628" FPOGS="1696.06506" FPOGD="0.29199" FPOGID="5336" FPOGV="1" LPOGX="1.10208" LPOGY="0.36982" LPOGV="1" RPOGX="1.06764" RPOGY="0.12486" RPOGV="1" BPOGX="1.08486" BPOGY="0.24734" BPOGV="1" LPCX="0.35562" LPCY="0.74214" LPD="24.35044" LPS="1.00291" LPV="1" RPCX="0.59407" RPCY="0.71767" RPD="26.33705" RPS="1.01010" RPV="1" LEYEX="-0.03826" LEYEY="-0.05007" LEYEZ="0.65839" LPUPILD="0.00544" LPUPILV="1" REYEX="0.02212" REYEY="-0.04589" REYEZ="0.66298" RPUPILD="0.00589" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="1.06791" FPOGY="0.24624" FPOGS="1696.06506" FPOGD="0.29883" FPOGID="5336" FPOGV="1" LPOGX="1.10495" LPOGY="0.36421" LPOGV="1" RPOGX="1.06764" RPOGY="0.12486" RPOGV="1" BPOGX="1.08629" BPOGY="0.24454" BPOGV="1" LPCX="0.35557" LPCY="0.74213" LPD="24.29135" LPS="1.01010" LPV="1" RPCX="0.59399" RPCY="0.71772" RPD="26.60553" RPS="1.01010" RPV="1" LEYEX="-0.03826" LEYEY="-0.05007" LEYEZ="0.65839" LPUPILD="0.00547" LPUPILV="1" REYEX="0.02124" REYEY="-0.04437" REYEZ="0.64093" RPUPILD="0.00589" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
