2025-06-04 14:08:00.191442
Z="0.62745" RPUPILD="0.00362" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.29774" FPOGY="0.23579" FPOGS="101.31731" FPOGD="0.05995" FPOGID="164" FPOGV="1" LPOGX="0.32230" LPOGY="0.10736" LPOGV="1" RPOGX="0.26432" RPOGY="0.30292" RPOGV="1" BPOGX="0.29331" BPOGY="0.20514" BPOGV="1" LPCX="0.31893" LPCY="0.62926" LPD="20.78874" LPS="0.92203" LPV="1" RPCX="0.59564" RPCY="0.62390" RPD="17.21288" RPS="0.92203" RPV="1" LEYEX="-0.04194" LEYEY="-0.02621" LEYEZ="0.61952" LPUPILD="0.00392" LPUPILV="1" REYEX="0.02366" REYEY="-0.02536" REYEZ="0.62745" RPUPILD="0.00366" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.47216" FPOGY="0.20679" FPOGS="102.20152" FPOGD="0.08022" FPOGID="166" FPOGV="1" LPOGX="0.50005" LPOGY="0.17553" LPOGV="1" RPOGX="0.43942" RPOGY="0.24701" RPOGV="1" BPOGX="0.46973" BPOGY="0.21127" BPOGV="1" LPCX="0.32395" LPCY="0.62962" LPD="19.26555" LPS="0.89258" LPV="1" RPCX="0.60028" RPCY="0.62459" RPD="16.31311" RPS="0.89258" RPV="1" LEYEX="-0.04138" LEYEY="-0.02629" LEYEZ="0.61940" LPUPILD="0.00362" LPUPILV="1" REYEX="0.02316" REYEY="-0.02439" REYEZ="0.60111" RPUPILD="0.00313" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.47198" FPOGY="0.20711" FPOGS="102.20152" FPOGD="0.08707" FPOGID="166" FPOGV="1" LPOGX="0.50005" LPOGY="0.17553" LPOGV="1" RPOGX="0.43942" RPOGY="0.24701" RPOGV="1" BPOGX="0.46973" BPOGY="0.21127" BPOGV="1" LPCX="0.32397" LPCY="0.62970" LPD="19.31831" LPS="0.89258" LPV="1" RPCX="0.60021" RPCY="0.62456" RPD="16.43647" RPS="0.89258" RPV="1" LEYEX="-0.04138" LEYEY="-0.02629" LEYEZ="0.61940" LPUPILD="0.00363" LPUPILV="1" REYEX="0.02316" REYEY="-0.02439" REYEZ="0.60111" RPUPILD="0.00308" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.47215" FPOGY="0.20716" FPOGS="102.20152" FPOGD="0.09389" FPOGID="166" FPOGV="1" LPOGX="0.50455" LPOGY="0.17449" LPOGV="1" RPOGX="0.44441" RPOGY="0.24120" RPOGV="1" BPOGX="0.47448" BPOGY="0.20784" BPOGV="1" LPCX="0.32389" LPCY="0.62973" LPD="19.52070" LPS="0.89258" LPV="1" RPCX="0.60021" RPCY="0.62456" RPD="16.43647" RPS="0.89258" RPV="1" LEYEX="-0.04138" LEYEY="-0.02629" LEYEZ="0.61940" LPUPILD="0.00361" LPUPILV="1" REYEX="0.02316" REYEY="-0.02439" REYEZ="0.60111" RPUPILD="0.00308" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.47206" FPOGY="0.20761" FPOGS="102.20152" FPOGD="0.10057" FPOGID="166" FPOGV="1" LPOGX="0.50141" LPOGY="0.17120" LPOGV="1" RPOGX="0.43983" RPOGY="0.25756" RPOGV="1" BPOGX="0.47062" BPOGY="0.21438" BPOGV="1" LPCX="0.32406" LPCY="0.62978" LPD="19.53884" LPS="0.89258" LPV="1" RPCX="0.60028" RPCY="0.62452" RPD="16.20474" RPS="0.89258" RPV="1" LEYEX="-0.04138" LEYEY="-0.02629" LEYEZ="0.61940" LPUPILD="0.00355" LPUPILV="1" REYEX="0.02316" REYEY="-0.02439" REYEZ="0.60111" RPUPILD="0.00311" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.47197" FPOGY="0.20801" FPOGS="102.20152" FPOGD="0.10680" FPOGID="166" FPOGV="1" LPOGX="0.50141" LPOGY="0.17120" LPOGV="1" RPOGX="0.43983" RPOGY="0.25756" RPOGV="1" BPOGX="0.47062" BPOGY="0.21438" BPOGV="1" LPCX="0.32407" LPCY="0.62978" LPD="19.57035" LPS="0.89258" LPV="1" RPCX="0.60025" RPCY="0.62455" RPD="16.39192" RPS="0.89258" RPV="1" LEYEX="-0.04138" LEYEY="-0.02629" LEYEZ="0.61940" LPUPILD="0.00353" LPUPILV="1" REYEX="0.02316" REYEY="-0.02439" REYEZ="0.60111" RPUPILD="0.00309" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.47189" FPOGY="0.20813" FPOGS="102.20152" FPOGD="0.11371" FPOGID="166" FPOGV="1" LPOGX="0.50314" LPOGY="0.17951" LPOGV="1" RPOGX="0.43782" RPOGY="0.24100" RPOGV="1" BPOGX="0.47048" BPOGY="0.21025" BPOGV="1" LPCX="0.32392" LPCY="0.62981" LPD="19.45403" LPS="0.89258" LPV="1" RPCX="0.60021" RPCY="0.62456" RPD="16.43647" RPS="0.89258" RPV="1" LEYEX="-0.04138" LEYEY="-0.02629" LEYEZ="0.61940" LPUPILD="0.00357" LPUPILV="1" REYEX="0.02316" REYEY="-0.02439" REYEZ="0.60111" RPUPILD="0.00308" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.47191" FPOGY="0.20822" FPOGS="102.20152" FPOGD="0.12052" FPOGID="166" FPOGV="1" LPOGX="0.50369" LPOGY="0.17624" LPOGV="1" RPOGX="0.44089" RPOGY="0.24320" RPOGV="1" BPOGX="0.47229" BPOGY="0.20972" BPOGV="1" LPCX="0.32379" LPCY="0.62968" LPD="19.50770" LPS="0.89258" LPV="1" RPCX="0.60027" RPCY="0.62469" RPD="16.29659" RPS="0.89258" RPV="1" LEYEX="-0.04138" LEYEY="-0.02629" LEYEZ="0.61940" LPUPILD="0.00349" LPUPILV="1" REYEX="0.02316" REYEY="-0.02439" REYEZ="0.60111" RPUPILD="0.00308" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.47193" FPOGY="0.20829" FPOGS="102.20152" FPOGD="0.12682" FPOGID="166" FPOGV="1" LPOGX="0.50369" LPOGY="0.17624" LPOGV="1" RPOGX="0.44089" RPOGY="0.24320" RPOGV="1" BPOGX="0.47229" BPOGY="0.20972" BPOGV="1" LPCX="0.32400" LPCY="0.62977" LPD="18.95636" LPS="0.89258" LPV="1" RPCX="0.60031" RPCY="0.62468" RPD="16.22364" RPS="0.89258" RPV="1" LEYEX="-0.04117" LEYEY="-0.02620" LEYEZ="0.61622" LPUPILD="0.00358" LPUPILV="1" REYEX="0.02316" REYEY="-0.02439" REYEZ="0.60111" RPUPILD="0.00312" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
