2025-07-15 10:19:40.858353
"0.59089" RPUPILD="0.00365" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.38002" FPOGY="0.40104" FPOGS="470.58731" FPOGD="0.08023" FPOGID="1710" FPOGV="1" LPOGX="0.36130" LPOGY="0.30667" LPOGV="1" RPOGX="0.36852" RPOGY="0.51257" RPOGV="1" BPOGX="0.36491" BPOGY="0.40962" BPOGV="1" LPCX="0.42598" LPCY="0.47921" LPD="23.06279" LPS="0.86476" LPV="1" RPCX="0.71394" RPCY="0.47399" RPD="17.95392" RPS="0.85953" RPV="1" LEYEX="-0.01603" LEYEY="0.00243" LEYEZ="0.60066" LPUPILD="0.00407" LPUPILV="1" REYEX="0.04877" REYEY="0.00355" REYEZ="0.59089" RPUPILD="0.00363" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.70779" FPOGY="0.41023" FPOGS="471.56909" FPOGD="0.01730" FPOGID="1715" FPOGV="1" LPOGX="0.73850" LPOGY="0.38527" LPOGV="1" RPOGX="0.69957" RPOGY="0.47668" RPOGV="1" BPOGX="0.71904" BPOGY="0.43097" BPOGV="1" LPCX="0.44057" LPCY="0.47714" LPD="20.32672" LPS="0.81952" LPV="1" RPCX="0.72859" RPCY="0.47341" RPD="18.34422" RPS="0.80952" RPV="1" LEYEX="-0.01378" LEYEY="0.00270" LEYEZ="0.59103" LPUPILD="0.00380" LPUPILV="1" REYEX="0.05007" REYEY="0.00348" REYEZ="0.58074" RPUPILD="0.00368" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.70732" FPOGY="0.41439" FPOGS="471.56909" FPOGD="0.02634" FPOGID="1715" FPOGV="1" LPOGX="0.71232" LPOGY="0.38898" LPOGV="1" RPOGX="0.69863" RPOGY="0.47312" RPOGV="1" BPOGX="0.70547" BPOGY="0.43105" BPOGV="1" LPCX="0.44057" LPCY="0.47706" LPD="20.44459" LPS="0.80952" LPV="1" RPCX="0.72871" RPCY="0.47356" RPD="18.60550" RPS="0.80952" RPV="1" LEYEX="-0.01378" LEYEY="0.00270" LEYEZ="0.59103" LPUPILD="0.00381" LPUPILV="1" REYEX="0.05007" REYEY="0.00348" REYEZ="0.58074" RPUPILD="0.00374" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.71007" FPOGY="0.41788" FPOGS="471.56909" FPOGD="0.02963" FPOGID="1715" FPOGV="1" LPOGX="0.74536" LPOGY="0.39781" LPOGV="1" RPOGX="0.70220" RPOGY="0.47285" RPOGV="1" BPOGX="0.72378" BPOGY="0.43533" BPOGV="1" LPCX="0.44050" LPCY="0.47706" LPD="20.40237" LPS="0.80952" LPV="1" RPCX="0.72874" RPCY="0.47373" RPD="18.38162" RPS="0.80952" RPV="1" LEYEX="-0.01378" LEYEY="0.00270" LEYEZ="0.59103" LPUPILD="0.00385" LPUPILV="1" REYEX="0.05007" REYEY="0.00348" REYEZ="0.58074" RPUPILD="0.00376" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.71202" FPOGY="0.42037" FPOGS="471.56909" FPOGD="0.03632" FPOGID="1715" FPOGV="1" LPOGX="0.74536" LPOGY="0.39781" LPOGV="1" RPOGX="0.70220" RPOGY="0.47285" RPOGV="1" BPOGX="0.72378" BPOGY="0.43533" BPOGV="1" LPCX="0.44048" LPCY="0.47697" LPD="20.34921" LPS="0.80952" LPV="1" RPCX="0.72866" RPCY="0.47362" RPD="18.08178" RPS="0.80952" RPV="1" LEYEX="-0.01378" LEYEY="0.00270" LEYEZ="0.59103" LPUPILD="0.00384" LPUPILV="1" REYEX="0.05007" REYEY="0.00353" REYEZ="0.58074" RPUPILD="0.00379" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.71183" FPOGY="0.42288" FPOGS="471.56909" FPOGD="0.04251" FPOGID="1715" FPOGV="1" LPOGX="0.71725" LPOGY="0.40647" LPOGV="1" RPOGX="0.70372" RPOGY="0.47428" RPOGV="1" BPOGX="0.71048" BPOGY="0.44038" BPOGV="1" LPCX="0.44058" LPCY="0.47699" LPD="20.29790" LPS="0.80952" LPV="1" RPCX="0.72853" RPCY="0.47335" RPD="18.41429" RPS="0.80952" RPV="1" LEYEX="-0.01378" LEYEY="0.00270" LEYEZ="0.59103" LPUPILD="0.00384" LPUPILV="1" REYEX="0.05007" REYEY="0.00353" REYEZ="0.58074" RPUPILD="0.00375" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.71203" FPOGY="0.42549" FPOGS="471.56909" FPOGD="0.04916" FPOGID="1715" FPOGV="1" LPOGX="0.71844" LPOGY="0.39032" LPOGV="1" RPOGX="0.70884" RPOGY="0.50253" RPOGV="1" BPOGX="0.71364" BPOGY="0.44642" BPOGV="1" LPCX="0.44059" LPCY="0.47702" LPD="20.22324" LPS="0.80952" LPV="1" RPCX="0.72853" RPCY="0.47335" RPD="18.41429" RPS="0.80952" RPV="1" LEYEX="-0.01378" LEYEY="0.00270" LEYEZ="0.59103" LPUPILD="0.00386" LPUPILV="1" REYEX="0.05007" REYEY="0.00353" REYEZ="0.58074" RPUPILD="0.00375" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.71227" FPOGY="0.42742" FPOGS="471.56909" FPOGD="0.05606" FPOGID="1715" FPOGV="1" LPOGX="0.71844" LPOGY="0.39032" LPOGV="1" RPOGX="0.71038" RPOGY="0.49915" RPOGV="1" BPOGX="0.71441" BPOGY="0.44473" BPOGV="1" LPCX="0.44053" LPCY="0.47700" LPD="20.27980" LPS="0.80952" LPV="1" RPCX="0.72841" RPCY="0.47345" RPD="18.50142" RPS="0.81429" RPV="1" LEYEX="-0.01378" LEYEY="0.00270" LEYEZ="0.59103" LPUPILD="0.00388" LPUPILV="1" REYEX="0.05117" REYEY="0.00360" REYEZ="0.59298" RPUPILD="0.00372" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.71241" FPOGY="0.42907" FPOGS="471.56909" FPOGD="0.06296" FPOGID="1715" FPOGV="1" LPOGX="0.71745" LPOGY="0.39817" LPOGV="1" RPOGX="0.71014" RPOGY="0.49307" RPOGV="1" BPOGX="0.71379" BPOGY="0.44562" BPOGV="1" LPCX="0.44052" LPCY="0.47695" LPD="20.32996" LPS="0.81429" LPV="1" RPCX="0.72848" RPCY="0.47350" RPD="18.83459" RPS="0.81905" RPV="1" LEYEX="-0.01378" LEYEY="0.00270" LEYEZ="0.59103" LPUPILD="0.00385" LPUPILV="1" REYEX="0.05117" REYEY="0.00360" REYEZ="0.59298" RPUPILD="0.00368" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
