2025-05-30 12:14:56.752008
YEZ="0.71421" RPUPILD="0.00519" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="1" />
<REC FPOGX="0.49493" FPOGY="0.45049" FPOGS="548.20178" FPOGD="0.07275" FPOGID="1659" FPOGV="1" LPOGX="0.64257" LPOGY="0.50894" LPOGV="1" RPOGX="0.43407" RPOGY="0.39017" RPOGV="1" BPOGX="0.53832" BPOGY="0.44955" BPOGV="1" LPCX="0.34651" LPCY="0.71023" LPD="26.41046" LPS="1.16055" LPV="1" RPCX="0.60691" RPCY="0.71490" RPD="26.32446" RPS="1.16055" RPV="1" LEYEX="-0.04164" LEYEY="-0.04653" LEYEZ="0.70739" LPUPILD="0.00510" LPUPILV="1" REYEX="0.02876" REYEY="-0.04816" REYEZ="0.71421" RPUPILD="0.00518" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="1" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.68415" FPOGY="0.45874" FPOGS="548.77081" FPOGD="0.40851" FPOGID="1662" FPOGV="1" LPOGX="0.77378" LPOGY="0.53485" LPOGV="1" RPOGX="0.61153" RPOGY="0.34177" RPOGV="1" BPOGX="0.69265" BPOGY="0.43831" BPOGV="1" LPCX="0.34741" LPCY="0.71005" LPD="27.30443" LPS="1.20151" LPV="1" RPCX="0.60791" RPCY="0.71374" RPD="27.13434" RPS="1.20151" RPV="1" LEYEX="-0.04273" LEYEY="-0.04763" LEYEZ="0.72500" LPUPILD="0.00536" LPUPILV="1" REYEX="0.02879" REYEY="-0.04734" REYEZ="0.70442" RPUPILD="0.00541" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="1" />
<REC FPOGX="0.68413" FPOGY="0.45869" FPOGS="548.77081" FPOGD="0.41516" FPOGID="1662" FPOGV="1" LPOGX="0.77302" LPOGY="0.53956" LPOGV="1" RPOGX="0.61011" RPOGY="0.34806" RPOGV="1" BPOGX="0.69157" BPOGY="0.44381" BPOGV="1" LPCX="0.34739" LPCY="0.71001" LPD="27.33553" LPS="1.19127" LPV="1" RPCX="0.60789" RPCY="0.71377" RPD="27.14831" RPS="1.19127" RPV="1" LEYEX="-0.04168" LEYEY="-0.04640" LEYEZ="0.70623" LPUPILD="0.00534" LPUPILV="1" REYEX="0.02879" REYEY="-0.04734" REYEZ="0.70442" RPUPILD="0.00541" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="1" />
<REC FPOGX="0.68409" FPOGY="0.45896" FPOGS="548.77081" FPOGD="0.42212" FPOGID="1662" FPOGV="1" LPOGX="0.76211" LPOGY="0.55616" LPOGV="1" RPOGX="0.60818" RPOGY="0.34272" RPOGV="1" BPOGX="0.68515" BPOGY="0.44944" BPOGV="1" LPCX="0.34731" LPCY="0.70996" LPD="27.34927" LPS="1.18103" LPV="1" RPCX="0.60784" RPCY="0.71372" RPD="27.04518" RPS="1.18103" RPV="1" LEYEX="-0.04168" LEYEY="-0.04640" LEYEZ="0.70623" LPUPILD="0.00534" LPUPILV="1" REYEX="0.02879" REYEY="-0.04734" REYEZ="0.70442" RPUPILD="0.00543" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="1" />
<REC FPOGX="0.68400" FPOGY="0.45925" FPOGS="548.77081" FPOGD="0.42834" FPOGID="1662" FPOGV="1" LPOGX="0.76122" LPOGY="0.56003" LPOGV="1" RPOGX="0.60390" RPOGY="0.35106" RPOGV="1" BPOGX="0.68256" BPOGY="0.45555" BPOGV="1" LPCX="0.34733" LPCY="0.71000" LPD="27.32300" LPS="1.17079" LPV="1" RPCX="0.60784" RPCY="0.71373" RPD="27.09522" RPS="1.17079" RPV="1" LEYEX="-0.04168" LEYEY="-0.04640" LEYEZ="0.70623" LPUPILD="0.00534" LPUPILV="1" REYEX="0.02879" REYEY="-0.04734" REYEZ="0.70442" RPUPILD="0.00539" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="1" />
<REC FPOGX="0.68392" FPOGY="0.45954" FPOGS="548.77081" FPOGD="0.43494" FPOGID="1662" FPOGV="1" LPOGX="0.76122" LPOGY="0.56003" LPOGV="1" RPOGX="0.60390" RPOGY="0.35106" RPOGV="1" BPOGX="0.68256" BPOGY="0.45555" BPOGV="1" LPCX="0.34732" LPCY="0.71000" LPD="27.49308" LPS="1.17079" LPV="1" RPCX="0.60789" RPCY="0.71371" RPD="27.08071" RPS="1.17079" RPV="1" LEYEX="-0.04273" LEYEY="-0.04763" LEYEZ="0.72500" LPUPILD="0.00529" LPUPILV="1" REYEX="0.02879" REYEY="-0.04734" REYEZ="0.70442" RPUPILD="0.00539" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="1" />
<REC FPOGX="0.68505" FPOGY="0.45977" FPOGS="548.77081" FPOGD="0.44165" FPOGID="1662" FPOGV="1" LPOGX="0.81685" LPOGY="0.55613" LPOGV="1" RPOGX="0.65716" RPOGY="0.35209" RPOGV="1" BPOGX="0.73700" BPOGY="0.45411" BPOGV="1" LPCX="0.34815" LPCY="0.70997" LPD="27.34710" LPS="1.18103" LPV="1" RPCX="0.60868" RPCY="0.71377" RPD="27.05810" RPS="1.18103" RPV="1" LEYEX="-0.04273" LEYEY="-0.04763" LEYEZ="0.72500" LPUPILD="0.00529" LPUPILV="1" REYEX="0.02879" REYEY="-0.04734" REYEZ="0.70442" RPUPILD="0.00541" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="1" />
<REC FPOGX="0.68648" FPOGY="0.46008" FPOGS="548.77081" FPOGD="0.44843" FPOGID="1662" FPOGV="1" LPOGX="0.82469" LPOGY="0.55337" LPOGV="1" RPOGX="0.68040" RPOGY="0.34803" RPOGV="1" BPOGX="0.75255" BPOGY="0.45070" BPOGV="1" LPCX="0.34867" LPCY="0.70998" LPD="27.34679" LPS="1.19127" LPV="1" RPCX="0.60922" RPCY="0.71376" RPD="26.70808" RPS="1.19127" RPV="1" LEYEX="-0.04273" LEYEY="-0.04763" LEYEZ="0.72500" LPUPILD="0.00529" LPUPILV="1" REYEX="0.02879" REYEY="-0.04734" REYEZ="0.70442" RPUPILD="0.00545" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="1" />
<REC FPOGX="0.68791" FPOGY="0.46038" FPOGS="548.77081" FPOGD="0.45587" FPOGID="1662" FPOGV="1" LPOGX="0.82469" LPOGY="0.55337" LPOGV="1" RPOGX="0.68040" RPOGY="0.34803" RPOGV="1" BPOGX="0.75255" BPOGY="0.45070" BPOGV="1" LPCX="0.34886" LPCY="0.70994" LPD="27.27521" LPS="1.19127" LPV="1" RPCX="0.60932" RPCY="0.71383" RPD="26.80474" RPS="1.19127" RPV="1" LEYEX="-0.04060" LEYEY="-0.04561" LEYEZ="0.69337" LPUPILD="0.00529" LPUPILV="1" REYEX="0.02902" REYEY="-0.04743" REYEZ="0.70498" RPUPILD="0.00540" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="1" />
