2025-06-03 11:08:12.648877
YEZ="0.68179" RPUPILD="0.00526" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.75174" FPOGY="0.46277" FPOGS="360.02832" FPOGD="0.03949" FPOGID="1002" FPOGV="1" LPOGX="0.83044" LPOGY="0.55165" LPOGV="1" RPOGX="0.67808" RPOGY="0.38992" RPOGV="1" BPOGX="0.75426" BPOGY="0.47078" BPOGV="1" LPCX="0.30676" LPCY="0.71640" LPD="25.69432" LPS="1.10622" LPV="1" RPCX="0.57309" RPCY="0.69118" RPD="26.90797" RPS="1.09705" RPV="1" LEYEX="-0.05352" LEYEY="-0.04844" LEYEZ="0.71440" LPUPILD="0.00491" LPUPILV="1" REYEX="0.01821" REYEY="-0.04041" REYEZ="0.67102" RPUPILD="0.00526" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.90501" FPOGY="0.50122" FPOGS="360.63837" FPOGD="0.34058" FPOGID="1005" FPOGV="1" LPOGX="0.97620" LPOGY="0.55387" LPOGV="1" RPOGX="0.75764" RPOGY="0.37688" RPOGV="1" BPOGX="0.86692" BPOGY="0.46538" BPOGV="1" LPCX="0.31009" LPCY="0.71710" LPD="25.20325" LPS="1.08809" LPV="1" RPCX="0.57700" RPCY="0.69195" RPD="24.98062" RPS="1.08809" RPV="1" LEYEX="-0.05026" LEYEY="-0.04610" LEYEZ="0.67846" LPUPILD="0.00493" LPUPILV="1" REYEX="0.01889" REYEY="-0.04078" REYEZ="0.67374" RPUPILD="0.00531" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.90355" FPOGY="0.50157" FPOGS="360.63837" FPOGD="0.34711" FPOGID="1005" FPOGV="1" LPOGX="0.94343" LPOGY="0.59976" LPOGV="1" RPOGX="0.74291" RPOGY="0.38594" RPOGV="1" BPOGX="0.84317" BPOGY="0.49285" BPOGV="1" LPCX="0.30916" LPCY="0.71703" LPD="25.33378" LPS="1.08809" LPV="1" RPCX="0.57607" RPCY="0.69182" RPD="25.37032" RPS="1.08809" RPV="1" LEYEX="-0.05026" LEYEY="-0.04610" LEYEZ="0.67846" LPUPILD="0.00494" LPUPILV="1" REYEX="0.01889" REYEY="-0.04078" REYEZ="0.67374" RPUPILD="0.00532" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.90207" FPOGY="0.50198" FPOGS="360.63837" FPOGD="0.35379" FPOGID="1005" FPOGV="1" LPOGX="0.94343" LPOGY="0.59976" LPOGV="1" RPOGX="0.74074" RPOGY="0.39104" RPOGV="1" BPOGX="0.84209" BPOGY="0.49540" BPOGV="1" LPCX="0.30915" LPCY="0.71690" LPD="24.14101" LPS="1.08809" LPV="1" RPCX="0.57569" RPCY="0.69187" RPD="25.55771" RPS="1.08000" RPV="1" LEYEX="-0.05219" LEYEY="-0.04748" LEYEZ="0.69878" LPUPILD="0.00501" LPUPILV="1" REYEX="0.01827" REYEY="-0.04023" REYEZ="0.66386" RPUPILD="0.00530" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.89998" FPOGY="0.50224" FPOGS="360.63837" FPOGD="0.36053" FPOGID="1005" FPOGV="1" LPOGX="0.91847" LPOGY="0.60519" LPOGV="1" RPOGX="0.70913" RPOGY="0.37946" RPOGV="1" BPOGX="0.81380" BPOGY="0.49232" BPOGV="1" LPCX="0.30788" LPCY="0.71712" LPD="25.47825" LPS="1.08000" LPV="1" RPCX="0.57448" RPCY="0.69193" RPD="26.36246" RPS="1.07192" RPV="1" LEYEX="-0.05219" LEYEY="-0.04748" LEYEZ="0.69878" LPUPILD="0.00492" LPUPILV="1" REYEX="0.01827" REYEY="-0.04023" REYEZ="0.66386" RPUPILD="0.00519" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.89797" FPOGY="0.50252" FPOGS="360.63837" FPOGD="0.36722" FPOGID="1005" FPOGV="1" LPOGX="0.92597" LPOGY="0.60592" LPOGV="1" RPOGX="0.71178" RPOGY="0.38776" RPOGV="1" BPOGX="0.81888" BPOGY="0.49684" BPOGV="1" LPCX="0.30800" LPCY="0.71705" LPD="25.25654" LPS="1.07192" LPV="1" RPCX="0.57479" RPCY="0.69180" RPD="25.62693" RPS="1.06383" RPV="1" LEYEX="-0.05219" LEYEY="-0.04748" LEYEZ="0.69878" LPUPILD="0.00491" LPUPILV="1" REYEX="0.01827" REYEY="-0.04023" REYEZ="0.66386" RPUPILD="0.00524" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.89598" FPOGY="0.50273" FPOGS="360.63837" FPOGD="0.37427" FPOGID="1005" FPOGV="1" LPOGX="0.92616" LPOGY="0.60551" LPOGV="1" RPOGX="0.71200" RPOGY="0.38720" RPOGV="1" BPOGX="0.81908" BPOGY="0.49636" BPOGV="1" LPCX="0.30801" LPCY="0.71710" LPD="25.32284" LPS="1.07279" LPV="1" RPCX="0.57455" RPCY="0.69193" RPD="26.22565" RPS="1.06470" RPV="1" LEYEX="-0.05216" LEYEY="-0.04741" LEYEZ="0.69776" LPUPILD="0.00490" LPUPILV="1" REYEX="0.01827" REYEY="-0.04023" REYEZ="0.66386" RPUPILD="0.00519" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.86797" FPOGY="0.48953" FPOGS="360.63837" FPOGD="0.37427" FPOGID="1005" FPOGV="0" LPOGX="0.92744" LPOGY="0.59586" LPOGV="1" RPOGX="0.71475" RPOGY="0.38053" RPOGV="1" BPOGX="0.82109" BPOGY="0.48819" BPOGV="1" LPCX="0.30804" LPCY="0.71707" LPD="24.97546" LPS="1.07366" LPV="1" RPCX="0.57456" RPCY="0.69192" RPD="26.17752" RPS="1.07366" RPV="1" LEYEX="-0.05216" LEYEY="-0.04741" LEYEZ="0.69776" LPUPILD="0.00491" LPUPILV="1" REYEX="0.01827" REYEY="-0.04023" REYEZ="0.66386" RPUPILD="0.00521" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.84288" FPOGY="0.48533" FPOGS="360.63837" FPOGD="0.37427" FPOGID="1005" FPOGV="0" LPOGX="0.92565" LPOGY="0.59770" LPOGV="1" RPOGX="0.70995" RPOGY="0.36456" RPOGV="1" BPOGX="0.81780" BPOGY="0.48113" BPOGV="1" LPCX="0.30793" LPCY="0.71707" LPD="25.12370" LPS="1.08261" LPV="1" RPCX="0.57452" RPCY="0.69192" RPD="26.15671" RPS="1.08261" RPV="1" LEYEX="-0.05216" LEYEY="-0.04741" LEYEZ="0.69776" LPUPILD="0.00489" LPUPILV="1" REYEX="0.01827" REYEY="-0.04023" REYEZ="0.66386" RPUPILD="0.00517" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
