2025-06-03 11:10:51.155326
YEZ="0.67897" RPUPILD="0.00534" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.77132" FPOGY="0.46641" FPOGS="518.49890" FPOGD="0.08026" FPOGID="1500" FPOGV="1" LPOGX="0.83701" LPOGY="0.57372" LPOGV="1" RPOGX="0.68036" RPOGY="0.41419" RPOGV="1" BPOGX="0.75868" BPOGY="0.49395" BPOGV="1" LPCX="0.29368" LPCY="0.69295" LPD="27.09262" LPS="1.05608" LPV="1" RPCX="0.56161" RPCY="0.67745" RPD="27.62534" RPS="1.05608" RPV="1" LEYEX="-0.05402" LEYEY="-0.04096" LEYEZ="0.67585" LPUPILD="0.00511" LPUPILV="1" REYEX="0.01543" REYEY="-0.03809" REYEZ="0.67897" RPUPILD="0.00534" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.78195" FPOGY="0.46681" FPOGS="519.23584" FPOGD="0.25458" FPOGID="1502" FPOGV="1" LPOGX="0.87801" LPOGY="0.53804" LPOGV="1" RPOGX="0.71670" RPOGY="0.38797" RPOGV="1" BPOGX="0.79736" BPOGY="0.46301" BPOGV="1" LPCX="0.28888" LPCY="0.69335" LPD="28.04590" LPS="1.12427" LPV="1" RPCX="0.55721" RPCY="0.67624" RPD="28.15013" RPS="1.12427" RPV="1" LEYEX="-0.05804" LEYEY="-0.04300" LEYEZ="0.70952" LPUPILD="0.00526" LPUPILV="1" REYEX="0.01405" REYEY="-0.03757" REYEZ="0.67419" RPUPILD="0.00546" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.78231" FPOGY="0.46660" FPOGS="519.23584" FPOGD="0.26111" FPOGID="1502" FPOGV="1" LPOGX="0.87613" LPOGY="0.53066" LPOGV="1" RPOGX="0.71692" RPOGY="0.38614" RPOGV="1" BPOGX="0.79653" BPOGY="0.45840" BPOGV="1" LPCX="0.28883" LPCY="0.69332" LPD="27.75604" LPS="1.12427" LPV="1" RPCX="0.55718" RPCY="0.67625" RPD="27.91103" RPS="1.12427" RPV="1" LEYEX="-0.05804" LEYEY="-0.04300" LEYEZ="0.70952" LPUPILD="0.00527" LPUPILV="1" REYEX="0.01405" REYEY="-0.03757" REYEZ="0.67419" RPUPILD="0.00546" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.78261" FPOGY="0.46652" FPOGS="519.23584" FPOGD="0.26819" FPOGID="1502" FPOGV="1" LPOGX="0.87463" LPOGY="0.53522" LPOGV="1" RPOGX="0.71479" RPOGY="0.39162" RPOGV="1" BPOGX="0.79471" BPOGY="0.46342" BPOGV="1" LPCX="0.28886" LPCY="0.69331" LPD="27.84145" LPS="1.11531" LPV="1" RPCX="0.55718" RPCY="0.67621" RPD="27.93099" RPS="1.11531" RPV="1" LEYEX="-0.05490" LEYEY="-0.04063" LEYEZ="0.67045" LPUPILD="0.00526" LPUPILV="1" REYEX="0.01423" REYEY="-0.03799" REYEZ="0.68262" RPUPILD="0.00548" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.78330" FPOGY="0.46669" FPOGS="519.23584" FPOGD="0.27490" FPOGID="1502" FPOGV="1" LPOGX="0.91240" LPOGY="0.54970" LPOGV="1" RPOGX="0.71017" RPOGY="0.39763" RPOGV="1" BPOGX="0.81129" BPOGY="0.47366" BPOGV="1" LPCX="0.28889" LPCY="0.69332" LPD="28.03805" LPS="1.10635" LPV="1" RPCX="0.55717" RPCY="0.67616" RPD="27.95679" RPS="1.10635" RPV="1" LEYEX="-0.05490" LEYEY="-0.04063" LEYEZ="0.67045" LPUPILD="0.00527" LPUPILV="1" REYEX="0.01423" REYEY="-0.03799" REYEZ="0.68262" RPUPILD="0.00548" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.78343" FPOGY="0.46673" FPOGS="519.23584" FPOGD="0.28156" FPOGID="1502" FPOGV="1" LPOGX="0.86863" LPOGY="0.53439" LPOGV="1" RPOGX="0.70977" RPOGY="0.40236" RPOGV="1" BPOGX="0.78920" BPOGY="0.46838" BPOGV="1" LPCX="0.28887" LPCY="0.69330" LPD="28.03498" LPS="1.09740" LPV="1" RPCX="0.55717" RPCY="0.67616" RPD="27.95679" RPS="1.09740" RPV="1" LEYEX="-0.05490" LEYEY="-0.04063" LEYEZ="0.67045" LPUPILD="0.00527" LPUPILV="1" REYEX="0.01423" REYEY="-0.03799" REYEZ="0.68262" RPUPILD="0.00548" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.78349" FPOGY="0.46699" FPOGS="519.23584" FPOGD="0.28809" FPOGID="1502" FPOGV="1" LPOGX="0.86585" LPOGY="0.54310" LPOGV="1" RPOGX="0.70576" RPOGY="0.41270" RPOGV="1" BPOGX="0.78581" BPOGY="0.47790" BPOGV="1" LPCX="0.28886" LPCY="0.69329" LPD="28.13211" LPS="1.08053" LPV="1" RPCX="0.55714" RPCY="0.67610" RPD="28.09916" RPS="1.08053" RPV="1" LEYEX="-0.05435" LEYEY="-0.04019" LEYEZ="0.66322" LPUPILD="0.00528" LPUPILV="1" REYEX="0.01423" REYEY="-0.03799" REYEZ="0.68262" RPUPILD="0.00549" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.78393" FPOGY="0.46722" FPOGS="519.23584" FPOGD="0.29437" FPOGID="1502" FPOGV="1" LPOGX="0.90451" LPOGY="0.54663" LPOGV="1" RPOGX="0.70229" RPOGY="0.40802" RPOGV="1" BPOGX="0.80340" BPOGY="0.47732" BPOGV="1" LPCX="0.28881" LPCY="0.69327" LPD="28.01546" LPS="1.07263" LPV="1" RPCX="0.55707" RPCY="0.67616" RPD="28.05723" RPS="1.07263" RPV="1" LEYEX="-0.05435" LEYEY="-0.04019" LEYEZ="0.66322" LPUPILD="0.00528" LPUPILV="1" REYEX="0.01423" REYEY="-0.03799" REYEZ="0.68262" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.78425" FPOGY="0.46753" FPOGS="519.23584" FPOGD="0.30261" FPOGID="1502" FPOGV="1" LPOGX="0.89563" LPOGY="0.54106" LPOGV="1" RPOGX="0.70119" RPOGY="0.42219" RPOGV="1" BPOGX="0.79841" BPOGY="0.48162" BPOGV="1" LPCX="0.28880" LPCY="0.69326" LPD="28.00669" LPS="1.06472" LPV="1" RPCX="0.55712" RPCY="0.67615" RPD="28.25575" RPS="1.06472" RPV="1" LEYEX="-0.05435" LEYEY="-0.04019" LEYEZ="0.66322" LPUPILD="0.00528" LPUPILV="1" REYEX="0.01423" REYEY="-0.03799" REYEZ="0.68262" RPUPILD="0.00548" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
