2025-05-29 12:08:00.692673
EYEZ="0.66147" RPUPILD="0.00610" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.26652" FPOGY="0.12473" FPOGS="7431.59570" FPOGD="0.04883" FPOGID="20056" FPOGV="1" LPOGX="0.26324" LPOGY="0.13725" LPOGV="1" RPOGX="0.19198" RPOGY="0.12674" RPOGV="1" BPOGX="0.22761" BPOGY="0.13200" BPOGV="1" LPCX="0.31505" LPCY="0.40560" LPD="28.36567" LPS="1.03712" LPV="1" RPCX="0.57010" RPCY="0.43497" RPD="29.61279" RPS="1.02903" RPV="1" LEYEX="-0.04555" LEYEY="0.01765" LEYEZ="0.66099" LPUPILD="0.00604" LPUPILV="1" REYEX="0.01870" REYEY="0.01161" REYEZ="0.66147" RPUPILD="0.00614" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.71559" FPOGY="0.14663" FPOGS="7432.44678" FPOGD="0.09375" FPOGID="20059" FPOGV="0" LPOGX="0.78703" LPOGY="0.16735" LPOGV="1" RPOGX="0.69003" RPOGY="0.15825" RPOGV="1" BPOGX="0.73853" BPOGY="0.16280" BPOGV="1" LPCX="0.32945" LPCY="0.40493" LPD="29.68845" LPS="1.00097" LPV="1" RPCX="0.58452" RPCY="0.43486" RPD="28.26158" RPS="1.00097" RPV="1" LEYEX="-0.04186" LEYEY="0.01700" LEYEZ="0.63300" LPUPILD="0.00619" LPUPILV="1" REYEX="0.01997" REYEY="0.01134" REYEZ="0.64343" RPUPILD="0.00590" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.72341" FPOGY="0.15485" FPOGS="7432.54736" FPOGD="0.02100" FPOGID="20060" FPOGV="1" LPOGX="0.78124" LPOGY="0.18505" LPOGV="1" RPOGX="0.71247" RPOGY="0.17395" RPOGV="1" BPOGX="0.74685" BPOGY="0.17950" BPOGV="1" LPCX="0.32941" LPCY="0.40493" LPD="29.70295" LPS="0.98604" LPV="1" RPCX="0.58439" RPCY="0.43488" RPD="28.49886" RPS="0.98604" RPV="1" LEYEX="-0.04186" LEYEY="0.01700" LEYEZ="0.63300" LPUPILD="0.00617" LPUPILV="1" REYEX="0.01997" REYEY="0.01134" REYEZ="0.64343" RPUPILD="0.00590" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.72756" FPOGY="0.16252" FPOGS="7432.54736" FPOGD="0.02734" FPOGID="20060" FPOGV="1" LPOGX="0.77982" LPOGY="0.19888" LPOGV="1" RPOGX="0.70855" RPOGY="0.18749" RPOGV="1" BPOGX="0.74418" BPOGY="0.19318" BPOGV="1" LPCX="0.32942" LPCY="0.40492" LPD="29.71108" LPS="0.97111" LPV="1" RPCX="0.58438" RPCY="0.43485" RPD="28.43199" RPS="0.97111" RPV="1" LEYEX="-0.04180" LEYEY="0.01697" LEYEZ="0.63216" LPUPILD="0.00617" LPUPILV="1" REYEX="0.01997" REYEY="0.01139" REYEZ="0.64325" RPUPILD="0.00589" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.73161" FPOGY="0.16780" FPOGS="7432.54736" FPOGD="0.03369" FPOGID="20060" FPOGV="1" LPOGX="0.79940" LPOGY="0.20359" LPOGV="1" RPOGX="0.70432" RPOGY="0.18482" RPOGV="1" BPOGX="0.75186" BPOGY="0.19420" BPOGV="1" LPCX="0.32919" LPCY="0.40492" LPD="29.74905" LPS="0.97111" LPV="1" RPCX="0.58432" RPCY="0.43485" RPD="28.55907" RPS="0.97111" RPV="1" LEYEX="-0.04180" LEYEY="0.01697" LEYEZ="0.63216" LPUPILD="0.00619" LPUPILV="1" REYEX="0.01997" REYEY="0.01139" REYEZ="0.64325" RPUPILD="0.00589" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.73375" FPOGY="0.17120" FPOGS="7432.54736" FPOGD="0.04004" FPOGID="20060" FPOGV="1" LPOGX="0.79506" LPOGY="0.19908" LPOGV="1" RPOGX="0.69817" RPOGY="0.18418" RPOGV="1" BPOGX="0.74661" BPOGY="0.19163" BPOGV="1" LPCX="0.32914" LPCY="0.40494" LPD="29.78938" LPS="0.97111" LPV="1" RPCX="0.58424" RPCY="0.43474" RPD="28.51480" RPS="0.97111" RPV="1" LEYEX="-0.04180" LEYEY="0.01697" LEYEZ="0.63216" LPUPILD="0.00617" LPUPILV="1" REYEX="0.01997" REYEY="0.01139" REYEZ="0.64325" RPUPILD="0.00594" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.73563" FPOGY="0.17254" FPOGS="7432.54736" FPOGD="0.04688" FPOGID="20060" FPOGV="1" LPOGX="0.79583" LPOGY="0.19255" LPOGV="1" RPOGX="0.70175" RPOGY="0.17123" RPOGV="1" BPOGX="0.74879" BPOGY="0.18189" BPOGV="1" LPCX="0.32915" LPCY="0.40494" LPD="29.80981" LPS="0.97814" LPV="1" RPCX="0.58416" RPCY="0.43481" RPD="28.73390" RPS="0.98533" RPV="1" LEYEX="-0.04360" LEYEY="0.01768" LEYEZ="0.65851" LPUPILD="0.00616" LPUPILV="1" REYEX="0.02017" REYEY="0.01153" REYEZ="0.65149" RPUPILD="0.00594" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.73939" FPOGY="0.17248" FPOGS="7432.54736" FPOGD="0.05371" FPOGID="20060" FPOGV="1" LPOGX="0.80951" LPOGY="0.18577" LPOGV="1" RPOGX="0.72929" RPOGY="0.15823" RPOGV="1" BPOGX="0.76940" BPOGY="0.17200" BPOGV="1" LPCX="0.32904" LPCY="0.40487" LPD="30.00636" LPS="0.99235" LPV="1" RPCX="0.58402" RPCY="0.43467" RPD="28.73089" RPS="0.99954" RPV="1" LEYEX="-0.04360" LEYEY="0.01768" LEYEZ="0.65851" LPUPILD="0.00614" LPUPILV="1" REYEX="0.02017" REYEY="0.01153" REYEZ="0.65149" RPUPILD="0.00591" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.74210" FPOGY="0.17078" FPOGS="7432.54736" FPOGD="0.06201" FPOGID="20060" FPOGV="1" LPOGX="0.80373" LPOGY="0.16870" LPOGV="1" RPOGX="0.72930" RPOGY="0.14227" RPOGV="1" BPOGX="0.76652" BPOGY="0.15548" BPOGV="1" LPCX="0.32883" LPCY="0.40491" LPD="29.80022" LPS="1.00657" LPV="1" RPCX="0.58396" RPCY="0.43473" RPD="28.74909" RPS="1.01376" RPV="1" LEYEX="-0.04360" LEYEY="0.01768" LEYEZ="0.65851" LPUPILD="0.00616" LPUPILV="1" REYEX="0.02017" REYEY="0.01153" REYEZ="0.65149" RPUPILD="0.00590" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
