2025-06-09 11:29:06.691037
EYEZ="0.60555" RPUPILD="0.00470" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.68463" FPOGY="-0.28137" FPOGS="63.82943" FPOGD="0.08733" FPOGID="215" FPOGV="1" LPOGX="0.67001" LPOGY="-0.35215" LPOGV="1" RPOGX="0.71752" RPOGY="-0.31079" RPOGV="1" BPOGX="0.69376" BPOGY="-0.33147" BPOGV="1" LPCX="0.38742" LPCY="0.35422" LPD="23.84285" LPS="0.88698" LPV="1" RPCX="0.66875" RPCY="0.35861" RPD="26.14595" RPS="0.88698" RPV="1" LEYEX="-0.02593" LEYEY="0.02446" LEYEZ="0.59832" LPUPILD="0.00428" LPUPILV="1" REYEX="0.03850" REYEY="0.02398" REYEZ="0.60555" RPUPILD="0.00471" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.28652" FPOGY="-0.20622" FPOGS="64.72733" FPOGD="0.10063" FPOGID="219" FPOGV="1" LPOGX="0.30710" LPOGY="-0.15007" LPOGV="1" RPOGX="0.30743" RPOGY="-0.11909" RPOGV="1" BPOGX="0.30727" BPOGY="-0.13458" BPOGV="1" LPCX="0.37227" LPCY="0.35892" LPD="21.23897" LPS="0.83091" LPV="1" RPCX="0.65331" RPCY="0.36039" RPD="23.54989" RPS="0.83091" RPV="1" LEYEX="-0.02758" LEYEY="0.02333" LEYEZ="0.58571" LPUPILD="0.00427" LPUPILV="1" REYEX="0.03619" REYEY="0.02383" REYEZ="0.60633" RPUPILD="0.00427" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.28760" FPOGY="-0.20224" FPOGS="64.72733" FPOGD="0.10718" FPOGID="219" FPOGV="1" LPOGX="0.30575" LPOGY="-0.14571" LPOGV="1" RPOGX="0.30406" RPOGY="-0.13139" RPOGV="1" BPOGX="0.30490" BPOGY="-0.13855" BPOGV="1" LPCX="0.37232" LPCY="0.35877" LPD="21.54677" LPS="0.83091" LPV="1" RPCX="0.65325" RPCY="0.36046" RPD="23.63404" RPS="0.83091" RPV="1" LEYEX="-0.02758" LEYEY="0.02333" LEYEZ="0.58571" LPUPILD="0.00429" LPUPILV="1" REYEX="0.03619" REYEY="0.02383" REYEZ="0.60633" RPUPILD="0.00430" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.28856" FPOGY="-0.19870" FPOGS="64.72733" FPOGD="0.11388" FPOGID="219" FPOGV="1" LPOGX="0.30575" LPOGY="-0.14571" LPOGV="1" RPOGX="0.30406" RPOGY="-0.13139" RPOGV="1" BPOGX="0.30490" BPOGY="-0.13855" BPOGV="1" LPCX="0.37220" LPCY="0.35908" LPD="21.57933" LPS="0.83091" LPV="1" RPCX="0.65318" RPCY="0.36040" RPD="23.36685" RPS="0.83091" RPV="1" LEYEX="-0.02758" LEYEY="0.02333" LEYEZ="0.58571" LPUPILD="0.00439" LPUPILV="1" REYEX="0.03619" REYEY="0.02383" REYEZ="0.60633" RPUPILD="0.00431" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.28970" FPOGY="-0.19580" FPOGS="64.72733" FPOGD="0.12065" FPOGID="219" FPOGV="1" LPOGX="0.31427" LPOGY="-0.14746" LPOGV="1" RPOGX="0.30629" RPOGY="-0.13971" RPOGV="1" BPOGX="0.31028" BPOGY="-0.14359" BPOGV="1" LPCX="0.37224" LPCY="0.35913" LPD="21.42797" LPS="0.83091" LPV="1" RPCX="0.65323" RPCY="0.36032" RPD="23.36795" RPS="0.83091" RPV="1" LEYEX="-0.02758" LEYEY="0.02333" LEYEZ="0.58571" LPUPILD="0.00440" LPUPILV="1" REYEX="0.03619" REYEY="0.02383" REYEZ="0.60633" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.29061" FPOGY="-0.19330" FPOGS="64.72733" FPOGD="0.12737" FPOGID="219" FPOGV="1" LPOGX="0.30481" LPOGY="-0.15257" LPOGV="1" RPOGX="0.31087" RPOGY="-0.13887" RPOGV="1" BPOGX="0.30784" BPOGY="-0.14572" BPOGV="1" LPCX="0.37224" LPCY="0.35913" LPD="21.42379" LPS="0.83091" LPV="1" RPCX="0.65333" RPCY="0.36029" RPD="23.63658" RPS="0.83091" RPV="1" LEYEX="-0.02758" LEYEY="0.02333" LEYEZ="0.58571" LPUPILD="0.00440" LPUPILV="1" REYEX="0.03619" REYEY="0.02383" REYEZ="0.60633" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.29143" FPOGY="-0.19103" FPOGS="64.72733" FPOGD="0.13439" FPOGID="219" FPOGV="1" LPOGX="0.30481" LPOGY="-0.15257" LPOGV="1" RPOGX="0.31087" RPOGY="-0.13887" RPOGV="1" BPOGX="0.30784" BPOGY="-0.14572" BPOGV="1" LPCX="0.37226" LPCY="0.35909" LPD="21.44364" LPS="0.83091" LPV="1" RPCX="0.65336" RPCY="0.36030" RPD="23.61759" RPS="0.83091" RPV="1" LEYEX="-0.02758" LEYEY="0.02333" LEYEZ="0.58571" LPUPILD="0.00441" LPUPILV="1" REYEX="0.03619" REYEY="0.02383" REYEZ="0.60633" RPUPILD="0.00429" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.29762" FPOGY="-0.15946" FPOGS="64.72733" FPOGD="0.13439" FPOGID="219" FPOGV="0" LPOGX="0.30114" LPOGY="-0.15027" LPOGV="1" RPOGX="0.28346" RPOGY="-0.13329" RPOGV="1" BPOGX="0.29230" BPOGY="-0.14178" BPOGV="1" LPCX="0.37222" LPCY="0.35896" LPD="21.42710" LPS="0.83091" LPV="1" RPCX="0.65340" RPCY="0.36032" RPD="23.77473" RPS="0.83091" RPV="1" LEYEX="-0.02758" LEYEY="0.02333" LEYEZ="0.58571" LPUPILD="0.00445" LPUPILV="1" REYEX="0.03619" REYEY="0.02383" REYEZ="0.60633" RPUPILD="0.00428" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.29757" FPOGY="-0.14959" FPOGS="64.72733" FPOGD="0.13439" FPOGID="219" FPOGV="0" LPOGX="0.30810" LPOGY="-0.14556" LPOGV="1" RPOGX="0.28693" RPOGY="-0.13387" RPOGV="1" BPOGX="0.29751" BPOGY="-0.13972" BPOGV="1" LPCX="0.37221" LPCY="0.35912" LPD="21.45597" LPS="0.83091" LPV="1" RPCX="0.65335" RPCY="0.36025" RPD="23.68272" RPS="0.83091" RPV="1" LEYEX="-0.02758" LEYEY="0.02333" LEYEZ="0.58571" LPUPILD="0.00440" LPUPILV="1" REYEX="0.03619" REYEY="0.02383" REYEZ="0.60633" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
