2025-06-09 11:33:04.573009
EZ="0.65889" RPUPILD="0.00439" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="42" />
<REC FPOGX="0.29919" FPOGY="0.18646" FPOGS="301.62445" FPOGD="0.17453" FPOGID="1089" FPOGV="1" LPOGX="0.26607" LPOGY="0.15020" LPOGV="1" RPOGX="0.30397" RPOGY="0.14326" RPOGV="1" BPOGX="0.28502" BPOGY="0.14673" BPOGV="1" LPCX="0.42128" LPCY="0.49874" LPD="19.11654" LPS="0.98112" LPV="1" RPCX="0.68917" RPCY="0.48878" RPD="21.28814" RPS="0.98831" RPV="1" LEYEX="-0.01803" LEYEY="-0.00138" LEYEZ="0.63625" LPUPILD="0.00383" LPUPILV="1" REYEX="0.04837" REYEY="0.00059" REYEZ="0.65889" RPUPILD="0.00434" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="42" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.56003" FPOGY="0.45898" FPOGS="302.45520" FPOGD="0.18793" FPOGID="1092" FPOGV="0" LPOGX="0.76966" LPOGY="0.75850" LPOGV="0" RPOGX="0.54754" RPOGY="0.37544" RPOGV="1" BPOGX="0.54754" BPOGY="0.37544" BPOGV="1" LPCX="0.43362" LPCY="0.50439" LPD="6.08714" LPS="0.97393" LPV="0" RPCX="0.69796" RPCY="0.49072" RPD="18.32469" RPS="0.98112" RPV="1" LEYEX="-0.01592" LEYEY="-0.00114" LEYEZ="0.63557" LPUPILD="0.00197" LPUPILV="1" REYEX="0.05169" REYEY="0.00061" REYEZ="0.68180" RPUPILD="0.00429" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="41" />
<REC FPOGX="0.56134" FPOGY="0.43196" FPOGS="302.45520" FPOGD="0.18793" FPOGID="1092" FPOGV="0" LPOGX="0.76966" LPOGY="0.75850" LPOGV="0" RPOGX="0.56395" RPOGY="0.37792" RPOGV="1" BPOGX="0.56395" BPOGY="0.37792" BPOGV="1" LPCX="0.43362" LPCY="0.50439" LPD="6.08714" LPS="0.98112" LPV="0" RPCX="0.69785" RPCY="0.49036" RPD="18.48135" RPS="0.98831" RPV="1" LEYEX="-0.01592" LEYEY="-0.00114" LEYEZ="0.63557" LPUPILD="0.00197" LPUPILV="1" REYEX="0.05169" REYEY="0.00061" REYEZ="0.68180" RPUPILD="0.00445" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="41" />
<REC FPOGX="0.55848" FPOGY="0.37709" FPOGS="302.45520" FPOGD="0.18793" FPOGID="1092" FPOGV="0" LPOGX="0.76966" LPOGY="0.75850" LPOGV="0" RPOGX="0.56395" RPOGY="0.37792" RPOGV="1" BPOGX="0.56395" BPOGY="0.37792" BPOGV="1" LPCX="0.43362" LPCY="0.50439" LPD="6.08714" LPS="0.98831" LPV="0" RPCX="0.69753" RPCY="0.49020" RPD="19.54670" RPS="0.98831" RPV="1" LEYEX="-0.01592" LEYEY="-0.00114" LEYEZ="0.63557" LPUPILD="0.00197" LPUPILV="1" REYEX="0.04790" REYEY="0.00057" REYEZ="0.63376" RPUPILD="0.00445" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="41" />
<REC FPOGX="0.52613" FPOGY="0.33507" FPOGS="302.45520" FPOGD="0.18793" FPOGID="1092" FPOGV="0" LPOGX="0.76966" LPOGY="0.75850" LPOGV="0" RPOGX="0.49379" RPOGY="0.29305" RPOGV="1" BPOGX="0.49379" BPOGY="0.29305" BPOGV="1" LPCX="0.43362" LPCY="0.50439" LPD="6.08714" LPS="0.98831" LPV="0" RPCX="0.69708" RPCY="0.48969" RPD="19.95457" RPS="0.98112" RPV="1" LEYEX="-0.01592" LEYEY="-0.00114" LEYEZ="0.63557" LPUPILD="0.00197" LPUPILV="1" REYEX="0.04790" REYEY="0.00057" REYEZ="0.63376" RPUPILD="0.00460" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="41" />
<REC FPOGX="0.51331" FPOGY="0.31723" FPOGS="302.45520" FPOGD="0.18793" FPOGID="1092" FPOGV="0" LPOGX="0.76966" LPOGY="0.75850" LPOGV="0" RPOGX="0.48767" RPOGY="0.28154" RPOGV="1" BPOGX="0.48767" BPOGY="0.28154" BPOGV="1" LPCX="0.43362" LPCY="0.50439" LPD="6.08714" LPS="0.98112" LPV="0" RPCX="0.69696" RPCY="0.48917" RPD="21.33371" RPS="0.97393" RPV="1" LEYEX="-0.01592" LEYEY="-0.00114" LEYEZ="0.63557" LPUPILD="0.00197" LPUPILV="1" REYEX="0.04790" REYEY="0.00057" REYEZ="0.63376" RPUPILD="0.00452" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="41" />
<REC FPOGX="0.48971" FPOGY="0.28538" FPOGS="302.45520" FPOGD="0.18793" FPOGID="1092" FPOGV="0" LPOGX="0.76966" LPOGY="0.75850" LPOGV="0" RPOGX="0.48767" RPOGY="0.28154" RPOGV="1" BPOGX="0.48767" BPOGY="0.28154" BPOGV="1" LPCX="0.43362" LPCY="0.50439" LPD="6.08714" LPS="0.97393" LPV="0" RPCX="0.69682" RPCY="0.48932" RPD="20.65841" RPS="0.97393" RPV="1" LEYEX="-0.01592" LEYEY="-0.00114" LEYEZ="0.63557" LPUPILD="0.00197" LPUPILV="1" REYEX="0.05020" REYEY="0.00055" REYEZ="0.66485" RPUPILD="0.00453" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="41" />
<REC FPOGX="0.48320" FPOGY="0.26250" FPOGS="302.45520" FPOGD="0.18793" FPOGID="1092" FPOGV="0" LPOGX="0.76966" LPOGY="0.75850" LPOGV="0" RPOGX="0.47668" RPOGY="0.23963" RPOGV="1" BPOGX="0.47668" BPOGY="0.23963" BPOGV="1" LPCX="0.43362" LPCY="0.50439" LPD="6.08714" LPS="0.97393" LPV="0" RPCX="0.69689" RPCY="0.48962" RPD="22.17476" RPS="0.98112" RPV="1" LEYEX="-0.01592" LEYEY="-0.00114" LEYEZ="0.63557" LPUPILD="0.00197" LPUPILV="1" REYEX="0.05020" REYEY="0.00055" REYEZ="0.66485" RPUPILD="0.00444" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="41" />
<REC FPOGX="0.48851" FPOGY="0.26253" FPOGS="302.45520" FPOGD="0.18793" FPOGID="1092" FPOGV="0" LPOGX="0.76966" LPOGY="0.75850" LPOGV="0" RPOGX="0.49913" RPOGY="0.26258" RPOGV="1" BPOGX="0.49913" BPOGY="0.26258" BPOGV="1" LPCX="0.43362" LPCY="0.50439" LPD="6.08714" LPS="0.98112" LPV="0" RPCX="0.69676" RPCY="0.48957" RPD="22.09240" RPS="0.98831" RPV="1" LEYEX="-0.01592" LEYEY="-0.00114" LEYEZ="0.63557" LPUPILD="0.00197" LPUPILV="1" REYEX="0.05020" REYEY="0.00055" REYEZ="0.66485" RPUPILD="0.00449" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="41" />
