2025-06-11 11:51:27.828521
EYEZ="0.62916" LPUPILD="0.00369" LPUPILV="1" REYEX="0.05502" REYEY="0.00848" REYEZ="0.62458" RPUPILD="0.00433" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="40" />
<REC FPOGX="1.02067" FPOGY="0.91034" FPOGS="305.68808" FPOGD="0.27448" FPOGID="1062" FPOGV="0" LPOGX="0.93108" LPOGY="0.89965" LPOGV="0" RPOGX="1.12619" RPOGY="1.08744" RPOGV="1" BPOGX="1.12619" BPOGY="1.08744" BPOGV="1" LPCX="0.46757" LPCY="0.46152" LPD="13.99716" LPS="0.92226" LPV="0" RPCX="0.73882" RPCY="0.45562" RPD="11.06820" RPS="0.92226" RPV="1" LEYEX="-0.00863" LEYEY="0.00689" LEYEZ="0.62916" LPUPILD="0.00369" LPUPILV="1" REYEX="0.05502" REYEY="0.00848" REYEZ="0.62458" RPUPILD="0.00219" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="40" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.80702" FPOGY="0.30717" FPOGS="306.63248" FPOGD="0.22787" FPOGID="1065" FPOGV="0" LPOGX="0.73322" LPOGY="0.36151" LPOGV="1" RPOGX="0.82036" RPOGY="0.21739" RPOGV="1" BPOGX="0.77679" BPOGY="0.28945" BPOGV="1" LPCX="0.45888" LPCY="0.45955" LPD="21.14128" LPS="0.93533" LPV="1" RPCX="0.72833" RPCY="0.44928" RPD="25.12279" RPS="0.94755" RPV="1" LEYEX="-0.01046" LEYEY="0.00668" LEYEZ="0.64579" LPUPILD="0.00411" LPUPILV="1" REYEX="0.05525" REYEY="0.00860" REYEZ="0.64408" RPUPILD="0.00475" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="40" />
<REC FPOGX="0.75031" FPOGY="0.29422" FPOGS="306.63248" FPOGD="0.22787" FPOGID="1065" FPOGV="0" LPOGX="0.66498" LPOGY="0.38427" LPOGV="1" RPOGX="0.73471" RPOGY="0.20788" RPOGV="1" BPOGX="0.69985" BPOGY="0.29608" BPOGV="1" LPCX="0.45767" LPCY="0.45930" LPD="20.71287" LPS="0.94755" LPV="1" RPCX="0.72701" RPCY="0.44925" RPD="25.45263" RPS="0.95398" RPV="1" LEYEX="-0.01046" LEYEY="0.00668" LEYEZ="0.64579" LPUPILD="0.00392" LPUPILV="1" REYEX="0.05525" REYEY="0.00860" REYEZ="0.64408" RPUPILD="0.00474" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="40" />
<REC FPOGX="0.71480" FPOGY="0.28323" FPOGS="306.63248" FPOGD="0.22787" FPOGID="1065" FPOGV="0" LPOGX="0.64836" LPOGY="0.32727" LPOGV="1" RPOGX="0.71022" RPOGY="0.21720" RPOGV="1" BPOGX="0.67929" BPOGY="0.27224" BPOGV="1" LPCX="0.45709" LPCY="0.45930" LPD="20.35737" LPS="0.95398" LPV="1" RPCX="0.72652" RPCY="0.44923" RPD="25.50762" RPS="0.96041" RPV="1" LEYEX="-0.01046" LEYEY="0.00668" LEYEZ="0.64579" LPUPILD="0.00395" LPUPILV="1" REYEX="0.05525" REYEY="0.00860" REYEZ="0.64408" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="40" />
<REC FPOGX="0.70322" FPOGY="0.27778" FPOGS="306.63248" FPOGD="0.22787" FPOGID="1065" FPOGV="0" LPOGX="0.64815" LPOGY="0.32226" LPOGV="1" RPOGX="0.71194" RPOGY="0.21149" RPOGV="1" BPOGX="0.68005" BPOGY="0.26688" BPOGV="1" LPCX="0.45672" LPCY="0.45937" LPD="20.32052" LPS="0.96041" LPV="1" RPCX="0.72599" RPCY="0.44914" RPD="25.42143" RPS="0.96685" RPV="1" LEYEX="-0.01062" LEYEY="0.00660" LEYEZ="0.63791" LPUPILD="0.00398" LPUPILV="1" REYEX="0.05370" REYEY="0.00845" REYEZ="0.62934" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="40" />
<REC FPOGX="0.70612" FPOGY="0.28040" FPOGS="306.90714" FPOGD="0.01978" FPOGID="1066" FPOGV="1" LPOGX="0.69885" LPOGY="0.38272" LPOGV="1" RPOGX="0.73083" RPOGY="0.19384" RPOGV="1" BPOGX="0.71484" BPOGY="0.28828" BPOGV="1" LPCX="0.45680" LPCY="0.45941" LPD="20.54494" LPS="0.96685" LPV="1" RPCX="0.72584" RPCY="0.44925" RPD="25.48372" RPS="0.96685" RPV="1" LEYEX="-0.01062" LEYEY="0.00660" LEYEZ="0.63791" LPUPILD="0.00397" LPUPILV="1" REYEX="0.05370" REYEY="0.00845" REYEZ="0.62934" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="40" />
<REC FPOGX="0.70766" FPOGY="0.28080" FPOGS="306.90714" FPOGD="0.02689" FPOGID="1066" FPOGV="1" LPOGX="0.69197" LPOGY="0.37097" LPOGV="1" RPOGX="0.73569" RPOGY="0.19376" RPOGV="1" BPOGX="0.71383" BPOGY="0.28236" BPOGV="1" LPCX="0.45688" LPCY="0.45928" LPD="20.94252" LPS="0.96685" LPV="1" RPCX="0.72588" RPCY="0.44923" RPD="25.56815" RPS="0.96685" RPV="1" LEYEX="-0.01062" LEYEY="0.00660" LEYEZ="0.63791" LPUPILD="0.00389" LPUPILV="1" REYEX="0.05370" REYEY="0.00845" REYEZ="0.62934" RPUPILD="0.00481" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="40" />
<REC FPOGX="0.70869" FPOGY="0.28106" FPOGS="306.90714" FPOGD="0.03333" FPOGID="1066" FPOGV="1" LPOGX="0.69197" LPOGY="0.37097" LPOGV="1" RPOGX="0.73569" RPOGY="0.19376" RPOGV="1" BPOGX="0.71383" BPOGY="0.28236" BPOGV="1" LPCX="0.45691" LPCY="0.45932" LPD="20.63220" LPS="0.96685" LPV="1" RPCX="0.72591" RPCY="0.44917" RPD="25.39625" RPS="0.96685" RPV="1" LEYEX="-0.01068" LEYEY="0.00655" LEYEZ="0.64185" LPUPILD="0.00392" LPUPILV="1" REYEX="0.05370" REYEY="0.00845" REYEZ="0.62934" RPUPILD="0.00481" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="40" />
<REC FPOGX="0.70823" FPOGY="0.27471" FPOGS="306.90714" FPOGD="0.03995" FPOGID="1066" FPOGV="1" LPOGX="0.67853" LPOGY="0.26295" LPOGV="1" RPOGX="0.73243" RPOGY="0.21032" RPOGV="1" BPOGX="0.70548" BPOGY="0.23663" BPOGV="1" LPCX="0.45674" LPCY="0.45953" LPD="20.45915" LPS="0.96685" LPV="1" RPCX="0.72588" RPCY="0.44926" RPD="25.45525" RPS="0.96685" RPV="1" LEYEX="-0.01068" LEYEY="0.00655" LEYEZ="0.64185" LPUPILD="0.00395" LPUPILV="1" REYEX="0.05370" REYEY="0.00845" REYEZ="0.62934" RPUPILD="0.00479" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="40" />
