2025-06-20 10:15:30.442550
5749" REYEZ="0.66257" RPUPILD="0.00395" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.59277" FPOGY="-0.07047" FPOGS="638.91260" FPOGD="0.18750" FPOGID="2288" FPOGV="1" LPOGX="0.59848" LPOGY="-0.09051" LPOGV="1" RPOGX="0.55310" RPOGY="-0.15998" RPOGV="1" BPOGX="0.57579" BPOGY="-0.12524" BPOGV="1" LPCX="0.39112" LPCY="0.78388" LPD="12.48712" LPS="0.99540" LPV="1" RPCX="0.63446" RPCY="0.77369" RPD="13.45229" RPS="0.99540" RPV="1" LEYEX="-0.02610" LEYEY="-0.05675" LEYEZ="0.63061" LPUPILD="0.00341" LPUPILV="1" REYEX="0.03383" REYEY="-0.05749" REYEZ="0.66257" RPUPILD="0.00390" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.78841" FPOGY="-0.07780" FPOGS="639.80359" FPOGD="0.20801" FPOGID="2292" FPOGV="1" LPOGX="0.80801" LPOGY="0.04406" LPOGV="1" RPOGX="0.75200" RPOGY="-0.14617" RPOGV="1" BPOGX="0.78001" BPOGY="-0.05105" BPOGV="1" LPCX="0.39620" LPCY="0.78404" LPD="11.62757" LPS="0.94794" LPV="1" RPCX="0.64035" RPCY="0.77221" RPD="11.56100" RPS="0.94794" RPV="1" LEYEX="-0.02558" LEYEY="-0.05696" LEYEZ="0.63287" LPUPILD="0.00402" LPUPILV="1" REYEX="0.03224" REYEY="-0.05410" REYEZ="0.62403" RPUPILD="0.00302" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.78772" FPOGY="-0.07795" FPOGS="639.80359" FPOGD="0.21466" FPOGID="2292" FPOGV="1" LPOGX="0.78110" LPOGY="0.01082" LPOGV="1" RPOGX="0.74999" RPOGY="-0.17613" RPOGV="1" BPOGX="0.76555" BPOGY="-0.08266" BPOGV="1" LPCX="0.39609" LPCY="0.78426" LPD="12.29607" LPS="0.95497" LPV="1" RPCX="0.64029" RPCY="0.77214" RPD="11.85934" RPS="0.95497" RPV="1" LEYEX="-0.02558" LEYEY="-0.05696" LEYEZ="0.63287" LPUPILD="0.00361" LPUPILV="1" REYEX="0.03224" REYEY="-0.05410" REYEZ="0.62403" RPUPILD="0.00295" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.78767" FPOGY="-0.07673" FPOGS="639.80359" FPOGD="0.22125" FPOGID="2292" FPOGV="1" LPOGX="0.79882" LPOGY="0.00553" LPOGV="1" RPOGX="0.77321" RPOGY="-0.07909" RPOGV="1" BPOGX="0.78602" BPOGY="-0.03678" BPOGV="1" LPCX="0.39625" LPCY="0.78351" LPD="11.95390" LPS="0.96199" LPV="1" RPCX="0.64023" RPCY="0.77204" RPD="11.66930" RPS="0.96199" RPV="1" LEYEX="-0.02558" LEYEY="-0.05696" LEYEZ="0.63287" LPUPILD="0.00391" LPUPILV="1" REYEX="0.03224" REYEY="-0.05410" REYEZ="0.62403" RPUPILD="0.00300" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.78755" FPOGY="-0.07529" FPOGS="639.80359" FPOGD="0.22961" FPOGID="2292" FPOGV="1" LPOGX="0.79811" LPOGY="0.01273" LPOGV="1" RPOGX="0.76933" RPOGY="-0.06487" RPOGV="1" BPOGX="0.78372" BPOGY="-0.02607" BPOGV="1" LPCX="0.39576" LPCY="0.78369" LPD="10.74992" LPS="0.95571" LPV="1" RPCX="0.64027" RPCY="0.77195" RPD="11.49429" RPS="0.94992" RPV="1" LEYEX="-0.02505" LEYEY="-0.05570" LEYEZ="0.61988" LPUPILD="0.00386" LPUPILV="1" REYEX="0.03140" REYEY="-0.05282" REYEZ="0.60875" RPUPILD="0.00299" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.78769" FPOGY="-0.07296" FPOGS="639.80359" FPOGD="0.23682" FPOGID="2292" FPOGV="1" LPOGX="0.79565" LPOGY="0.04798" LPOGV="1" RPOGX="0.78920" RPOGY="-0.03106" RPOGV="1" BPOGX="0.79243" BPOGY="0.00846" BPOGV="1" LPCX="0.39576" LPCY="0.78404" LPD="11.90827" LPS="0.93660" LPV="1" RPCX="0.64035" RPCY="0.77207" RPD="11.03826" RPS="0.93081" RPV="1" LEYEX="-0.02505" LEYEY="-0.05570" LEYEZ="0.61988" LPUPILD="0.00361" LPUPILV="1" REYEX="0.03140" REYEY="-0.05282" REYEZ="0.60875" RPUPILD="0.00295" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.78714" FPOGY="-0.07071" FPOGS="639.80359" FPOGD="0.24353" FPOGID="2292" FPOGV="1" LPOGX="0.76297" LPOGY="0.02975" LPOGV="1" RPOGX="0.77185" RPOGY="-0.00903" RPOGV="1" BPOGX="0.76741" BPOGY="0.01036" BPOGV="1" LPCX="0.39516" LPCY="0.78419" LPD="11.61876" LPS="0.91750" LPV="1" RPCX="0.64025" RPCY="0.77183" RPD="11.58049" RPS="0.91171" RPV="1" LEYEX="-0.02505" LEYEY="-0.05570" LEYEZ="0.61988" LPUPILD="0.00366" LPUPILV="1" REYEX="0.03140" REYEY="-0.05282" REYEZ="0.60875" RPUPILD="0.00284" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.78175" FPOGY="-0.03946" FPOGS="639.80359" FPOGD="0.24353" FPOGID="2292" FPOGV="0" LPOGX="0.76249" LPOGY="0.03649" LPOGV="1" RPOGX="0.77185" RPOGY="-0.00903" RPOGV="1" BPOGX="0.76717" BPOGY="0.01373" BPOGV="1" LPCX="0.39507" LPCY="0.78405" LPD="12.64394" LPS="0.91171" LPV="1" RPCX="0.64017" RPCY="0.77195" RPD="10.82583" RPS="0.91171" RPV="1" LEYEX="-0.02647" LEYEY="-0.05868" LEYEZ="0.65258" LPUPILD="0.00372" LPUPILV="1" REYEX="0.03229" REYEY="-0.05409" REYEZ="0.62499" RPUPILD="0.00298" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.75853" FPOGY="0.01277" FPOGS="639.80359" FPOGD="0.24353" FPOGID="2292" FPOGV="0" LPOGX="0.72987" LPOGY="0.11736" LPOGV="1" RPOGX="0.74074" RPOGY="0.01263" RPOGV="1" BPOGX="0.73530" BPOGY="0.06500" BPOGV="1" LPCX="0.39480" LPCY="0.78342" LPD="11.50998" LPS="0.92503" LPV="1" RPCX="0.63984" RPCY="0.77196" RPD="10.23321" RPS="0.93081" RPV="1" LEYEX="-0.02647" LEYEY="-0.05868" LEYEZ="0.65258" LPUPILD="0.00406" LPUPILV="1" REYEX="0.03229" REYEY="-0.05409" REYEZ="0.62499" RPUPILD="0.00288" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
