2025-06-04 15:18:19.473889
 REYEZ="0.61660" RPUPILD="0.00601" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="1.07964" FPOGY="0.50938" FPOGS="4320.29395" FPOGD="0.36133" FPOGID="9581" FPOGV="1" LPOGX="1.21025" LPOGY="0.56148" LPOGV="1" RPOGX="1.04531" RPOGY="0.43020" RPOGV="1" BPOGX="1.12778" BPOGY="0.49584" BPOGV="1" LPCX="0.34866" LPCY="0.56679" LPD="30.68378" LPS="0.85457" LPV="1" RPCX="0.60308" RPCY="0.59718" RPD="28.68273" RPS="0.85457" RPV="1" LEYEX="-0.03626" LEYEY="-0.01323" LEYEZ="0.59202" LPUPILD="0.00649" LPUPILV="1" REYEX="0.02228" REYEY="-0.01952" REYEZ="0.61660" RPUPILD="0.00601" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="1.08021" FPOGY="0.50939" FPOGS="4320.29395" FPOGD="0.36816" FPOGID="9581" FPOGV="1" LPOGX="1.20720" LPOGY="0.56500" LPOGV="1" RPOGX="1.03500" RPOGY="0.44126" RPOGV="1" BPOGX="1.12110" BPOGY="0.50313" BPOGV="1" LPCX="0.34888" LPCY="0.56687" LPD="30.54496" LPS="0.84945" LPV="1" RPCX="0.60315" RPCY="0.59714" RPD="28.61612" RPS="0.83945" RPV="1" LEYEX="-0.03577" LEYEY="-0.01307" LEYEZ="0.58688" LPUPILD="0.00648" LPUPILV="1" REYEX="0.02087" REYEY="-0.01820" REYEZ="0.57519" RPUPILD="0.00600" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.08669" FPOGY="0.52831" FPOGS="4321.42627" FPOGD="0.14746" FPOGID="9584" FPOGV="1" LPOGX="1.19765" LPOGY="0.58007" LPOGV="1" RPOGX="1.01220" RPOGY="0.42315" RPOGV="1" BPOGX="1.10492" BPOGY="0.50161" BPOGV="1" LPCX="0.34218" LPCY="0.56687" LPD="30.73525" LPS="0.82850" LPV="1" RPCX="0.59705" RPCY="0.59648" RPD="28.10542" RPS="0.82850" RPV="1" LEYEX="-0.03715" LEYEY="-0.01306" LEYEZ="0.58640" LPUPILD="0.00635" LPUPILV="1" REYEX="0.02011" REYEY="-0.01857" REYEZ="0.58962" RPUPILD="0.00582" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="1.08725" FPOGY="0.52744" FPOGS="4321.42627" FPOGD="0.15381" FPOGID="9584" FPOGV="1" LPOGX="1.19398" LPOGY="0.58294" LPOGV="1" RPOGX="1.00597" RPOGY="0.43213" RPOGV="1" BPOGX="1.09998" BPOGY="0.50753" BPOGV="1" LPCX="0.34217" LPCY="0.56686" LPD="30.65926" LPS="0.82850" LPV="1" RPCX="0.59702" RPCY="0.59646" RPD="28.16878" RPS="0.82850" RPV="1" LEYEX="-0.03715" LEYEY="-0.01306" LEYEZ="0.58640" LPUPILD="0.00636" LPUPILV="1" REYEX="0.02011" REYEY="-0.01857" REYEZ="0.58962" RPUPILD="0.00583" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="1.08789" FPOGY="0.52650" FPOGS="4321.42627" FPOGD="0.16064" FPOGID="9584" FPOGV="1" LPOGX="1.19703" LPOGY="0.57946" LPOGV="1" RPOGX="1.00934" RPOGY="0.42827" RPOGV="1" BPOGX="1.10318" BPOGY="0.50387" BPOGV="1" LPCX="0.34219" LPCY="0.56687" LPD="30.51322" LPS="0.83362" LPV="1" RPCX="0.59702" RPCY="0.59646" RPD="28.16878" RPS="0.83362" RPV="1" LEYEX="-0.03861" LEYEY="-0.01360" LEYEZ="0.60864" LPUPILD="0.00638" LPUPILV="1" REYEX="0.02011" REYEY="-0.01857" REYEZ="0.58962" RPUPILD="0.00583" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="1.08853" FPOGY="0.52547" FPOGS="4321.42627" FPOGD="0.16699" FPOGID="9584" FPOGV="1" LPOGX="1.19811" LPOGY="0.58092" LPOGV="1" RPOGX="1.01125" RPOGY="0.41852" RPOGV="1" BPOGX="1.10468" BPOGY="0.49972" BPOGV="1" LPCX="0.34219" LPCY="0.56689" LPD="30.52160" LPS="0.83874" LPV="1" RPCX="0.59703" RPCY="0.59649" RPD="28.11840" RPS="0.83874" RPV="1" LEYEX="-0.03861" LEYEY="-0.01360" LEYEZ="0.60864" LPUPILD="0.00639" LPUPILV="1" REYEX="0.02011" REYEY="-0.01857" REYEZ="0.58962" RPUPILD="0.00585" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="1.08918" FPOGY="0.52459" FPOGS="4321.42627" FPOGD="0.17383" FPOGID="9584" FPOGV="1" LPOGX="1.19748" LPOGY="0.58057" LPOGV="1" RPOGX="1.01481" RPOGY="0.42312" RPOGV="1" BPOGX="1.10615" BPOGY="0.50184" BPOGV="1" LPCX="0.34216" LPCY="0.56690" LPD="30.58246" LPS="0.84386" LPV="1" RPCX="0.59702" RPCY="0.59646" RPD="28.12397" RPS="0.84386" RPV="1" LEYEX="-0.03861" LEYEY="-0.01360" LEYEZ="0.60864" LPUPILD="0.00638" LPUPILV="1" REYEX="0.02011" REYEY="-0.01857" REYEZ="0.58962" RPUPILD="0.00583" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="1.08990" FPOGY="0.52365" FPOGS="4321.42627" FPOGD="0.18018" FPOGID="9584" FPOGV="1" LPOGX="1.20050" LPOGY="0.57713" LPOGV="1" RPOGX="1.01816" RPOGY="0.41928" RPOGV="1" BPOGX="1.10933" BPOGY="0.49821" BPOGV="1" LPCX="0.34216" LPCY="0.56693" LPD="30.53801" LPS="0.84898" LPV="1" RPCX="0.59704" RPCY="0.59648" RPD="28.07924" RPS="0.84898" RPV="1" LEYEX="-0.03861" LEYEY="-0.01360" LEYEZ="0.60864" LPUPILD="0.00639" LPUPILV="1" REYEX="0.02011" REYEY="-0.01857" REYEZ="0.58962" RPUPILD="0.00582" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="1.09880" FPOGY="0.49902" FPOGS="4321.42627" FPOGD="0.18018" FPOGID="9584" FPOGV="0" LPOGX="1.19866" LPOGY="0.59008" LPOGV="1" RPOGX="1.01737" RPOGY="0.42417" RPOGV="1" BPOGX="1.10801" BPOGY="0.50713" BPOGV="1" LPCX="0.34216" LPCY="0.56697" LPD="30.56152" LPS="0.84898" LPV="1" RPCX="0.59699" RPCY="0.59656" RPD="28.16959" RPS="0.84898" RPV="1" LEYEX="-0.03861" LEYEY="-0.01360" LEYEZ="0.60864" LPUPILD="0.00640" LPUPILV="1" REYEX="0.02011" REYEY="-0.01857" REYEZ="0.58962" RPUPILD="0.00583" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
