2025-06-20 11:24:42.105787
<ACK ID="ENABLE_SEND_POG_FIX" STATE="1" />
<ACK ID="ENABLE_SEND_POG_LEFT" STATE="1" />
<ACK ID="ENABLE_SEND_POG_RIGHT" STATE="1" />
<ACK ID="ENABLE_SEND_POG_BEST" STATE="1" />
<ACK ID="ENABLE_SEND_PUPIL_LEFT" STATE="1" />
<ACK ID="ENABLE_SEND_PUPIL_RIGHT" STATE="1" />
<ACK ID="ENABLE_SEND_EYE_LEFT" STATE="1" />
<ACK ID="ENABLE_SEND_EYE_RIGHT" STATE="1" />
<ACK ID="ENABLE_SEND_BLINK" STATE="1" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.20794" FPOGY="-0.13304" FPOGS="32.48758" FPOGD="0.26770" FPOGID="98" FPOGV="1" LPOGX="0.24183" LPOGY="-0.09526" LPOGV="1" RPOGX="0.18108" RPOGY="-0.20086" RPOGV="1" BPOGX="0.21146" BPOGY="-0.14806" BPOGV="1" LPCX="0.45299" LPCY="0.29206" LPD="24.98279" LPS="1.10589" LPV="1" RPCX="0.68168" RPCY="0.32511" RPD="23.08665" RPS="1.09672" RPV="1" LEYEX="-0.01111" LEYEY="0.04191" LEYEZ="0.68568" LPUPILD="0.00579" LPUPILV="1" REYEX="0.04836" REYEY="0.03457" REYEZ="0.68176" RPUPILD="0.00562" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.20809" FPOGY="-0.13316" FPOGS="32.48758" FPOGD="0.27454" FPOGID="98" FPOGV="1" LPOGX="0.24521" LPOGY="-0.08657" LPOGV="1" RPOGX="0.18301" RPOGY="-0.18975" RPOGV="1" BPOGX="0.21411" BPOGY="-0.13816" BPOGV="1" LPCX="0.45290" LPCY="0.29157" LPD="24.05940" LPS="1.09672" LPV="1" RPCX="0.68166" RPCY="0.32519" RPD="23.32248" RPS="1.08755" RPV="1" LEYEX="-0.01096" LEYEY="0.04143" LEYEZ="0.67700" LPUPILD="0.00585" LPUPILV="1" REYEX="0.04881" REYEY="0.03494" REYEZ="0.68805" RPUPILD="0.00559" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.20794" FPOGY="-0.13287" FPOGS="32.48758" FPOGD="0.28091" FPOGID="98" FPOGV="1" LPOGX="0.23399" LPOGY="-0.06993" LPOGV="1" RPOGX="0.16924" RPOGY="-0.17154" RPOGV="1" BPOGX="0.20161" BPOGY="-0.12074" BPOGV="1" LPCX="0.45308" LPCY="0.29155" LPD="24.10029" LPS="1.08755" LPV="1" RPCX="0.68167" RPCY="0.32502" RPD="22.59750" RPS="1.08755" RPV="1" LEYEX="-0.01096" LEYEY="0.04143" LEYEZ="0.67700" LPUPILD="0.00589" LPUPILV="1" REYEX="0.04881" REYEY="0.03494" REYEZ="0.68805" RPUPILD="0.00567" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.20756" FPOGY="-0.12853" FPOGS="32.48758" FPOGD="0.28754" FPOGID="98" FPOGV="1" LPOGX="0.22517" LPOGY="0.04808" LPOGV="1" RPOGX="0.15746" RPOGY="0.06831" RPOGV="1" BPOGX="0.19131" BPOGY="0.05819" BPOGV="1" LPCX="0.45347" LPCY="0.29187" LPD="22.87794" LPS="1.08755" LPV="1" RPCX="0.68181" RPCY="0.32550" RPD="21.18587" RPS="1.08755" RPV="1" LEYEX="-0.01096" LEYEY="0.04143" LEYEZ="0.67700" LPUPILD="0.00577" LPUPILV="1" REYEX="0.04881" REYEY="0.03494" REYEZ="0.68805" RPUPILD="0.00556" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.20720" FPOGY="-0.12438" FPOGS="32.48758" FPOGD="0.29451" FPOGID="98" FPOGV="1" LPOGX="0.22517" LPOGY="0.04808" LPOGV="1" RPOGX="0.15746" RPOGY="0.06831" RPOGV="1" BPOGX="0.19131" BPOGY="0.05819" BPOGV="1" LPCX="0.45370" LPCY="0.29241" LPD="22.24483" LPS="1.08755" LPV="1" RPCX="0.68166" RPCY="0.32578" RPD="20.46208" RPS="1.08755" RPV="1" LEYEX="-0.01079" LEYEY="0.04205" LEYEZ="0.68548" LPUPILD="0.00570" LPUPILV="1" REYEX="0.04804" REYEY="0.03447" REYEZ="0.67589" RPUPILD="0.00559" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.20720" FPOGY="-0.12438" FPOGS="32.48758" FPOGD="0.30256" FPOGID="98" FPOGV="1" LPOGX="0.22517" LPOGY="0.04808" LPOGV="0" RPOGX="0.15746" RPOGY="0.06831" RPOGV="0" BPOGX="0.19131" BPOGY="0.05819" BPOGV="0" LPCX="0.45370" LPCY="0.29241" LPD="22.24483" LPS="1.08755" LPV="0" RPCX="0.68166" RPCY="0.32578" RPD="20.46208" RPS="1.08755" RPV="0" LEYEX="-0.01079" LEYEY="0.04205" LEYEZ="0.68548" LPUPILD="0.00570" LPUPILV="1" REYEX="0.04804" REYEY="0.03447" REYEZ="0.67589" RPUPILD="0.00559" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.20720" FPOGY="-0.12438" FPOGS="32.48758" FPOGD="0.30737" FPOGID="98" FPOGV="1" LPOGX="0.22517" LPOGY="0.04808" LPOGV="0" RPOGX="0.15746" RPOGY="0.06831" RPOGV="0" BPOGX="0.19131" BPOGY="0.05819" BPOGV="0" LPCX="0.45370" LPCY="0.29241" LPD="22.24483" LPS="1.08755" LPV="0" RPCX="0.68166" RPCY="0.32578" RPD="20.46208" RPS="1.08755" RPV="0" LEYEX="-0.01079" LEYEY="0.04205" LEYEZ="0.68548" LPUPILD="0.00570" LPUPILV="1" REYEX="0.04804" REYEY="0.03447" REYEZ="0.67589" RPUPILD="0.00559" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.20720" FPOGY="-0.12438" FPOGS="32.48758" FPOGD="0.31483" FPOGID="98" FPOGV="1" LPOGX="0.22517" LPOGY="0.04808" LPOGV="0" RPOGX="0.15746" RPOGY="0.06831" RPOGV="0" BPOGX="0.19131" BPOGY="0.05819" BPOGV="0" LPCX="0.45370" LPCY="0.29241" LPD="22.24483" LPS="1.08755" LPV="0" RPCX="0.68166" RPCY="0.32578" RPD="20.46208" RPS="1.08755" RPV="0" LEYEX="-0.01079" LEYEY="0.04205" LEYEZ="0.68548" LPUPILD="0.00570" LPUPILV="1" REYEX="0.04804" REYEY="0.03447" REYEZ="0.67589" RPUPILD="0.00559" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.20735" FPOGY="-0.10501" FPOGS="32.48758" FPOGD="0.31483" FPOGID="98" FPOGV="0" LPOGX="0.22517" LPOGY="0.04808" LPOGV="0" RPOGX="0.15746" RPOGY="0.06831" RPOGV="0" BPOGX="0.19131" BPOGY="0.05819" BPOGV="0" LPCX="0.45370" LPCY="0.29241" LPD="22.24483" LPS="1.08755" LPV="0" RPCX="0.68166" RPCY="0.32578" RPD="20.46208" RPS="1.08755" RPV="0" LEYEX="-0.01079" LEYEY="0.04205" LEYEZ="0.68548" LPUPILD="0.00570" LPUPILV="1" REYEX="0.04804" REYEY="0.03447" REYEZ="0.67589" RPUPILD="0.00559" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.20735" FPOGY="-0.10501" FPOGS="32.48758" FPOGD="0.31483" FPOGID="98" FPOGV="0" LPOGX="0.22517" LPOGY="0.04808" LPOGV="0" RPOGX="0.15746" RPOGY="0.06831" RPOGV="0" BPOGX="0.19131" BPOGY="0.05819" BPOGV="0" LPCX="0.45370" LPCY="0.29241" LPD="22.24483" LPS="1.08755" LPV="0" RPCX="0.68166" RPCY="0.32578" RPD="20.46208" RPS="1.08755" RPV="0" LEYEX="-0.01079" LEYEY="0.04205" LEYEZ="0.68548" LPUPILD="0.00570" LPUPILV="1" REYEX="0.04804" REYEY="0.03447" REYEZ="0.67589" RPUPILD="0.00559" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.20735" FPOGY="-0.10501" FPOGS="32.48758" FPOGD="0.31483" FPOGID="98" FPOGV="0" LPOGX="0.22517" LPOGY="0.04808" LPOGV="0" RPOGX="0.15746" RPOGY="0.06831" RPOGV="0" BPOGX="0.19131" BPOGY="0.05819" BPOGV="0" LPCX="0.45370" LPCY="0.29241" LPD="22.24483" LPS="1.08755" LPV="0" RPCX="0.68166" RPCY="0.32578" RPD="20.46208" RPS="1.08755" RPV="0" LEYEX="-0.01079" LEYEY="0.04205" LEYEZ="0.68548" LPUPILD="0.00570" LPUPILV="1" REYEX="0.04804" REYEY="0.03447" REYEZ="0.67589" RPUPILD="0.00559" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
