2025-06-20 11:34:34.158563
.70427" LPUPILD="0.00502" LPUPILV="1" REYEX="0.06301" REYEY="0.02430" REYEZ="0.65193" RPUPILD="0.00470" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<REC FPOGX="1.23192" FPOGY="0.30343" FPOGS="623.69818" FPOGD="0.19446" FPOGID="2219" FPOGV="1" LPOGX="1.25902" LPOGY="0.27843" LPOGV="1" RPOGX="1.21920" RPOGY="0.30027" RPOGV="1" BPOGX="1.23911" BPOGY="0.28935" BPOGV="1" LPCX="0.53083" LPCY="0.32219" LPD="22.00056" LPS="1.07386" LPV="1" RPCX="0.76074" RPCY="0.37269" RPD="18.25532" RPS="1.07386" RPV="1" LEYEX="0.00660" LEYEY="0.03703" LEYEZ="0.70427" LPUPILD="0.00502" LPUPILV="1" REYEX="0.06301" REYEY="0.02430" REYEZ="0.65193" RPUPILD="0.00472" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.24423" FPOGY="0.31692" FPOGS="624.42877" FPOGD="0.37543" FPOGID="2220" FPOGV="1" LPOGX="1.26973" LPOGY="0.32283" LPOGV="1" RPOGX="1.19863" RPOGY="0.29256" RPOGV="1" BPOGX="1.23418" BPOGY="0.30769" BPOGV="1" LPCX="0.52811" LPCY="0.32200" LPD="21.84291" LPS="1.07212" LPV="1" RPCX="0.75815" RPCY="0.37162" RPD="18.24869" RPS="1.06403" RPV="1" LEYEX="0.00561" LEYEY="0.03584" LEYEZ="0.68074" LPUPILD="0.00482" LPUPILV="1" REYEX="0.06371" REYEY="0.02504" REYEZ="0.66642" RPUPILD="0.00450" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="1.24392" FPOGY="0.31750" FPOGS="624.42877" FPOGD="0.38214" FPOGID="2220" FPOGV="1" LPOGX="1.26552" LPOGY="0.32937" LPOGV="1" RPOGX="1.19315" RPOGY="0.29820" RPOGV="1" BPOGX="1.22933" BPOGY="0.31378" BPOGV="1" LPCX="0.52805" LPCY="0.32207" LPD="22.11048" LPS="1.06403" LPV="1" RPCX="0.75814" RPCY="0.37165" RPD="18.20234" RPS="1.05594" RPV="1" LEYEX="0.00561" LEYEY="0.03584" LEYEZ="0.68074" LPUPILD="0.00480" LPUPILV="1" REYEX="0.06371" REYEY="0.02504" REYEZ="0.66642" RPUPILD="0.00448" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="1.24392" FPOGY="0.31797" FPOGS="624.42877" FPOGD="0.38837" FPOGID="2220" FPOGV="1" LPOGX="1.25992" LPOGY="0.33203" LPOGV="1" RPOGX="1.22983" RPOGY="0.29653" RPOGV="1" BPOGX="1.24487" BPOGY="0.31428" BPOGV="1" LPCX="0.52800" LPCY="0.32212" LPD="22.03388" LPS="1.05594" LPV="1" RPCX="0.75812" RPCY="0.37155" RPD="18.17028" RPS="1.05594" RPV="1" LEYEX="0.00561" LEYEY="0.03584" LEYEZ="0.68074" LPUPILD="0.00477" LPUPILV="1" REYEX="0.06371" REYEY="0.02504" REYEZ="0.66642" RPUPILD="0.00456" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="1.24401" FPOGY="0.31827" FPOGS="624.42877" FPOGD="0.39545" FPOGID="2220" FPOGV="1" LPOGX="1.26242" LPOGY="0.33046" LPOGV="1" RPOGX="1.22569" RPOGY="0.28675" RPOGV="1" BPOGX="1.24405" BPOGY="0.30861" BPOGV="1" LPCX="0.52796" LPCY="0.32212" LPD="21.96255" LPS="1.05594" LPV="1" RPCX="0.75812" RPCY="0.37155" RPD="18.17028" RPS="1.05594" RPV="1" LEYEX="0.00561" LEYEY="0.03584" LEYEZ="0.68074" LPUPILD="0.00480" LPUPILV="1" REYEX="0.06371" REYEY="0.02504" REYEZ="0.66642" RPUPILD="0.00456" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="1.24407" FPOGY="0.31864" FPOGS="624.42877" FPOGD="0.40289" FPOGID="2220" FPOGV="1" LPOGX="1.26242" LPOGY="0.33046" LPOGV="1" RPOGX="1.22569" RPOGY="0.28675" RPOGV="1" BPOGX="1.24405" BPOGY="0.30861" BPOGV="1" LPCX="0.52796" LPCY="0.32212" LPD="21.96255" LPS="1.05594" LPV="1" RPCX="0.75802" RPCY="0.37147" RPD="18.09769" RPS="1.05594" RPV="1" LEYEX="0.00561" LEYEY="0.03584" LEYEZ="0.68074" LPUPILD="0.00481" LPUPILV="1" REYEX="0.06371" REYEY="0.02504" REYEZ="0.66642" RPUPILD="0.00456" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="1.24367" FPOGY="0.31894" FPOGS="624.42877" FPOGD="0.40900" FPOGID="2220" FPOGV="1" LPOGX="1.25812" LPOGY="0.31605" LPOGV="1" RPOGX="1.21697" RPOGY="0.29533" RPOGV="1" BPOGX="1.23754" BPOGY="0.30569" BPOGV="1" LPCX="0.52791" LPCY="0.32214" LPD="21.78758" LPS="1.05594" LPV="1" RPCX="0.75806" RPCY="0.37145" RPD="17.92800" RPS="1.05594" RPV="1" LEYEX="0.00561" LEYEY="0.03584" LEYEZ="0.68074" LPUPILD="0.00484" LPUPILV="1" REYEX="0.06371" REYEY="0.02504" REYEZ="0.66642" RPUPILD="0.00457" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="1.24332" FPOGY="0.31899" FPOGS="624.42877" FPOGD="0.41559" FPOGID="2220" FPOGV="1" LPOGX="1.25413" LPOGY="0.30390" LPOGV="1" RPOGX="1.22003" RPOGY="0.28684" RPOGV="1" BPOGX="1.23708" BPOGY="0.29537" BPOGV="1" LPCX="0.52789" LPCY="0.32218" LPD="21.63449" LPS="1.05594" LPV="1" RPCX="0.75802" RPCY="0.37152" RPD="18.13085" RPS="1.05594" RPV="1" LEYEX="0.00561" LEYEY="0.03584" LEYEZ="0.68074" LPUPILD="0.00486" LPUPILV="1" REYEX="0.06371" REYEY="0.02504" REYEZ="0.66642" RPUPILD="0.00453" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="1.24296" FPOGY="0.31904" FPOGS="624.42877" FPOGD="0.42230" FPOGID="2220" FPOGV="1" LPOGX="1.25413" LPOGY="0.30390" LPOGV="1" RPOGX="1.21498" RPOGY="0.29191" RPOGV="1" BPOGX="1.23456" BPOGY="0.29790" BPOGV="1" LPCX="0.52796" LPCY="0.32211" LPD="21.58754" LPS="1.05594" LPV="1" RPCX="0.75808" RPCY="0.37152" RPD="17.90958" RPS="1.04875" RPV="1" LEYEX="0.00561" LEYEY="0.03584" LEYEZ="0.68074" LPUPILD="0.00482" LPUPILV="1" REYEX="0.06200" REYEY="0.02444" REYEZ="0.64910" RPUPILD="0.00454" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="1.24268" FPOGY="0.31920" FPOGS="624.42877" FPOGD="0.42896" FPOGID="2220" FPOGV="1" LPOGX="1.24065" LPOGY="0.30959" LPOGV="1" RPOGX="1.23870" RPOGY="0.32775" RPOGV="1" BPOGX="1.23968" BPOGY="0.31867" BPOGV="1" LPCX="0.52816" LPCY="0.32188" LPD="21.29739" LPS="1.04875" LPV="1" RPCX="0.75805" RPCY="0.37147" RPD="17.98520" RPS="1.04156" RPV="1" LEYEX="0.00561" LEYEY="0.03584" LEYEZ="0.68074" LPUPILD="0.00479" LPUPILV="1" REYEX="0.06200" REYEY="0.02444" REYEZ="0.64910" RPUPILD="0.00453" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
