2025-07-14 11:18:16.993420
 REYEZ="0.71832" RPUPILD="0.00436" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="1.12144" FPOGY="0.09219" FPOGS="507.55621" FPOGD="0.13123" FPOGID="1731" FPOGV="0" LPOGX="1.12310" LPOGY="0.14708" LPOGV="1" RPOGX="1.12200" RPOGY="-0.00400" RPOGV="1" BPOGX="1.12255" BPOGY="0.07154" BPOGV="1" LPCX="0.24895" LPCY="0.92561" LPD="21.40612" LPS="1.15412" LPV="1" RPCX="0.47933" RPCY="0.94717" RPD="18.21568" RPS="1.17377" RPV="1" LEYEX="-0.06855" LEYEY="-0.09295" LEYEZ="0.70056" LPUPILD="0.00462" LPUPILV="1" REYEX="-0.00722" REYEY="-0.10015" REYEZ="0.71832" RPUPILD="0.00449" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.31087" FPOGY="0.06150" FPOGS="508.33673" FPOGD="0.23611" FPOGID="1734" FPOGV="0" LPOGX="0.33211" LPOGY="0.10629" LPOGV="1" RPOGX="0.30442" RPOGY="0.03958" RPOGV="1" BPOGX="0.31827" BPOGY="0.07294" BPOGV="1" LPCX="0.24311" LPCY="0.93937" LPD="20.03491" LPS="1.06425" LPV="1" RPCX="0.47701" RPCY="0.93403" RPD="18.00287" RPS="1.06425" RPV="1" LEYEX="-0.06334" LEYEY="-0.08958" LEYEZ="0.65231" LPUPILD="0.00459" LPUPILV="1" REYEX="-0.00549" REYEY="-0.09214" REYEZ="0.67801" RPUPILD="0.00396" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.31455" FPOGY="0.07124" FPOGS="508.33673" FPOGD="0.23611" FPOGID="1734" FPOGV="0" LPOGX="0.33672" LPOGY="0.11882" LPOGV="1" RPOGX="0.30707" RPOGY="0.06267" RPOGV="1" BPOGX="0.32189" BPOGY="0.09074" BPOGV="1" LPCX="0.24327" LPCY="0.93938" LPD="20.19660" LPS="1.04932" LPV="1" RPCX="0.47734" RPCY="0.93416" RPD="17.87497" RPS="1.04123" RPV="1" LEYEX="-0.06266" LEYEY="-0.08868" LEYEZ="0.64578" LPUPILD="0.00455" LPUPILV="1" REYEX="-0.00529" REYEY="-0.08962" REYEZ="0.65985" RPUPILD="0.00390" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.31537" FPOGY="0.07678" FPOGS="508.59784" FPOGD="0.02011" FPOGID="1735" FPOGV="1" LPOGX="0.33897" LPOGY="0.13136" LPOGV="1" RPOGX="0.29671" RPOGY="0.05541" RPOGV="1" BPOGX="0.31784" BPOGY="0.09339" BPOGV="1" LPCX="0.24337" LPCY="0.93944" LPD="20.41573" LPS="1.03421" LPV="1" RPCX="0.47748" RPCY="0.93410" RPD="17.92741" RPS="1.02612" RPV="1" LEYEX="-0.06266" LEYEY="-0.08868" LEYEZ="0.64578" LPUPILD="0.00456" LPUPILV="1" REYEX="-0.00529" REYEY="-0.08962" REYEZ="0.65985" RPUPILD="0.00393" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.31673" FPOGY="0.09017" FPOGS="508.59784" FPOGD="0.02710" FPOGID="1735" FPOGV="1" LPOGX="0.35075" LPOGY="0.20239" LPOGV="1" RPOGX="0.29358" RPOGY="0.08504" RPOGV="1" BPOGX="0.32217" BPOGY="0.14371" BPOGV="1" LPCX="0.24343" LPCY="0.93943" LPD="20.39849" LPS="1.01909" LPV="1" RPCX="0.47745" RPCY="0.93416" RPD="17.69366" RPS="1.01100" RPV="1" LEYEX="-0.06266" LEYEY="-0.08868" LEYEZ="0.64578" LPUPILD="0.00456" LPUPILV="1" REYEX="-0.00529" REYEY="-0.08962" REYEZ="0.65985" RPUPILD="0.00394" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.31755" FPOGY="0.09844" FPOGS="508.59784" FPOGD="0.03354" FPOGID="1735" FPOGV="1" LPOGX="0.35081" LPOGY="0.20253" LPOGV="1" RPOGX="0.29255" RPOGY="0.07704" RPOGV="1" BPOGX="0.32168" BPOGY="0.13979" BPOGV="1" LPCX="0.24355" LPCY="0.93933" LPD="20.21510" LPS="1.01891" LPV="1" RPCX="0.47753" RPCY="0.93424" RPD="17.85113" RPS="1.01891" RPV="1" LEYEX="-0.06442" LEYEY="-0.09131" LEYEZ="0.66493" LPUPILD="0.00454" LPUPILV="1" REYEX="-0.00535" REYEY="-0.09326" REYEZ="0.68623" RPUPILD="0.00392" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.31593" FPOGY="0.10219" FPOGS="508.59784" FPOGD="0.04031" FPOGID="1735" FPOGV="1" LPOGX="0.33320" LPOGY="0.18666" LPOGV="1" RPOGX="0.27921" RPOGY="0.06277" RPOGV="1" BPOGX="0.30620" BPOGY="0.12472" BPOGV="1" LPCX="0.24357" LPCY="0.93928" LPD="20.27591" LPS="1.03384" LPV="1" RPCX="0.47772" RPCY="0.93414" RPD="18.18216" RPS="1.04193" RPV="1" LEYEX="-0.06442" LEYEY="-0.09131" LEYEZ="0.66493" LPUPILD="0.00454" LPUPILV="1" REYEX="-0.00535" REYEY="-0.09326" REYEZ="0.68623" RPUPILD="0.00394" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.31442" FPOGY="0.09861" FPOGS="508.59784" FPOGD="0.04697" FPOGID="1735" FPOGV="1" LPOGX="0.32835" LPOGY="0.14319" LPOGV="1" RPOGX="0.27927" RPOGY="0.00391" RPOGV="1" BPOGX="0.30381" BPOGY="0.07355" BPOGV="1" LPCX="0.24371" LPCY="0.93925" LPD="20.10652" LPS="1.05686" LPV="1" RPCX="0.47776" RPCY="0.93414" RPD="18.24814" RPS="1.06495" RPV="1" LEYEX="-0.06442" LEYEY="-0.09131" LEYEZ="0.66493" LPUPILD="0.00464" LPUPILV="1" REYEX="-0.00535" REYEY="-0.09326" REYEZ="0.68623" RPUPILD="0.00393" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.31292" FPOGY="0.09474" FPOGS="508.59784" FPOGD="0.05374" FPOGID="1735" FPOGV="1" LPOGX="0.32360" LPOGY="0.13094" LPOGV="1" RPOGX="0.27832" RPOGY="-0.00340" RPOGV="1" BPOGX="0.30096" BPOGY="0.06377" BPOGV="1" LPCX="0.24362" LPCY="0.93925" LPD="20.20653" LPS="1.07197" LPV="1" RPCX="0.47796" RPCY="0.93414" RPD="18.14845" RPS="1.07197" RPV="1" LEYEX="-0.06338" LEYEY="-0.08987" LEYEZ="0.65477" LPUPILD="0.00462" LPUPILV="1" REYEX="-0.00515" REYEY="-0.09070" REYEZ="0.66740" RPUPILD="0.00395" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
