2025-06-26 13:19:53.036414
EZ="0.59545" RPUPILD="0.00424" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.16839" FPOGY="0.33520" FPOGS="384.55649" FPOGD="0.12051" FPOGID="311" FPOGV="1" LPOGX="0.28183" LPOGY="0.35563" LPOGV="1" RPOGX="0.12469" RPOGY="0.31716" RPOGV="1" BPOGX="0.20326" BPOGY="0.33640" BPOGV="1" LPCX="0.29729" LPCY="0.66687" LPD="22.03883" LPS="0.83474" LPV="1" RPCX="0.59936" RPCY="0.69130" RPD="20.81514" RPS="0.83998" RPV="1" LEYEX="-0.04604" LEYEY="-0.03238" LEYEZ="0.60806" LPUPILD="0.00416" LPUPILV="1" REYEX="0.02362" REYEY="-0.03644" REYEZ="0.59545" RPUPILD="0.00427" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.16892" FPOGY="0.33459" FPOGS="384.55649" FPOGD="0.12692" FPOGID="311" FPOGV="1" LPOGX="0.25845" LPOGY="0.36268" LPOGV="1" RPOGX="0.09971" RPOGY="0.28363" RPOGV="1" BPOGX="0.17908" BPOGY="0.32315" BPOGV="1" LPCX="0.29715" LPCY="0.66704" LPD="21.94308" LPS="0.84975" LPV="1" RPCX="0.59930" RPCY="0.69117" RPD="20.55266" RPS="0.85499" RPV="1" LEYEX="-0.04604" LEYEY="-0.03238" LEYEZ="0.60806" LPUPILD="0.00423" LPUPILV="1" REYEX="0.02362" REYEY="-0.03644" REYEZ="0.59545" RPUPILD="0.00419" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="385.21979" FPOGD="0.30261" FPOGID="313" FPOGV="0" LPOGX="0.63797" LPOGY="0.45225" LPOGV="0" RPOGX="0.16072" RPOGY="0.68817" RPOGV="0" BPOGX="0.16072" BPOGY="0.68817" BPOGV="0" LPCX="0.29523" LPCY="0.67759" LPD="11.93557" LPS="0.82857" LPV="0" RPCX="0.59347" RPCY="0.70594" RPD="12.67921" RPS="0.82857" RPV="0" LEYEX="-0.04636" LEYEY="-0.03328" LEYEZ="0.59168" LPUPILD="0.00208" LPUPILV="1" REYEX="0.02231" REYEY="-0.03840" REYEZ="0.59876" RPUPILD="0.00320" RPUPILV="1" BKID="31" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="385.21979" FPOGD="0.30261" FPOGID="313" FPOGV="0" LPOGX="0.63797" LPOGY="0.45225" LPOGV="0" RPOGX="0.16072" RPOGY="0.68817" RPOGV="0" BPOGX="0.16072" BPOGY="0.68817" BPOGV="0" LPCX="0.29523" LPCY="0.67759" LPD="11.93557" LPS="0.82857" LPV="0" RPCX="0.59347" RPCY="0.70594" RPD="12.67921" RPS="0.82857" RPV="0" LEYEX="-0.04636" LEYEY="-0.03328" LEYEZ="0.59168" LPUPILD="0.00208" LPUPILV="1" REYEX="0.02231" REYEY="-0.03840" REYEZ="0.59876" RPUPILD="0.00320" RPUPILV="1" BKID="31" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="385.21979" FPOGD="0.30261" FPOGID="313" FPOGV="0" LPOGX="0.63797" LPOGY="0.45225" LPOGV="0" RPOGX="0.16072" RPOGY="0.68817" RPOGV="0" BPOGX="0.16072" BPOGY="0.68817" BPOGV="0" LPCX="0.29523" LPCY="0.67759" LPD="11.93557" LPS="0.82857" LPV="0" RPCX="0.59347" RPCY="0.70594" RPD="12.67921" RPS="0.82857" RPV="0" LEYEX="-0.04636" LEYEY="-0.03328" LEYEZ="0.59168" LPUPILD="0.00208" LPUPILV="1" REYEX="0.02231" REYEY="-0.03840" REYEZ="0.59876" RPUPILD="0.00320" RPUPILV="1" BKID="31" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="385.21979" FPOGD="0.30261" FPOGID="313" FPOGV="0" LPOGX="0.63797" LPOGY="0.45225" LPOGV="0" RPOGX="0.16072" RPOGY="0.68817" RPOGV="0" BPOGX="0.16072" BPOGY="0.68817" BPOGV="0" LPCX="0.29523" LPCY="0.67759" LPD="11.93557" LPS="0.82857" LPV="0" RPCX="0.59347" RPCY="0.70594" RPD="12.67921" RPS="0.82857" RPV="0" LEYEX="-0.04636" LEYEY="-0.03328" LEYEZ="0.59168" LPUPILD="0.00208" LPUPILV="1" REYEX="0.02231" REYEY="-0.03840" REYEZ="0.59876" RPUPILD="0.00320" RPUPILV="1" BKID="31" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="385.21979" FPOGD="0.30261" FPOGID="313" FPOGV="0" LPOGX="0.63797" LPOGY="0.45225" LPOGV="0" RPOGX="0.16072" RPOGY="0.68817" RPOGV="0" BPOGX="0.16072" BPOGY="0.68817" BPOGV="0" LPCX="0.29523" LPCY="0.67759" LPD="11.93557" LPS="0.82857" LPV="0" RPCX="0.59347" RPCY="0.70594" RPD="12.67921" RPS="0.82857" RPV="0" LEYEX="-0.04636" LEYEY="-0.03328" LEYEZ="0.59168" LPUPILD="0.00208" LPUPILV="1" REYEX="0.02231" REYEY="-0.03840" REYEZ="0.59876" RPUPILD="0.00320" RPUPILV="1" BKID="31" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="385.21979" FPOGD="0.30261" FPOGID="313" FPOGV="0" LPOGX="0.63797" LPOGY="0.45225" LPOGV="0" RPOGX="0.16072" RPOGY="0.68817" RPOGV="0" BPOGX="0.16072" BPOGY="0.68817" BPOGV="0" LPCX="0.29523" LPCY="0.67759" LPD="11.93557" LPS="0.82857" LPV="0" RPCX="0.59347" RPCY="0.70594" RPD="12.67921" RPS="0.82857" RPV="0" LEYEX="-0.04636" LEYEY="-0.03328" LEYEZ="0.59168" LPUPILD="0.00208" LPUPILV="1" REYEX="0.02231" REYEY="-0.03840" REYEZ="0.59876" RPUPILD="0.00320" RPUPILV="1" BKID="31" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="385.21979" FPOGD="0.30261" FPOGID="313" FPOGV="0" LPOGX="0.63797" LPOGY="0.45225" LPOGV="0" RPOGX="0.16072" RPOGY="0.68817" RPOGV="0" BPOGX="0.16072" BPOGY="0.68817" BPOGV="0" LPCX="0.29523" LPCY="0.67759" LPD="11.93557" LPS="0.82857" LPV="0" RPCX="0.59347" RPCY="0.70594" RPD="12.67921" RPS="0.82857" RPV="0" LEYEX="-0.04636" LEYEY="-0.03328" LEYEZ="0.59168" LPUPILD="0.00208" LPUPILV="1" REYEX="0.02231" REYEY="-0.03840" REYEZ="0.59876" RPUPILD="0.00320" RPUPILV="1" BKID="31" BKDUR="0.00000" BKPMIN="13" />
