2025-06-26 13:26:41.836100
657" LEYEZ="0.56626" LPUPILD="0.00387" LPUPILV="1" REYEX="0.00416" REYEY="-0.04426" REYEZ="0.55990" RPUPILD="0.00394" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.66130" FPOGY="0.09976" FPOGS="793.46222" FPOGD="0.02039" FPOGID="1699" FPOGV="1" LPOGX="0.71142" LPOGY="0.05451" LPOGV="1" RPOGX="0.57511" RPOGY="0.03126" RPOGV="1" BPOGX="0.64326" BPOGY="0.04289" BPOGV="1" LPCX="0.21016" LPCY="0.69782" LPD="23.03576" LPS="0.76076" LPV="1" RPCX="0.52931" RPCY="0.73593" RPD="23.43704" RPS="0.76076" RPV="1" LEYEX="-0.06338" LEYEY="-0.03657" LEYEZ="0.56626" LPUPILD="0.00391" LPUPILV="1" REYEX="0.00416" REYEY="-0.04426" REYEZ="0.55990" RPUPILD="0.00397" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.51190" FPOGY="-0.10426" FPOGS="794.05811" FPOGD="0.32910" FPOGID="1701" FPOGV="1" LPOGX="0.56201" LPOGY="-0.22650" LPOGV="1" RPOGX="0.42335" RPOGY="-0.11776" RPOGV="1" BPOGX="0.49268" BPOGY="-0.17213" BPOGV="1" LPCX="0.18622" LPCY="0.71190" LPD="25.43787" LPS="0.76946" LPV="1" RPCX="0.49905" RPCY="0.74685" RPD="24.20485" RPS="0.76511" RPV="1" LEYEX="-0.06789" LEYEY="-0.03944" LEYEZ="0.56844" LPUPILD="0.00412" LPUPILV="1" REYEX="0.00021" REYEY="-0.04484" REYEZ="0.56032" RPUPILD="0.00403" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.51112" FPOGY="-0.10620" FPOGS="794.05811" FPOGD="0.33832" FPOGID="1701" FPOGV="1" LPOGX="0.56263" LPOGY="-0.21934" LPOGV="1" RPOGX="0.42342" RPOGY="-0.11086" RPOGV="1" BPOGX="0.49303" BPOGY="-0.16510" BPOGV="1" LPCX="0.18593" LPCY="0.71146" LPD="25.00850" LPS="0.76511" LPV="1" RPCX="0.49884" RPCY="0.74654" RPD="24.42872" RPS="0.76076" RPV="1" LEYEX="-0.06904" LEYEY="-0.03971" LEYEZ="0.57484" LPUPILD="0.00410" LPUPILV="1" REYEX="-0.00038" REYEY="-0.04485" REYEZ="0.56416" RPUPILD="0.00395" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.51010" FPOGY="-0.10889" FPOGS="794.05811" FPOGD="0.34521" FPOGID="1701" FPOGV="1" LPOGX="0.56095" LPOGY="-0.23674" LPOGV="1" RPOGX="0.40362" RPOGY="-0.16581" RPOGV="1" BPOGX="0.48228" BPOGY="-0.20127" BPOGV="1" LPCX="0.18507" LPCY="0.71052" LPD="24.70652" LPS="0.76501" LPV="1" RPCX="0.49745" RPCY="0.74582" RPD="24.69023" RPS="0.76501" RPV="1" LEYEX="-0.06904" LEYEY="-0.03971" LEYEZ="0.57484" LPUPILD="0.00406" LPUPILV="1" REYEX="-0.00038" REYEY="-0.04485" REYEZ="0.56416" RPUPILD="0.00400" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.50936" FPOGY="-0.11050" FPOGS="794.05811" FPOGD="0.35126" FPOGID="1701" FPOGV="1" LPOGX="0.57191" LPOGY="-0.21575" LPOGV="1" RPOGX="0.40252" RPOGY="-0.09574" RPOGV="1" BPOGX="0.48722" BPOGY="-0.15575" BPOGV="1" LPCX="0.18464" LPCY="0.71088" LPD="24.87762" LPS="0.76926" LPV="1" RPCX="0.49695" RPCY="0.74569" RPD="24.47978" RPS="0.76926" RPV="1" LEYEX="-0.06904" LEYEY="-0.03971" LEYEZ="0.57484" LPUPILD="0.00407" LPUPILV="1" REYEX="-0.00038" REYEY="-0.04485" REYEZ="0.56416" RPUPILD="0.00399" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.50864" FPOGY="-0.11171" FPOGS="794.05811" FPOGD="0.35742" FPOGID="1701" FPOGV="1" LPOGX="0.57191" LPOGY="-0.21575" LPOGV="1" RPOGX="0.40252" RPOGY="-0.09574" RPOGV="1" BPOGX="0.48722" BPOGY="-0.15575" BPOGV="1" LPCX="0.18457" LPCY="0.71092" LPD="25.12174" LPS="0.76926" LPV="1" RPCX="0.49692" RPCY="0.74580" RPD="24.45296" RPS="0.76926" RPV="1" LEYEX="-0.06815" LEYEY="-0.03898" LEYEZ="0.56429" LPUPILD="0.00407" LPUPILV="1" REYEX="-0.00072" REYEY="-0.04473" REYEZ="0.56318" RPUPILD="0.00407" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.49553" FPOGY="-0.13608" FPOGS="794.05811" FPOGD="0.35742" FPOGID="1701" FPOGV="0" LPOGX="0.57436" LPOGY="-0.17813" LPOGV="1" RPOGX="0.41967" RPOGY="-0.12413" RPOGV="1" BPOGX="0.49701" BPOGY="-0.15113" BPOGV="1" LPCX="0.18370" LPCY="0.71163" LPD="25.15932" LPS="0.76501" LPV="1" RPCX="0.49617" RPCY="0.74601" RPD="24.47560" RPS="0.76501" RPV="1" LEYEX="-0.06815" LEYEY="-0.03898" LEYEZ="0.56429" LPUPILD="0.00422" LPUPILV="1" REYEX="-0.00072" REYEY="-0.04473" REYEZ="0.56318" RPUPILD="0.00404" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.48843" FPOGY="-0.14657" FPOGS="794.05811" FPOGD="0.35742" FPOGID="1701" FPOGV="0" LPOGX="0.54469" LPOGY="-0.22405" LPOGV="1" RPOGX="0.41795" RPOGY="-0.09009" RPOGV="1" BPOGX="0.48132" BPOGY="-0.15707" BPOGV="1" LPCX="0.18330" LPCY="0.71183" LPD="25.16419" LPS="0.76076" LPV="1" RPCX="0.49576" RPCY="0.74623" RPD="24.10545" RPS="0.76076" RPV="1" LEYEX="-0.06815" LEYEY="-0.03898" LEYEZ="0.56429" LPUPILD="0.00414" LPUPILV="1" REYEX="-0.00072" REYEY="-0.04473" REYEZ="0.56318" RPUPILD="0.00395" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.48604" FPOGY="-0.15120" FPOGS="794.05811" FPOGD="0.35742" FPOGID="1701" FPOGV="0" LPOGX="0.54469" LPOGY="-0.22405" LPOGV="1" RPOGX="0.41786" RPOGY="-0.09686" RPOGV="1" BPOGX="0.48127" BPOGY="-0.16046" BPOGV="1" LPCX="0.18301" LPCY="0.71176" LPD="25.11813" LPS="0.76076" LPV="1" RPCX="0.49548" RPCY="0.74611" RPD="24.41140" RPS="0.76511" RPV="1" LEYEX="-0.06957" LEYEY="-0.03979" LEYEZ="0.57353" LPUPILD="0.00412" LPUPILV="1" REYEX="-0.00105" REYEY="-0.04622" REYEZ="0.58138" RPUPILD="0.00400" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
