2025-05-27 12:30:56.935761
EYEZ="0.55912" RPUPILD="0.00458" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.08156" FPOGY="0.19399" FPOGS="645.81116" FPOGD="0.01947" FPOGID="1723" FPOGV="1" LPOGX="1.11419" LPOGY="0.28173" LPOGV="1" RPOGX="1.09468" RPOGY="0.10171" RPOGV="1" BPOGX="1.10443" BPOGY="0.19172" BPOGV="1" LPCX="0.36859" LPCY="0.78123" LPD="20.38137" LPS="0.87002" LPV="1" RPCX="0.62224" RPCY="0.81259" RPD="19.76483" RPS="0.87002" RPV="1" LEYEX="-0.03205" LEYEY="-0.05417" LEYEZ="0.60894" LPUPILD="0.00416" LPUPILV="1" REYEX="0.02398" REYEY="-0.05523" REYEZ="0.55912" RPUPILD="0.00458" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.02939" FPOGY="0.26030" FPOGS="646.65833" FPOGD="0.08405" FPOGID="1727" FPOGV="1" LPOGX="1.03809" LPOGY="0.30609" LPOGV="1" RPOGX="1.03017" RPOGY="0.17008" RPOGV="1" BPOGX="1.03413" BPOGY="0.23809" BPOGV="1" LPCX="0.36738" LPCY="0.78054" LPD="20.54756" LPS="0.82133" LPV="1" RPCX="0.62037" RPCY="0.81324" RPD="23.00198" RPS="0.82568" RPV="1" LEYEX="-0.03215" LEYEY="-0.05389" LEYEZ="0.60743" LPUPILD="0.00416" LPUPILV="1" REYEX="0.02423" REYEY="-0.05558" REYEZ="0.56316" RPUPILD="0.00498" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.02958" FPOGY="0.25902" FPOGS="646.65833" FPOGD="0.08997" FPOGID="1727" FPOGV="1" LPOGX="1.03778" LPOGY="0.30688" LPOGV="1" RPOGX="1.02672" RPOGY="0.17547" RPOGV="1" BPOGX="1.03225" BPOGY="0.24117" BPOGV="1" LPCX="0.36736" LPCY="0.78051" LPD="20.56960" LPS="0.82056" LPV="1" RPCX="0.62043" RPCY="0.81329" RPD="22.81559" RPS="0.82056" RPV="1" LEYEX="-0.03160" LEYEY="-0.05289" LEYEZ="0.59614" LPUPILD="0.00415" LPUPILV="1" REYEX="0.02397" REYEY="-0.05508" REYEZ="0.55810" RPUPILD="0.00501" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.02951" FPOGY="0.25817" FPOGS="646.65833" FPOGD="0.09741" FPOGID="1727" FPOGV="1" LPOGX="1.03594" LPOGY="0.31241" LPOGV="1" RPOGX="1.02100" RPOGY="0.17834" RPOGV="1" BPOGX="1.02847" BPOGY="0.24537" BPOGV="1" LPCX="0.36739" LPCY="0.78050" LPD="20.67381" LPS="0.81544" LPV="1" RPCX="0.62040" RPCY="0.81330" RPD="22.80953" RPS="0.81109" RPV="1" LEYEX="-0.03160" LEYEY="-0.05289" LEYEZ="0.59614" LPUPILD="0.00414" LPUPILV="1" REYEX="0.02397" REYEY="-0.05508" REYEZ="0.55810" RPUPILD="0.00500" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.02903" FPOGY="0.25934" FPOGS="646.65833" FPOGD="0.10370" FPOGID="1727" FPOGV="1" LPOGX="1.02595" LPOGY="0.38546" LPOGV="1" RPOGX="1.01662" RPOGY="0.17052" RPOGV="1" BPOGX="1.02128" BPOGY="0.27799" BPOGV="1" LPCX="0.36728" LPCY="0.78053" LPD="20.55990" LPS="0.80597" LPV="1" RPCX="0.62039" RPCY="0.81336" RPD="22.78587" RPS="0.80162" RPV="1" LEYEX="-0.03160" LEYEY="-0.05289" LEYEZ="0.59614" LPUPILD="0.00416" LPUPILV="1" REYEX="0.02397" REYEY="-0.05508" REYEZ="0.55810" RPUPILD="0.00504" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.02840" FPOGY="0.26077" FPOGS="646.65833" FPOGD="0.11053" FPOGID="1727" FPOGV="1" LPOGX="1.02209" LPOGY="0.39428" LPOGV="1" RPOGX="1.01315" RPOGY="0.17608" RPOGV="1" BPOGX="1.01762" BPOGY="0.28518" BPOGV="1" LPCX="0.36730" LPCY="0.78053" LPD="20.55170" LPS="0.79650" LPV="1" RPCX="0.62041" RPCY="0.81335" RPD="22.78812" RPS="0.79650" RPV="1" LEYEX="-0.03131" LEYEY="-0.05237" LEYEZ="0.59072" LPUPILD="0.00417" LPUPILV="1" REYEX="0.02423" REYEY="-0.05558" REYEZ="0.56316" RPUPILD="0.00504" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.02789" FPOGY="0.26029" FPOGS="646.65833" FPOGD="0.11731" FPOGID="1727" FPOGV="1" LPOGX="1.02112" LPOGY="0.32081" LPOGV="1" RPOGX="1.01648" RPOGY="0.18254" RPOGV="1" BPOGX="1.01880" BPOGY="0.25167" BPOGV="1" LPCX="0.36728" LPCY="0.78053" LPD="20.55990" LPS="0.79650" LPV="1" RPCX="0.62029" RPCY="0.81327" RPD="22.97098" RPS="0.80085" RPV="1" LEYEX="-0.03131" LEYEY="-0.05237" LEYEZ="0.59072" LPUPILD="0.00416" LPUPILV="1" REYEX="0.02423" REYEY="-0.05558" REYEZ="0.56316" RPUPILD="0.00506" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.02827" FPOGY="0.26093" FPOGS="646.65833" FPOGD="0.12390" FPOGID="1727" FPOGV="1" LPOGX="1.04868" LPOGY="0.32683" LPOGV="1" RPOGX="1.02211" RPOGY="0.21908" RPOGV="1" BPOGX="1.03540" BPOGY="0.27295" BPOGV="1" LPCX="0.36725" LPCY="0.78053" LPD="20.33580" LPS="0.80085" LPV="1" RPCX="0.62040" RPCY="0.81330" RPD="22.82327" RPS="0.80520" RPV="1" LEYEX="-0.03131" LEYEY="-0.05237" LEYEZ="0.59072" LPUPILD="0.00432" LPUPILV="1" REYEX="0.02423" REYEY="-0.05558" REYEZ="0.56316" RPUPILD="0.00501" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.02872" FPOGY="0.26129" FPOGS="646.65833" FPOGD="0.13086" FPOGID="1727" FPOGV="1" LPOGX="1.05058" LPOGY="0.32238" LPOGV="1" RPOGX="1.02508" RPOGY="0.21463" RPOGV="1" BPOGX="1.03783" BPOGY="0.26850" BPOGV="1" LPCX="0.36723" LPCY="0.78054" LPD="20.33500" LPS="0.80520" LPV="1" RPCX="0.62040" RPCY="0.81330" RPD="22.82327" RPS="0.80955" RPV="1" LEYEX="-0.03131" LEYEY="-0.05237" LEYEZ="0.59072" LPUPILD="0.00435" LPUPILV="1" REYEX="0.02423" REYEY="-0.05558" REYEZ="0.56316" RPUPILD="0.00501" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
