2025-05-27 12:29:04.018743
5075" LEYEZ="0.58686" LPUPILD="0.00356" LPUPILV="1" REYEX="0.02373" REYEY="-0.05599" REYEZ="0.61094" RPUPILD="0.00380" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="29" />
<REC FPOGX="0.57495" FPOGY="0.40725" FPOGS="532.74896" FPOGD="0.16046" FPOGID="1280" FPOGV="0" LPOGX="0.55502" LPOGY="0.44124" LPOGV="1" RPOGX="0.52327" RPOGY="0.35546" RPOGV="1" BPOGX="0.53914" BPOGY="0.39835" BPOGV="1" LPCX="0.33946" LPCY="0.77495" LPD="18.51311" LPS="0.82453" LPV="1" RPCX="0.60238" RPCY="0.79090" RPD="19.18374" RPS="0.82977" RPV="1" LEYEX="-0.03577" LEYEY="-0.05075" LEYEZ="0.58686" LPUPILD="0.00358" LPUPILV="1" REYEX="0.02373" REYEY="-0.05599" REYEZ="0.61094" RPUPILD="0.00380" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="29" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.39071" FPOGY="0.48356" FPOGS="533.46527" FPOGD="0.34229" FPOGID="1284" FPOGV="0" LPOGX="0.47590" LPOGY="0.54990" LPOGV="1" RPOGX="0.42264" RPOGY="0.40812" RPOGV="1" BPOGX="0.44927" BPOGY="0.47901" BPOGV="1" LPCX="0.33882" LPCY="0.77799" LPD="17.83558" LPS="0.85955" LPV="1" RPCX="0.60132" RPCY="0.79376" RPD="17.66153" RPS="0.86479" RPV="1" LEYEX="-0.03707" LEYEY="-0.05319" LEYEZ="0.61036" LPUPILD="0.00375" LPUPILV="1" REYEX="0.02384" REYEY="-0.05650" REYEZ="0.61147" RPUPILD="0.00381" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="28" />
<REC FPOGX="0.44828" FPOGY="0.48235" FPOGS="533.46527" FPOGD="0.34229" FPOGID="1284" FPOGV="0" LPOGX="0.47587" LPOGY="0.54983" LPOGV="1" RPOGX="0.42272" RPOGY="0.41218" RPOGV="1" BPOGX="0.44929" BPOGY="0.48100" BPOGV="1" LPCX="0.33901" LPCY="0.77820" LPD="17.84276" LPS="0.85967" LPV="1" RPCX="0.60162" RPCY="0.79374" RPD="18.58240" RPS="0.85967" RPV="1" LEYEX="-0.03537" LEYEY="-0.05091" LEYEZ="0.58465" LPUPILD="0.00371" LPUPILV="1" REYEX="0.02397" REYEY="-0.05669" REYEZ="0.61353" RPUPILD="0.00375" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="28" />
<REC FPOGX="0.44495" FPOGY="0.48253" FPOGS="533.46527" FPOGD="0.34229" FPOGID="1284" FPOGV="0" LPOGX="0.45046" LPOGY="0.54101" LPOGV="1" RPOGX="0.43277" RPOGY="0.42441" RPOGV="1" BPOGX="0.44162" BPOGY="0.48271" BPOGV="1" LPCX="0.33922" LPCY="0.77818" LPD="18.24462" LPS="0.85455" LPV="1" RPCX="0.60183" RPCY="0.79396" RPD="18.55448" RPS="0.84932" RPV="1" LEYEX="-0.03537" LEYEY="-0.05091" LEYEZ="0.58465" LPUPILD="0.00363" LPUPILV="1" REYEX="0.02397" REYEY="-0.05669" REYEZ="0.61353" RPUPILD="0.00374" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="28" />
<REC FPOGX="0.44700" FPOGY="0.48619" FPOGS="533.46527" FPOGD="0.34229" FPOGID="1284" FPOGV="0" LPOGX="0.45617" LPOGY="0.52845" LPOGV="1" RPOGX="0.44607" RPOGY="0.45854" RPOGV="1" BPOGX="0.45112" BPOGY="0.49349" BPOGV="1" LPCX="0.33927" LPCY="0.77817" LPD="18.40137" LPS="0.84420" LPV="1" RPCX="0.60190" RPCY="0.79411" RPD="18.35448" RPS="0.83896" RPV="1" LEYEX="-0.03537" LEYEY="-0.05091" LEYEZ="0.58465" LPUPILD="0.00361" LPUPILV="1" REYEX="0.02397" REYEY="-0.05669" REYEZ="0.61353" RPUPILD="0.00378" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="28" />
<REC FPOGX="0.44820" FPOGY="0.48891" FPOGS="533.83362" FPOGD="0.02045" FPOGID="1285" FPOGV="1" LPOGX="0.45753" LPOGY="0.53168" LPOGV="1" RPOGX="0.44601" RPOGY="0.46249" RPOGV="1" BPOGX="0.45177" BPOGY="0.49709" BPOGV="1" LPCX="0.33942" LPCY="0.77820" LPD="18.48030" LPS="0.83896" LPV="1" RPCX="0.60192" RPCY="0.79395" RPD="18.25906" RPS="0.83372" RPV="1" LEYEX="-0.03689" LEYEY="-0.05320" LEYEZ="0.61042" LPUPILD="0.00361" LPUPILV="1" REYEX="0.02324" REYEY="-0.05502" REYEZ="0.59495" RPUPILD="0.00377" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="28" />
<REC FPOGX="0.45194" FPOGY="0.48840" FPOGS="533.83362" FPOGD="0.02722" FPOGID="1285" FPOGV="1" LPOGX="0.47361" LPOGY="0.57120" LPOGV="1" RPOGX="0.46018" RPOGY="0.40153" RPOGV="1" BPOGX="0.46689" BPOGY="0.48637" BPOGV="1" LPCX="0.33942" LPCY="0.77818" LPD="18.33439" LPS="0.83884" LPV="1" RPCX="0.60205" RPCY="0.79414" RPD="18.48311" RPS="0.83884" RPV="1" LEYEX="-0.03689" LEYEY="-0.05320" LEYEZ="0.61042" LPUPILD="0.00362" LPUPILV="1" REYEX="0.02324" REYEY="-0.05502" REYEZ="0.59495" RPUPILD="0.00385" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="28" />
<REC FPOGX="0.45581" FPOGY="0.48811" FPOGS="533.83362" FPOGD="0.03381" FPOGID="1285" FPOGV="1" LPOGX="0.48569" LPOGY="0.56117" LPOGV="1" RPOGX="0.46462" RPOGY="0.41210" RPOGV="1" BPOGX="0.47516" BPOGY="0.48664" BPOGV="1" LPCX="0.33945" LPCY="0.77817" LPD="18.23979" LPS="0.84396" LPV="1" RPCX="0.60208" RPCY="0.79440" RPD="18.44139" RPS="0.84396" RPV="1" LEYEX="-0.03689" LEYEY="-0.05320" LEYEZ="0.61042" LPUPILD="0.00363" LPUPILV="1" REYEX="0.02324" REYEY="-0.05502" REYEZ="0.59495" RPUPILD="0.00391" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="28" />
<REC FPOGX="0.45851" FPOGY="0.48709" FPOGS="533.83362" FPOGD="0.04053" FPOGID="1285" FPOGV="1" LPOGX="0.48454" LPOGY="0.55818" LPOGV="1" RPOGX="0.46495" RPOGY="0.40377" RPOGV="1" BPOGX="0.47474" BPOGY="0.48097" BPOGV="1" LPCX="0.33958" LPCY="0.77817" LPD="17.86968" LPS="0.84908" LPV="1" RPCX="0.60227" RPCY="0.79407" RPD="18.02393" RPS="0.85432" RPV="1" LEYEX="-0.03689" LEYEY="-0.05320" LEYEZ="0.61042" LPUPILD="0.00363" LPUPILV="1" REYEX="0.02409" REYEY="-0.05671" REYEZ="0.61321" RPUPILD="0.00378" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="28" />
