2025-06-12 10:47:18.855902
EZ="0.63744" RPUPILD="0.00759" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.98291" FPOGY="0.59222" FPOGS="2555.27710" FPOGD="0.68115" FPOGID="6097" FPOGV="1" LPOGX="0.92462" LPOGY="0.56144" LPOGV="1" RPOGX="0.97394" RPOGY="0.62156" RPOGV="1" BPOGX="0.94928" BPOGY="0.59150" BPOGV="1" LPCX="0.32439" LPCY="0.42108" LPD="36.41662" LPS="0.99494" LPV="1" RPCX="0.58227" RPCY="0.42445" RPD="36.30356" RPS="0.99494" RPV="1" LEYEX="-0.04601" LEYEY="0.01527" LEYEZ="0.66994" LPUPILD="0.00743" LPUPILV="1" REYEX="0.01916" REYEY="0.01459" REYEZ="0.65702" RPUPILD="0.00759" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.55478" FPOGY="0.52270" FPOGS="2556.73242" FPOGD="0.14307" FPOGID="6100" FPOGV="1" LPOGX="0.54898" LPOGY="0.47236" LPOGV="1" RPOGX="0.59519" RPOGY="0.55894" RPOGV="1" BPOGX="0.57208" BPOGY="0.51565" BPOGV="1" LPCX="0.30828" LPCY="0.42188" LPD="36.58618" LPS="1.03935" LPV="1" RPCX="0.56614" RPCY="0.42224" RPD="39.24206" RPS="1.03935" RPV="1" LEYEX="-0.04979" LEYEY="0.01539" LEYEZ="0.68169" LPUPILD="0.00752" LPUPILV="1" REYEX="0.01681" REYEY="0.01534" REYEZ="0.67726" RPUPILD="0.00759" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.55560" FPOGY="0.52209" FPOGS="2556.73242" FPOGD="0.15454" FPOGID="6100" FPOGV="1" LPOGX="0.54801" LPOGY="0.46791" LPOGV="1" RPOGX="0.59754" RPOGY="0.55085" RPOGV="1" BPOGX="0.57277" BPOGY="0.50938" BPOGV="1" LPCX="0.30826" LPCY="0.42191" LPD="36.66008" LPS="1.04725" LPV="1" RPCX="0.56611" RPCY="0.42224" RPD="39.13253" RPS="1.05534" RPV="1" LEYEX="-0.04938" LEYEY="0.01526" LEYEZ="0.67614" LPUPILD="0.00750" LPUPILV="1" REYEX="0.01690" REYEY="0.01547" REYEZ="0.68300" RPUPILD="0.00760" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.55529" FPOGY="0.52034" FPOGS="2556.73242" FPOGD="0.16479" FPOGID="6100" FPOGV="1" LPOGX="0.52201" LPOGY="0.44356" LPOGV="1" RPOGX="0.57514" RPOGY="0.52001" RPOGV="1" BPOGX="0.54858" BPOGY="0.48178" BPOGV="1" LPCX="0.30803" LPCY="0.42193" LPD="36.87709" LPS="1.06325" LPV="1" RPCX="0.56587" RPCY="0.42212" RPD="39.00232" RPS="1.07133" RPV="1" LEYEX="-0.04938" LEYEY="0.01526" LEYEZ="0.67614" LPUPILD="0.00747" LPUPILV="1" REYEX="0.01690" REYEY="0.01547" REYEZ="0.68300" RPUPILD="0.00765" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.55499" FPOGY="0.51882" FPOGS="2556.73242" FPOGD="0.17407" FPOGID="6100" FPOGV="1" LPOGX="0.52199" LPOGY="0.44345" LPOGV="1" RPOGX="0.57416" RPOGY="0.52418" RPOGV="1" BPOGX="0.54807" BPOGY="0.48382" BPOGV="1" LPCX="0.30803" LPCY="0.42193" LPD="36.87711" LPS="1.06343" LPV="1" RPCX="0.56584" RPCY="0.42214" RPD="39.10394" RPS="1.06343" RPV="1" LEYEX="-0.04788" LEYEY="0.01483" LEYEZ="0.65491" LPUPILD="0.00747" LPUPILV="1" REYEX="0.01635" REYEY="0.01501" REYEZ="0.66265" RPUPILD="0.00764" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.55528" FPOGY="0.51868" FPOGS="2556.73242" FPOGD="0.18262" FPOGID="6100" FPOGV="1" LPOGX="0.53628" LPOGY="0.51065" LPOGV="1" RPOGX="0.58805" RPOGY="0.52012" RPOGV="1" BPOGX="0.56217" BPOGY="0.51539" BPOGV="1" LPCX="0.30780" LPCY="0.42188" LPD="36.54346" LPS="1.05553" LPV="1" RPCX="0.56562" RPCY="0.42198" RPD="39.10471" RPS="1.05553" RPV="1" LEYEX="-0.04788" LEYEY="0.01483" LEYEZ="0.65491" LPUPILD="0.00754" LPUPILV="1" REYEX="0.01635" REYEY="0.01501" REYEZ="0.66265" RPUPILD="0.00764" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.55536" FPOGY="0.51991" FPOGS="2556.73242" FPOGD="0.19019" FPOGID="6100" FPOGV="1" LPOGX="0.53319" LPOGY="0.51513" LPOGV="1" RPOGX="0.58127" RPOGY="0.58604" RPOGV="1" BPOGX="0.55723" BPOGY="0.55059" BPOGV="1" LPCX="0.30770" LPCY="0.42190" LPD="36.63841" LPS="1.04762" LPV="1" RPCX="0.56559" RPCY="0.42194" RPD="39.16557" RPS="1.03953" RPV="1" LEYEX="-0.04788" LEYEY="0.01483" LEYEZ="0.65491" LPUPILD="0.00750" LPUPILV="1" REYEX="0.01635" REYEY="0.01501" REYEZ="0.66265" RPUPILD="0.00763" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.55505" FPOGY="0.52000" FPOGS="2556.73242" FPOGD="0.19873" FPOGID="6100" FPOGV="1" LPOGX="0.52455" LPOGY="0.46200" LPOGV="1" RPOGX="0.56991" RPOGY="0.58278" RPOGV="1" BPOGX="0.54723" BPOGY="0.52239" BPOGV="1" LPCX="0.30757" LPCY="0.42187" LPD="36.65377" LPS="1.03163" LPV="1" RPCX="0.56553" RPCY="0.42190" RPD="39.25415" RPS="1.02354" RPV="1" LEYEX="-0.04788" LEYEY="0.01483" LEYEZ="0.65491" LPUPILD="0.00751" LPUPILV="1" REYEX="0.01635" REYEY="0.01501" REYEZ="0.66265" RPUPILD="0.00764" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.55576" FPOGY="0.52079" FPOGS="2556.73242" FPOGD="0.20605" FPOGID="6100" FPOGV="1" LPOGX="0.55149" LPOGY="0.51387" LPOGV="1" RPOGX="0.59819" RPOGY="0.57036" RPOGV="1" BPOGX="0.57484" BPOGY="0.54212" BPOGV="1" LPCX="0.30750" LPCY="0.42182" LPD="36.63633" LPS="1.02354" LPV="1" RPCX="0.56543" RPCY="0.42187" RPD="38.97704" RPS="1.02354" RPV="1" LEYEX="-0.04788" LEYEY="0.01483" LEYEZ="0.65491" LPUPILD="0.00751" LPUPILV="1" REYEX="0.01635" REYEY="0.01501" REYEZ="0.66265" RPUPILD="0.00765" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="46" />
