2025-05-27 13:46:51.095564
04965" REYEZ="0.61017" RPUPILD="0.00410" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.66776" FPOGY="-0.11758" FPOGS="521.22339" FPOGD="0.29419" FPOGID="1183" FPOGV="1" LPOGX="0.72207" LPOGY="-0.13683" LPOGV="1" RPOGX="0.60593" RPOGY="-0.16728" RPOGV="1" BPOGX="0.66400" BPOGY="-0.15205" BPOGV="1" LPCX="0.27090" LPCY="0.76544" LPD="24.00742" LPS="0.86474" LPV="1" RPCX="0.57473" RPCY="0.75300" RPD="23.71893" RPS="0.86474" RPV="1" LEYEX="-0.05338" LEYEY="-0.05158" LEYEZ="0.60539" LPUPILD="0.00431" LPUPILV="1" REYEX="0.01645" REYEY="-0.04813" REYEZ="0.59147" RPUPILD="0.00409" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.40179" FPOGY="0.15972" FPOGS="522.32861" FPOGD="0.10071" FPOGID="1187" FPOGV="1" LPOGX="0.43161" LPOGY="0.12538" LPOGV="1" RPOGX="0.34375" RPOGY="0.17912" RPOGV="1" BPOGX="0.38768" BPOGY="0.15225" BPOGV="1" LPCX="0.26185" LPCY="0.77329" LPD="25.79299" LPS="0.90665" LPV="1" RPCX="0.56649" RPCY="0.76122" RPD="26.42800" RPS="0.89443" RPV="1" LEYEX="-0.05409" LEYEY="-0.05186" LEYEZ="0.59923" LPUPILD="0.00454" LPUPILV="1" REYEX="0.01579" REYEY="-0.05012" REYEZ="0.60528" RPUPILD="0.00446" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="29" />
<REC FPOGX="0.40139" FPOGY="0.15995" FPOGS="522.32861" FPOGD="0.10706" FPOGID="1187" FPOGV="1" LPOGX="0.43988" LPOGY="0.14046" LPOGV="1" RPOGX="0.34997" RPOGY="0.18688" RPOGV="1" BPOGX="0.39493" BPOGY="0.16367" BPOGV="1" LPCX="0.26188" LPCY="0.77329" LPD="25.74116" LPS="0.89443" LPV="1" RPCX="0.56655" RPCY="0.76123" RPD="26.35652" RPS="0.88220" RPV="1" LEYEX="-0.05409" LEYEY="-0.05186" LEYEZ="0.59923" LPUPILD="0.00454" LPUPILV="1" REYEX="0.01579" REYEY="-0.05012" REYEZ="0.60528" RPUPILD="0.00446" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="29" />
<REC FPOGX="0.40109" FPOGY="0.16053" FPOGS="522.32861" FPOGD="0.11383" FPOGID="1187" FPOGV="1" LPOGX="0.44155" LPOGY="0.14695" LPOGV="1" RPOGX="0.35057" RPOGY="0.19368" RPOGV="1" BPOGX="0.39606" BPOGY="0.17031" BPOGV="1" LPCX="0.26200" LPCY="0.77323" LPD="25.73266" LPS="0.88786" LPV="1" RPCX="0.56656" RPCY="0.76124" RPD="26.40029" RPS="0.87564" RPV="1" LEYEX="-0.05573" LEYEY="-0.05347" LEYEZ="0.61785" LPUPILD="0.00458" LPUPILV="1" REYEX="0.01579" REYEY="-0.05012" REYEZ="0.60528" RPUPILD="0.00446" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="29" />
<REC FPOGX="0.40123" FPOGY="0.16101" FPOGS="522.32861" FPOGD="0.12048" FPOGID="1187" FPOGV="1" LPOGX="0.44682" LPOGY="0.15440" LPOGV="1" RPOGX="0.36040" RPOGY="0.18498" RPOGV="1" BPOGX="0.40361" BPOGY="0.16969" BPOGV="1" LPCX="0.26203" LPCY="0.77325" LPD="25.80117" LPS="0.88130" LPV="1" RPCX="0.56666" RPCY="0.76124" RPD="26.38597" RPS="0.88130" RPV="1" LEYEX="-0.05573" LEYEY="-0.05347" LEYEZ="0.61785" LPUPILD="0.00457" LPUPILV="1" REYEX="0.01579" REYEY="-0.05012" REYEZ="0.60528" RPUPILD="0.00445" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="29" />
<REC FPOGX="0.40169" FPOGY="0.16193" FPOGS="522.32861" FPOGD="0.12732" FPOGID="1187" FPOGV="1" LPOGX="0.47264" LPOGY="0.18509" LPOGV="1" RPOGX="0.34834" RPOGY="0.17391" RPOGV="1" BPOGX="0.41049" BPOGY="0.17950" BPOGV="1" LPCX="0.26230" LPCY="0.77314" LPD="25.78053" LPS="0.88696" LPV="1" RPCX="0.56697" RPCY="0.76124" RPD="26.05121" RPS="0.88696" RPV="1" LEYEX="-0.05573" LEYEY="-0.05347" LEYEZ="0.61785" LPUPILD="0.00458" LPUPILV="1" REYEX="0.01579" REYEY="-0.05012" REYEZ="0.60528" RPUPILD="0.00448" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="29" />
<REC FPOGX="0.40207" FPOGY="0.16250" FPOGS="522.32861" FPOGD="0.13391" FPOGID="1187" FPOGV="1" LPOGX="0.47138" LPOGY="0.17968" LPOGV="1" RPOGX="0.34781" RPOGY="0.16800" RPOGV="1" BPOGX="0.40960" BPOGY="0.17384" BPOGV="1" LPCX="0.26253" LPCY="0.77314" LPD="25.98608" LPS="0.89261" LPV="1" RPCX="0.56720" RPCY="0.76123" RPD="26.35885" RPS="0.89261" RPV="1" LEYEX="-0.05542" LEYEY="-0.05335" LEYEZ="0.61645" LPUPILD="0.00456" LPUPILV="1" REYEX="0.01598" REYEY="-0.05015" REYEZ="0.60566" RPUPILD="0.00446" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="29" />
<REC FPOGX="0.40503" FPOGY="0.16116" FPOGS="522.32861" FPOGD="0.14062" FPOGID="1187" FPOGV="1" LPOGX="0.51572" LPOGY="0.16483" LPOGV="1" RPOGX="0.41901" RPOGY="0.10115" RPOGV="1" BPOGX="0.46736" BPOGY="0.13299" BPOGV="1" LPCX="0.26404" LPCY="0.77262" LPD="26.09094" LPS="0.89261" LPV="1" RPCX="0.56856" RPCY="0.76070" RPD="26.30378" RPS="0.89261" RPV="1" LEYEX="-0.05542" LEYEY="-0.05335" LEYEZ="0.61645" LPUPILD="0.00463" LPUPILV="1" REYEX="0.01598" REYEY="-0.05015" REYEZ="0.60566" RPUPILD="0.00452" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="29" />
<REC FPOGX="0.40784" FPOGY="0.15839" FPOGS="522.32861" FPOGD="0.14819" FPOGID="1187" FPOGV="1" LPOGX="0.52602" LPOGY="0.12809" LPOGV="1" RPOGX="0.41310" RPOGY="0.06683" RPOGV="1" BPOGX="0.46956" BPOGY="0.09746" BPOGV="1" LPCX="0.26456" LPCY="0.77224" LPD="25.85551" LPS="0.89261" LPV="1" RPCX="0.56896" RPCY="0.76011" RPD="25.26973" RPS="0.89261" RPV="1" LEYEX="-0.05542" LEYEY="-0.05335" LEYEZ="0.61645" LPUPILD="0.00466" LPUPILV="1" REYEX="0.01598" REYEY="-0.05015" REYEZ="0.60566" RPUPILD="0.00453" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="29" />
