2025-05-27 11:02:40.396777
 REYEZ="0.63444" RPUPILD="0.00457" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="1.08298" FPOGY="0.32420" FPOGS="3079.53101" FPOGD="0.02734" FPOGID="8928" FPOGV="1" LPOGX="1.18756" LPOGY="0.44486" LPOGV="1" RPOGX="0.99657" RPOGY="0.26394" RPOGV="1" BPOGX="1.09207" BPOGY="0.35440" BPOGV="1" LPCX="0.37752" LPCY="0.63821" LPD="24.23725" LPS="1.01152" LPV="1" RPCX="0.63195" RPCY="0.68354" RPD="21.94299" RPS="1.00433" RPV="1" LEYEX="-0.03281" LEYEY="-0.02921" LEYEZ="0.66010" LPUPILD="0.00501" LPUPILV="1" REYEX="0.03025" REYEY="-0.03707" REYEZ="0.63444" RPUPILD="0.00457" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="1.08421" FPOGY="0.32966" FPOGS="3079.53101" FPOGD="0.03369" FPOGID="8928" FPOGV="1" LPOGX="1.18413" LPOGY="0.44994" LPOGV="1" RPOGX="0.99657" RPOGY="0.26394" RPOGV="1" BPOGX="1.09035" BPOGY="0.35694" BPOGV="1" LPCX="0.37795" LPCY="0.63823" LPD="24.24275" LPS="1.00433" LPV="1" RPCX="0.63198" RPCY="0.68375" RPD="23.12776" RPS="1.00433" RPV="1" LEYEX="-0.03197" LEYEY="-0.02894" LEYEZ="0.65289" LPUPILD="0.00500" LPUPILV="1" REYEX="0.03185" REYEY="-0.03831" REYEZ="0.65657" RPUPILD="0.00455" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="1.08591" FPOGY="0.32997" FPOGS="3079.53101" FPOGD="0.04028" FPOGID="8928" FPOGV="1" LPOGX="1.17418" LPOGY="0.43468" LPOGV="1" RPOGX="1.01814" RPOGY="0.22896" RPOGV="1" BPOGX="1.09616" BPOGY="0.33182" BPOGV="1" LPCX="0.37887" LPCY="0.63846" LPD="24.21133" LPS="1.00433" LPV="1" RPCX="0.63350" RPCY="0.68334" RPD="21.51744" RPS="1.01152" RPV="1" LEYEX="-0.03197" LEYEY="-0.02894" LEYEZ="0.65289" LPUPILD="0.00502" LPUPILV="1" REYEX="0.03185" REYEY="-0.03831" REYEZ="0.65657" RPUPILD="0.00463" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.09336" FPOGY="0.38204" FPOGS="3079.97803" FPOGD="0.50464" FPOGID="8930" FPOGV="1" LPOGX="1.17421" LPOGY="0.46564" LPOGV="1" RPOGX="1.01627" RPOGY="0.27299" RPOGV="1" BPOGX="1.09524" BPOGY="0.36931" BPOGV="1" LPCX="0.47124" LPCY="0.63781" LPD="25.69135" LPS="0.99715" LPV="1" RPCX="0.72532" RPCY="0.68660" RPD="24.40350" RPS="0.99715" RPV="1" LEYEX="-0.00864" LEYEY="-0.02941" LEYEZ="0.66572" LPUPILD="0.00536" LPUPILV="1" REYEX="0.05250" REYEY="-0.03680" REYEZ="0.62187" RPUPILD="0.00516" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="1.09314" FPOGY="0.38254" FPOGS="3079.97803" FPOGD="0.51099" FPOGID="8930" FPOGV="1" LPOGX="1.17421" LPOGY="0.46564" LPOGV="1" RPOGX="1.01274" RPOGY="0.27798" RPOGV="1" BPOGX="1.09347" BPOGY="0.37181" BPOGV="1" LPCX="0.47063" LPCY="0.63772" LPD="25.77283" LPS="0.99715" LPV="1" RPCX="0.72469" RPCY="0.68668" RPD="24.84301" RPS="0.99071" RPV="1" LEYEX="-0.00926" LEYEY="-0.02947" LEYEZ="0.66722" LPUPILD="0.00540" LPUPILV="1" REYEX="0.05138" REYEY="-0.03652" REYEZ="0.61567" RPUPILD="0.00512" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="1.09354" FPOGY="0.38305" FPOGS="3079.97803" FPOGD="0.51733" FPOGID="8930" FPOGV="1" LPOGX="1.19018" LPOGY="0.46507" LPOGV="1" RPOGX="1.01036" RPOGY="0.31333" RPOGV="1" BPOGX="1.10027" BPOGY="0.38920" BPOGV="1" LPCX="0.46937" LPCY="0.63770" LPD="25.75069" LPS="0.99071" LPV="1" RPCX="0.72330" RPCY="0.68683" RPD="24.50176" RPS="0.98428" RPV="1" LEYEX="-0.00926" LEYEY="-0.02947" LEYEZ="0.66722" LPUPILD="0.00538" LPUPILV="1" REYEX="0.05138" REYEY="-0.03652" REYEZ="0.61567" RPUPILD="0.00516" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="1.09355" FPOGY="0.38327" FPOGS="3079.97803" FPOGD="0.52441" FPOGID="8930" FPOGV="1" LPOGX="1.17623" LPOGY="0.47610" LPOGV="1" RPOGX="0.99410" RPOGY="0.29538" RPOGV="1" BPOGX="1.08516" BPOGY="0.38574" BPOGV="1" LPCX="0.46865" LPCY="0.63765" LPD="25.59084" LPS="0.98428" LPV="1" RPCX="0.72254" RPCY="0.68689" RPD="24.23046" RPS="0.97785" RPV="1" LEYEX="-0.00926" LEYEY="-0.02947" LEYEZ="0.66722" LPUPILD="0.00542" LPUPILV="1" REYEX="0.05138" REYEY="-0.03652" REYEZ="0.61567" RPUPILD="0.00516" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="1.09349" FPOGY="0.38360" FPOGS="3079.97803" FPOGD="0.53101" FPOGID="8930" FPOGV="1" LPOGX="1.16974" LPOGY="0.48536" LPOGV="1" RPOGX="0.99031" RPOGY="0.30080" RPOGV="1" BPOGX="1.08002" BPOGY="0.39308" BPOGV="1" LPCX="0.46810" LPCY="0.63772" LPD="25.85907" LPS="0.97082" LPV="1" RPCX="0.72186" RPCY="0.68707" RPD="24.85985" RPS="0.97082" RPV="1" LEYEX="-0.00965" LEYEY="-0.02842" LEYEZ="0.64340" LPUPILD="0.00537" LPUPILV="1" REYEX="0.05251" REYEY="-0.03793" REYEZ="0.63777" RPUPILD="0.00511" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="1.09332" FPOGY="0.38343" FPOGS="3079.97803" FPOGD="0.53735" FPOGID="8930" FPOGV="1" LPOGX="1.18226" LPOGY="0.47270" LPOGV="1" RPOGX="0.99211" RPOGY="0.30660" RPOGV="1" BPOGX="1.08718" BPOGY="0.38965" BPOGV="1" LPCX="0.46635" LPCY="0.63774" LPD="25.91888" LPS="0.96380" LPV="1" RPCX="0.72009" RPCY="0.68722" RPD="24.58266" RPS="0.97023" RPV="1" LEYEX="-0.00965" LEYEY="-0.02842" LEYEZ="0.64340" LPUPILD="0.00544" LPUPILV="1" REYEX="0.05251" REYEY="-0.03793" REYEZ="0.63777" RPUPILD="0.00511" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
