2025-05-27 11:08:04.452852
6" REYEZ="0.68861" RPUPILD="0.00370" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.41545" FPOGY="0.24533" FPOGS="3403.47314" FPOGD="0.14722" FPOGID="10067" FPOGV="1" LPOGX="0.51777" LPOGY="0.26070" LPOGV="1" RPOGX="0.31105" RPOGY="0.18104" RPOGV="1" BPOGX="0.41441" BPOGY="0.22087" BPOGV="1" LPCX="0.26823" LPCY="0.68113" LPD="19.36553" LPS="1.02648" LPV="1" RPCX="0.53320" RPCY="0.67925" RPD="18.33154" RPS="1.02648" RPV="1" LEYEX="-0.05861" LEYEY="-0.03837" LEYEZ="0.66526" LPUPILD="0.00386" LPUPILV="1" REYEX="0.00884" REYEY="-0.03822" REYEZ="0.66606" RPUPILD="0.00359" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.60928" FPOGY="0.25254" FPOGS="3404.42456" FPOGD="0.10034" FPOGID="10070" FPOGV="1" LPOGX="0.70237" LPOGY="0.35550" LPOGV="1" RPOGX="0.53494" RPOGY="0.25601" RPOGV="1" BPOGX="0.61866" BPOGY="0.30576" BPOGV="1" LPCX="0.28562" LPCY="0.66742" LPD="20.94334" LPS="0.97681" LPV="1" RPCX="0.54906" RPCY="0.67192" RPD="19.19935" RPS="0.97681" RPV="1" LEYEX="-0.05289" LEYEY="-0.03428" LEYEZ="0.64007" LPUPILD="0.00426" LPUPILV="1" REYEX="0.01218" REYEY="-0.03630" REYEZ="0.65763" RPUPILD="0.00381" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.60928" FPOGY="0.25638" FPOGS="3404.42456" FPOGD="0.10718" FPOGID="10070" FPOGV="1" LPOGX="0.70401" LPOGY="0.37563" LPOGV="1" RPOGX="0.51473" RPOGY="0.25974" RPOGV="1" BPOGX="0.60937" BPOGY="0.31769" BPOGV="1" LPCX="0.28511" LPCY="0.66812" LPD="21.63965" LPS="0.97681" LPV="1" RPCX="0.54894" RPCY="0.67199" RPD="18.75327" RPS="0.98400" RPV="1" LEYEX="-0.05289" LEYEY="-0.03428" LEYEZ="0.64007" LPUPILD="0.00430" LPUPILV="1" REYEX="0.01218" REYEY="-0.03630" REYEZ="0.65763" RPUPILD="0.00381" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.60903" FPOGY="0.25875" FPOGS="3404.42456" FPOGD="0.11353" FPOGID="10070" FPOGV="1" LPOGX="0.71118" LPOGY="0.35509" LPOGV="1" RPOGX="0.49821" RPOGY="0.24296" RPOGV="1" BPOGX="0.60470" BPOGY="0.29903" BPOGV="1" LPCX="0.28496" LPCY="0.66815" LPD="21.68818" LPS="0.98400" LPV="1" RPCX="0.54881" RPCY="0.67204" RPD="18.88671" RPS="0.99119" RPV="1" LEYEX="-0.05289" LEYEY="-0.03428" LEYEZ="0.64007" LPUPILD="0.00428" LPUPILV="1" REYEX="0.01218" REYEY="-0.03630" REYEZ="0.65763" RPUPILD="0.00382" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.60882" FPOGY="0.26043" FPOGS="3404.42456" FPOGD="0.12036" FPOGID="10070" FPOGV="1" LPOGX="0.71159" LPOGY="0.34459" LPOGV="1" RPOGX="0.49863" RPOGY="0.23697" RPOGV="1" BPOGX="0.60511" BPOGY="0.29078" BPOGV="1" LPCX="0.28502" LPCY="0.66801" LPD="20.79177" LPS="0.99821" LPV="1" RPCX="0.54870" RPCY="0.67214" RPD="19.33426" RPS="0.99821" RPV="1" LEYEX="-0.05602" LEYEY="-0.03626" LEYEZ="0.67611" LPUPILD="0.00431" LPUPILV="1" REYEX="0.01165" REYEY="-0.03511" REYEZ="0.63684" RPUPILD="0.00381" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.60994" FPOGY="0.26154" FPOGS="3404.42456" FPOGD="0.12646" FPOGID="10070" FPOGV="1" LPOGX="0.72298" LPOGY="0.34896" LPOGV="1" RPOGX="0.53938" RPOGY="0.21612" RPOGV="1" BPOGX="0.63118" BPOGY="0.28254" BPOGV="1" LPCX="0.28472" LPCY="0.66795" LPD="20.98954" LPS="1.00524" LPV="1" RPCX="0.54852" RPCY="0.67162" RPD="18.47065" RPS="0.99805" RPV="1" LEYEX="-0.05602" LEYEY="-0.03626" LEYEZ="0.67611" LPUPILD="0.00428" LPUPILV="1" REYEX="0.01165" REYEY="-0.03511" REYEZ="0.63684" RPUPILD="0.00386" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.61044" FPOGY="0.26181" FPOGS="3404.42456" FPOGD="0.13354" FPOGID="10070" FPOGV="1" LPOGX="0.71063" LPOGY="0.30992" LPOGV="1" RPOGX="0.53045" RPOGY="0.22455" RPOGV="1" BPOGX="0.62054" BPOGY="0.26724" BPOGV="1" LPCX="0.28480" LPCY="0.66760" LPD="20.98712" LPS="1.00508" LPV="1" RPCX="0.54836" RPCY="0.67127" RPD="18.47208" RPS="0.99789" RPV="1" LEYEX="-0.05602" LEYEY="-0.03626" LEYEZ="0.67611" LPUPILD="0.00425" LPUPILV="1" REYEX="0.01165" REYEY="-0.03511" REYEZ="0.63684" RPUPILD="0.00377" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.61092" FPOGY="0.26192" FPOGS="3404.42456" FPOGD="0.13989" FPOGID="10070" FPOGV="1" LPOGX="0.71062" LPOGY="0.31005" LPOGV="1" RPOGX="0.53108" RPOGY="0.21849" RPOGV="1" BPOGX="0.62085" BPOGY="0.26427" BPOGV="1" LPCX="0.28431" LPCY="0.66769" LPD="21.71715" LPS="1.00491" LPV="1" RPCX="0.54839" RPCY="0.67098" RPD="18.76010" RPS="1.00491" RPV="1" LEYEX="-0.05493" LEYEY="-0.03529" LEYEZ="0.66178" LPUPILD="0.00428" LPUPILV="1" REYEX="0.01199" REYEY="-0.03602" REYEZ="0.65797" RPUPILD="0.00377" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.61076" FPOGY="0.26242" FPOGS="3404.42456" FPOGD="0.14648" FPOGID="10070" FPOGV="1" LPOGX="0.71214" LPOGY="0.32755" LPOGV="1" RPOGX="0.50268" RPOGY="0.21945" RPOGV="1" BPOGX="0.60741" BPOGY="0.27350" BPOGV="1" LPCX="0.28430" LPCY="0.66685" LPD="20.99640" LPS="1.00491" LPV="1" RPCX="0.54808" RPCY="0.67024" RPD="18.72400" RPS="1.01210" RPV="1" LEYEX="-0.05493" LEYEY="-0.03529" LEYEZ="0.66178" LPUPILD="0.00429" LPUPILV="1" REYEX="0.01199" REYEY="-0.03602" REYEZ="0.65797" RPUPILD="0.00385" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
