2025-07-14 12:08:40.526487
EZ="0.66031" RPUPILD="0.00286" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.76422" FPOGY="0.21451" FPOGS="148.60832" FPOGD="0.12050" FPOGID="194" FPOGV="1" LPOGX="0.88391" LPOGY="0.21533" LPOGV="1" RPOGX="0.61298" RPOGY="0.11440" RPOGV="1" BPOGX="0.74844" BPOGY="0.16486" BPOGV="1" LPCX="0.26557" LPCY="0.73930" LPD="15.97232" LPS="1.00218" LPV="1" RPCX="0.56475" RPCY="0.77311" RPD="15.66455" RPS="1.00937" RPV="1" LEYEX="-0.05814" LEYEY="-0.04845" LEYEZ="0.64030" LPUPILD="0.00291" LPUPILV="1" REYEX="0.01589" REYEY="-0.05705" REYEZ="0.66031" RPUPILD="0.00283" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.76347" FPOGY="0.21187" FPOGS="148.60832" FPOGD="0.12729" FPOGID="194" FPOGV="1" LPOGX="0.88528" LPOGY="0.20884" LPOGV="1" RPOGX="0.61298" RPOGY="0.11440" RPOGV="1" BPOGX="0.74913" BPOGY="0.16162" BPOGV="1" LPCX="0.26565" LPCY="0.73928" LPD="16.19056" LPS="1.00937" LPV="1" RPCX="0.56448" RPCY="0.77326" RPD="15.72811" RPS="1.00937" RPV="1" LEYEX="-0.05860" LEYEY="-0.04884" LEYEZ="0.64481" LPUPILD="0.00282" LPUPILV="1" REYEX="0.01528" REYEY="-0.05501" REYEZ="0.63670" RPUPILD="0.00290" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.16792" FPOGY="0.27695" FPOGS="149.39882" FPOGD="0.24794" FPOGID="197" FPOGV="1" LPOGX="0.25414" LPOGY="0.29674" LPOGV="1" RPOGX="0.04264" RPOGY="0.31426" RPOGV="1" BPOGX="0.14839" BPOGY="0.30550" BPOGV="1" LPCX="0.24002" LPCY="0.74448" LPD="16.31815" LPS="0.95415" LPV="1" RPCX="0.53918" RPCY="0.77296" RPD="15.90431" RPS="0.95415" RPV="1" LEYEX="-0.05967" LEYEY="-0.04690" LEYEZ="0.60888" LPUPILD="0.00304" LPUPILV="1" REYEX="0.01090" REYEY="-0.05524" REYEZ="0.64328" RPUPILD="0.00298" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.16831" FPOGY="0.27780" FPOGS="149.39882" FPOGD="0.25438" FPOGID="197" FPOGV="1" LPOGX="0.30873" LPOGY="0.29401" LPOGV="1" RPOGX="0.05773" RPOGY="0.32556" RPOGV="1" BPOGX="0.18323" BPOGY="0.30979" BPOGV="1" LPCX="0.23984" LPCY="0.74455" LPD="16.50283" LPS="0.94786" LPV="1" RPCX="0.53892" RPCY="0.77291" RPD="16.11844" RPS="0.94786" RPV="1" LEYEX="-0.05967" LEYEY="-0.04690" LEYEZ="0.60888" LPUPILD="0.00305" LPUPILV="1" REYEX="0.01090" REYEY="-0.05524" REYEZ="0.64328" RPUPILD="0.00297" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.16865" FPOGY="0.27852" FPOGS="149.39882" FPOGD="0.26128" FPOGID="197" FPOGV="1" LPOGX="0.30873" LPOGY="0.29401" LPOGV="1" RPOGX="0.05501" RPOGY="0.31952" RPOGV="1" BPOGX="0.18187" BPOGY="0.30676" BPOGV="1" LPCX="0.23972" LPCY="0.74467" LPD="16.18066" LPS="0.94786" LPV="1" RPCX="0.53895" RPCY="0.77300" RPD="16.03000" RPS="0.95505" RPV="1" LEYEX="-0.06239" LEYEY="-0.04909" LEYEZ="0.63613" LPUPILD="0.00306" LPUPILV="1" REYEX="0.01105" REYEY="-0.05670" REYEZ="0.66084" RPUPILD="0.00296" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.16837" FPOGY="0.27834" FPOGS="149.39882" FPOGD="0.26790" FPOGID="197" FPOGV="1" LPOGX="0.27613" LPOGY="0.25353" LPOGV="1" RPOGX="0.03815" RPOGY="0.28843" RPOGV="1" BPOGX="0.15714" BPOGY="0.27098" BPOGV="1" LPCX="0.23933" LPCY="0.74436" LPD="15.89270" LPS="0.96134" LPV="1" RPCX="0.53903" RPCY="0.77285" RPD="15.66302" RPS="0.96853" RPV="1" LEYEX="-0.06239" LEYEY="-0.04909" LEYEZ="0.63613" LPUPILD="0.00302" LPUPILV="1" REYEX="0.01105" REYEY="-0.05670" REYEZ="0.66084" RPUPILD="0.00317" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.16773" FPOGY="0.27787" FPOGS="149.39882" FPOGD="0.27461" FPOGID="197" FPOGV="1" LPOGX="0.25426" LPOGY="0.23870" LPOGV="1" RPOGX="0.02865" RPOGY="0.27915" RPOGV="1" BPOGX="0.14145" BPOGY="0.25893" BPOGV="1" LPCX="0.23955" LPCY="0.74444" LPD="15.55090" LPS="0.97482" LPV="1" RPCX="0.53908" RPCY="0.77287" RPD="15.76537" RPS="0.98201" RPV="1" LEYEX="-0.06239" LEYEY="-0.04909" LEYEZ="0.63613" LPUPILD="0.00324" LPUPILV="1" REYEX="0.01105" REYEY="-0.05670" REYEZ="0.66084" RPUPILD="0.00320" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.16703" FPOGY="0.27725" FPOGS="149.39882" FPOGD="0.28131" FPOGID="197" FPOGV="1" LPOGX="0.24865" LPOGY="0.22825" LPOGV="1" RPOGX="0.02619" RPOGY="0.27372" RPOGV="1" BPOGX="0.13742" BPOGY="0.25098" BPOGV="1" LPCX="0.23920" LPCY="0.74469" LPD="16.06791" LPS="0.98829" LPV="1" RPCX="0.53861" RPCY="0.77292" RPD="15.99992" RPS="0.98829" RPV="1" LEYEX="-0.06286" LEYEY="-0.04932" LEYEZ="0.63903" LPUPILD="0.00308" LPUPILV="1" REYEX="0.01062" REYEY="-0.05523" REYEZ="0.64376" RPUPILD="0.00292" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.16674" FPOGY="0.27761" FPOGS="149.39882" FPOGD="0.28819" FPOGID="197" FPOGV="1" LPOGX="0.29193" LPOGY="0.24931" LPOGV="1" RPOGX="0.01721" RPOGY="0.33696" RPOGV="1" BPOGX="0.15457" BPOGY="0.29313" BPOGV="1" LPCX="0.23900" LPCY="0.74469" LPD="16.17290" LPS="0.98829" LPV="1" RPCX="0.53827" RPCY="0.77274" RPD="15.75216" RPS="0.98110" RPV="1" LEYEX="-0.06286" LEYEY="-0.04932" LEYEZ="0.63903" LPUPILD="0.00308" LPUPILV="1" REYEX="0.01062" REYEY="-0.05523" REYEZ="0.64376" RPUPILD="0.00301" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
