2025-07-14 12:11:37.845448
EZ="0.62567" RPUPILD="0.00289" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="25" />
<REC FPOGX="0.27386" FPOGY="0.10660" FPOGS="114.94541" FPOGD="0.22675" FPOGID="260" FPOGV="1" LPOGX="0.39816" LPOGY="0.15546" LPOGV="1" RPOGX="0.17585" RPOGY="0.10542" RPOGV="1" BPOGX="0.28700" BPOGY="0.13044" BPOGV="1" LPCX="0.21503" LPCY="0.76571" LPD="15.86024" LPS="0.92207" LPV="1" RPCX="0.52326" RPCY="0.78166" RPD="15.40657" RPS="0.92207" RPV="1" LEYEX="-0.06708" LEYEY="-0.05208" LEYEZ="0.62004" LPUPILD="0.00295" LPUPILV="1" REYEX="0.00643" REYEY="-0.05565" REYEZ="0.62567" RPUPILD="0.00284" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="25" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.52525" FPOGY="0.09817" FPOGS="116.01189" FPOGD="0.07187" FPOGID="264" FPOGV="1" LPOGX="0.66847" LPOGY="0.17843" LPOGV="1" RPOGX="0.38855" RPOGY="0.07212" RPOGV="1" BPOGX="0.52851" BPOGY="0.12528" BPOGV="1" LPCX="0.21879" LPCY="0.76594" LPD="15.42105" LPS="0.91578" LPV="1" RPCX="0.52753" RPCY="0.78139" RPD="14.59239" RPS="0.92221" RPV="1" LEYEX="-0.06758" LEYEY="-0.05274" LEYEZ="0.62726" LPUPILD="0.00273" LPUPILV="1" REYEX="0.00671" REYEY="-0.05610" REYEZ="0.63071" RPUPILD="0.00276" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.52648" FPOGY="0.10080" FPOGS="116.01189" FPOGD="0.08414" FPOGID="264" FPOGV="1" LPOGX="0.65680" LPOGY="0.18713" LPOGV="1" RPOGX="0.42326" RPOGY="0.07249" RPOGV="1" BPOGX="0.54003" BPOGY="0.12981" BPOGV="1" LPCX="0.21879" LPCY="0.76593" LPD="15.52340" LPS="0.92221" LPV="1" RPCX="0.52767" RPCY="0.78146" RPD="14.29702" RPS="0.92865" RPV="1" LEYEX="-0.06758" LEYEY="-0.05274" LEYEZ="0.62726" LPUPILD="0.00271" LPUPILV="1" REYEX="0.00671" REYEY="-0.05610" REYEZ="0.63071" RPUPILD="0.00274" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.52715" FPOGY="0.10304" FPOGS="116.01189" FPOGD="0.08944" FPOGID="264" FPOGV="1" LPOGX="0.65583" LPOGY="0.17420" LPOGV="1" RPOGX="0.41435" RPOGY="0.08550" RPOGV="1" BPOGX="0.53509" BPOGY="0.12985" BPOGV="1" LPCX="0.21879" LPCY="0.76597" LPD="15.43848" LPS="0.92865" LPV="1" RPCX="0.52748" RPCY="0.78142" RPD="14.75782" RPS="0.93508" RPV="1" LEYEX="-0.06758" LEYEY="-0.05274" LEYEZ="0.62726" LPUPILD="0.00273" LPUPILV="1" REYEX="0.00671" REYEY="-0.05610" REYEZ="0.63071" RPUPILD="0.00274" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.52769" FPOGY="0.10402" FPOGS="116.01189" FPOGD="0.09374" FPOGID="264" FPOGV="1" LPOGX="0.65550" LPOGY="0.16191" LPOGV="1" RPOGX="0.41407" RPOGY="0.07176" RPOGV="1" BPOGX="0.53479" BPOGY="0.11684" BPOGV="1" LPCX="0.21877" LPCY="0.76595" LPD="15.51666" LPS="0.94137" LPV="1" RPCX="0.52741" RPCY="0.78158" RPD="14.90020" RPS="0.94780" RPV="1" LEYEX="-0.06770" LEYEY="-0.05279" LEYEZ="0.62790" LPUPILD="0.00270" LPUPILV="1" REYEX="0.00671" REYEY="-0.05610" REYEZ="0.63071" RPUPILD="0.00274" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.52790" FPOGY="0.10410" FPOGS="116.01189" FPOGD="0.09866" FPOGID="264" FPOGV="1" LPOGX="0.65353" LPOGY="0.16022" LPOGV="1" RPOGX="0.40799" RPOGY="0.05017" RPOGV="1" BPOGX="0.53076" BPOGY="0.10520" BPOGV="1" LPCX="0.21875" LPCY="0.76601" LPD="15.68074" LPS="0.95409" LPV="1" RPCX="0.52733" RPCY="0.78164" RPD="14.97009" RPS="0.95409" RPV="1" LEYEX="-0.06770" LEYEY="-0.05279" LEYEZ="0.62790" LPUPILD="0.00268" LPUPILV="1" REYEX="0.00671" REYEY="-0.05610" REYEZ="0.63071" RPUPILD="0.00274" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.52846" FPOGY="0.10354" FPOGS="116.01189" FPOGD="0.10832" FPOGID="264" FPOGV="1" LPOGX="0.65417" LPOGY="0.15130" LPOGV="1" RPOGX="0.41980" RPOGY="0.03895" RPOGV="1" BPOGX="0.53699" BPOGY="0.09513" BPOGV="1" LPCX="0.21882" LPCY="0.76600" LPD="15.64774" LPS="0.96037" LPV="1" RPCX="0.52736" RPCY="0.78112" RPD="14.86613" RPS="0.96037" RPV="1" LEYEX="-0.06770" LEYEY="-0.05279" LEYEZ="0.62790" LPUPILD="0.00271" LPUPILV="1" REYEX="0.00671" REYEY="-0.05610" REYEZ="0.63071" RPUPILD="0.00293" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.52896" FPOGY="0.10267" FPOGS="116.01189" FPOGD="0.11436" FPOGID="264" FPOGV="1" LPOGX="0.65400" LPOGY="0.14528" LPOGV="1" RPOGX="0.41970" RPOGY="0.03204" RPOGV="1" BPOGX="0.53685" BPOGY="0.08866" BPOGV="1" LPCX="0.21882" LPCY="0.76600" LPD="15.64774" LPS="0.96666" LPV="1" RPCX="0.52736" RPCY="0.78112" RPD="14.86613" RPS="0.96666" RPV="1" LEYEX="-0.06770" LEYEY="-0.05279" LEYEZ="0.62790" LPUPILD="0.00271" LPUPILV="1" REYEX="0.00671" REYEY="-0.05610" REYEZ="0.63071" RPUPILD="0.00293" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.52916" FPOGY="0.10269" FPOGS="116.01189" FPOGD="0.11854" FPOGID="264" FPOGV="1" LPOGX="0.65258" LPOGY="0.14909" LPOGV="1" RPOGX="0.41252" RPOGY="0.05702" RPOGV="1" BPOGX="0.53255" BPOGY="0.10306" BPOGV="1" LPCX="0.21877" LPCY="0.76595" LPD="15.51666" LPS="0.96666" LPV="1" RPCX="0.52737" RPCY="0.78115" RPD="14.90385" RPS="0.96666" RPV="1" LEYEX="-0.06770" LEYEY="-0.05279" LEYEZ="0.62790" LPUPILD="0.00270" LPUPILV="1" REYEX="0.00671" REYEY="-0.05610" REYEZ="0.63071" RPUPILD="0.00292" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
