2025-07-14 12:01:44.181774
Z="0.57702" RPUPILD="0.00476" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.34991" FPOGY="0.27945" FPOGS="177.33806" FPOGD="0.33867" FPOGID="528" FPOGV="1" LPOGX="0.40540" LPOGY="0.30281" LPOGV="1" RPOGX="0.36123" RPOGY="0.28340" RPOGV="1" BPOGX="0.38331" BPOGY="0.29310" BPOGV="1" LPCX="0.25068" LPCY="0.72127" LPD="23.22800" LPS="0.74982" LPV="1" RPCX="0.52694" RPCY="0.70716" RPD="22.74832" RPS="0.75816" RPV="1" LEYEX="-0.21327" LEYEY="-0.16243" LEYEZ="2.30159" LPUPILD="0.00439" LPUPILV="0" REYEX="0.00623" REYEY="-0.03834" REYEZ="0.57702" RPUPILD="0.00481" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.35043" FPOGY="0.27949" FPOGS="177.33806" FPOGD="0.34576" FPOGID="528" FPOGV="1" LPOGX="0.40533" LPOGY="0.30263" LPOGV="1" RPOGX="0.36121" RPOGY="0.28319" RPOGV="1" BPOGX="0.38327" BPOGY="0.29291" BPOGV="1" LPCX="0.25096" LPCY="0.72139" LPD="23.43404" LPS="0.75001" LPV="1" RPCX="0.52737" RPCY="0.70725" RPD="22.81878" RPS="0.75834" RPV="1" LEYEX="-0.21063" LEYEY="-0.16097" LEYEZ="2.28083" LPUPILD="0.00437" LPUPILV="0" REYEX="0.00641" REYEY="-0.03838" REYEZ="0.57763" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.66899" FPOGY="0.34729" FPOGS="178.38748" FPOGD="0.19405" FPOGID="532" FPOGV="1" LPOGX="0.79867" LPOGY="0.40165" LPOGV="1" RPOGX="0.73291" RPOGY="0.31492" RPOGV="1" BPOGX="0.76579" BPOGY="0.35829" BPOGV="1" LPCX="0.26578" LPCY="0.72018" LPD="22.14265" LPS="0.76928" LPV="1" RPCX="0.54157" RPCY="0.70863" RPD="23.42840" RPS="0.76928" RPV="1" LEYEX="-0.05268" LEYEY="-0.04061" LEYEZ="0.57974" LPUPILD="0.00422" LPUPILV="1" REYEX="0.00806" REYEY="-0.03793" REYEZ="0.56887" RPUPILD="0.00447" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.70014" FPOGY="0.34925" FPOGS="178.38748" FPOGD="0.19405" FPOGID="532" FPOGV="0" LPOGX="0.79928" LPOGY="0.39782" LPOGV="1" RPOGX="0.73446" RPOGY="0.31075" RPOGV="1" BPOGX="0.76687" BPOGY="0.35428" BPOGV="1" LPCX="0.26552" LPCY="0.71985" LPD="21.38888" LPS="0.77353" LPV="1" RPCX="0.54143" RPCY="0.70867" RPD="23.53828" RPS="0.77353" RPV="1" LEYEX="-0.05224" LEYEY="-0.04032" LEYEZ="0.57495" LPUPILD="0.00427" LPUPILV="1" REYEX="0.00806" REYEY="-0.03793" REYEZ="0.56887" RPUPILD="0.00448" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.72959" FPOGY="0.35866" FPOGS="178.38748" FPOGD="0.19405" FPOGID="532" FPOGV="0" LPOGX="0.78350" LPOGY="0.42062" LPOGV="1" RPOGX="0.73457" RPOGY="0.31552" RPOGV="1" BPOGX="0.75904" BPOGY="0.36807" BPOGV="1" LPCX="0.26536" LPCY="0.72000" LPD="21.00716" LPS="0.77353" LPV="1" RPCX="0.54115" RPCY="0.70875" RPD="23.41000" RPS="0.77353" RPV="1" LEYEX="-0.05224" LEYEY="-0.04032" LEYEZ="0.57495" LPUPILD="0.00427" LPUPILV="1" REYEX="0.00806" REYEY="-0.03793" REYEZ="0.56887" RPUPILD="0.00448" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.73725" FPOGY="0.35963" FPOGS="178.38748" FPOGD="0.19405" FPOGID="532" FPOGV="0" LPOGX="0.77419" LPOGY="0.41980" LPOGV="1" RPOGX="0.73095" RPOGY="0.30331" RPOGV="1" BPOGX="0.75257" BPOGY="0.36156" BPOGV="1" LPCX="0.26526" LPCY="0.72008" LPD="21.17511" LPS="0.77353" LPV="1" RPCX="0.54105" RPCY="0.70870" RPD="23.55181" RPS="0.77353" RPV="1" LEYEX="-0.05224" LEYEY="-0.04032" LEYEZ="0.57495" LPUPILD="0.00426" LPUPILV="1" REYEX="0.00806" REYEY="-0.03793" REYEZ="0.56887" RPUPILD="0.00449" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.74041" FPOGY="0.36250" FPOGS="178.58893" FPOGD="0.01979" FPOGID="533" FPOGV="1" LPOGX="0.77325" LPOGY="0.42687" LPOGV="1" RPOGX="0.72658" RPOGY="0.31534" RPOGV="1" BPOGX="0.74991" BPOGY="0.37110" BPOGV="1" LPCX="0.26520" LPCY="0.72009" LPD="21.27247" LPS="0.76539" LPV="1" RPCX="0.54102" RPCY="0.70882" RPD="23.42249" RPS="0.76140" RPV="1" LEYEX="-0.20497" LEYEY="-0.16103" LEYEZ="2.29382" LPUPILD="0.00424" LPUPILV="0" REYEX="0.00769" REYEY="-0.03679" REYEZ="0.55120" RPUPILD="0.00448" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.74539" FPOGY="0.36725" FPOGS="178.58893" FPOGD="0.02675" FPOGID="533" FPOGV="1" LPOGX="0.81328" LPOGY="0.44240" LPOGV="1" RPOGX="0.71736" RPOGY="0.33014" RPOGV="1" BPOGX="0.76532" BPOGY="0.38627" BPOGV="1" LPCX="0.26502" LPCY="0.71997" LPD="20.88448" LPS="0.75326" LPV="1" RPCX="0.54096" RPCY="0.70872" RPD="23.53564" RPS="0.74927" RPV="1" LEYEX="-0.20497" LEYEY="-0.16103" LEYEZ="2.29382" LPUPILD="0.00425" LPUPILV="0" REYEX="0.00769" REYEY="-0.03679" REYEZ="0.55120" RPUPILD="0.00451" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.74858" FPOGY="0.37033" FPOGS="178.58893" FPOGD="0.03316" FPOGID="533" FPOGV="1" LPOGX="0.80364" LPOGY="0.42404" LPOGV="1" RPOGX="0.72539" RPOGY="0.34734" RPOGV="1" BPOGX="0.76451" BPOGY="0.38569" BPOGV="1" LPCX="0.26492" LPCY="0.71999" LPD="20.89017" LPS="0.74113" LPV="1" RPCX="0.54092" RPCY="0.70876" RPD="23.42682" RPS="0.73714" RPV="1" LEYEX="-0.20497" LEYEY="-0.16103" LEYEZ="2.29382" LPUPILD="0.00421" LPUPILV="0" REYEX="0.00769" REYEY="-0.03679" REYEZ="0.55120" RPUPILD="0.00451" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.75065" FPOGY="0.37335" FPOGS="178.58893" FPOGD="0.04001" FPOGID="533" FPOGV="1" LPOGX="0.80234" LPOGY="0.43150" LPOGV="1" RPOGX="0.72381" RPOGY="0.35152" RPOGV="1" BPOGX="0.76307" BPOGY="0.39151" BPOGV="1" LPCX="0.26489" LPCY="0.72019" LPD="20.92088" LPS="0.73289" LPV="1" RPCX="0.54077" RPCY="0.70871" RPD="23.49217" RPS="0.73289" RPV="1" LEYEX="-0.05143" LEYEY="-0.03968" LEYEZ="0.56467" LPUPILD="0.00425" LPUPILV="1" REYEX="0.00784" REYEY="-0.03774" REYEZ="0.56537" RPUPILD="0.00457" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.75092" FPOGY="0.37246" FPOGS="178.58893" FPOGD="0.04652" FPOGID="533" FPOGV="1" LPOGX="0.78962" LPOGY="0.38642" LPOGV="1" RPOGX="0.71598" RPOGY="0.34593" RPOGV="1" BPOGX="0.75280" BPOGY="0.36618" BPOGV="1" LPCX="0.26474" LPCY="0.72030" LPD="21.04234" LPS="0.73679" LPV="1" RPCX="0.54064" RPCY="0.70874" RPD="23.60062" RPS="0.74077" RPV="1" LEYEX="-0.05143" LEYEY="-0.03968" LEYEZ="0.56467" LPUPILD="0.00421" LPUPILV="1" REYEX="0.00784" REYEY="-0.03774" REYEZ="0.56537" RPUPILD="0.00451" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.75053" FPOGY="0.37084" FPOGS="178.58893" FPOGD="0.05316" FPOGID="533" FPOGV="1" LPOGX="0.78526" LPOGY="0.38615" LPOGV="1" RPOGX="0.70961" RPOGY="0.32976" RPOGV="1" BPOGX="0.74744" BPOGY="0.35796" BPOGV="1" LPCX="0.26461" LPCY="0.72020" LPD="20.89979" LPS="0.74467" LPV="1" RPCX="0.54061" RPCY="0.70881" RPD="23.40084" RPS="0.74865" RPV="1" LEYEX="-0.05143" LEYEY="-0.03968" LEYEZ="0.56467" LPUPILD="0.00426" LPUPILV="1" REYEX="0.00784" REYEY="-0.03774" REYEZ="0.56537" RPUPILD="0.00451" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
