2025-07-15 11:38:43.325909
EYEZ="0.59551" RPUPILD="0.00463" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.24698" FPOGY="0.27554" FPOGS="132.61774" FPOGD="0.12015" FPOGID="404" FPOGV="1" LPOGX="0.27727" LPOGY="0.31878" LPOGV="1" RPOGX="0.22849" RPOGY="0.23854" RPOGV="1" BPOGX="0.25288" BPOGY="0.27866" BPOGV="1" LPCX="0.18930" LPCY="0.66974" LPD="22.74613" LPS="0.82857" LPV="1" RPCX="0.45039" RPCY="0.64509" RPD="22.79351" RPS="0.82857" RPV="1" LEYEX="-0.06972" LEYEY="-0.03239" LEYEZ="0.59573" LPUPILD="0.00435" LPUPILV="1" REYEX="-0.01058" REYEY="-0.02805" REYEZ="0.59551" RPUPILD="0.00467" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.49385" FPOGY="0.24594" FPOGS="133.46185" FPOGD="0.18729" FPOGID="408" FPOGV="1" LPOGX="0.54340" LPOGY="0.29908" LPOGV="1" RPOGX="0.52310" RPOGY="0.18542" RPOGV="1" BPOGX="0.53325" BPOGY="0.24225" BPOGV="1" LPCX="0.19356" LPCY="0.67383" LPD="21.35040" LPS="0.83439" LPV="1" RPCX="0.45637" RPCY="0.64991" RPD="22.96318" RPS="0.82915" RPV="1" LEYEX="-0.06924" LEYEY="-0.03305" LEYEZ="0.59237" LPUPILD="0.00421" LPUPILV="1" REYEX="-0.01035" REYEY="-0.02934" REYEZ="0.60275" RPUPILD="0.00467" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.49516" FPOGY="0.24583" FPOGS="133.46185" FPOGD="0.19421" FPOGID="408" FPOGV="1" LPOGX="0.54350" LPOGY="0.29961" LPOGV="1" RPOGX="0.52304" RPOGY="0.18606" RPOGV="1" BPOGX="0.53327" BPOGY="0.24283" BPOGV="1" LPCX="0.19355" LPCY="0.67400" LPD="21.06235" LPS="0.83381" LPV="1" RPCX="0.45606" RPCY="0.64956" RPD="22.53547" RPS="0.82857" RPV="1" LEYEX="-0.06924" LEYEY="-0.03314" LEYEZ="0.59237" LPUPILD="0.00426" LPUPILV="1" REYEX="-0.01013" REYEY="-0.02878" REYEZ="0.59029" RPUPILD="0.00462" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.52097" FPOGY="0.24953" FPOGS="133.46185" FPOGD="0.19421" FPOGID="408" FPOGV="0" LPOGX="0.54387" LPOGY="0.28869" LPOGV="1" RPOGX="0.49733" RPOGY="0.21271" RPOGV="1" BPOGX="0.52060" BPOGY="0.25070" BPOGV="1" LPCX="0.19361" LPCY="0.67411" LPD="21.14452" LPS="0.82857" LPV="1" RPCX="0.45638" RPCY="0.65010" RPD="23.02342" RPS="0.82857" RPV="1" LEYEX="-0.06924" LEYEY="-0.03314" LEYEZ="0.59237" LPUPILD="0.00425" LPUPILV="1" REYEX="-0.01013" REYEY="-0.02878" REYEZ="0.59029" RPUPILD="0.00462" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.52405" FPOGY="0.25597" FPOGS="133.46185" FPOGD="0.19421" FPOGID="408" FPOGV="0" LPOGX="0.55309" LPOGY="0.29850" LPOGV="1" RPOGX="0.50117" RPOGY="0.22631" RPOGV="1" BPOGX="0.52713" BPOGY="0.26240" BPOGV="1" LPCX="0.19372" LPCY="0.67423" LPD="20.87513" LPS="0.82857" LPV="1" RPCX="0.45647" RPCY="0.65021" RPD="22.93638" RPS="0.82857" RPV="1" LEYEX="-0.06924" LEYEY="-0.03314" LEYEZ="0.59237" LPUPILD="0.00428" LPUPILV="1" REYEX="-0.01013" REYEY="-0.02878" REYEZ="0.59029" RPUPILD="0.00465" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.52501" FPOGY="0.25645" FPOGS="133.46185" FPOGD="0.19421" FPOGID="408" FPOGV="0" LPOGX="0.55233" LPOGY="0.29383" LPOGV="1" RPOGX="0.50155" RPOGY="0.22099" RPOGV="1" BPOGX="0.52694" BPOGY="0.25741" BPOGV="1" LPCX="0.19383" LPCY="0.67435" LPD="20.82523" LPS="0.83369" LPV="1" RPCX="0.45639" RPCY="0.64985" RPD="22.16680" RPS="0.83369" RPV="1" LEYEX="-0.07026" LEYEY="-0.03374" LEYEZ="0.60145" LPUPILD="0.00429" LPUPILV="1" REYEX="-0.01013" REYEY="-0.02878" REYEZ="0.59029" RPUPILD="0.00466" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.52639" FPOGY="0.25422" FPOGS="133.66284" FPOGD="0.01993" FPOGID="409" FPOGV="1" LPOGX="0.55232" LPOGY="0.30481" LPOGV="1" RPOGX="0.50873" RPOGY="0.19028" RPOGV="1" BPOGX="0.53052" BPOGY="0.24754" BPOGV="1" LPCX="0.19392" LPCY="0.67437" LPD="20.78349" LPS="0.83881" LPV="1" RPCX="0.45657" RPCY="0.65035" RPD="22.44210" RPS="0.83881" RPV="1" LEYEX="-0.07026" LEYEY="-0.03374" LEYEZ="0.60145" LPUPILD="0.00428" LPUPILV="1" REYEX="-0.01013" REYEY="-0.02878" REYEZ="0.59029" RPUPILD="0.00464" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.52785" FPOGY="0.25426" FPOGS="133.66284" FPOGD="0.02655" FPOGID="409" FPOGV="1" LPOGX="0.55447" LPOGY="0.31396" LPOGV="1" RPOGX="0.51293" RPOGY="0.19487" RPOGV="1" BPOGX="0.53370" BPOGY="0.25441" BPOGV="1" LPCX="0.19388" LPCY="0.67443" LPD="20.86076" LPS="0.84393" LPV="1" RPCX="0.45659" RPCY="0.65043" RPD="22.35169" RPS="0.84393" RPV="1" LEYEX="-0.07026" LEYEY="-0.03374" LEYEZ="0.60145" LPUPILD="0.00427" LPUPILV="1" REYEX="-0.01013" REYEY="-0.02878" REYEZ="0.59029" RPUPILD="0.00466" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.52884" FPOGY="0.25300" FPOGS="133.66284" FPOGD="0.03322" FPOGID="409" FPOGV="1" LPOGX="0.55374" LPOGY="0.30947" LPOGV="1" RPOGX="0.51381" RPOGY="0.18393" RPOGV="1" BPOGX="0.53378" BPOGY="0.24670" BPOGV="1" LPCX="0.19394" LPCY="0.67430" LPD="20.52965" LPS="0.84905" LPV="1" RPCX="0.45658" RPCY="0.65008" RPD="21.67221" RPS="0.85428" RPV="1" LEYEX="-0.07026" LEYEY="-0.03374" LEYEZ="0.60145" LPUPILD="0.00431" LPUPILV="1" REYEX="-0.01046" REYEY="-0.02992" REYEZ="0.61191" RPUPILD="0.00467" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
