2025-07-10 12:07:22.683080
57161" RPUPILD="0.00489" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.53639" FPOGY="0.06555" FPOGS="77.32086" FPOGD="0.16051" FPOGID="140" FPOGV="1" LPOGX="0.52815" LPOGY="0.09217" LPOGV="1" RPOGX="0.56828" RPOGY="0.02659" RPOGV="1" BPOGX="0.54822" BPOGY="0.05938" BPOGV="1" LPCX="0.41574" LPCY="0.22466" LPD="24.78328" LPS="0.76947" LPV="1" RPCX="0.71712" RPCY="0.23683" RPD="25.99986" RPS="0.77382" RPV="1" LEYEX="-0.01763" LEYEY="0.04584" LEYEZ="0.56387" LPUPILD="0.00442" LPUPILV="1" REYEX="0.04826" REYEY="0.04509" REYEZ="0.58204" RPUPILD="0.00465" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.53684" FPOGY="0.06531" FPOGS="77.32086" FPOGD="0.16704" FPOGID="140" FPOGV="1" LPOGX="0.52813" LPOGY="0.09205" LPOGV="1" RPOGX="0.56829" RPOGY="0.02645" RPOGV="1" BPOGX="0.54821" BPOGY="0.05925" BPOGV="1" LPCX="0.41566" LPCY="0.22485" LPD="24.61302" LPS="0.76957" LPV="1" RPCX="0.71677" RPCY="0.23683" RPD="25.62040" RPS="0.77392" RPV="1" LEYEX="-0.01777" LEYEY="0.04561" LEYEZ="0.56303" LPUPILD="0.00444" LPUPILV="1" REYEX="0.04743" REYEY="0.04440" REYEZ="0.57415" RPUPILD="0.00469" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.53572" FPOGY="0.06621" FPOGS="77.32086" FPOGD="0.17386" FPOGID="140" FPOGV="1" LPOGX="0.49161" LPOGY="0.09926" LPOGV="1" RPOGX="0.52115" RPOGY="0.08035" RPOGV="1" BPOGX="0.50638" BPOGY="0.08981" BPOGV="1" LPCX="0.41489" LPCY="0.22540" LPD="24.45417" LPS="0.77392" LPV="1" RPCX="0.71626" RPCY="0.23715" RPD="25.25883" RPS="0.77392" RPV="1" LEYEX="-0.01777" LEYEY="0.04561" LEYEZ="0.56303" LPUPILD="0.00442" LPUPILV="1" REYEX="0.04743" REYEY="0.04440" REYEZ="0.57415" RPUPILD="0.00472" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.53453" FPOGY="0.06527" FPOGS="77.32086" FPOGD="0.18100" FPOGID="140" FPOGV="1" LPOGX="0.48568" LPOGY="0.07228" LPOGV="1" RPOGX="0.51964" RPOGY="0.00751" RPOGV="1" BPOGX="0.50266" BPOGY="0.03990" BPOGV="1" LPCX="0.41465" LPCY="0.22565" LPD="24.95947" LPS="0.77392" LPV="1" RPCX="0.71580" RPCY="0.23721" RPD="25.26807" RPS="0.77392" RPV="1" LEYEX="-0.01777" LEYEY="0.04561" LEYEZ="0.56303" LPUPILD="0.00435" LPUPILV="1" REYEX="0.04743" REYEY="0.04440" REYEZ="0.57415" RPUPILD="0.00470" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.53343" FPOGY="0.06450" FPOGS="77.32086" FPOGD="0.18818" FPOGID="140" FPOGV="1" LPOGX="0.48568" LPOGY="0.07228" LPOGV="1" RPOGX="0.51920" RPOGY="0.01356" RPOGV="1" BPOGX="0.50244" BPOGY="0.04292" BPOGV="1" LPCX="0.41441" LPCY="0.22579" LPD="24.70967" LPS="0.77392" LPV="1" RPCX="0.71540" RPCY="0.23775" RPD="25.88305" RPS="0.76957" RPV="1" LEYEX="-0.01782" LEYEY="0.04517" LEYEZ="0.55919" LPUPILD="0.00437" LPUPILV="1" REYEX="0.19282" REYEY="0.18433" REYEZ="2.39082" RPUPILD="0.00467" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.53249" FPOGY="0.06454" FPOGS="77.32086" FPOGD="0.19552" FPOGID="140" FPOGV="1" LPOGX="0.48332" LPOGY="0.08569" LPOGV="1" RPOGX="0.52727" RPOGY="0.04578" RPOGV="1" BPOGX="0.50530" BPOGY="0.06574" BPOGV="1" LPCX="0.41427" LPCY="0.22602" LPD="24.59687" LPS="0.76957" LPV="1" RPCX="0.71529" RPCY="0.23785" RPD="25.85751" RPS="0.76522" RPV="1" LEYEX="-0.01782" LEYEY="0.04517" LEYEZ="0.55919" LPUPILD="0.00443" LPUPILV="1" REYEX="0.19282" REYEY="0.18433" REYEZ="2.39082" RPUPILD="0.00468" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.53161" FPOGY="0.06528" FPOGS="77.32086" FPOGD="0.20056" FPOGID="140" FPOGV="1" LPOGX="0.49601" LPOGY="0.10544" LPOGV="1" RPOGX="0.51456" RPOGY="0.06906" RPOGV="1" BPOGX="0.50528" BPOGY="0.08725" BPOGV="1" LPCX="0.41405" LPCY="0.22612" LPD="24.42846" LPS="0.76522" LPV="1" RPCX="0.71520" RPCY="0.23793" RPD="25.45233" RPS="0.76087" RPV="1" LEYEX="-0.01782" LEYEY="0.04517" LEYEZ="0.55919" LPUPILD="0.00441" LPUPILV="1" REYEX="0.19282" REYEY="0.18433" REYEZ="2.39082" RPUPILD="0.00470" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.53080" FPOGY="0.06588" FPOGS="77.32086" FPOGD="0.20720" FPOGID="140" FPOGV="1" LPOGX="0.49603" LPOGY="0.10556" LPOGV="1" RPOGX="0.51496" RPOGY="0.06338" RPOGV="1" BPOGX="0.50550" BPOGY="0.08447" BPOGV="1" LPCX="0.41403" LPCY="0.22658" LPD="24.99973" LPS="0.76512" LPV="1" RPCX="0.71501" RPCY="0.23809" RPD="25.62986" RPS="0.76512" RPV="1" LEYEX="-0.01850" LEYEY="0.04670" LEYEZ="0.57920" LPUPILD="0.00441" LPUPILV="1" REYEX="0.05452" REYEY="0.05114" REYEZ="0.66462" RPUPILD="0.00471" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.53023" FPOGY="0.06530" FPOGS="77.32086" FPOGD="0.21382" FPOGID="140" FPOGV="1" LPOGX="0.50420" LPOGY="0.08975" LPOGV="1" RPOGX="0.52024" RPOGY="0.00367" RPOGV="1" BPOGX="0.51222" BPOGY="0.04671" BPOGV="1" LPCX="0.41375" LPCY="0.22687" LPD="25.07116" LPS="0.76937" LPV="1" RPCX="0.71473" RPCY="0.23837" RPD="25.56039" RPS="0.77372" RPV="1" LEYEX="-0.01850" LEYEY="0.04670" LEYEZ="0.57920" LPUPILD="0.00443" LPUPILV="1" REYEX="0.05452" REYEY="0.05114" REYEZ="0.66462" RPUPILD="0.00470" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.52982" FPOGY="0.06437" FPOGS="77.32086" FPOGD="0.22024" FPOGID="140" FPOGV="1" LPOGX="0.49406" LPOGY="0.05575" LPOGV="1" RPOGX="0.53801" RPOGY="0.01193" RPOGV="1" BPOGX="0.51604" BPOGY="0.03384" BPOGV="1" LPCX="0.41366" LPCY="0.22692" LPD="24.98746" LPS="0.77797" LPV="1" RPCX="0.71456" RPCY="0.23852" RPD="25.84040" RPS="0.78232" RPV="1" LEYEX="-0.01850" LEYEY="0.04670" LEYEZ="0.57920" LPUPILD="0.00444" LPUPILV="1" REYEX="0.05452" REYEY="0.05114" REYEZ="0.66462" RPUPILD="0.00467" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.52941" FPOGY="0.06342" FPOGS="77.32086" FPOGD="0.22738" FPOGID="140" FPOGV="1" LPOGX="0.49308" LPOGY="0.05030" LPOGV="1" RPOGX="0.53801" RPOGY="0.01193" RPOGV="1" BPOGX="0.51555" BPOGY="0.03112" BPOGV="1" LPCX="0.41350" LPCY="0.22709" LPD="24.88490" LPS="0.78232" LPV="1" RPCX="0.71452" RPCY="0.23886" RPD="26.14813" RPS="0.78232" RPV="1" LEYEX="-0.01803" LEYEY="0.04507" LEYEZ="0.56060" LPUPILD="0.00444" LPUPILV="1" REYEX="0.19214" REYEY="0.18365" REYEZ="2.39128" RPUPILD="0.00467" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="16" />
