2025-07-10 12:09:41.683423
0.56232" RPUPILD="0.00424" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.50389" FPOGY="0.11824" FPOGS="215.45010" FPOGD="0.12669" FPOGID="578" FPOGV="1" LPOGX="0.50442" LPOGY="0.22817" LPOGV="0" RPOGX="0.54180" RPOGY="0.41868" RPOGV="0" BPOGX="0.54180" BPOGY="0.41868" BPOGV="0" LPCX="0.49626" LPCY="0.36617" LPD="19.28475" LPS="0.77353" LPV="0" RPCX="0.79815" RPCY="0.34159" RPD="17.48171" RPS="0.77353" RPV="0" LEYEX="-0.00035" LEYEY="0.02221" LEYEZ="0.57720" LPUPILD="0.00408" LPUPILV="1" REYEX="0.06420" REYEY="0.02594" REYEZ="0.56232" RPUPILD="0.00424" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.68629" FPOGY="0.10927" FPOGS="216.41449" FPOGD="0.08035" FPOGID="582" FPOGV="1" LPOGX="0.69790" LPOGY="0.18287" LPOGV="1" RPOGX="0.67596" RPOGY="0.08276" RPOGV="1" BPOGX="0.68693" BPOGY="0.13281" BPOGV="1" LPCX="0.50496" LPCY="0.36538" LPD="23.00153" LPS="0.74059" LPV="1" RPCX="0.80865" RPCY="0.34187" RPD="24.17778" RPS="0.74059" RPV="1" LEYEX="0.00105" LEYEY="0.02140" LEYEZ="0.56159" LPUPILD="0.00400" LPUPILV="1" REYEX="0.06428" REYEY="0.02483" REYEZ="0.54898" RPUPILD="0.00418" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.68654" FPOGY="0.10960" FPOGS="216.41449" FPOGD="0.08704" FPOGID="582" FPOGV="1" LPOGX="0.70077" LPOGY="0.18574" LPOGV="1" RPOGX="0.67899" RPOGY="0.04195" RPOGV="1" BPOGX="0.68988" BPOGY="0.11384" BPOGV="1" LPCX="0.50497" LPCY="0.36542" LPD="22.91923" LPS="0.74059" LPV="1" RPCX="0.80867" RPCY="0.34182" RPD="23.87467" RPS="0.74059" RPV="1" LEYEX="0.00105" LEYEY="0.02140" LEYEZ="0.56159" LPUPILD="0.00401" LPUPILV="1" REYEX="0.06428" REYEY="0.02483" REYEZ="0.54898" RPUPILD="0.00420" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.68681" FPOGY="0.10970" FPOGS="216.41449" FPOGD="0.09377" FPOGID="582" FPOGV="1" LPOGX="0.70077" LPOGY="0.18574" LPOGV="1" RPOGX="0.68020" RPOGY="0.03643" RPOGV="1" BPOGX="0.69049" BPOGY="0.11108" BPOGV="1" LPCX="0.50498" LPCY="0.36549" LPD="22.71250" LPS="0.74059" LPV="1" RPCX="0.80869" RPCY="0.34185" RPD="23.75428" RPS="0.74457" RPV="1" LEYEX="0.00105" LEYEY="0.02140" LEYEZ="0.56159" LPUPILD="0.00401" LPUPILV="1" REYEX="0.06750" REYEY="0.02605" REYEZ="0.57602" RPUPILD="0.00420" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.68706" FPOGY="0.10828" FPOGS="216.41449" FPOGD="0.10110" FPOGID="582" FPOGV="1" LPOGX="0.70206" LPOGY="0.13542" LPOGV="1" RPOGX="0.67971" RPOGY="0.03852" RPOGV="1" BPOGX="0.69089" BPOGY="0.08697" BPOGV="1" LPCX="0.50494" LPCY="0.36554" LPD="22.75307" LPS="0.74457" LPV="1" RPCX="0.80871" RPCY="0.34189" RPD="23.82341" RPS="0.74856" RPV="1" LEYEX="0.00105" LEYEY="0.02140" LEYEZ="0.56159" LPUPILD="0.00404" LPUPILV="1" REYEX="0.06750" REYEY="0.02605" REYEZ="0.57602" RPUPILD="0.00419" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.68745" FPOGY="0.10742" FPOGS="216.41449" FPOGD="0.10799" FPOGID="582" FPOGV="1" LPOGX="0.70216" LPOGY="0.13981" LPOGV="1" RPOGX="0.68525" RPOGY="0.04744" RPOGV="1" BPOGX="0.69371" BPOGY="0.09363" BPOGV="1" LPCX="0.50495" LPCY="0.36553" LPD="22.80317" LPS="0.74856" LPV="1" RPCX="0.80871" RPCY="0.34191" RPD="23.77166" RPS="0.75254" RPV="1" LEYEX="0.00105" LEYEY="0.02140" LEYEZ="0.56159" LPUPILD="0.00402" LPUPILV="1" REYEX="0.06750" REYEY="0.02605" REYEZ="0.57602" RPUPILD="0.00419" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.68784" FPOGY="0.10636" FPOGS="216.41449" FPOGD="0.11343" FPOGID="582" FPOGV="1" LPOGX="0.70227" LPOGY="0.13480" LPOGV="1" RPOGX="0.68647" RPOGY="0.04204" RPOGV="1" BPOGX="0.69437" BPOGY="0.08842" BPOGV="1" LPCX="0.50497" LPCY="0.36558" LPD="22.83282" LPS="0.75254" LPV="1" RPCX="0.80872" RPCY="0.34190" RPD="23.75447" RPS="0.75653" RPV="1" LEYEX="0.00106" LEYEY="0.02137" LEYEZ="0.56317" LPUPILD="0.00404" LPUPILV="1" REYEX="0.06750" REYEY="0.02596" REYEZ="0.57602" RPUPILD="0.00419" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.68826" FPOGY="0.10526" FPOGS="216.41449" FPOGD="0.12030" FPOGID="582" FPOGV="1" LPOGX="0.70030" LPOGY="0.13368" LPOGV="1" RPOGX="0.69140" RPOGY="0.03725" RPOGV="1" BPOGX="0.69585" BPOGY="0.08547" BPOGV="1" LPCX="0.50497" LPCY="0.36553" LPD="22.78788" LPS="0.75653" LPV="1" RPCX="0.80868" RPCY="0.34217" RPD="24.14856" RPS="0.75653" RPV="1" LEYEX="0.00106" LEYEY="0.02137" LEYEZ="0.56317" LPUPILD="0.00403" LPUPILV="1" REYEX="0.06750" REYEY="0.02596" REYEZ="0.57602" RPUPILD="0.00420" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.68900" FPOGY="0.10419" FPOGS="216.41449" FPOGD="0.12724" FPOGID="582" FPOGV="1" LPOGX="0.70784" LPOGY="0.13258" LPOGV="1" RPOGX="0.69815" RPOGY="0.03525" RPOGV="1" BPOGX="0.70299" BPOGY="0.08391" BPOGV="1" LPCX="0.50501" LPCY="0.36559" LPD="22.95642" LPS="0.75653" LPV="1" RPCX="0.80876" RPCY="0.34225" RPD="24.09776" RPS="0.75653" RPV="1" LEYEX="0.00106" LEYEY="0.02137" LEYEZ="0.56317" LPUPILD="0.00402" LPUPILV="1" REYEX="0.06750" REYEY="0.02596" REYEZ="0.57602" RPUPILD="0.00423" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
