2025-09-04 13:30:04.731126
="0.66399" RPUPILD="0.00347" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.14486" FPOGY="0.14128" FPOGS="874.55896" FPOGD="0.10693" FPOGID="1047" FPOGV="1" LPOGX="0.30867" LPOGY="0.25630" LPOGV="0" RPOGX="0.14555" RPOGY="0.22078" RPOGV="1" BPOGX="0.14555" BPOGY="0.22078" BPOGV="1" LPCX="0.31805" LPCY="0.29344" LPD="15.32805" LPS="1.06384" LPV="1" RPCX="0.58405" RPCY="0.28652" RPD="16.92234" RPS="1.05576" RPV="1" LEYEX="-0.04539" LEYEY="0.04911" LEYEZ="0.68636" LPUPILD="0.00345" LPUPILV="1" REYEX="0.02206" REYEY="0.04223" REYEZ="0.66399" RPUPILD="0.00351" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.17244" FPOGY="0.18994" FPOGS="875.30255" FPOGD="0.27478" FPOGID="1051" FPOGV="1" LPOGX="0.26524" LPOGY="2.62271" LPOGV="0" RPOGX="0.14479" RPOGY="0.25546" RPOGV="1" BPOGX="0.14479" BPOGY="0.25546" BPOGV="1" LPCX="0.31923" LPCY="0.28348" LPD="15.36179" LPS="1.08774" LPV="1" RPCX="0.58729" RPCY="0.28228" RPD="16.66123" RPS="1.08774" RPV="1" LEYEX="-0.04539" LEYEY="0.04911" LEYEZ="0.68636" LPUPILD="0.00360" LPUPILV="1" REYEX="0.02332" REYEY="0.04377" REYEZ="0.67622" RPUPILD="0.00358" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.17169" FPOGY="0.19113" FPOGS="875.30255" FPOGD="0.28149" FPOGID="1051" FPOGV="1" LPOGX="0.26524" LPOGY="2.62271" LPOGV="0" RPOGX="0.14022" RPOGY="0.24108" RPOGV="1" BPOGX="0.14022" BPOGY="0.24108" BPOGV="1" LPCX="0.31957" LPCY="0.28337" LPD="16.12475" LPS="1.09670" LPV="1" RPCX="0.58745" RPCY="0.28189" RPD="16.82123" RPS="1.10587" RPV="1" LEYEX="-0.04539" LEYEY="0.04911" LEYEZ="0.68636" LPUPILD="0.00344" LPUPILV="1" REYEX="0.02443" REYEY="0.04560" REYEZ="0.70054" RPUPILD="0.00351" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.17225" FPOGY="0.19040" FPOGS="875.30255" FPOGD="0.28845" FPOGID="1051" FPOGV="1" LPOGX="0.26524" LPOGY="2.62271" LPOGV="0" RPOGX="0.19647" RPOGY="0.15893" RPOGV="1" BPOGX="0.19647" BPOGY="0.15893" BPOGV="1" LPCX="0.31994" LPCY="0.28294" LPD="15.57478" LPS="1.11483" LPV="1" RPCX="0.58794" RPCY="0.28165" RPD="17.32909" RPS="1.12399" RPV="1" LEYEX="-0.04539" LEYEY="0.04911" LEYEZ="0.68636" LPUPILD="0.00354" LPUPILV="1" REYEX="0.02443" REYEY="0.04560" REYEZ="0.70054" RPUPILD="0.00347" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.17182" FPOGY="0.18949" FPOGS="875.30255" FPOGD="0.29492" FPOGID="1051" FPOGV="1" LPOGX="0.26524" LPOGY="2.62271" LPOGV="0" RPOGX="0.15301" RPOGY="0.14980" RPOGV="1" BPOGX="0.15301" BPOGY="0.14980" BPOGV="1" LPCX="0.32031" LPCY="0.28236" LPD="15.70601" LPS="1.13295" LPV="1" RPCX="0.58819" RPCY="0.28127" RPD="16.42076" RPS="1.14212" RPV="1" LEYEX="-0.04539" LEYEY="0.04911" LEYEZ="0.68636" LPUPILD="0.00352" LPUPILV="1" REYEX="0.02443" REYEY="0.04560" REYEZ="0.70054" RPUPILD="0.00359" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.17141" FPOGY="0.18863" FPOGS="875.30255" FPOGD="0.30115" FPOGID="1051" FPOGV="1" LPOGX="0.26524" LPOGY="2.62271" LPOGV="0" RPOGX="0.15301" RPOGY="0.14980" RPOGV="1" BPOGX="0.15301" BPOGY="0.14980" BPOGV="1" LPCX="0.32047" LPCY="0.28230" LPD="15.60835" LPS="1.14212" LPV="1" RPCX="0.58852" RPCY="0.28101" RPD="16.70590" RPS="1.14212" RPV="1" LEYEX="-0.04539" LEYEY="0.04911" LEYEZ="0.68636" LPUPILD="0.00359" LPUPILV="1" REYEX="0.02390" REYEY="0.04449" REYEZ="0.68112" RPUPILD="0.00349" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.17125" FPOGY="0.18741" FPOGS="875.30255" FPOGD="0.30811" FPOGID="1051" FPOGV="1" LPOGX="0.26524" LPOGY="2.62271" LPOGV="0" RPOGX="0.16356" RPOGY="0.13124" RPOGV="1" BPOGX="0.16356" BPOGY="0.13124" BPOGV="1" LPCX="0.32108" LPCY="0.28170" LPD="15.71576" LPS="1.13316" LPV="1" RPCX="0.58890" RPCY="0.28072" RPD="16.67760" RPS="1.12399" RPV="1" LEYEX="-0.04539" LEYEY="0.04911" LEYEZ="0.68636" LPUPILD="0.00348" LPUPILV="1" REYEX="0.02390" REYEY="0.04449" REYEZ="0.68112" RPUPILD="0.00359" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.17082" FPOGY="0.18769" FPOGS="875.30255" FPOGD="0.31458" FPOGID="1051" FPOGV="1" LPOGX="0.26524" LPOGY="2.62271" LPOGV="0" RPOGX="0.15056" RPOGY="0.20075" RPOGV="1" BPOGX="0.15056" BPOGY="0.20075" BPOGV="1" LPCX="0.32124" LPCY="0.28131" LPD="15.28423" LPS="1.11504" LPV="1" RPCX="0.58902" RPCY="0.28023" RPD="15.99889" RPS="1.10587" RPV="1" LEYEX="-0.04539" LEYEY="0.04911" LEYEZ="0.68636" LPUPILD="0.00360" LPUPILV="1" REYEX="0.02390" REYEY="0.04449" REYEZ="0.68112" RPUPILD="0.00359" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.17086" FPOGY="0.18922" FPOGS="875.30255" FPOGD="0.32141" FPOGID="1051" FPOGV="1" LPOGX="0.26524" LPOGY="2.62271" LPOGV="0" RPOGX="0.15884" RPOGY="0.22905" RPOGV="1" BPOGX="0.15884" BPOGY="0.22905" BPOGV="1" LPCX="0.32164" LPCY="0.28116" LPD="15.65216" LPS="1.08901" LPV="1" RPCX="0.58931" RPCY="0.28008" RPD="16.50618" RPS="1.07175" RPV="1" LEYEX="-0.04539" LEYEY="0.04911" LEYEZ="0.68636" LPUPILD="0.00348" LPUPILV="1" REYEX="0.02371" REYEY="0.04377" REYEZ="0.66843" RPUPILD="0.00353" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
