file_key,FPOGX,FPOGY,FPOGS,FPOGD,FPOGID
T1_S1_TRY1_VB_SL_LIT,"[0.5115149999999999, 0.6082785, 0.609104, 0.4152053333333333, 0.2197983333333333, 0.16575827586206895, 0.27635842857142856, 0.2611552173913044, 0.37164354838709673, 0.48399500000000006, 0.5453932608695654, 0.5356268750000001, 0.6069762264150944, 0.7326768965517239, 0.8199719354838709, 0.7350536842105263, 0.8414069230769229, 0.9004272499999999, 0.9547634482758622, 0.193115]","[-0.26439, 0.2826875, 0.2863204444444445, 0.930494, 0.93115625, 0.8917420689655173, 0.8871632857142858, 0.9092426086956524, 0.899400322580645, 0.9503388888888887, 0.8814978260869566, 0.854731875, 0.8471533962264152, 0.8525875862068963, 0.8514267741935485, 0.8178634210526318, 0.8375828205128204, 0.8403615, 0.8455131034482757, 0.75865]","[1025.16162, 1027.95508, 1028.25623, 1028.62109, 1028.75842, 1028.93994, 1029.15417, 1029.64282, 1029.81738, 1030.30688, 1030.44653, 1030.7749, 1031.0094, 1031.38477, 1031.79968, 1032.02759, 1032.30188, 1032.58374, 1032.8717, 1033.14587]","[0.04688, 0.29431, 0.31482, 0.11023, 0.1748, 0.20728, 0.4823, 0.16785, 0.22095, 0.13306, 0.32141, 0.22766, 0.36865, 0.40796, 0.22119, 0.26807, 0.27527, 0.28259, 0.20752, 0.02698]","[2139, 2147, 2148, 2149, 2150, 2151, 2152, 2153, 2154, 2155, 2156, 2157, 2158, 2159, 2160, 2161, 2162, 2163, 2164, 2165]"
T1_S1_TRY1_HS_SL_LIT,"[0.61804, 0.6169896491228072, 1.1744479591836738, 1.1782803846153849, 1.1679326923076925, 1.1898318823529415, 1.18503, 1.1868010000000004, 1.2162149999999998, 1.1988339823008844, 1.1724735714285717, 1.1449697368421055, 1.1602943589743588, 1.1908243750000003, 1.1924752380952384]","[0.27416, 0.28703596491228067, 0.44515612244897956, 0.4197019230769231, 0.44070230769230767, 0.4300785882352942, 0.4565327272727273, 0.44785660000000005, 0.3998875, 0.4475375221238938, 0.45774678571428573, 0.43566763157894745, 0.42588179487179484, 0.44266281249999984, 0.41692166666666663]","[1099.13293, 1099.75549, 1100.20422, 1100.55359, 1100.75134, 1100.94153, 1101.53137, 1101.7384, 1102.09363, 1102.24731, 1103.02478, 1103.48657, 1103.76111, 1104.04956, 1104.49756]","[0.61572, 0.40222, 0.34204, 0.18689, 0.18347, 0.58362, 0.15991, 0.34863, 0.14709, 0.77112, 0.20081, 0.26794, 0.28186, 0.44177, 0.2948]","[2446, 2447, 2448, 2449, 2450, 2451, 2452, 2453, 2454, 2455, 2456, 2457, 2458, 2459, 2460]"
T1_S1_TRY1_VB_SL_BIG,"[0.6122326388888888, 0.4873268421052632, 0.18877000000000002, 0.3429506451612903, 0.4354567567567567, 0.5891591891891893, 0.7754994736842105, 0.8702967961165046, 0.8901475, 0.26868346153846157, 0.22066433333333338, 0.4307414705882353, 0.5173006060606059, 0.78403825, 0.8783054285714282, 0.9604349999999999, 0.2615004, 0.1893830434782609]","[0.26845097222222236, 0.943437894736842, 0.91524225, 0.8928367741935483, 0.9286108108108109, 0.8836694594594594, 0.90931, 0.8774603883495146, 0.8370166666666666, 0.8407907692307691, 0.8470556666666668, 0.8288194117647061, 0.7970736363636365, 0.804134, 0.8001382857142858, 0.8069575000000001, 0.7806452, 0.7568969565217393]","[1117.20703, 1118.19336, 1118.35742, 1118.66565, 1118.89282, 1119.18127, 1119.46899, 1119.74414, 1120.45325, 1120.57434, 1120.76904, 1121.00928, 1121.25732, 1121.53845, 1121.8269, 1122.08179, 1122.30212, 1122.49011]","[0.93579, 0.1377, 0.28149, 0.22046, 0.26172, 0.26123, 0.26831, 0.70276, 0.09448, 0.18787, 0.21338, 0.24194, 0.23474, 0.28174, 0.24817, 0.17517, 0.18115, 0.1676]","[2499, 2500, 2501, 2502, 2503, 2504, 2505, 2506, 2507, 2508, 2509, 2510, 2511, 2512, 2513, 2514, 2515, 2516]"
T1_S1_TRY1_HS_SL_BIG,"[0.6195031481481484, 0.6214363636363637, 1.1719203225806452, 1.1603385714285712, 1.1597570370370371, 1.1888066666666666, 1.1952135483870965, 1.2269500000000002, 1.2057858333333331, 1.1988870212765954, 1.14394, 1.1441336363636363, 1.0868763636363636, 1.2040835714285714, 1.1085809090909093, 1.2097609523809523, 1.106680909090909, 1.187877272727273, 1.067162666666667, 1.1946787499999998, 1.1903152941176471, 1.1511749999999998, 1.045482, 1.0990933333333333]","[0.24344759259259255, 0.22857272727272732, 0.42447580645161287, 0.3838885714285713, 0.4063151851851852, 0.40596333333333334, 0.44410806451612894, 0.43387404255319156, 0.4511485416666667, 0.42710021276595733, 0.44451, 0.4900027272727273, 0.5415572727272727, 0.4606792857142857, 0.535695, 0.4394209523809524, 0.5285627272727274, 0.4358859090909091, 0.5748346666666666, 0.39236791666666665, 0.41424862745098023, 0.488108, 0.5842986666666667, 0.5356166666666666]","[1045.63892, 1046.37512, 1046.50952, 1046.73767, 1046.9447, 1047.14587, 1047.3866, 1048.03003, 1048.36511, 1048.70667, 1049.04199, 1049.12817, 1049.22266, 1049.31592, 1049.45007, 1049.6178, 1049.79907, 1049.89355, 1050.08032, 1050.22095, 1050.40149, 1050.76343, 1050.84998, 1050.97778]","[0.72949, 0.08789, 0.22131, 0.20044, 0.1947, 0.23425, 0.63696, 0.32812, 0.33484, 0.32849, 0.01978, 0.08777, 0.08655, 0.10767, 0.1615, 0.15454, 0.08643, 0.1593, 0.11316, 0.17395, 0.3551, 0.08008, 0.12061, 0.05884]","[2207, 2208, 2209, 2210, 2211, 2212, 2213, 2214, 2215, 2216, 2217, 2218, 2219, 2220, 2221, 2222, 2223, 2224, 2225, 2226, 2227, 2228, 2229, 2230]"
T1_S1_TRY1_VB_FA_LIT,"[0.6168279999999999, 0.6221484782608693, 0.486326875, 0.23113535714285716, 0.17932794117647055, 0.26099975609756093, 0.24361368421052632, 0.3236730952380952, 0.3865485185185185, 0.47702354838709665, 0.5261630000000002, 0.5712024242424242, 0.6807666666666665, 0.7437384375, 0.8743198387096774, 0.9581106060606059, 0.23005083333333334, 0.17872068965517238, 0.1829064705882353, 0.2944902702702703]","[0.23235699999999998, 0.24510369565217388, 0.8353137499999999, 0.9027071428571427, 0.8692852941176468, 0.8600673170731705, 0.8329839473684213, 0.7982166666666666, 0.7827074074074072, 0.7591466129032259, 0.7017795000000001, 0.705357878787879, 0.6958357777777777, 0.6981740624999999, 0.6801066129032256, 0.6650690909090908, 0.5622929166666667, 0.565521379310345, 0.5144388235294117, 0.5163848648648649]","[1062.7196, 1064.00647, 1064.37427, 1064.52197, 1064.72961, 1064.97925, 1065.27222, 1065.54651, 1065.84827, 1066.04846, 1066.48438, 1066.63867, 1066.87964, 1067.20105, 1067.43591, 1067.87109, 1068.15222, 1068.33313, 1068.54785, 1068.6814]","[1.28003, 0.32092, 0.12061, 0.20105, 0.24524, 0.2865, 0.26782, 0.29504, 0.19397, 0.42944, 0.14685, 0.23413, 0.3147, 0.22791, 0.42834, 0.23438, 0.17456, 0.2085, 0.12708, 0.26135]","[2305, 2306, 2307, 2308, 2309, 2310, 2311, 2312, 2313, 2314, 2315, 2316, 2317, 2318, 2319, 2320, 2321, 2322, 2323, 2324]"
T1_S1_TRY1_HS_FA_LIT,"[0.6144178181818178, 1.1279400000000004, 1.1301381818181815, 1.1331053658536585, 1.151039705882353, 1.1695404255319148, 1.1623621951219512, 1.1548636363636364, 1.1536471739130436, 1.171815753424657, 1.180260196078431, 1.0408764705882352, 1.12385, 1.1829146666666666, 1.1431033333333331, 1.0510273333333333, 1.1179163157894738, 1.0187966666666668, 1.1051024999999999]","[0.2502614545454546, 0.4096867415730337, 0.4331000000000001, 0.4167468292682926, 0.39991176470588236, 0.4202044680851064, 0.4161363414634145, 0.4252840909090908, 0.4261002173913043, 0.4456290410958904, 0.45210960784313736, 0.5987594117647059, 0.5239481818181818, 0.4328726666666666, 0.47465, 0.5531933333333332, 0.47378631578947367, 0.5783188888888889, 0.42219749999999995]","[1081.32117, 1082.24548, 1082.8623, 1083.10352, 1083.39795, 1083.64612, 1083.98096, 1084.50903, 1084.67065, 1084.99927, 1085.5083, 1085.88977, 1086.02405, 1086.11755, 1086.23779, 1086.33813, 1086.45862, 1086.60669, 1086.76746]","[0.87842, 0.61108, 0.23401, 0.28784, 0.24109, 0.32825, 0.28772, 0.15527, 0.3219, 0.50244, 0.35425, 0.12756, 0.08704, 0.11414, 0.09387, 0.11401, 0.14111, 0.13354, 0.09399]","[2377, 2378, 2379, 2380, 2381, 2382, 2383, 2384, 2385, 2386, 2387, 2388, 2389, 2390, 2391, 2392, 2393, 2394, 2395]"
T1_S1_TRY1_VB_FA_BIG,"[1.15746, 0.61503, 0.6135484905660377, 0.5171815789473686, 0.23985263157894737, 0.19513133333333332, 0.37513279999999993, 0.48043142857142856, 0.6194747999999999, 0.7109556, 0.8616323333333332, 0.23892511627906973, 0.4491176923076922, 0.45671785714285706, 0.5490923333333334, 0.7319305405405405, 0.7968619047619047, 0.9317124999999998, 0.213307027027027, 0.3962379166666666, 0.3993218181818182, 0.5933794285714284, 0.7020737037037037, 0.7991048000000001]","[0.43501999999999996, 0.26300500000000004, 0.2718943396226414, 0.8228036842105264, 0.8426963157894738, 0.8197613333333335, 0.8238968, 0.8286485714285713, 0.8090464, 0.7889796, 0.7748976666666665, 0.7340448837209302, 0.7042092307692308, 0.6562721428571429, 0.6236126666666666, 0.5961032432432433, 0.5904904761904762, 0.5864202272727271, 0.54677, 0.5008499999999999, 0.44893818181818174, 0.43204085714285717, 0.38666555555555554, 0.3695144000000001]","[1007.06238, 1009.17877, 1010.25781, 1010.67456, 1010.84003, 1011.11487, 1011.2558, 1011.44293, 1011.60394, 1011.79138, 1011.99927, 1012.26172, 1012.59015, 1012.78278, 1012.89703, 1013.138, 1013.4101, 1013.57208, 1013.9472, 1014.22949, 1014.414, 1014.59802, 1014.85217, 1015.05347]","[0.24146, 1.07233, 0.3681, 0.13867, 0.26843, 0.11414, 0.18121, 0.15424, 0.1806, 0.18079, 0.21606, 0.3031, 0.18835, 0.10754, 0.21466, 0.26086, 0.15204, 0.30298, 0.25696, 0.17719, 0.16107, 0.24768, 0.1991, 0.18536]","[2057, 2065, 2066, 2067, 2068, 2069, 2070, 2071, 2072, 2073, 2074, 2075, 2076, 2077, 2078, 2079, 2080, 2081, 2082, 2083, 2084, 2085, 2086, 2087]"
T1_S1_TRY1_HS_FA_BIG,"[0.6029449019607844, 0.606031875, 1.0943730909090905, 1.0177260869565217, 1.0885890566037735, 1.159997647058824, 1.1528979166666666, 1.1472272463768118, 1.1718697674418603, 1.1707751612903226, 1.172009, 1.1380436842105268, 1.1421078260869566, 1.1733971739130435, 1.170903]","[0.2756378431372549, 0.26669, 0.39540127272727266, 0.3900395652173913, 0.40567415094339615, 0.4309639705882352, 0.4595616666666667, 0.45076028985507227, 0.451126046511628, 0.4438622580645161, 0.4492590000000001, 0.41953907894736836, 0.4442791304347825, 0.44078141304347834, 0.46278600000000003]","[992.22583, 992.65302, 992.79474, 993.18298, 993.35754, 993.73273, 994.20819, 994.38928, 994.87097, 995.17902, 995.4071, 995.94299, 996.47223, 996.6463, 997.28271]","[0.41699, 0.11462, 0.38177, 0.16742, 0.36853, 0.46881, 0.17438, 0.4751, 0.30145, 0.22156, 0.36084, 0.52258, 0.16681, 0.62988, 0.0802]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027]"
T1_S1_TRY2_VB_SL_LIT,"[0.50722, 0.5997681481481482, 0.5882132608695652, 0.38629705882352944, 0.1958461538461538, 0.173785, 0.22157473684210519, 0.3101672222222222, 0.32645820000000003, 0.3705892682926828, 0.3820847368421053, 0.2852958695652174, 0.3267410714285714, 0.43378557692307673, 0.48607449999999996, 0.5457325714285713, 0.6804030232558138, 0.8582500000000001, 0.8345624999999999, 0.9171416000000001]","[-0.43192, 0.2539170370370371, 0.22143043478260865, 0.8790052941176472, 0.9214282051282052, 0.9215729166666667, 0.9489789473684213, 0.9787894444444445, 0.9156496, 0.8858026829268292, 0.8499605263157894, 0.8760404347826084, 0.8329469642857144, 0.8036336538461537, 0.7892419999999998, 0.7960351428571429, 0.8120586046511626, 0.7906823809523809, 0.7680242857142856, 0.7903068000000002]","[1385.86902, 1388.78699, 1389.26917, 1389.63782, 1389.79211, 1390.07324, 1390.25391, 1390.6355, 1390.77673, 1391.13147, 1391.42639, 1391.57373, 1391.90173, 1392.29688, 1392.66553, 1392.8197, 1393.09399, 1393.42249, 1393.72388, 1393.93164]","[0.29834, 0.47559, 0.32202, 0.12732, 0.27417, 0.17407, 0.14575, 0.13428, 0.34839, 0.28784, 0.14038, 0.32117, 0.38818, 0.36328, 0.14746, 0.24756, 0.30139, 0.29443, 0.20105, 0.18079]","[3372, 3379, 3380, 3381, 3382, 3383, 3384, 3385, 3386, 3387, 3388, 3389, 3390, 3391, 3392, 3393, 3394, 3395, 3396, 3397]"
T1_S1_TRY2_HS_SL_LIT,"[0.6020133333333333, 0.6053136842105263, 1.2009329545454541, 1.1745168421052632, 1.1746900000000005, 1.1974429729729728, 1.2046043750000002, 1.1895543781094529, 1.1673345833333333, 1.185733615023475]","[0.26409166666666667, 0.2612265789473684, 0.39969840909090915, 0.35150157894736844, 0.41566382978723404, 0.4010821621621622, 0.385363125, 0.4319402985074626, 0.42459166666666665, 0.4129487323943659]","[1335.25317, 1335.39978, 1335.86218, 1336.17822, 1336.32471, 1336.66016, 1337.12573, 1337.24939, 1338.61548, 1339.03101]","[0.13989, 0.26843, 0.30884, 0.13989, 0.328, 0.26099, 0.11682, 1.35901, 0.17444, 1.4397]","[3217, 3218, 3219, 3220, 3221, 3222, 3223, 3224, 3225, 3226]"
