Feature,Cumulative F-score
f44,2777.2150391337486
f45,2724.383340144986
f46,2658.2429005817794
f34,2482.8185376550855
f35,2443.1039632897764
f36,2384.1359280782017
f64,1734.3841063225805
f65,1697.569077521068
f33,1644.7057898559665
f43,1561.8579167295836
f55,1139.3952184706438
f56,1125.7911656432093
f54,1065.8914419320122
f71,760.3948348388284
f52,599.5512528740217
f62,529.0432103030001
f58,437.25615065602693
f60,410.4662363299663
f67,385.03053766782625
f69,374.8104156565981
f66,357.1789672962753
f63,340.73032894740436
f39,250.94175513683464
f53,234.3587945626006
f37,228.5725716008673
f57,227.7101201718919
f49,223.78709558990755
f80,210.6259270113773
f42,196.55304762508533
f32,196.54533153765996
f68,193.73225105447528
f4,187.7781506672439
f5,175.8269173181921
f0,174.57113343780952
f38,164.61852364859794
f47,161.69343645615885
f41,158.1926821061843
f59,157.99042530654293
f3,150.25903437846654
f27,147.47363019584722
f29,146.68985582601928
f40,141.78995107160642
f81,141.64378389217876
f76,139.75737369621396
f51,139.60663007865386
f72,130.69826823888343
f26,127.58490588029059
f74,121.42384802310194
f75,118.19531765539527
f73,117.68333478141152
f2,111.3072712336109
f82,108.3331710394708
f19,107.9155837209145
f17,106.96797800274153
f6,106.95263930194461
f78,98.56499837667057
f48,98.20730236279066
f50,86.85008337515046
f10,82.53446078046632
f8,77.34813012846278
f7,72.30121224433105
f1,64.45713026872687
f15,53.70028048156892
f31,53.38664669063482
f18,51.29665590576453
f9,50.54225488728502
f77,49.695719603021466
f12,38.9312452832188
f22,30.84433187136588
f20,23.290971260696324
f13,20.649375871881812
f79,13.291333782196748
f14,9.502072593005419
f70,6.647620962475795
