Model,Best K,Feature,F-score
Logistic Regression (S1+S2 vs S3),70,f44,175.2333681731771
Logistic Regression (S1+S2 vs S3),70,f45,171.53345513367583
Logistic Regression (S1+S2 vs S3),70,f46,169.01830292057232
Logistic Regression (S1+S2 vs S3),70,f34,154.6052438227861
Logistic Regression (S1+S2 vs S3),70,f35,152.39200275849836
Logistic Regression (S1+S2 vs S3),70,f36,149.157147895693
Logistic Regression (S1+S2 vs S3),70,f33,133.54566083650434
Logistic Regression (S1+S2 vs S3),70,f64,111.32810914020388
Logistic Regression (S1+S2 vs S3),70,f43,110.44466752319147
Logistic Regression (S1+S2 vs S3),70,f65,109.15652161692869
Logistic Regression (S1+S2 vs S3),70,f56,74.11153761635833
Logistic Regression (S1+S2 vs S3),70,f55,73.74497444503078
Logistic Regression (S1+S2 vs S3),70,f54,68.55927332921019
Logistic Regression (S1+S2 vs S3),70,f71,44.520683111954455
Logistic Regression (S1+S2 vs S3),70,f52,40.447678282215904
Logistic Regression (S1+S2 vs S3),70,f62,38.18814200484478
Logistic Regression (S1+S2 vs S3),70,f60,28.547926963594346
Logistic Regression (S1+S2 vs S3),70,f58,28.351503356429387
Logistic Regression (S1+S2 vs S3),70,f63,23.993039403297747
Logistic Regression (S1+S2 vs S3),70,f69,23.667218057106112
Logistic Regression (S1+S2 vs S3),70,f67,23.062405230230276
Logistic Regression (S1+S2 vs S3),70,f66,22.34721316488953
Logistic Regression (S1+S2 vs S3),70,f39,16.588088148271822
Logistic Regression (S1+S2 vs S3),70,f53,15.518302446657545
Logistic Regression (S1+S2 vs S3),70,f57,15.19858511762215
Logistic Regression (S1+S2 vs S3),70,f49,15.0263841222394
Logistic Regression (S1+S2 vs S3),70,f37,14.949862518301597
Logistic Regression (S1+S2 vs S3),70,f68,13.494729999681102
Logistic Regression (S1+S2 vs S3),70,f80,13.127687750216127
Logistic Regression (S1+S2 vs S3),70,f32,12.661575539191173
Logistic Regression (S1+S2 vs S3),70,f42,12.499650989999063
Logistic Regression (S1+S2 vs S3),70,f76,11.716324274105206
Logistic Regression (S1+S2 vs S3),70,f4,11.530786530019812
Logistic Regression (S1+S2 vs S3),70,f5,10.937076254610622
Logistic Regression (S1+S2 vs S3),70,f47,10.712663038761791
Logistic Regression (S1+S2 vs S3),70,f29,10.560354307612643
Logistic Regression (S1+S2 vs S3),70,f0,10.475582452834935
Logistic Regression (S1+S2 vs S3),70,f38,10.413361742307453
Logistic Regression (S1+S2 vs S3),70,f59,10.375801684526301
Logistic Regression (S1+S2 vs S3),70,f41,10.148360993477288
Logistic Regression (S1+S2 vs S3),70,f27,9.859036273738527
Logistic Regression (S1+S2 vs S3),70,f75,9.777580607236482
Logistic Regression (S1+S2 vs S3),70,f51,9.765267270161793
Logistic Regression (S1+S2 vs S3),70,f40,9.093270772689008
Logistic Regression (S1+S2 vs S3),70,f3,9.03333265606604
Logistic Regression (S1+S2 vs S3),70,f26,9.004823326278865
Logistic Regression (S1+S2 vs S3),70,f81,8.78195481609395
Logistic Regression (S1+S2 vs S3),70,f72,8.68239291194152
Logistic Regression (S1+S2 vs S3),70,f73,7.85947377948647
Logistic Regression (S1+S2 vs S3),70,f19,7.8015121370201586
Logistic Regression (S1+S2 vs S3),70,f74,7.732506778771097
Logistic Regression (S1+S2 vs S3),70,f17,7.426287605190293
Logistic Regression (S1+S2 vs S3),70,f2,7.261852214503469
Logistic Regression (S1+S2 vs S3),70,f6,6.573780249241066
Logistic Regression (S1+S2 vs S3),70,f82,6.427096673609758
Logistic Regression (S1+S2 vs S3),70,f78,6.420245888255055
Logistic Regression (S1+S2 vs S3),70,f48,6.219729598142857
Logistic Regression (S1+S2 vs S3),70,f8,5.674288568386349
Logistic Regression (S1+S2 vs S3),70,f10,5.531453641074853
Logistic Regression (S1+S2 vs S3),70,f50,5.374196159233072
Logistic Regression (S1+S2 vs S3),70,f12,5.29811233915025
Logistic Regression (S1+S2 vs S3),70,f7,5.254554488754744
Logistic Regression (S1+S2 vs S3),70,f1,5.249283415980954
Logistic Regression (S1+S2 vs S3),70,f31,5.2371299377774365
Logistic Regression (S1+S2 vs S3),70,f15,5.0519976354617055
Logistic Regression (S1+S2 vs S3),70,f18,4.6154309095295645
Logistic Regression (S1+S2 vs S3),70,f77,4.416130200627578
Logistic Regression (S1+S2 vs S3),70,f22,4.225375276133174
Logistic Regression (S1+S2 vs S3),70,f9,4.153741056403031
Logistic Regression (S1+S2 vs S3),70,f13,4.129875174376362
