Model,Best K,Feature,F-score
MLP (S1+S2 vs S3),70,f44,175.23336817317704
MLP (S1+S2 vs S3),70,f45,171.53345513367552
MLP (S1+S2 vs S3),70,f46,169.01830292057187
MLP (S1+S2 vs S3),70,f34,154.60524382278624
MLP (S1+S2 vs S3),70,f35,152.3920027584983
MLP (S1+S2 vs S3),70,f36,149.1571478956928
MLP (S1+S2 vs S3),70,f33,133.54566083650428
MLP (S1+S2 vs S3),70,f64,111.32810914020413
MLP (S1+S2 vs S3),70,f43,110.44466752319133
MLP (S1+S2 vs S3),70,f65,109.15652161692876
MLP (S1+S2 vs S3),70,f56,74.11153761635833
MLP (S1+S2 vs S3),70,f55,73.74497444503078
MLP (S1+S2 vs S3),70,f54,68.55927332921028
MLP (S1+S2 vs S3),70,f71,44.52068311195446
MLP (S1+S2 vs S3),70,f52,40.447678282215946
MLP (S1+S2 vs S3),70,f62,38.1881420048448
MLP (S1+S2 vs S3),70,f60,28.54792696359434
MLP (S1+S2 vs S3),70,f58,28.351503356429387
MLP (S1+S2 vs S3),70,f63,23.99303940329775
MLP (S1+S2 vs S3),70,f69,23.667218057106155
MLP (S1+S2 vs S3),70,f67,23.06240523023028
MLP (S1+S2 vs S3),70,f66,22.347213164889503
MLP (S1+S2 vs S3),70,f39,16.588088148271822
MLP (S1+S2 vs S3),70,f53,15.51830244665754
MLP (S1+S2 vs S3),70,f57,15.198585117622152
MLP (S1+S2 vs S3),70,f49,15.026384122239405
MLP (S1+S2 vs S3),70,f37,14.949862518301584
MLP (S1+S2 vs S3),70,f68,13.494729999681098
MLP (S1+S2 vs S3),70,f80,13.127687750216117
MLP (S1+S2 vs S3),70,f32,12.661575539191183
MLP (S1+S2 vs S3),70,f42,12.499650989999072
MLP (S1+S2 vs S3),70,f76,11.716324274105206
MLP (S1+S2 vs S3),70,f4,11.53078653001981
MLP (S1+S2 vs S3),70,f5,10.937076254610618
MLP (S1+S2 vs S3),70,f47,10.71266303876179
MLP (S1+S2 vs S3),70,f29,10.560354307612647
MLP (S1+S2 vs S3),70,f0,10.475582452834935
MLP (S1+S2 vs S3),70,f38,10.413361742307462
MLP (S1+S2 vs S3),70,f59,10.375801684526301
MLP (S1+S2 vs S3),70,f41,10.14836099347729
MLP (S1+S2 vs S3),70,f27,9.859036273738528
MLP (S1+S2 vs S3),70,f75,9.777580607236485
MLP (S1+S2 vs S3),70,f51,9.765267270161807
MLP (S1+S2 vs S3),70,f40,9.09327077268901
MLP (S1+S2 vs S3),70,f3,9.033332656066046
MLP (S1+S2 vs S3),70,f26,9.004823326278862
MLP (S1+S2 vs S3),70,f81,8.78195481609395
MLP (S1+S2 vs S3),70,f72,8.68239291194152
MLP (S1+S2 vs S3),70,f73,7.859473779486467
MLP (S1+S2 vs S3),70,f19,7.801512137020166
MLP (S1+S2 vs S3),70,f74,7.732506778771099
MLP (S1+S2 vs S3),70,f17,7.426287605190293
MLP (S1+S2 vs S3),70,f2,7.261852214503466
MLP (S1+S2 vs S3),70,f6,6.573780249241064
MLP (S1+S2 vs S3),70,f82,6.427096673609755
MLP (S1+S2 vs S3),70,f78,6.4202458882550575
MLP (S1+S2 vs S3),70,f48,6.219729598142856
MLP (S1+S2 vs S3),70,f8,5.674288568386349
MLP (S1+S2 vs S3),70,f10,5.531453641074857
MLP (S1+S2 vs S3),70,f50,5.374196159233071
MLP (S1+S2 vs S3),70,f12,5.298112339150252
MLP (S1+S2 vs S3),70,f7,5.25455448875474
MLP (S1+S2 vs S3),70,f1,5.2492834159809485
MLP (S1+S2 vs S3),70,f31,5.237129937777432
MLP (S1+S2 vs S3),70,f15,5.0519976354617055
MLP (S1+S2 vs S3),70,f18,4.6154309095295645
MLP (S1+S2 vs S3),70,f77,4.416130200627577
MLP (S1+S2 vs S3),70,f22,4.22537527613317
MLP (S1+S2 vs S3),70,f9,4.153741056403031
MLP (S1+S2 vs S3),70,f13,4.129875174376362
