Model,Best K,Feature,F-score
Random Forest (80/20),70,f44,229.80573650343982
Random Forest (80/20),70,f45,225.48317832957082
Random Forest (80/20),70,f46,218.9757592152257
Random Forest (80/20),70,f34,215.56145394779253
Random Forest (80/20),70,f35,211.53847957795236
Random Forest (80/20),70,f36,205.29845867042155
Random Forest (80/20),70,f33,168.22746220918134
Random Forest (80/20),70,f43,140.7611844954933
Random Forest (80/20),70,f64,136.7333068393945
Random Forest (80/20),70,f65,133.3346091943594
Random Forest (80/20),70,f55,89.75320141603643
Random Forest (80/20),70,f56,87.55629831041682
Random Forest (80/20),70,f54,84.64204457204042
Random Forest (80/20),70,f71,61.93983027263256
Random Forest (80/20),70,f52,45.216729151613876
Random Forest (80/20),70,f62,41.39772060503161
Random Forest (80/20),70,f58,33.4591780451583
Random Forest (80/20),70,f60,31.73562787065939
Random Forest (80/20),70,f69,31.540504840938883
Random Forest (80/20),70,f67,30.8171574198587
Random Forest (80/20),70,f63,28.909753425637824
Random Forest (80/20),70,f66,27.40303506220789
Random Forest (80/20),70,f39,21.27801000930887
Random Forest (80/20),70,f80,17.76075181264953
Random Forest (80/20),70,f49,17.09975710988518
Random Forest (80/20),70,f37,16.308044322310508
Random Forest (80/20),70,f53,15.976711294935825
Random Forest (80/20),70,f32,15.954795975231576
Random Forest (80/20),70,f57,15.489713077772615
Random Forest (80/20),70,f68,15.464217988068569
Random Forest (80/20),70,f4,15.274710794630073
Random Forest (80/20),70,f0,15.054806016645877
Random Forest (80/20),70,f42,15.01642628140137
Random Forest (80/20),70,f41,14.786385531073984
Random Forest (80/20),70,f5,14.112873978711939
Random Forest (80/20),70,f38,12.925735556048823
Random Forest (80/20),70,f59,12.465892098352507
Random Forest (80/20),70,f3,12.413448866537136
Random Forest (80/20),70,f51,12.040765272632239
Random Forest (80/20),70,f27,11.65513921762663
Random Forest (80/20),70,f81,11.636971700018671
Random Forest (80/20),70,f47,11.267013671341312
Random Forest (80/20),70,f40,10.515084402164238
Random Forest (80/20),70,f72,9.69135879044182
Random Forest (80/20),70,f29,9.600077408804152
Random Forest (80/20),70,f82,9.317169198830774
Random Forest (80/20),70,f74,9.14618679559229
Random Forest (80/20),70,f73,8.839794703217127
Random Forest (80/20),70,f2,8.748031585193099
Random Forest (80/20),70,f26,8.745294099222168
Random Forest (80/20),70,f6,8.742156949309507
Random Forest (80/20),70,f17,8.534493447739981
Random Forest (80/20),70,f78,7.635676506201146
Random Forest (80/20),70,f48,7.618511254664813
Random Forest (80/20),70,f19,7.506335121166102
Random Forest (80/20),70,f70,6.647620962475795
Random Forest (80/20),70,f7,6.528550386042626
Random Forest (80/20),70,f50,6.292579079210816
Random Forest (80/20),70,f8,6.0190537578715935
Random Forest (80/20),70,f1,5.9723096441096954
Random Forest (80/20),70,f10,5.945309514078517
Random Forest (80/20),70,f9,5.875813349495282
Random Forest (80/20),70,f15,5.6433959425668005
Random Forest (80/20),70,f76,5.642118313011314
Random Forest (80/20),70,f18,5.535893949389943
Random Forest (80/20),70,f77,5.439297192309011
Random Forest (80/20),70,f75,5.103274093958213
Random Forest (80/20),70,f31,4.883849592868912
Random Forest (80/20),70,f20,4.770870306253303
Random Forest (80/20),70,f79,4.281436090194538
